Date,open,high,low,close,adj_close,volume
2009-12-14,179.800003,188.000000,177.000000,178.149994,176.675552,112757
2009-12-15,184.399994,184.399994,175.050003,176.100006,174.642532,12652
2009-12-16,172.000000,178.500000,172.000000,177.050003,175.584656,42817
2009-12-17,179.000000,180.000000,176.500000,178.600006,177.121841,30827
2009-12-18,178.000000,181.000000,175.149994,177.449997,175.981339,30110
2009-12-21,178.050003,180.000000,175.000000,175.350006,173.898727,79122
2009-12-22,175.000000,179.750000,173.300003,175.149994,173.700394,60357
2009-12-23,175.000000,182.000000,175.000000,179.699997,178.212723,199484
2009-12-24,182.750000,195.850006,179.050003,193.449997,191.848923,376461
2009-12-29,194.399994,201.000000,189.050003,192.350006,190.758041,264195
2009-12-30,192.899994,196.750000,191.000000,193.399994,191.799347,107901
2009-12-31,194.800003,198.699997,190.250000,192.350006,190.758041,104468
2010-01-04,194.899994,202.449997,194.000000,197.250000,195.617477,105933
2010-01-05,198.899994,205.250000,197.500000,203.300003,201.617401,304011
2010-01-06,204.800003,206.500000,196.500000,199.250000,197.600922,230602
2010-01-07,202.000000,202.000000,192.149994,195.600006,193.981140,170654
2010-01-08,190.000000,199.000000,185.000000,194.699997,193.088577,49205
2010-01-11,198.899994,201.750000,190.500000,195.850006,194.229080,56238
2010-01-12,204.000000,204.000000,193.050003,196.850006,195.220795,220669
2010-01-13,195.500000,201.000000,192.750000,195.899994,194.278641,106984
2010-01-14,196.000000,201.800003,194.000000,195.250000,193.634018,33592
2010-01-15,200.000000,201.000000,191.149994,194.000000,192.394363,53450
2010-01-18,195.800003,199.000000,192.250000,194.750000,193.138153,85172
2010-01-19,195.550003,199.050003,195.250000,197.600006,195.964584,61736
2010-01-20,195.000000,201.500000,195.000000,196.699997,195.072021,44995
2010-01-21,199.699997,199.699997,192.000000,194.750000,193.138153,55615
2010-01-22,190.000000,191.949997,186.000000,187.800003,186.245682,56494
2010-01-25,186.000000,190.000000,182.500000,186.699997,185.154785,62773
2010-01-27,196.949997,204.000000,179.000000,180.850006,179.353210,76829
2010-01-28,194.000000,197.800003,165.000000,175.449997,173.997910,124550
2010-01-29,173.000000,182.899994,171.100006,181.100006,179.601151,72610
2010-02-01,182.000000,213.000000,181.699997,201.949997,200.278580,333114
2010-02-02,206.899994,208.000000,195.100006,198.149994,196.510025,103534
2010-02-03,195.000000,204.000000,194.000000,198.199997,196.559616,54444
2010-02-04,199.000000,206.000000,191.300003,193.149994,191.551407,161074
2010-02-05,185.100006,190.899994,177.000000,187.000000,185.452301,64853
2010-02-06,194.699997,194.699997,187.000000,188.000000,186.444031,6500
2010-02-08,189.500000,196.000000,183.000000,190.899994,189.320023,50129
2010-02-09,180.000000,199.800003,180.000000,192.949997,191.353058,59182
2010-02-10,196.000000,197.000000,189.100006,190.199997,188.625824,25078
2010-02-11,190.199997,195.000000,190.199997,192.649994,191.055542,53931
2010-02-15,194.500000,200.000000,192.100006,195.550003,193.931549,52774
2010-02-16,198.000000,200.899994,191.000000,192.399994,190.807617,18579
2010-02-17,193.500000,196.899994,191.050003,192.350006,190.758041,25041
2010-02-18,192.000000,194.000000,190.000000,192.350006,190.758041,160675
2010-02-19,192.850006,194.000000,189.199997,190.500000,188.923340,42616
2010-02-22,190.800003,193.300003,185.100006,186.149994,184.609344,71414
2010-02-23,188.000000,189.949997,184.199997,188.000000,186.444031,79716
2010-02-24,188.949997,189.000000,185.100006,186.300003,184.758102,68141
2010-02-25,189.000000,190.500000,184.050003,186.750000,185.204376,172513
2010-02-26,186.000000,195.800003,186.000000,189.899994,188.328308,379934
2010-03-02,196.899994,203.800003,190.100006,199.449997,197.799271,73284
2010-03-03,202.000000,205.800003,197.100006,199.449997,197.799271,71155
2010-03-04,196.000000,202.949997,180.100006,199.800003,198.146378,61517
2010-03-05,203.850006,209.800003,201.000000,203.850006,202.162872,151512
2010-03-08,206.000000,209.800003,200.500000,203.050003,201.369461,63764
2010-03-09,200.100006,207.449997,197.100006,198.649994,197.005875,70284
2010-03-10,200.600006,203.300003,200.000000,200.850006,199.187683,45618
2010-03-11,201.050003,201.949997,197.000000,198.149994,196.510025,29738
2010-03-12,199.000000,206.399994,199.000000,203.300003,201.617401,46151
2010-03-15,202.800003,206.000000,201.199997,204.899994,203.204163,45245
2010-03-16,205.899994,209.399994,204.100006,204.800003,203.104996,116391
2010-03-17,205.000000,212.500000,203.050003,203.350006,201.667007,66930
2010-03-18,205.600006,207.949997,204.050003,205.649994,203.947952,359626
2010-03-19,204.050003,209.949997,200.000000,208.000000,206.278519,129402
2010-03-22,208.000000,209.899994,199.050003,201.000000,199.336456,309402
2010-03-23,201.250000,205.149994,198.000000,201.449997,199.782715,35141
2010-03-25,201.500000,211.949997,201.000000,208.199997,206.476837,108314
2010-03-26,209.000000,209.550003,202.000000,204.800003,203.104996,41499
2010-03-29,203.000000,210.000000,203.000000,206.300003,204.592590,94684
2010-03-30,205.100006,209.000000,200.300003,201.500000,199.832306,23300
2010-03-31,203.750000,219.000000,203.500000,210.800003,209.055328,402332
2010-04-01,215.000000,226.000000,213.000000,221.649994,219.815521,589209
2010-04-05,221.949997,231.000000,219.000000,223.449997,221.600616,290535
2010-04-06,224.000000,232.449997,222.199997,225.649994,223.782410,160459
2010-04-07,226.000000,231.500000,219.000000,219.800003,217.980835,136090
2010-04-08,221.000000,235.000000,220.149994,225.449997,223.584076,778185
2010-04-09,228.899994,234.899994,226.000000,227.350006,225.468353,130404
2010-04-12,229.850006,229.899994,221.500000,223.850006,221.997330,247064
2010-04-13,225.899994,226.000000,219.149994,221.750000,219.914703,138399
2010-04-15,222.500000,226.500000,220.500000,222.149994,220.311386,314946
2010-04-16,224.850006,227.000000,219.000000,223.399994,221.551056,84278
2010-04-19,215.550003,225.899994,215.550003,222.500000,220.658493,42107
2010-04-20,225.000000,233.100006,223.000000,230.500000,228.592285,236445
2010-04-21,238.000000,240.000000,231.500000,236.000000,234.046768,159261
2010-04-22,236.000000,240.000000,233.899994,235.949997,233.997177,127169
2010-04-23,236.750000,244.500000,233.899994,238.600006,236.625244,263000
2010-04-26,238.600006,246.000000,238.000000,240.750000,238.757446,63918
2010-04-27,240.000000,242.000000,229.000000,230.399994,228.493103,147110
2010-04-28,238.000000,238.000000,226.550003,231.850006,229.931122,139373
2010-04-29,232.000000,241.000000,229.000000,230.550003,228.641861,100104
2010-04-30,232.000000,235.949997,229.100006,230.350006,228.443542,33890
2010-05-03,231.000000,233.850006,223.250000,231.899994,229.980698,24344
2010-05-04,232.100006,234.949997,227.000000,228.550003,226.658432,59035
2010-05-05,227.000000,227.000000,221.000000,225.600006,223.732849,15478
2010-05-06,223.000000,229.449997,222.000000,223.649994,221.798981,187286
2010-05-07,220.100006,230.000000,218.000000,226.550003,224.674988,45263
2010-05-10,230.899994,230.899994,220.500000,221.899994,220.063461,72331
2010-05-11,225.899994,225.899994,221.100006,222.350006,220.509750,14924
2010-05-12,222.000000,224.000000,215.100006,219.000000,217.187469,50304
2010-05-13,223.500000,223.850006,219.000000,221.300003,219.468430,7651
2010-05-14,224.500000,225.949997,214.250000,223.649994,221.798981,74595
2010-05-17,222.000000,227.000000,217.500000,224.600006,222.741119,23855
2010-05-18,224.800003,230.000000,224.800003,227.399994,225.517929,38061
2010-05-19,226.500000,229.500000,218.000000,220.449997,218.625458,64783
2010-05-20,220.000000,223.000000,218.000000,220.000000,218.179199,49009
2010-05-21,205.000000,218.000000,204.699997,215.899994,214.113113,35034
2010-05-24,219.000000,220.000000,198.600006,201.699997,200.030640,34903
2010-05-25,195.149994,207.800003,195.149994,201.350006,199.683548,33531
2010-05-26,202.000000,209.000000,197.000000,199.649994,197.997604,4973
2010-05-27,200.500000,210.000000,195.000000,207.000000,205.286789,79136
2010-05-28,209.500000,217.899994,209.500000,214.100006,212.328033,118171
2010-05-31,217.850006,219.899994,200.199997,206.250000,204.542984,146974
2010-06-01,211.800003,213.000000,201.000000,202.899994,201.220703,23281
2010-06-02,201.000000,208.449997,201.000000,206.350006,204.642166,25127
2010-06-03,210.000000,213.850006,206.000000,206.800003,205.088440,31702
2010-06-04,204.000000,213.800003,192.250000,207.000000,205.286789,145500
2010-06-07,204.000000,209.899994,202.100006,205.899994,204.195862,46598
2010-06-08,195.149994,214.000000,195.149994,204.600006,202.906647,93052
2010-06-09,205.000000,211.500000,203.000000,204.449997,202.757874,57315
2010-06-10,208.250000,208.250000,202.000000,204.350006,202.658722,22298
2010-06-11,205.500000,206.449997,201.600006,202.000000,200.328156,60945
2010-06-14,206.000000,206.000000,199.050003,201.300003,199.633957,14998
2010-06-15,203.000000,203.000000,199.000000,199.800003,198.146378,77164
2010-06-16,200.500000,202.350006,197.100006,197.949997,196.311676,32859
2010-06-17,201.899994,206.000000,199.750000,204.850006,203.154572,104853
2010-06-18,209.800003,214.000000,202.300003,203.000000,201.319885,314116
2010-06-21,208.000000,210.050003,202.600006,203.850006,202.162872,82011
2010-06-22,202.000000,206.600006,202.000000,203.899994,202.212433,27707
2010-06-23,202.000000,205.149994,201.250000,201.750000,200.080231,371681
2010-06-24,203.000000,203.000000,199.500000,199.949997,198.295120,105602
2010-06-25,201.000000,205.000000,198.500000,200.000000,198.344727,178000
2010-06-28,202.500000,210.000000,200.050003,207.500000,205.782654,117461
2010-06-29,206.500000,209.000000,204.000000,205.449997,203.749603,24045
2010-06-30,202.000000,208.850006,201.199997,202.649994,200.972778,35291
2010-07-01,203.500000,210.000000,203.500000,208.899994,207.171051,124206
2010-07-02,209.899994,210.600006,201.000000,203.350006,201.667007,72180
2010-07-05,204.000000,204.949997,202.000000,203.300003,201.617401,6357
2010-07-06,205.000000,219.800003,204.050003,217.699997,215.898224,540826
2010-07-07,218.000000,221.000000,211.199997,215.800003,214.013947,212709
2010-07-08,215.149994,220.000000,206.550003,215.649994,213.865173,223914
2010-07-09,219.350006,220.800003,215.000000,216.649994,214.856903,96947
2010-07-12,218.000000,222.850006,217.100006,219.850006,218.030426,100386
2010-07-13,219.000000,228.149994,217.500000,226.149994,224.278275,191617
2010-07-14,229.000000,239.000000,223.000000,232.449997,230.526138,624967
2010-07-15,232.149994,239.000000,231.500000,236.100006,234.145935,95977
2010-07-16,237.000000,238.800003,230.800003,238.250000,236.278152,64747
2010-07-19,238.000000,242.649994,236.500000,237.899994,235.931030,61374
2010-07-20,239.000000,240.699997,235.050003,237.149994,235.187241,33983
2010-07-21,240.000000,241.000000,227.000000,228.149994,226.261734,37378
2010-07-22,232.000000,233.000000,224.850006,227.000000,225.121262,29384
2010-07-23,230.000000,231.000000,221.100006,229.300003,227.402206,76803
2010-07-26,227.000000,234.649994,226.100006,229.550003,227.650146,41265
2010-07-27,230.850006,234.949997,228.300003,231.149994,229.236908,289298
2010-07-28,230.949997,231.000000,226.100006,227.500000,225.617126,46147
2010-07-29,227.600006,228.949997,221.000000,223.199997,221.352692,279610
2010-07-30,222.699997,227.000000,217.000000,217.899994,216.096558,101471
2010-08-02,220.000000,230.449997,218.000000,224.449997,222.592346,85038
2010-08-03,224.000000,234.500000,223.550003,228.550003,226.658432,162864
2010-08-04,229.949997,230.899994,225.550003,227.449997,225.567520,68115
2010-08-05,226.000000,233.500000,222.500000,222.899994,221.055191,78052
2010-08-06,225.000000,227.000000,218.050003,220.350006,218.526291,24403
2010-08-09,222.000000,223.800003,218.600006,222.300003,220.460144,16892
2010-08-10,223.850006,223.949997,217.100006,218.000000,216.195740,112300
2010-08-11,218.199997,220.699997,216.550003,218.000000,216.195740,88400
2010-08-12,215.300003,225.000000,213.449997,219.949997,218.129593,208318
2010-08-13,220.000000,226.000000,213.250000,215.750000,213.964371,41157
2010-08-16,214.149994,219.899994,212.399994,213.500000,211.732971,14500
2010-08-17,217.850006,217.850006,211.000000,211.800003,210.047058,34211
2010-08-18,212.000000,212.000000,206.149994,208.500000,206.774368,70736
2010-08-19,211.899994,220.000000,210.000000,216.199997,214.410629,90389
2010-08-20,215.000000,219.899994,211.000000,211.550003,209.799118,68438
2010-08-23,213.899994,226.500000,212.250000,220.649994,218.823807,313046
2010-08-24,222.000000,225.000000,212.300003,217.600006,215.799057,77605
2010-08-25,213.250000,217.949997,212.300003,213.050003,211.286713,16788
2010-08-26,211.850006,217.199997,211.000000,214.600006,212.823898,18095
2010-08-27,214.899994,214.899994,208.600006,209.550003,207.815674,28489
2010-08-30,214.899994,214.899994,207.199997,210.500000,208.757813,24545
2010-08-31,210.500000,210.500000,205.000000,207.350006,205.633896,35230
2010-09-01,208.000000,211.949997,207.600006,210.500000,208.757813,52618
2010-09-02,211.500000,222.000000,211.500000,216.100006,214.311478,59278
2010-09-03,215.000000,216.399994,212.500000,213.500000,211.732971,7627
2010-09-06,214.500000,216.699997,212.500000,214.750000,212.972641,65117
2010-09-07,216.000000,216.449997,213.100006,213.800003,212.030518,21338
