Date,open,high,low,close,adj_close,volume
2007-05-11,269.950012,278.799988,258.000000,258.000000,242.406174,4583
2007-05-14,270.000000,271.100006,261.049988,270.950012,254.573456,1276
2007-05-15,271.500000,273.700012,266.500000,270.500000,254.150620,560
2007-05-16,273.700012,284.049988,273.700012,284.049988,266.881653,2003
2007-05-17,298.000000,298.000000,280.500000,281.899994,264.861664,6166
2007-05-18,286.000000,290.000000,278.299988,281.700012,264.673737,3694
2007-05-21,281.000000,288.500000,279.000000,283.450012,266.317902,1378
2007-05-22,278.549988,288.000000,275.000000,278.899994,262.042938,391
2007-05-23,275.000000,285.000000,275.000000,277.149994,260.398712,4470
2007-05-24,276.000000,285.000000,276.000000,283.000000,265.895111,590
2007-05-25,288.000000,291.000000,277.000000,278.000000,261.197327,3282
2007-05-28,290.000000,290.000000,280.299988,283.350006,266.223999,597
2007-05-29,296.000000,297.549988,287.000000,297.549988,279.565704,4119
2007-05-30,300.000000,312.450012,300.000000,312.450012,293.565155,5242
2007-05-31,320.000000,328.100006,315.000000,328.100006,308.269257,6229
2007-06-01,null,null,null,null,null,null
2007-06-04,361.799988,361.799988,361.799988,361.799988,339.932312,165
2007-06-05,343.799988,375.000000,343.799988,365.899994,343.784576,24626
2007-06-06,356.250000,369.850006,347.600006,347.600006,326.590607,1860
2007-06-07,335.049988,348.000000,330.299988,340.000000,319.449982,5389
2007-06-08,340.000000,357.000000,340.000000,357.000000,335.422516,3623
2007-06-11,369.899994,374.850006,360.049988,368.649994,346.368317,11930
2007-06-12,377.000000,377.000000,350.250000,350.250000,329.080414,1971
2007-06-13,333.500000,343.700012,332.799988,335.399994,315.128052,8880
2007-06-14,347.000000,352.200012,347.000000,352.200012,330.912628,899
2007-06-15,null,null,null,null,null,null
2007-06-18,null,null,null,null,null,null
2007-06-19,null,null,null,null,null,null
2007-06-20,null,null,null,null,null,null
2007-06-21,null,null,null,null,null,null
2007-06-22,null,null,null,null,null,null
2007-06-25,null,null,null,null,null,null
2007-06-26,null,null,null,null,null,null
2007-06-27,null,null,null,null,null,null
2007-06-28,null,null,null,null,null,null
2007-06-29,null,null,null,null,null,null
2007-07-02,null,null,null,null,null,null
2007-07-03,null,null,null,null,null,null
2007-07-04,null,null,null,null,null,null
2007-07-05,null,null,null,null,null,null
2007-07-06,null,null,null,null,null,null
2007-07-09,null,null,null,null,null,null
2007-07-10,null,null,null,null,null,null
2007-07-11,null,null,null,null,null,null
2007-07-12,null,null,null,null,null,null
2007-07-13,null,null,null,null,null,null
2007-07-16,null,null,null,null,null,null
2007-07-17,null,null,null,null,null,null
2007-07-18,null,null,null,null,null,null
2007-07-19,null,null,null,null,null,null
2007-07-20,null,null,null,null,null,null
2007-07-23,400.000000,413.000000,389.500000,389.500000,365.958160,2528
2007-07-24,375.200012,394.700012,371.049988,385.049988,361.777130,5751
2007-07-25,394.899994,400.000000,371.049988,390.000000,366.427887,694
2007-07-26,390.500000,396.750000,370.299988,387.549988,364.126038,873
2007-07-27,368.200012,380.000000,368.200012,368.799988,346.509277,2708
2007-07-30,370.000000,387.250000,365.000000,387.250000,363.844147,261
2007-07-31,395.000000,397.299988,387.000000,397.299988,373.286652,230
2007-08-01,380.100006,395.000000,377.450012,377.450012,354.636505,841
2007-08-02,375.000000,384.799988,363.000000,363.000000,341.059814,34
2007-08-03,380.000000,380.000000,361.200012,362.950012,341.012848,686
2007-08-06,356.000000,377.899994,353.049988,371.700012,349.234039,637
2007-08-07,378.000000,385.000000,363.100006,369.600006,347.260895,787
2007-08-08,363.000000,376.000000,362.000000,371.000000,348.576324,667
2007-08-09,388.000000,388.000000,370.000000,370.000000,347.636749,964
2007-08-10,364.000000,388.000000,351.799988,352.500000,331.194489,1552
2007-08-13,370.000000,370.000000,352.000000,369.500000,347.166992,401
