Date,open,high,low,close,adj_close,volume
2006-10-06,82.000000,87.233299,80.666702,87.233299,57.570610,465309
2006-10-09,88.000000,91.266701,80.383301,81.583298,53.841824,329442
2006-10-10,83.000000,89.666702,77.816704,80.516701,53.137920,236871
2006-10-11,82.000000,83.133301,72.466698,73.683296,48.628132,223629
2006-10-12,74.000000,77.933296,71.550003,77.366699,51.059036,523047
2006-10-13,81.616699,85.116699,77.683296,83.199997,54.908794,1149990
2006-10-16,82.666702,83.133301,76.783302,80.849998,53.357887,344766
2006-10-17,82.333298,84.599998,79.366699,82.333298,54.336807,472023
2006-10-18,82.333298,83.199997,80.366699,80.716698,53.269913,86178
2006-10-19,81.116699,82.566704,79.316704,80.050003,52.829914,110364
2006-10-20,81.000000,86.650002,80.933296,84.733299,55.920704,426711
2006-10-23,84.333298,91.000000,82.833298,89.183296,58.857533,675102
2006-10-26,89.333298,98.116699,88.666702,97.666702,64.456261,1625223
2006-10-27,98.000000,102.550003,98.000000,100.432999,66.281914,1523262
2006-10-30,100.667000,101.167000,95.666702,96.099998,63.422298,631806
2006-10-31,97.666702,98.333298,92.233299,93.800003,61.904377,344637
2006-11-01,95.000000,95.333298,90.666702,91.483299,60.375446,280425
2006-11-02,91.000000,96.066704,91.000000,96.066704,63.400318,663243
2006-11-03,98.000000,99.300003,93.666702,94.483299,62.355339,443457
2006-11-06,94.333298,97.166702,94.033302,94.716698,62.509373,231450
2006-11-07,96.233299,99.000000,94.666702,95.033302,62.718311,383073
2006-11-08,96.666702,99.800003,94.866699,99.800003,65.864166,1268238
2006-11-09,101.967003,104.800003,101.967003,104.800003,69.163963,389955
2006-11-10,110.050003,110.050003,105.333000,110.050003,72.628754,1693248
2006-11-13,113.333000,115.567001,113.333000,115.567001,76.269768,1045821
2006-11-14,121.300003,121.349998,114.667000,121.349998,80.086327,2080527
2006-11-15,125.567001,126.500000,115.282997,116.432999,76.841293,1366746
2006-11-16,117.333000,122.266998,115.000000,117.766998,77.721680,2064897
2006-11-17,118.032997,119.849998,111.883003,113.133003,74.663422,768609
2006-11-20,111.667000,116.333000,107.483002,114.500000,75.565582,502722
2006-11-21,115.667000,118.967003,112.167000,113.750000,75.070618,830220
2006-11-22,118.333000,119.449997,110.699997,113.016998,74.586868,1088835
2006-11-23,115.000000,117.000000,111.650002,112.250000,74.080681,626586
2006-11-24,112.000000,113.167000,106.650002,109.750000,72.430771,83040
2006-11-27,111.932999,115.233002,104.333000,106.317001,70.165115,288882
2006-11-28,103.432999,107.300003,101.000000,103.417000,68.251236,394713
2006-11-29,107.300003,108.333000,103.667000,105.983002,69.944695,104616
2006-11-30,109.633003,109.633003,101.667000,102.483002,67.634827,128187
2006-12-01,105.333000,107.616997,102.000000,106.849998,70.516884,97386
2006-12-04,109.917000,112.199997,106.333000,111.766998,73.761909,145449
2006-12-05,114.317001,117.366997,112.333000,117.366997,77.457687,186513
2006-12-06,121.667000,123.000000,115.000000,119.000000,78.535416,246195
2006-12-07,115.000000,118.167000,114.333000,115.349998,76.126549,87450
2006-12-08,116.667000,116.667000,111.333000,112.983002,74.564423,58446
2006-12-11,110.000000,115.833000,107.333000,110.599998,72.991730,327075
2006-12-12,105.750000,111.667000,105.083000,105.333000,69.515724,99249
2006-12-13,109.000000,109.000000,100.333000,105.917000,69.901131,112482
2006-12-14,106.833000,111.217003,106.833000,111.217003,73.398941,36600
