Date,open,high,low,close,adj_close,volume
2010-10-14,76.000000,80.599998,68.466698,73.500000,62.759048,65641365
2010-10-15,72.222198,73.433296,67.811096,70.122200,59.874866,8040321
2010-10-18,69.922203,71.422203,67.388901,68.111099,58.157658,1101564
2010-10-19,68.355598,78.022202,68.111099,70.655602,60.330322,8407440
2010-10-20,70.655602,74.222198,69.133301,70.677803,60.349270,2713077
2010-10-21,80.666702,80.666702,70.444397,70.844398,60.491520,822632
2010-10-22,68.888901,72.177803,68.888901,70.166702,59.912868,529258
2010-10-25,70.222198,71.488899,68.900002,69.300003,59.172821,414292
2010-10-26,69.388901,70.388901,67.422203,68.044403,58.100700,240098
2010-10-27,67.111099,70.222198,66.888901,68.988899,58.907181,283617
2010-10-28,68.233299,69.277802,67.555603,68.166702,58.205124,214641
2010-10-29,67.577797,70.333298,67.577797,69.355598,59.220287,393790
2010-11-01,70.055603,70.666702,68.688904,69.266701,59.144382,136498
2010-11-02,68.888901,69.444397,67.333298,68.666702,58.632061,137048
2010-11-03,69.111099,69.355598,67.822197,68.155602,58.195652,54558
2010-11-04,67.133301,69.388901,67.011101,68.933296,58.859699,97168
2010-11-08,68.888901,69.777802,67.011101,68.766701,58.717453,77913
2010-11-09,68.066704,69.688904,68.055603,69.355598,59.220287,161226
2010-11-10,68.222198,69.933296,68.111099,69.444397,59.296112,64917
2010-11-11,68.922203,69.733299,68.699997,69.411102,59.267689,61200
2010-11-12,68.888901,72.888901,68.888901,71.133301,60.738209,303836
2010-11-15,71.122200,71.577797,67.555603,68.033302,58.091225,72252
2010-11-16,68.377800,69.333298,68.022202,68.311096,58.328430,568152
2010-11-18,68.222198,69.166702,67.922203,68.577797,58.556149,406004
2010-11-19,68.055603,68.888901,67.622200,68.233299,58.262005,36274
2010-11-22,67.833298,68.788902,67.777802,68.466698,58.461288,31478
2010-11-23,67.800003,68.444397,67.777802,68.088898,58.138699,131198
2010-11-24,67.811096,68.222198,66.888901,67.711098,57.816113,278302
2010-11-25,67.000000,67.555603,63.344398,67.122200,57.313267,86368
2010-11-26,65.555603,67.111099,65.555603,65.599998,56.013512,52250
2010-11-29,65.800003,67.111099,65.133301,65.655602,56.060997,36482
2010-11-30,64.677803,66.155602,64.466698,65.144402,55.624496,15516
2010-12-01,66.611099,66.622200,64.888901,65.066704,55.558155,33444
2010-12-02,64.911102,68.222198,64.911102,67.566704,57.692818,15548
2010-12-03,66.011101,66.422203,64.922203,65.255600,55.719440,14958
2010-12-06,65.555603,66.222198,64.944397,65.555603,55.975613,12856
2010-12-07,65.333298,66.000000,64.222198,64.944397,55.453720,190372
2010-12-08,65.444397,65.777802,63.911098,64.711098,55.254517,203562
2010-12-09,65.777802,66.000000,64.666702,64.677803,55.226086,16497
2010-12-10,64.777802,65.311096,64.500000,64.699997,55.245033,10386
2010-12-13,65.555603,66.444397,64.244400,64.366699,54.960449,58356
2010-12-14,65.333298,65.333298,64.244400,64.444397,55.026791,15934
2010-12-15,64.444397,65.722198,63.799999,63.900002,54.561954,10606
2010-12-16,64.433296,65.088898,64.000000,64.022202,54.666294,4338
2010-12-20,64.666702,64.666702,63.777802,63.888901,54.552471,17294
2010-12-21,64.666702,64.666702,63.799999,64.122200,54.751678,14684
2010-12-22,64.444397,64.444397,63.955601,64.011101,54.656811,9328
2010-12-23,64.333298,64.666702,63.777802,63.777802,54.457611,32458
2010-12-24,64.177803,64.400002,63.777802,63.922199,54.580902,6268
2010-12-27,64.222198,65.111099,64.000000,64.511101,55.083744,13671
2010-12-28,64.444397,66.022202,64.444397,65.233299,55.700405,10161
2010-12-29,66.222198,69.555603,66.222198,67.711098,57.816113,92142
2010-12-30,67.122200,68.000000,66.466698,67.711098,57.816113,71554
2010-12-31,67.111099,68.888901,66.666702,68.311096,58.328430,233554
2011-01-03,66.522202,68.000000,65.122200,67.555603,57.683342,33844
2011-01-04,68.444397,68.444397,66.466698,66.655602,56.914852,17770
2011-01-05,66.677803,67.555603,66.611099,66.977798,57.189968,10242
2011-01-06,66.688904,67.777802,66.688904,66.766701,57.009720,3604
2011-01-07,66.766701,67.733299,66.466698,66.577797,56.848427,85878
2011-01-10,66.466698,66.644402,65.344398,65.433296,55.871178,7052
2011-01-11,66.666702,67.777802,63.666698,63.766701,54.448124,20115
2011-01-12,63.777802,65.544403,63.777802,64.588898,55.150173,4378
2011-01-13,64.111099,64.444397,63.666698,63.833302,54.505001,3038
2011-01-14,63.111099,64.122200,63.111099,63.811100,54.486042,8510
2011-01-17,64.055603,64.222198,63.033298,63.366699,54.106579,3420
2011-01-18,62.911098,64.666702,60.222198,63.555599,54.267879,16443
2011-01-19,62.888901,63.666698,61.777802,62.533298,53.394974,397881
2011-01-20,62.244400,62.244400,60.466702,61.655602,52.645538,1292
2011-01-21,61.111099,61.966702,60.888901,61.033298,52.114166,2439
2011-01-24,60.033298,63.322201,59.333302,60.777802,51.896019,2930
2011-01-25,62.433300,62.433300,60.333302,60.988899,52.076267,1526
2011-01-27,60.888901,60.911098,58.911098,59.722198,50.994675,2102
2011-01-28,58.922199,62.444401,58.888901,60.111099,51.326744,7898
2011-01-31,60.022202,60.022202,56.977798,59.200001,50.548786,10796
2011-02-01,58.033298,58.311100,56.288898,56.711102,48.423603,26554
2011-02-02,57.777802,57.777802,56.688900,56.844398,48.537426,3254
2011-02-03,57.555599,65.555603,56.666698,56.788898,48.490028,25506
2011-02-04,58.000000,58.433300,56.688900,56.700001,48.414127,3856
2011-02-07,57.788898,58.000000,57.133301,57.500000,49.097218,3974
2011-02-08,56.900002,57.444401,56.688900,56.700001,48.414127,4527
2011-02-09,56.688900,58.433300,56.688900,56.700001,48.414127,7852
2011-02-10,56.688900,57.777802,56.666698,56.755600,48.461597,24399
2011-02-11,57.466702,62.200001,56.688900,56.900002,48.584896,12668
2011-02-14,57.188900,64.444397,57.177799,61.833302,52.797264,10845
2011-02-15,65.322197,65.322197,59.111099,60.688900,51.820107,4032
2011-02-16,58.911098,60.644402,58.911098,59.055599,50.425488,3708
2011-02-17,59.977798,60.877800,58.888901,59.277802,50.615219,3753
2011-02-18,58.888901,59.733299,58.555599,58.577801,50.017517,1562
2011-02-21,58.900002,63.099998,58.900002,60.822201,51.933918,66128
2011-02-22,60.777802,64.000000,59.111099,61.988899,52.930126,20470
2011-02-23,63.766701,63.766701,58.222198,61.177799,52.237556,17343
2011-02-24,62.000000,62.166698,58.444401,58.888901,50.283150,3258
2011-02-25,58.022202,61.111099,51.333302,56.788898,48.490028,46665
2011-02-28,57.777802,57.777802,54.511101,54.766701,46.763351,36212
2011-03-01,55.333302,57.111099,53.344398,55.555599,47.436962,55377
2011-03-03,56.655602,56.655602,54.033298,54.933300,46.905602,3636
2011-03-04,52.466702,54.888901,52.466702,54.433300,46.478676,7128
2011-03-07,53.333302,56.000000,51.588902,55.666698,47.531822,9153
2011-03-08,53.555599,58.777802,53.333302,56.822201,48.518463,14144
2011-03-09,56.222198,60.000000,54.444401,58.811100,50.216717,38403
2011-03-10,56.700001,59.711102,55.555599,57.777802,49.334423,16538
2011-03-11,56.655602,59.333302,56.444401,59.111099,50.472874,7178
2011-03-14,56.444401,62.211102,55.822201,60.788898,51.905491,15039
2011-03-15,58.911098,61.111099,58.022202,60.044399,51.269791,12622
2011-03-16,60.000000,60.666698,58.944401,60.222198,51.421608,13442
2011-03-17,60.444401,62.099998,60.444401,61.311100,52.351379,9986
2011-03-18,62.666698,63.111099,61.111099,61.555599,52.560146,10026
2011-03-21,59.122200,63.111099,59.122200,62.111099,53.034470,2430
2011-03-22,62.277802,63.333302,61.111099,63.033298,53.821903,27432
2011-03-23,62.722198,64.888901,62.000000,63.744400,54.429089,25834
2011-03-24,62.222198,66.000000,62.222198,65.577797,55.994556,127822
2011-03-25,65.544403,68.000000,63.900002,67.366699,57.522045,469629
2011-03-28,66.666702,68.222198,64.488899,67.922203,57.996365,173840
2011-03-29,66.888901,67.511101,64.466698,65.699997,56.098900,23242
2011-03-30,64.566704,67.066704,64.566704,66.666702,56.924339,27508
2011-03-31,64.900002,67.644402,64.888901,67.077797,57.275360,1429996
2011-04-01,67.111099,67.222198,64.477798,65.466698,55.899693,2434
2011-04-04,66.222198,66.222198,64.666702,64.788902,55.320950,2727
2011-04-05,64.466698,66.666702,64.444397,66.544403,56.819904,6898
2011-04-06,67.333298,67.333298,65.644402,66.699997,56.952770,2889
2011-04-07,67.088898,67.777802,65.055603,67.733299,57.835068,45580
2011-04-08,66.666702,67.777802,66.444397,67.533302,57.664299,55836
2011-04-11,66.888901,67.555603,63.666698,64.877800,55.396858,15926
2011-04-13,66.633301,66.666702,62.222198,63.388901,54.125534,7065
2011-04-15,63.555599,64.333298,58.888901,60.099998,51.317261,18148
2011-04-18,62.200001,62.200001,57.344398,58.877800,50.273670,12915
2011-04-19,58.000000,59.422199,55.977798,56.911098,48.594372,47984
2011-04-20,55.777802,59.944401,55.777802,58.677799,50.102890,14850
2011-04-21,57.755600,59.666698,56.711102,57.422199,49.030788,5368
2011-04-25,58.444401,58.888901,57.344398,57.844398,49.391281,1305
2011-04-26,57.777802,57.844398,56.666698,57.711102,49.277466,2610
2011-04-27,58.055599,58.055599,56.933300,57.099998,48.755665,4792
2011-04-28,57.955601,57.977798,57.333302,57.577801,49.163643,4694
2011-04-29,57.777802,57.977798,56.888901,57.777802,49.334423,9976
2011-05-02,58.000000,58.844398,57.377800,57.833302,49.381813,4482
2011-05-03,57.111099,58.211102,57.111099,57.711102,49.277466,3870
2011-05-04,57.111099,59.644402,56.900002,57.711102,49.277466,46552
2011-05-05,58.333302,58.844398,58.000000,58.000000,49.524147,7232
2011-05-06,57.911098,58.866699,57.888901,58.011101,49.533627,2853
2011-05-09,57.777802,58.666698,57.777802,58.066700,49.581097,1012
2011-05-10,59.333302,61.111099,58.066700,61.088902,52.161652,42678
2011-05-11,59.577801,61.777802,59.577801,60.666698,51.801147,3604
2011-05-12,60.077801,60.666698,60.000000,60.444401,51.611332,4226
2011-05-13,60.711102,60.833302,60.011101,60.055599,51.279346,13338
2011-05-16,60.022202,60.055599,59.777802,60.000000,51.231873,12550
2011-05-17,59.555599,60.000000,58.333302,59.977798,51.212921,47601
2011-05-18,59.988899,60.000000,58.444401,58.633301,50.064907,12910
2011-05-19,58.333302,60.222198,56.677799,58.411098,49.875175,5301
2011-05-20,57.799999,58.644402,57.333302,57.722198,49.286945,585
2011-05-23,56.677799,57.333302,54.900002,56.311100,48.082058,4486
2011-05-24,57.322201,57.333302,55.388901,55.577801,47.455925,8055
2011-05-25,55.111099,57.111099,55.111099,55.599998,47.474873,675
2011-05-26,55.799999,56.666698,55.122200,55.155602,47.095413,1076
2011-05-27,55.555599,56.655602,55.111099,55.666698,47.531822,1485
2011-05-30,55.477798,57.111099,55.111099,55.911098,47.740505,1737
2011-05-31,55.777802,62.522202,55.355598,60.911098,52.009834,21200
2011-06-01,60.055599,60.244400,58.222198,59.533298,50.833370,2034
2011-06-02,58.000000,59.555599,57.799999,58.344398,49.818214,2160
2011-06-03,57.788898,59.322201,57.355598,57.477798,49.078259,3258
2011-06-06,56.944401,58.222198,56.944401,57.777802,49.334423,684
2011-06-07,58.877800,58.877800,56.888901,58.222198,49.713875,2084
2011-06-08,56.911098,59.233299,56.911098,59.222198,50.567738,2758
2011-06-09,58.888901,59.555599,58.666698,59.000000,50.378010,10220
2011-06-10,57.133301,57.777802,56.688900,57.755600,49.315468,8928
2011-06-13,58.666698,58.666698,55.811100,56.733299,48.442558,8384
2011-06-14,58.666698,58.666698,55.922199,56.111099,47.911282,16254
2011-06-15,56.444401,56.888901,55.777802,56.655602,48.376217,459
2011-06-16,56.444401,57.277802,56.444401,56.755600,48.461597,3478
2011-06-17,55.566700,57.111099,55.566700,56.311100,48.082058,2254
2011-06-20,55.577801,56.000000,53.333302,54.977798,46.943592,6318
2011-06-21,54.466702,56.222198,52.888901,55.466702,47.361057,6534
2011-06-22,55.777802,56.222198,54.444401,55.444401,47.342010,3024
2011-06-23,54.566700,55.555599,54.444401,54.844398,46.829693,3798
