Date,open,high,low,close,adj_close,volume
2002-07-01,62.349998,62.799999,59.049999,61.500000,58.654732,8154
2002-07-02,61.000000,62.500000,61.000000,61.500000,58.654732,5718
2002-07-03,63.000000,63.500000,60.599998,60.950001,58.130180,6038
2002-07-04,60.150002,61.299999,60.000000,60.200001,57.414875,7780
2002-07-05,61.700001,62.000000,60.299999,61.549999,58.702415,11029
2002-07-08,62.000000,68.500000,61.049999,67.949997,64.806313,90656
2002-07-09,70.000000,73.500000,68.250000,69.000000,65.807739,95855
2002-07-10,67.050003,69.650002,65.000000,65.599998,62.565044,21832
2002-07-11,65.150002,67.000000,62.000000,62.500000,59.608467,23516
2002-07-12,63.750000,64.000000,61.099998,61.799999,58.940853,11471
2002-07-15,62.500000,62.950001,60.500000,61.650002,58.797787,9411
2002-07-16,60.000000,62.750000,59.599998,59.849998,57.081066,7907
2002-07-17,60.750000,61.000000,58.000000,58.500000,55.793530,9101
2002-07-18,60.000000,60.700001,59.500000,60.200001,57.414875,6702
2002-07-19,59.950001,60.250000,58.200001,59.000000,56.270390,1342
2002-07-22,59.950001,59.950001,56.250000,57.000000,54.362919,4090
2002-07-23,54.700001,57.700001,54.700001,57.599998,54.935162,1136
2002-07-24,59.250000,59.250000,55.000000,55.650002,53.075378,8167
2002-07-25,56.000000,56.000000,53.849998,54.200001,51.692467,3995
2002-07-26,54.000000,54.000000,52.000000,52.650002,50.214172,5878
2002-07-29,52.900002,52.900002,50.000000,50.750000,48.402081,7665
2002-07-30,51.150002,52.000000,45.000000,47.900002,45.683933,7531
2002-07-31,46.000000,48.349998,41.099998,48.000000,45.779305,5201
2002-08-01,47.099998,48.799999,44.750000,46.700001,44.539452,6742
2002-08-02,46.000000,47.500000,46.000000,47.150002,44.968628,7125
2002-08-05,46.950001,47.000000,45.599998,45.700001,43.585712,8392
2002-08-06,47.400002,47.650002,45.950001,46.849998,44.682503,3601
2002-08-07,47.849998,48.000000,47.000000,47.599998,45.397804,1420
2002-08-08,49.299999,49.299999,46.750000,46.849998,44.682503,2285
2002-08-09,46.950001,47.700001,46.200001,47.700001,45.493179,8675
2002-08-12,48.500000,48.500000,45.799999,46.750000,44.587128,12388
2002-08-13,50.000000,55.000000,46.299999,47.000000,44.825562,3836
2002-08-14,47.000000,47.450001,46.650002,46.650002,44.491756,1350
2002-08-15,null,null,null,null,null,null
2002-08-16,46.000000,50.000000,46.000000,47.000000,44.825562,3808
2002-08-19,47.000000,47.000000,46.200001,46.950001,44.777878,2020
2002-08-20,46.099998,47.250000,46.099998,47.000000,44.825562,4820
2002-08-21,47.000000,47.400002,46.650002,46.950001,44.777878,885
2002-08-22,46.000000,47.450001,46.000000,46.000000,43.871838,400
2002-08-23,46.000000,47.450001,45.000000,47.150002,44.968628,2350
2002-08-26,47.500000,47.500000,46.200001,46.900002,44.730202,2134
2002-08-27,46.549999,46.750000,46.049999,46.650002,44.491756,1446
2002-08-28,46.549999,48.650002,46.200001,47.900002,45.683933,23036
2002-08-29,47.000000,47.250000,46.000000,46.200001,44.062584,2100
2002-08-30,46.950001,46.950001,46.000000,46.700001,44.539452,3252
2002-09-02,46.049999,48.299999,46.049999,46.900002,44.730202,9525
2002-09-03,46.650002,47.700001,46.599998,47.000000,44.825562,766
2002-09-04,46.599998,47.299999,46.500000,47.000000,44.825562,2102
2002-09-05,46.599998,46.599998,46.250000,46.250000,44.110264,1000
2002-09-06,47.000000,47.250000,46.700001,46.750000,44.587128,7494
2002-09-09,46.000000,46.450001,46.000000,46.000000,43.871838,718
2002-09-10,null,null,null,null,null,null
2002-09-11,46.500000,46.500000,45.599998,45.650002,43.538025,2373
2002-09-12,46.400002,46.400002,45.000000,45.500000,43.394962,2921
2002-09-13,45.900002,46.000000,45.500000,45.650002,43.538025,1063
2002-09-16,46.500000,46.500000,45.500000,45.500000,43.394962,114
2002-09-17,46.000000,46.000000,45.000000,45.049999,42.965786,4513
2002-09-18,45.000000,45.000000,44.349998,44.349998,42.298172,300
2002-09-19,44.200001,44.849998,44.200001,44.849998,42.775036,1105
2002-09-20,44.000000,44.849998,43.000000,44.200001,42.155109,2066
2002-09-23,43.549999,43.599998,43.349998,43.450001,41.439808,280
2002-09-24,43.299999,43.299999,43.000000,43.049999,41.058308,1120
2002-09-25,null,null,null,null,null,null
2002-09-26,42.900002,42.900002,42.900002,42.900002,40.915257,100
2002-09-27,43.200001,44.200001,43.049999,44.200001,42.155109,225
2002-09-30,43.200001,44.200001,43.200001,43.950001,41.916679,650
2002-10-01,43.000000,43.049999,42.099998,42.799999,40.819885,1200
2002-10-02,null,null,null,null,null,null
2002-10-03,42.250000,42.500000,41.000000,41.700001,39.770771,3107
2002-10-04,42.900002,43.000000,41.500000,42.000000,40.056885,950
2002-10-07,42.000000,42.250000,41.950001,42.000000,40.056885,10200
2002-10-08,42.299999,42.950001,42.150002,42.950001,40.962936,1283
2002-10-09,42.250000,43.700001,42.250000,43.400002,41.392124,771
2002-10-10,43.450001,43.450001,42.250000,43.150002,41.153687,650
2002-10-11,43.099998,43.099998,42.700001,42.799999,40.819885,750
2002-10-14,42.500000,42.599998,35.950001,42.150002,40.199951,1207
2002-10-15,null,null,null,null,null,null
2002-10-16,41.250000,42.400002,39.150002,40.450001,38.578598,3245
2002-10-17,40.000000,41.500000,40.000000,41.500000,39.580021,395
2002-10-18,42.099998,42.099998,41.799999,41.799999,39.866138,250
2002-10-21,40.750000,42.000000,40.250000,40.450001,38.578598,1525
2002-10-22,41.500000,41.500000,39.700001,40.049999,38.197109,2500
2002-10-23,39.400002,39.950001,39.000000,39.950001,38.101738,650
2002-10-24,40.950001,40.950001,39.750000,40.650002,38.769348,1332
2002-10-25,39.000000,40.400002,39.000000,40.000000,38.149410,635
2002-10-28,40.000000,40.000000,39.250000,39.400002,37.577179,780
2002-10-29,39.500000,39.500000,38.349998,38.400002,36.623447,1797
2002-10-30,38.349998,39.950001,38.349998,38.500000,36.718819,1319
2002-10-31,38.950001,39.000000,38.500000,38.700001,36.909557,1150
2002-11-01,38.049999,38.049999,37.750000,37.750000,36.003513,1200
2002-11-04,37.750000,41.500000,37.049999,40.849998,38.960094,1163
2002-11-05,41.250000,44.500000,41.250000,43.549999,41.535175,2615
2002-11-06,null,null,null,null,null,null
2002-11-07,41.250000,43.799999,41.250000,43.099998,41.105991,1799
2002-11-08,43.650002,44.000000,42.049999,43.200001,41.201370,1425
2002-11-11,43.000000,43.000000,41.750000,41.750000,39.818459,1765
2002-11-12,41.500000,41.599998,41.000000,41.049999,39.150841,794
2002-11-13,39.700001,41.950001,39.700001,40.750000,38.864723,1552
2002-11-14,39.099998,41.000000,39.000000,39.500000,37.672554,2765
2002-11-15,41.000000,41.000000,39.200001,39.599998,37.767921,2366
2002-11-18,40.099998,40.150002,39.400002,39.650002,37.815609,1333
2002-11-19,null,null,null,null,null,null
2002-11-20,41.900002,41.900002,40.000000,41.500000,39.580021,976
2002-11-21,39.150002,41.700001,39.150002,41.200001,39.293896,733
2002-11-22,39.400002,41.900002,39.400002,40.450001,38.578598,439
2002-11-25,40.900002,41.000000,40.000000,40.549999,38.673969,1510
2002-11-26,41.900002,43.000000,41.900002,42.750000,40.772186,3692
2002-11-27,42.500000,42.500000,40.299999,40.400002,38.530918,2757
2002-11-28,41.049999,41.500000,40.549999,40.799999,38.912407,1274
2002-11-29,41.099998,42.000000,40.349998,40.799999,38.912407,2288
2002-12-02,41.500000,43.549999,41.150002,41.900002,39.961517,3797
