Date,open,high,low,close,adj_close,volume
2002-07-01,102.000000,110.000000,89.000000,99.699997,72.572563,18759
2002-07-02,102.000000,103.000000,95.250000,99.699997,72.572563,4625
2002-07-03,93.000000,100.949997,93.000000,98.000000,71.335106,4139
2002-07-04,99.900002,101.000000,98.000000,98.050003,71.371498,2517
2002-07-05,95.000000,96.000000,95.000000,95.199997,69.296959,475
2002-07-08,107.699997,107.699997,96.000000,103.000000,74.974648,613
2002-07-09,101.000000,101.500000,99.949997,100.199997,72.936501,5676
2002-07-10,101.000000,103.000000,94.050003,100.000000,72.790924,2070
2002-07-11,99.900002,100.000000,99.900002,100.000000,72.790924,2000
2002-07-12,100.000000,101.000000,100.000000,100.500000,73.154877,2200
2002-07-15,100.000000,101.000000,100.000000,100.000000,72.790924,10176
2002-07-16,100.000000,100.099998,100.000000,100.000000,72.790924,4745
2002-07-17,96.800003,102.000000,96.800003,98.199997,71.480675,1107
2002-07-18,94.550003,102.000000,94.550003,100.000000,72.790924,7152
2002-07-19,100.000000,101.000000,100.000000,100.000000,72.790924,8885
2002-07-22,95.000000,99.000000,95.000000,95.599998,69.588097,625
2002-07-23,98.000000,100.000000,97.000000,100.000000,72.790924,6263
2002-07-24,99.949997,100.000000,97.000000,99.550003,72.463356,4300
2002-07-25,100.000000,100.000000,100.000000,100.000000,72.790924,663
2002-07-26,98.000000,98.000000,91.500000,91.800003,66.822060,5050
2002-07-29,91.900002,94.500000,86.500000,91.500000,66.603706,455
2002-07-30,95.000000,97.000000,88.000000,88.000000,64.056000,300
2002-07-31,83.500000,95.000000,82.000000,88.449997,64.383575,766
2002-08-01,null,null,null,null,null,null
2002-08-02,81.050003,81.050003,81.050003,81.050003,58.997040,31
2002-08-05,89.000000,89.000000,89.000000,89.000000,64.783928,30
2002-08-06,83.050003,89.900002,83.050003,88.250000,64.238007,149
2002-08-07,83.550003,90.000000,83.550003,90.000000,65.511810,50
2002-08-08,83.500000,89.500000,83.500000,89.500000,65.147873,3
2002-08-09,84.250000,89.500000,84.250000,89.500000,65.147873,1600
2002-08-12,88.000000,88.000000,88.000000,88.000000,64.056000,10
2002-08-13,83.000000,83.000000,83.000000,83.000000,60.416473,63
2002-08-14,null,null,null,null,null,null
2002-08-15,null,null,null,null,null,null
2002-08-16,null,null,null,null,null,null
2002-08-19,null,null,null,null,null,null
2002-08-20,83.000000,83.000000,83.000000,83.000000,60.416473,77
2002-08-21,null,null,null,null,null,null
2002-08-22,89.500000,89.500000,88.949997,88.949997,64.747528,2
2002-08-23,82.699997,82.699997,82.699997,82.699997,60.198097,1
2002-08-26,84.000000,89.000000,84.000000,84.099998,61.217175,84
2002-08-27,82.550003,84.000000,82.500000,82.500000,60.052509,450
2002-08-28,82.500000,84.750000,82.500000,84.550003,61.544743,473
2002-08-29,84.500000,84.550003,84.500000,84.550003,61.544743,13
2002-08-30,84.000000,84.000000,80.099998,82.750000,60.234489,213
2002-09-02,null,null,null,null,null,null
2002-09-03,84.000000,88.000000,83.500000,83.500000,60.780434,682
2002-09-04,76.000000,86.699997,76.000000,80.800003,58.815063,464
2002-09-05,79.000000,84.949997,79.000000,84.949997,61.835876,192
2002-09-06,null,null,null,null,null,null
2002-09-09,81.000000,81.000000,80.250000,80.250000,58.414715,63
2002-09-10,null,null,null,null,null,null
2002-09-11,78.500000,78.500000,78.500000,78.500000,57.140884,31
2002-09-12,85.000000,85.000000,75.099998,75.099998,54.665977,32
2002-09-13,67.599998,75.099998,67.599998,73.000000,53.137367,61
2002-09-16,80.000000,80.000000,80.000000,80.000000,58.232735,13
2002-09-17,80.300003,83.000000,74.250000,81.050003,58.997040,107
