Date,open,high,low,close,adj_close,volume
2007-04-11,70.000000,77.949997,69.050003,70.800003,50.315201,50504
2007-04-12,70.800003,70.800003,65.300003,67.050003,47.650211,6384
2007-04-13,69.050003,73.000000,67.150002,68.150002,48.431938,5757
2007-04-16,68.000000,68.800003,66.050003,66.500000,47.259346,6366
2007-04-17,68.449997,68.849998,66.300003,67.000000,47.614674,3108
2007-04-18,66.050003,70.500000,66.050003,69.349998,49.284737,5466
2007-04-19,61.299999,70.099998,61.299999,69.150002,49.142605,5434
2007-04-20,67.250000,68.000000,62.299999,66.599998,47.330418,4676
2007-04-23,66.300003,68.050003,65.199997,65.400002,46.477608,3976
2007-04-24,65.550003,66.849998,65.099998,65.250000,46.371010,961
2007-04-25,67.250000,67.449997,62.500000,63.299999,44.985210,6429
2007-04-26,64.000000,66.400002,64.000000,64.550003,45.873547,2883
2007-04-27,63.049999,65.800003,63.000000,63.750000,45.305004,2678
2007-04-30,63.000000,64.449997,63.000000,64.199997,45.624809,1958
2007-05-03,65.000000,66.300003,64.550003,65.099998,46.264404,6081
2007-05-04,65.750000,69.000000,65.750000,66.500000,47.259346,5201
2007-05-07,66.000000,67.000000,63.549999,65.050003,46.228886,4419
2007-05-08,64.699997,64.699997,63.049999,63.150002,44.878616,956
2007-05-09,63.099998,64.000000,62.500000,63.900002,45.411613,1183
2007-05-10,63.000000,63.700001,62.099998,62.150002,44.167938,3110
2007-05-11,62.250000,63.000000,60.049999,62.950001,44.736477,2005
2007-05-14,61.000000,70.000000,60.200001,62.150002,44.167938,7317
2007-05-15,61.950001,63.500000,61.099998,61.900002,43.990276,2046
2007-05-16,63.000000,64.900002,61.750000,62.250000,44.239010,13747
2007-05-17,63.000000,64.650002,62.599998,64.400002,45.766941,3657
2007-05-18,64.250000,64.500000,62.500000,64.000000,45.482677,2599
2007-05-21,66.000000,66.000000,63.450001,64.750000,46.015671,4353
2007-05-22,65.000000,65.000000,63.250000,64.099998,45.553741,2860
2007-05-23,64.500000,64.699997,63.799999,64.449997,45.802471,1920
2007-05-24,65.099998,68.000000,65.000000,66.250000,47.081673,10417
2007-05-25,65.500000,66.000000,64.000000,64.349998,45.731411,2964
2007-05-28,64.099998,65.900002,63.250000,65.500000,46.548679,3732
2007-05-29,68.000000,68.000000,63.250000,64.750000,46.015671,12747
