Date,open,high,low,close,adj_close,volume
2002-07-01,9.740000,9.740000,9.740000,9.740000,5.145157,2625
2002-07-02,9.300000,9.300000,9.300000,9.300000,4.912727,860
2002-07-03,null,null,null,null,null,null
2002-07-04,null,null,null,null,null,null
2002-07-05,null,null,null,null,null,null
2002-07-08,null,null,null,null,null,null
2002-07-09,9.560000,9.560000,8.920000,9.100000,4.807078,3130
2002-07-10,9.200000,9.580000,9.200000,9.200000,4.859902,2775
2002-07-11,8.960000,9.000000,8.800000,8.800000,4.648602,5525
2002-07-12,null,null,null,null,null,null
2002-07-15,8.010000,8.600000,8.010000,8.600000,4.542952,325
2002-07-16,8.800000,9.400000,8.800000,9.310000,4.918011,2635
2002-07-17,null,null,null,null,null,null
2002-07-18,9.000000,9.390000,8.500000,8.500000,4.490126,800
2002-07-19,8.800000,8.800000,8.800000,8.800000,4.648602,8290
2002-07-22,8.730000,8.730000,8.550000,8.550000,4.516540,355
2002-07-23,8.100000,8.100000,8.000000,8.000000,4.226002,700
2002-07-24,8.550000,8.680000,8.200000,8.200000,4.331651,2010
2002-07-25,8.100000,8.440000,8.100000,8.440000,4.458432,370
2002-07-26,8.050000,8.050000,8.000000,8.000000,4.226002,25150
2002-07-29,null,null,null,null,null,null
2002-07-30,7.900000,8.000000,7.800000,7.800000,4.120352,2500
2002-07-31,7.800000,7.800000,7.800000,7.800000,4.120352,500
2002-08-01,8.000000,8.000000,8.000000,8.000000,4.226002,1000
2002-08-02,null,null,null,null,null,null
2002-08-05,7.640000,7.640000,7.640000,7.640000,4.035832,400
2002-08-06,null,null,null,null,null,null
2002-08-07,null,null,null,null,null,null
2002-08-08,null,null,null,null,null,null
2002-08-09,7.750000,7.750000,7.750000,7.750000,4.093939,120
2002-08-12,null,null,null,null,null,null
2002-08-13,7.020000,7.140000,7.000000,7.130000,3.766424,1800
2002-08-14,6.910000,6.910000,6.910000,6.910000,3.650208,500
2002-08-15,null,null,null,null,null,null
2002-08-16,6.800000,6.800000,6.740000,6.740000,3.560407,375
2002-08-19,6.800000,6.800000,6.800000,6.800000,3.592101,750
2002-08-20,6.780000,6.780000,6.780000,6.780000,3.581537,1250
2002-08-21,null,null,null,null,null,null
2002-08-22,null,null,null,null,null,null
2002-08-23,null,null,null,null,null,null
2002-08-26,6.780000,6.780000,6.780000,6.780000,3.581537,250
2002-08-27,6.450000,6.450000,6.130000,6.200000,3.275151,5050
2002-08-28,6.420000,6.420000,6.410000,6.410000,3.386084,500
2002-08-29,6.780000,6.800000,6.120000,6.300000,3.327977,1600
2002-08-30,6.400000,6.900000,6.400000,6.900000,3.644926,3100
2002-09-02,6.880000,6.890000,6.880000,6.890000,3.639644,1000
2002-09-03,7.000000,7.400000,7.000000,7.020000,3.708317,27625
2002-09-04,6.900000,7.200000,6.900000,7.200000,3.803401,20260
2002-09-05,7.780000,7.920000,7.400000,7.910000,4.178459,31265
2002-09-06,7.900000,8.100000,7.900000,8.100000,4.278828,3250
2002-09-09,8.400000,8.450000,8.100000,8.360000,4.416173,58135
2002-09-10,null,null,null,null,null,null
2002-09-11,7.710000,9.100000,7.710000,9.070000,4.791230,30650
2002-09-12,8.400000,9.600000,8.400000,9.190000,4.854620,42285
2002-09-13,8.700000,8.790000,8.370000,8.480000,4.479561,5400
2002-09-16,8.000000,8.000000,8.000000,8.000000,4.226002,50000
2002-09-17,8.000000,8.100000,7.600000,8.010000,4.231285,41150
2002-09-18,8.000000,8.000000,8.000000,8.000000,4.226002,25250
2002-09-19,null,null,null,null,null,null
2002-09-20,8.000000,8.000000,7.400000,7.400000,3.909051,5000
2002-09-23,7.220000,7.990000,7.220000,7.990000,4.220719,1000
2002-09-24,7.250000,7.250000,7.250000,7.250000,3.829815,250
2002-09-25,7.020000,7.980000,7.020000,7.980000,4.215436,5000
2002-09-26,8.000000,8.470000,8.000000,8.430000,4.453149,4010
2002-09-27,7.800000,8.520000,7.800000,8.520000,4.500691,3000
2002-09-30,7.710000,8.670000,7.710000,8.670000,4.579929,750
2002-10-01,7.970000,7.970000,7.970000,7.970000,4.210155,250
2002-10-02,null,null,null,null,null,null
2002-10-03,7.800000,8.180000,7.800000,8.180000,4.321087,650
2002-10-04,null,null,null,null,null,null
2002-10-07,8.020000,8.020000,8.020000,8.020000,4.236567,250000
2002-10-08,7.310000,7.310000,7.310000,7.310000,3.861509,5
2002-10-09,null,null,null,null,null,null
2002-10-10,null,null,null,null,null,null
2002-10-11,7.420000,7.420000,7.420000,7.420000,3.919617,250
2002-10-14,7.900000,7.970000,7.120000,7.410000,3.914334,760
2002-10-15,null,null,null,null,null,null
2002-10-16,null,null,null,null,null,null
2002-10-17,7.780000,7.800000,7.780000,7.800000,4.120352,3005
2002-10-18,null,null,null,null,null,null
2002-10-21,7.810000,8.000000,7.810000,7.950000,4.199589,6430
2002-10-22,8.000000,8.050000,7.820000,8.000000,4.226002,259300
2002-10-23,7.710000,8.120000,7.710000,8.120000,4.289392,250400
2002-10-24,7.610000,7.800000,7.610000,7.800000,4.120352,2000
2002-10-25,null,null,null,null,null,null
2002-10-28,7.450000,7.450000,7.450000,7.450000,3.935464,600
2002-10-29,6.920000,8.100000,6.920000,8.000000,4.226002,3575
2002-10-30,8.080000,8.090000,7.500000,8.000000,4.226002,8450
2002-10-31,7.510000,7.510000,7.510000,7.510000,3.967159,5
2002-11-01,6.870000,7.560000,6.870000,7.050000,3.724164,145
2002-11-04,7.750000,7.760000,7.240000,7.410000,3.914334,1500
2002-11-05,6.890000,8.100000,6.890000,8.060000,4.257697,1645
2002-11-06,null,null,null,null,null,null
2002-11-07,8.100000,8.100000,8.100000,8.100000,4.278828,5650
2002-11-08,7.800000,7.800000,7.800000,7.800000,4.120352,500
2002-11-11,7.840000,8.110000,7.840000,8.110000,4.284109,127500
2002-11-12,7.420000,8.160000,7.420000,8.120000,4.289392,160340
2002-11-13,7.640000,8.140000,7.640000,8.140000,4.299958,750
2002-11-14,8.080000,8.080000,7.560000,7.820000,4.130917,10000
2002-11-15,null,null,null,null,null,null
2002-11-18,null,null,null,null,null,null
2002-11-19,null,null,null,null,null,null
2002-11-20,7.830000,7.970000,7.830000,7.970000,4.210155,380
2002-11-21,7.800000,7.800000,7.750000,7.750000,4.093939,1120
2002-11-22,7.680000,7.830000,7.280000,7.830000,4.136199,5725
2002-11-25,7.620000,7.620000,7.620000,7.620000,4.025267,200
2002-11-26,7.650000,7.710000,7.650000,7.710000,4.072809,270
2002-11-27,null,null,null,null,null,null
2002-11-28,7.200000,7.800000,7.200000,7.800000,4.120352,2350
2002-11-29,7.710000,8.000000,7.700000,8.000000,4.226002,6800
2002-12-02,7.800000,8.450000,7.720000,7.760000,4.099222,9200
2002-12-03,7.550000,7.550000,7.550000,7.550000,3.988289,500
2002-12-04,6.880000,8.490000,6.880000,7.430000,3.924899,1505
2002-12-05,7.510000,8.080000,7.500000,7.550000,3.988289,9035
2002-12-06,null,null,null,null,null,null
2002-12-09,null,null,null,null,null,null
2002-12-10,7.600000,7.970000,7.600000,7.880000,4.162611,175
2002-12-11,7.610000,7.650000,7.610000,7.650000,4.041114,1255
2002-12-12,7.600000,7.600000,7.600000,7.600000,4.014702,500
2002-12-13,7.610000,7.610000,7.610000,7.610000,4.019984,250
2002-12-16,null,null,null,null,null,null
2002-12-17,null,null,null,null,null,null
2002-12-18,7.620000,8.120000,7.620000,8.120000,4.289392,7500
2002-12-19,8.120000,8.120000,7.620000,7.990000,4.220719,1010
2002-12-20,null,null,null,null,null,null
2002-12-23,7.980000,8.000000,7.800000,7.800000,4.120352,11100
2002-12-24,null,null,null,null,null,null
2002-12-25,null,null,null,null,null,null
2002-12-26,null,null,null,null,null,null
2002-12-27,null,null,null,null,null,null
2002-12-30,6.830000,7.760000,6.830000,7.430000,3.924899,5500
2002-12-31,null,null,null,null,null,null
2003-01-01,7.600000,7.600000,7.600000,7.600000,4.014702,650
2003-01-02,null,null,null,null,null,null
2003-01-03,null,null,null,null,null,null
2003-01-06,7.600000,7.800000,7.600000,7.800000,4.120352,690
2003-01-07,null,null,null,null,null,null
2003-01-08,null,null,null,null,null,null
2003-01-09,7.800000,7.800000,7.800000,7.800000,4.120352,250
2003-01-10,null,null,null,null,null,null
2003-01-13,null,null,null,null,null,null
2003-01-14,null,null,null,null,null,null
2003-01-15,7.980000,8.840000,7.640000,8.120000,4.289392,273900
2003-01-16,8.120000,8.120000,8.120000,8.120000,4.289392,125500
2003-01-17,7.810000,7.810000,7.800000,7.800000,4.120352,1500
2003-01-20,8.200000,8.200000,8.000000,8.000000,4.226002,50
2003-01-21,8.250000,8.520000,7.560000,8.040000,4.247132,7500
2003-01-22,null,null,null,null,null,null
2003-01-23,7.290000,7.290000,7.290000,7.290000,3.850943,5
2003-01-24,7.600000,8.150000,7.150000,7.150000,3.776989,1250
2003-01-27,7.450000,7.450000,7.450000,7.450000,3.935464,400
2003-01-28,null,null,null,null,null,null
2003-01-29,null,null,null,null,null,null
2003-01-30,8.040000,8.040000,7.440000,7.740000,4.088657,5000
2003-01-31,null,null,null,null,null,null
2003-02-03,7.420000,8.200000,7.420000,8.000000,4.226002,20000
2003-02-04,null,null,null,null,null,null
2003-02-05,null,null,null,null,null,null
2003-02-06,null,null,null,null,null,null
2003-02-07,null,null,null,null,null,null
2003-02-10,null,null,null,null,null,null
2003-02-11,7.990000,8.000000,7.960000,8.000000,4.226002,17165
2003-02-12,null,null,null,null,null,null
2003-02-13,null,null,null,null,null,null
2003-02-14,7.990000,8.900000,7.040000,8.590000,4.537670,55
2003-02-17,null,null,null,null,null,null
2003-02-18,7.120000,7.780000,7.120000,7.700000,4.067526,1400
2003-02-19,7.410000,7.410000,7.410000,7.410000,3.914334,500
2003-02-20,7.230000,7.230000,7.230000,7.230000,3.819249,1500
2003-02-21,null,null,null,null,null,null
