Date,open,high,low,close,adj_close,volume
2010-10-14,113.500000,204.000000,98.000000,179.149994,179.149994,99371320
2010-10-15,189.000000,215.000000,176.250000,215.000000,215.000000,23111337
2010-10-18,222.000000,232.000000,188.500000,212.949997,212.949997,28120352
2010-10-19,220.000000,255.550003,211.000000,255.550003,255.550003,13760508
2010-10-20,258.100006,281.149994,258.100006,278.399994,278.399994,7990806
2010-10-21,282.000000,287.500000,250.600006,250.600006,250.600006,5954898
2010-10-22,240.550003,240.550003,225.550003,225.550003,225.550003,57854
2010-10-25,203.000000,203.000000,203.000000,203.000000,203.000000,64580
2010-10-26,192.850006,192.850006,192.850006,192.850006,192.850006,10198
2010-10-27,183.250000,183.250000,183.250000,183.250000,183.250000,11441
2010-10-28,174.100006,174.100006,174.100006,174.100006,174.100006,3907
2010-10-29,165.399994,182.850006,165.399994,180.100006,180.100006,3090744
2010-11-01,182.399994,188.949997,173.750000,177.399994,177.399994,2636545
2010-11-02,177.699997,180.000000,168.550003,174.949997,174.949997,939443
2010-11-03,173.699997,179.000000,166.199997,166.199997,166.199997,1632489
2010-11-04,157.899994,157.899994,157.899994,157.899994,157.899994,6257
2010-11-08,142.500000,142.500000,142.500000,142.500000,142.500000,2397
2010-11-09,135.399994,135.399994,135.399994,135.399994,135.399994,4750
2010-11-10,128.649994,128.649994,128.649994,128.649994,128.649994,4285
2010-11-11,122.250000,122.250000,122.250000,122.250000,122.250000,9129
2010-11-12,116.150002,116.150002,116.150002,116.150002,116.150002,4886
2010-11-15,110.349998,110.349998,110.349998,110.349998,110.349998,3623
2010-11-16,104.849998,104.849998,104.849998,104.849998,104.849998,47903
2010-11-18,99.650002,99.650002,99.650002,99.650002,99.650002,26912
2010-11-19,94.699997,94.699997,94.699997,94.699997,94.699997,14453
2010-11-22,90.000000,90.000000,90.000000,90.000000,90.000000,13610
2010-11-23,85.500000,94.500000,85.500000,85.500000,85.500000,8320837
2010-11-24,81.250000,81.250000,81.250000,81.250000,81.250000,23488
2010-11-25,77.199997,77.199997,77.199997,77.199997,77.199997,8192
2010-11-26,73.349998,73.349998,73.349998,73.349998,73.349998,3594
2010-11-29,69.699997,69.699997,69.699997,69.699997,69.699997,4854
2010-11-30,66.250000,72.000000,66.250000,70.699997,70.699997,2484252
2010-12-01,71.000000,74.250000,70.500000,74.150002,74.150002,979672
2010-12-02,74.500000,77.849998,72.199997,77.599998,77.599998,1226632
2010-12-03,77.800003,81.250000,74.150002,75.050003,75.050003,848856
2010-12-06,76.000000,77.949997,73.500000,75.000000,75.000000,458750
2010-12-07,73.000000,76.400002,72.550003,74.550003,74.550003,307928
2010-12-08,72.550003,76.900002,72.400002,73.250000,73.250000,199289
2010-12-09,72.400002,75.000000,71.800003,73.050003,73.050003,439379
2010-12-10,73.050003,75.800003,72.050003,75.000000,75.000000,513958
2010-12-13,75.500000,76.800003,74.750000,74.949997,74.949997,239670
2010-12-14,73.400002,78.699997,73.400002,77.349998,77.349998,828691
2010-12-15,76.099998,78.000000,76.000000,77.000000,77.000000,274996
2010-12-16,77.099998,79.500000,75.599998,76.800003,76.800003,241397
