Date,open,high,low,close,adj_close,volume
2002-07-01,7.800000,8.200000,7.600000,8.000000,8.000000,94960
2002-07-02,8.050000,8.250000,7.900000,8.000000,8.000000,82552
2002-07-03,8.500000,8.500000,8.100000,8.300000,8.300000,150439
2002-07-04,8.350000,8.700000,8.350000,8.550000,8.550000,151441
2002-07-05,8.900000,9.250000,8.450000,8.750000,8.750000,361990
2002-07-08,9.800000,9.800000,8.950000,9.400000,9.400000,301218
2002-07-09,9.500000,9.900000,9.100000,9.150000,9.150000,192474
2002-07-10,9.800000,9.800000,8.600000,8.650000,8.650000,78197
2002-07-11,8.700000,8.700000,8.250000,8.300000,8.300000,55951
2002-07-12,10.000000,10.000000,8.200000,8.300000,8.300000,56722
2002-07-15,8.500000,9.000000,8.000000,8.100000,8.100000,72747
2002-07-16,8.050000,8.500000,8.000000,8.100000,8.100000,39290
2002-07-17,8.100000,8.100000,7.650000,7.700000,7.700000,41371
2002-07-18,7.700000,7.950000,7.700000,7.800000,7.800000,27140
2002-07-19,8.700000,8.700000,7.600000,7.750000,7.750000,14752
2002-07-22,7.500000,7.700000,6.950000,7.150000,7.150000,26845
2002-07-23,6.900000,7.050000,6.500000,7.000000,7.000000,28502
2002-07-24,6.900000,7.100000,6.800000,6.850000,6.850000,32274
2002-07-25,7.500000,7.500000,6.800000,6.950000,6.950000,14002
2002-07-26,6.850000,6.850000,6.500000,6.550000,6.550000,23162
2002-07-29,6.600000,6.600000,5.650000,5.900000,5.900000,40040
2002-07-30,6.050000,6.200000,5.750000,5.800000,5.800000,33426
2002-07-31,5.450000,6.100000,5.450000,5.900000,5.900000,36053
2002-08-01,6.000000,6.300000,5.750000,5.950000,5.950000,20491
2002-08-02,5.900000,5.950000,5.800000,5.850000,5.850000,17340
2002-08-05,7.000000,7.000000,5.900000,6.000000,6.000000,11891
2002-08-06,6.100000,6.200000,5.850000,6.100000,6.100000,16568
2002-08-07,6.500000,6.500000,6.100000,6.200000,6.200000,17974
2002-08-08,5.950000,6.050000,5.950000,6.000000,6.000000,14723
2002-08-09,5.750000,6.000000,5.750000,5.850000,5.850000,10938
2002-08-12,5.850000,6.000000,5.850000,5.950000,5.950000,2926
2002-08-13,5.950000,6.000000,5.850000,5.900000,5.900000,7115
2002-08-14,5.900000,6.000000,5.550000,5.600000,5.600000,47661
2002-08-15,null,null,null,null,null,null
2002-08-16,5.700000,5.700000,5.550000,5.650000,5.650000,15572
2002-08-19,5.600000,5.650000,5.400000,5.600000,5.600000,13870
2002-08-20,5.700000,5.700000,5.300000,5.450000,5.450000,8204
2002-08-21,5.450000,5.550000,5.400000,5.550000,5.550000,11550
2002-08-22,5.600000,5.600000,5.400000,5.450000,5.450000,9961
2002-08-23,5.400000,5.400000,5.100000,5.300000,5.300000,11135
2002-08-26,5.350000,5.400000,5.200000,5.300000,5.300000,19895
2002-08-27,5.200000,5.400000,5.150000,5.250000,5.250000,13037
2002-08-28,5.750000,5.750000,5.050000,5.050000,5.050000,15023
2002-08-29,5.100000,5.100000,4.900000,5.000000,5.000000,23175
2002-08-30,5.000000,5.100000,4.950000,5.050000,5.050000,11772
2002-09-02,4.900000,5.200000,4.900000,5.150000,5.150000,9650
2002-09-03,5.000000,5.200000,4.800000,4.850000,4.850000,33113
2002-09-04,4.850000,4.900000,4.800000,4.800000,4.800000,14714
2002-09-05,4.800000,4.850000,4.650000,4.750000,4.750000,13290
2002-09-06,4.750000,4.850000,4.750000,4.750000,4.750000,10840
2002-09-09,4.600000,4.750000,4.450000,4.650000,4.650000,15408
2002-09-10,null,null,null,null,null,null
2002-09-11,4.500000,4.750000,4.500000,4.550000,4.550000,4840
2002-09-12,4.550000,4.650000,4.500000,4.600000,4.600000,11602
2002-09-13,4.800000,4.800000,4.600000,4.700000,4.700000,12782
2002-09-16,4.800000,4.900000,4.750000,4.750000,4.750000,21598
2002-09-17,4.850000,5.000000,4.700000,4.850000,4.850000,14828
2002-09-18,4.650000,4.800000,4.650000,4.700000,4.700000,9641
2002-09-19,4.600000,4.750000,4.550000,4.650000,4.650000,16924
2002-09-20,4.700000,4.700000,4.550000,4.650000,4.650000,19182
2002-09-23,4.600000,4.800000,4.600000,4.650000,4.650000,10523
2002-09-24,4.550000,4.650000,4.500000,4.600000,4.600000,2855
2002-09-25,4.500000,4.700000,4.500000,4.600000,4.600000,6868
2002-09-26,4.600000,4.700000,4.550000,4.700000,4.700000,5551
2002-09-27,4.700000,4.700000,4.550000,4.650000,4.650000,14393
2002-09-30,4.600000,4.700000,4.550000,4.600000,4.600000,9671
2002-10-01,4.550000,4.700000,4.550000,4.650000,4.650000,6205
2002-10-02,null,null,null,null,null,null
2002-10-03,4.700000,4.800000,4.550000,4.650000,4.650000,23573
2002-10-04,4.600000,4.700000,4.600000,4.600000,4.600000,16127
2002-10-07,4.700000,4.850000,4.650000,4.650000,4.650000,6805
2002-10-08,4.600000,4.750000,4.600000,4.650000,4.650000,5822
2002-10-09,4.650000,4.700000,4.600000,4.650000,4.650000,16625
2002-10-10,4.650000,4.750000,4.600000,4.700000,4.700000,11901
2002-10-11,4.600000,4.750000,4.550000,4.700000,4.700000,12914
