Date,open,high,low,close,adj_close,volume
2002-07-01,5.382660,5.492880,5.345910,5.456140,0.342010,155856
2002-07-02,5.511250,5.557180,5.391840,5.428580,0.340282,271463
2002-07-03,5.639850,5.639850,5.391840,5.437770,0.340858,72697
2002-07-04,5.419400,5.538810,5.290800,5.345910,0.335100,52513
2002-07-05,5.290800,5.474510,5.290800,5.446950,0.341434,50134
2002-07-08,5.382660,5.492880,5.382660,5.437770,0.340858,43988
2002-07-09,5.345910,5.419400,5.235690,5.382660,0.337404,39737
2002-07-10,5.410210,5.410210,5.235690,5.272430,0.330494,31572
2002-07-11,5.327540,5.327540,5.162210,5.171390,0.324161,38784
2002-07-12,5.125460,5.235690,5.116280,5.189760,0.325312,21801
2002-07-15,5.143830,5.189760,5.061170,5.134650,0.321858,47336
2002-07-16,5.272430,5.281620,5.143830,5.143830,0.322433,9744
2002-07-17,5.134650,5.134650,4.923380,5.042790,0.316100,79882
2002-07-18,5.281620,5.281620,5.097910,5.162210,0.323585,44364
2002-07-19,5.143830,5.235690,5.125460,5.217320,0.327040,31708
2002-07-22,5.198950,5.198950,4.978500,4.978500,0.312070,20794
2002-07-23,4.969310,5.033610,4.923380,4.987680,0.312645,9036
2002-07-24,4.978500,5.097910,4.960130,5.006050,0.313797,44745
2002-07-25,4.969310,5.061170,4.960130,4.960130,0.310918,16738
2002-07-26,4.960130,4.960130,4.794790,4.831530,0.302857,50079
2002-07-29,4.785600,4.849900,4.721310,4.730490,0.296523,45186
2002-07-30,4.776420,4.950940,4.739680,4.748860,0.297675,32448
2002-07-31,4.611080,4.831530,4.611080,4.794790,0.300554,21638
2002-08-01,4.960130,4.960130,4.730490,4.813160,0.301706,14915
2002-08-02,4.647820,4.813160,4.638640,4.776420,0.299403,18317
2002-08-05,4.592710,4.868270,4.592710,4.758050,0.298251,20304
2002-08-06,4.794790,4.822340,4.767230,4.776420,0.299403,10887
2002-08-07,4.776420,4.840720,4.758050,4.840720,0.303433,15780
2002-08-08,4.776420,4.794790,4.702930,4.776420,0.299403,22721
2002-08-09,4.730490,4.813160,4.647820,4.785600,0.299978,17620
2002-08-12,4.776420,4.859090,4.776420,4.859090,0.304585,28812
2002-08-13,4.914200,4.914200,4.813160,4.877460,0.305736,13886
2002-08-14,4.895830,5.051980,4.803970,5.051980,0.316676,28551
2002-08-15,null,null,null,null,null,null
2002-08-16,4.859090,5.051980,4.859090,5.033610,0.315524,45997
2002-08-19,5.051980,5.097910,4.960130,5.051980,0.316676,20141
2002-08-20,5.134650,5.134650,4.978500,5.051980,0.316676,7893
2002-08-21,5.180580,5.180580,4.960130,5.033610,0.315524,33401
2002-08-22,4.932570,5.180580,4.932570,5.006050,0.313797,17691
2002-08-23,5.006050,5.070350,4.923380,5.033610,0.315524,5716
2002-08-26,4.923380,5.051980,4.923380,5.042790,0.316100,43645
2002-08-27,5.015240,5.051980,5.015240,5.051980,0.316676,7436
2002-08-28,4.969310,5.134650,4.969310,5.070350,0.317827,16880
2002-08-29,5.042790,5.051980,4.923380,4.996870,0.313221,69142
2002-08-30,5.125460,5.125460,4.923380,4.969310,0.311494,9934
2002-09-02,4.941760,5.061170,4.905010,5.033610,0.315524,63661
2002-09-03,5.033610,5.061170,4.969310,4.969310,0.311494,88570
2002-09-04,4.941760,5.051980,4.941760,5.033610,0.315524,35927
2002-09-05,4.978500,5.042790,4.978500,4.996870,0.313221,14697
2002-09-06,4.923380,5.051980,4.905010,4.996870,0.313221,18235
2002-09-09,4.978500,5.051980,4.941760,5.042790,0.316100,20141
2002-09-10,null,null,null,null,null,null
2002-09-11,4.923380,5.042790,4.923380,5.033610,0.315524,36177
2002-09-12,5.033610,5.125460,5.033610,5.033610,0.315524,9602
2002-09-13,5.033610,5.051980,4.996870,5.051980,0.316676,9798
2002-09-16,4.978500,5.042790,4.969310,5.006050,0.313797,50841
2002-09-17,4.996870,5.042790,4.996870,5.015240,0.314373,58653
2002-09-18,4.969310,5.042790,4.923380,5.006050,0.313797,10016
2002-09-19,5.042790,5.042790,4.969310,5.006050,0.313797,42589
