Date,open,high,low,close,adj_close,volume
2002-07-01,9.300000,10.300000,9.300000,10.180000,10.180000,41935
2002-07-02,10.000000,10.600000,10.000000,10.290000,10.290000,33000
2002-07-03,10.300000,10.600000,10.290000,10.350000,10.350000,27475
2002-07-04,10.420000,10.900000,10.400000,10.480000,10.480000,98760
2002-07-05,11.080000,11.100000,10.230000,10.530000,10.530000,33450
2002-07-08,11.020000,11.020000,10.460000,10.590000,10.590000,31850
2002-07-09,10.600000,10.880000,10.600000,10.710000,10.710000,45130
2002-07-10,10.630000,10.780000,10.310000,10.350000,10.350000,26695
2002-07-11,10.400000,10.400000,10.040000,10.110000,10.110000,19190
2002-07-12,9.800000,10.380000,9.800000,10.030000,10.030000,32140
2002-07-15,9.960000,10.000000,9.630000,9.750000,9.750000,16210
2002-07-16,9.720000,9.980000,9.650000,9.690000,9.690000,30260
2002-07-17,9.700000,9.700000,9.500000,9.620000,9.620000,16680
2002-07-18,9.800000,9.800000,9.660000,9.690000,9.690000,5850
2002-07-19,9.800000,9.900000,9.660000,9.720000,9.720000,7125
2002-07-22,9.140000,9.710000,9.100000,9.130000,9.130000,15795
2002-07-23,8.820000,9.540000,8.820000,9.440000,9.440000,12465
2002-07-24,9.260000,9.360000,9.140000,9.200000,9.200000,7525
2002-07-25,9.350000,9.850000,9.200000,9.220000,9.220000,17125
2002-07-26,9.000000,9.080000,8.810000,8.860000,8.860000,10850
2002-07-29,8.810000,8.810000,8.110000,8.370000,8.370000,23545
2002-07-30,8.240000,8.570000,7.780000,7.940000,7.940000,60505
2002-07-31,7.820000,8.000000,7.700000,7.780000,7.780000,28005
2002-08-01,7.800000,8.180000,7.620000,7.730000,7.730000,25180
2002-08-02,7.900000,7.980000,7.750000,7.890000,7.890000,17925
2002-08-05,7.900000,8.380000,7.900000,8.330000,8.330000,13730
2002-08-06,8.580000,8.580000,7.950000,8.230000,8.230000,12015
2002-08-07,8.220000,8.660000,8.220000,8.570000,8.570000,11155
2002-08-08,8.600000,8.600000,8.000000,8.020000,8.020000,16770
2002-08-09,8.030000,8.300000,8.030000,8.160000,8.160000,14260
2002-08-12,8.300000,8.360000,8.230000,8.250000,8.250000,3875
2002-08-13,8.800000,8.800000,8.240000,8.320000,8.320000,6875
2002-08-14,8.140000,8.300000,8.140000,8.230000,8.230000,3825
2002-08-15,null,null,null,null,null,null
2002-08-16,8.260000,8.390000,8.240000,8.320000,8.320000,3975
2002-08-19,8.220000,8.350000,8.010000,8.030000,8.030000,3500
2002-08-20,8.400000,8.490000,8.120000,8.250000,8.250000,12795
2002-08-21,8.300000,8.450000,8.220000,8.270000,8.270000,25395
2002-08-22,8.300000,8.300000,8.120000,8.190000,8.190000,5955
2002-08-23,8.120000,8.380000,8.120000,8.300000,8.300000,7720
2002-08-26,8.210000,8.320000,8.110000,8.250000,8.250000,10755
2002-08-27,8.240000,8.460000,8.120000,8.120000,8.120000,10150
2002-08-28,8.100000,8.330000,8.100000,8.210000,8.210000,2300
2002-08-29,8.150000,8.170000,8.010000,8.080000,8.080000,7755
2002-08-30,8.500000,8.500000,8.020000,8.070000,8.070000,9000
2002-09-02,8.000000,8.420000,8.000000,8.290000,8.290000,10435
