Date,open,high,low,close,adj_close,volume
2008-01-25,66.900002,66.900002,66.900002,66.900002,66.900002,20
2008-01-28,70.099998,70.250000,70.099998,70.250000,70.250000,300
2008-01-29,73.800003,73.800003,73.800003,73.800003,73.800003,240
2008-01-30,77.500000,77.500000,77.500000,77.500000,77.500000,260
2008-01-31,81.400002,81.400002,76.000000,76.449997,76.449997,4000
2008-02-01,79.750000,79.750000,74.000000,79.650002,79.650002,240
2008-02-04,77.000000,82.599998,77.000000,79.949997,79.949997,545
2008-02-05,80.000000,83.900002,76.000000,77.800003,77.800003,1045
2008-02-06,75.000000,77.500000,74.900002,75.000000,75.000000,28470
2008-02-07,76.750000,76.750000,73.000000,76.250000,76.250000,865
2008-02-08,74.000000,74.000000,72.500000,72.500000,72.500000,172
2008-02-11,68.900002,68.900002,68.900002,68.900002,68.900002,420
2008-02-12,68.000000,68.000000,65.449997,65.449997,65.449997,110
2008-02-13,62.200001,62.200001,62.200001,62.200001,62.200001,361
2008-02-14,59.150002,65.050003,59.099998,64.400002,64.400002,879
2008-02-15,65.000000,67.599998,62.000000,62.450001,62.450001,249
2008-02-18,65.599998,65.599998,65.500000,65.500000,65.500000,707
2008-02-19,68.800003,68.800003,68.800003,68.800003,68.800003,977
2008-02-20,67.099998,69.000000,66.000000,67.400002,67.400002,696
2008-02-21,70.800003,70.800003,64.150002,67.900002,67.900002,3400
2008-02-22,65.000000,67.500000,65.000000,67.500000,67.500000,2095
2008-02-25,70.900002,70.900002,68.000000,69.949997,69.949997,9524
2008-02-26,72.400002,72.400002,68.000000,68.800003,68.800003,11555
2008-02-27,70.349998,71.000000,68.000000,68.349998,68.349998,1655
2008-02-28,68.000000,68.000000,65.000000,65.150002,65.150002,3201
2008-02-29,67.800003,68.000000,65.000000,67.000000,67.000000,1238
2008-03-03,65.650002,67.000000,63.650002,64.300003,64.300003,3126
2008-03-04,61.500000,67.000000,61.099998,61.150002,61.150002,11650
2008-03-05,58.150002,59.700001,58.099998,58.099998,58.099998,315
2008-03-07,57.200001,57.200001,55.200001,55.200001,55.200001,176
2008-03-10,54.400002,56.000000,52.950001,56.000000,56.000000,252
2008-03-11,51.000000,58.000000,51.000000,55.450001,55.450001,1222
2008-03-12,58.000000,59.000000,50.500000,52.700001,52.700001,2669
2008-03-13,54.000000,54.000000,50.000000,50.099998,50.099998,586
2008-03-14,49.700001,54.349998,46.250000,47.049999,47.049999,4104
2008-03-17,45.049999,45.500000,42.700001,44.000000,44.000000,6352
2008-03-18,45.000000,45.000000,42.000000,42.400002,42.400002,1479
2008-03-19,41.000000,42.000000,41.000000,41.400002,41.400002,9638
2008-03-24,39.349998,40.900002,39.349998,39.400002,39.400002,2575
2008-03-25,41.000000,41.000000,38.000000,41.000000,41.000000,1739
2008-03-26,43.000000,43.049999,43.000000,43.049999,43.049999,1154
2008-03-27,44.000000,45.200001,44.000000,45.049999,45.049999,3630
2008-03-28,42.799999,47.299999,42.799999,47.299999,47.299999,106
2008-03-31,46.299999,49.700001,46.299999,48.900002,48.900002,2333
2008-04-01,48.950001,50.700001,47.450001,47.450001,47.450001,550
2008-04-02,47.900002,49.500000,47.900002,49.500000,49.500000,141
2008-04-03,49.500000,49.500000,49.500000,49.500000,49.500000,0
2008-04-04,51.500000,51.500000,47.049999,47.049999,47.049999,725
2008-04-07,45.150002,49.000000,45.000000,46.450001,46.450001,2107
2008-04-08,48.250000,48.250000,47.000000,48.250000,48.250000,100
2008-04-09,46.150002,48.849998,45.849998,46.000000,46.000000,908
2008-04-10,47.049999,47.049999,47.049999,47.049999,47.049999,25
2008-04-11,45.000000,49.400002,45.000000,49.400002,49.400002,96
2008-04-15,50.500000,51.900002,50.500000,51.900002,51.900002,91
2008-04-16,53.000000,54.500000,51.250000,52.500000,52.500000,776
2008-04-17,55.000000,55.150002,50.000000,54.250000,54.250000,3165
2008-04-21,56.450001,56.900002,55.000000,55.400002,55.400002,701
2008-04-22,58.200001,58.200001,53.099998,58.200001,58.200001,515
2008-04-23,58.200001,59.000000,55.299999,55.650002,55.650002,1450
2008-04-24,54.000000,57.000000,54.000000,57.000000,57.000000,470
2008-04-25,57.000000,57.000000,57.000000,57.000000,57.000000,0
2008-04-28,54.200001,55.000000,54.150002,54.150002,54.150002,143
2008-04-29,52.099998,53.500000,52.099998,53.000000,53.000000,476
2008-04-30,52.599998,55.500000,52.599998,52.750000,52.750000,735
2008-05-02,54.000000,55.000000,52.099998,54.500000,54.500000,242
2008-05-05,53.900002,54.000000,52.400002,53.200001,53.200001,827
2008-05-06,53.000000,53.150002,53.000000,53.049999,53.049999,260
2008-05-07,53.049999,53.450001,50.400002,51.299999,51.299999,4843
2008-05-08,49.000000,52.700001,48.549999,50.500000,50.500000,404
2008-05-09,48.250000,51.700001,48.250000,51.700001,51.700001,226
2008-05-12,47.500000,49.000000,47.500000,49.000000,49.000000,65
2008-05-13,45.500000,49.950001,45.500000,49.799999,49.799999,4
2008-05-14,45.299999,54.799999,45.299999,51.650002,51.650002,1057
2008-05-15,49.000000,50.500000,47.500000,48.450001,48.450001,9504
2008-05-16,49.500000,49.500000,47.500000,48.000000,48.000000,4361
2008-05-20,49.000000,49.000000,46.000000,47.299999,47.299999,653
2008-05-21,45.000000,48.450001,44.900002,47.150002,47.150002,4113
2008-05-22,46.549999,48.450001,46.549999,48.150002,48.150002,2889
2008-05-23,47.849998,49.750000,46.250000,48.349998,48.349998,4543
2008-05-26,46.049999,46.900002,46.000000,46.099998,46.099998,627
2008-05-27,45.150002,45.650002,43.000000,43.099998,43.099998,8128
2008-05-28,47.000000,47.000000,41.549999,43.299999,43.299999,1451
2008-05-29,43.000000,43.900002,43.000000,43.900002,43.900002,600
2008-05-30,43.450001,45.799999,43.450001,45.299999,45.299999,2279
2008-06-02,41.549999,46.450001,41.000000,44.549999,44.549999,677
2008-06-03,40.700001,43.799999,40.700001,42.900002,42.900002,2157
2008-06-04,39.000000,45.799999,39.000000,43.200001,43.200001,1411
2008-06-05,41.250000,42.650002,41.000000,42.599998,42.599998,393
2008-06-06,41.150002,44.950001,41.150002,42.500000,42.500000,616
2008-06-09,38.500000,42.900002,38.500000,41.500000,41.500000,1668
2008-06-10,40.000000,41.799999,39.250000,41.799999,41.799999,665
2008-06-11,40.049999,42.700001,40.049999,42.700001,42.700001,97
2008-06-12,42.250000,42.250000,40.000000,40.000000,40.000000,2015
2008-06-13,40.049999,40.049999,40.049999,40.049999,40.049999,100
2008-06-16,41.799999,41.799999,41.799999,41.799999,41.799999,200
2008-06-17,40.000000,44.750000,40.000000,40.650002,40.650002,963
2008-06-18,43.950001,43.950001,40.599998,41.200001,41.200001,426
2008-06-19,40.000000,40.349998,37.099998,37.500000,37.500000,29683
2008-06-20,37.599998,39.950001,35.150002,36.650002,36.650002,7312
2008-06-23,35.000000,35.000000,33.000000,33.000000,33.000000,3005
2008-06-24,32.599998,32.799999,30.000000,30.100000,30.100000,5497
2008-06-25,30.000000,30.500000,29.250000,30.450001,30.450001,1900
2008-06-26,30.200001,32.000000,30.200001,32.000000,32.000000,1432
2008-06-27,30.600000,31.950001,30.600000,31.000000,31.000000,720
2008-06-30,32.450001,32.450001,29.500000,29.750000,29.750000,1587
2008-07-01,28.450001,29.900000,28.299999,28.299999,28.299999,2326
2008-07-02,27.500000,29.650000,27.000000,29.500000,29.500000,26121
2008-07-03,28.350000,28.350000,28.250000,28.250000,28.250000,500
2008-07-04,27.000000,29.700001,27.000000,28.049999,28.049999,74
2008-07-07,28.049999,28.049999,28.049999,28.049999,28.049999,0
2008-07-08,29.450001,29.450001,29.450001,29.450001,29.450001,150
2008-07-09,30.950001,30.950001,30.950001,30.950001,30.950001,25
2008-07-10,32.500000,32.500000,32.500000,32.500000,32.500000,1
2008-07-11,34.150002,34.150002,34.150002,34.150002,34.150002,159
2008-07-14,35.900002,35.900002,35.900002,35.900002,35.900002,525
2008-07-15,37.700001,37.700001,35.900002,35.900002,35.900002,1206
2008-07-16,37.700001,37.700001,36.099998,37.700001,37.700001,2410
2008-07-17,39.599998,39.599998,39.599998,39.599998,39.599998,1740
2008-07-18,41.599998,41.599998,41.049999,41.599998,41.599998,803
2008-07-21,43.700001,43.700001,42.049999,43.700001,43.700001,2015
2008-07-22,44.400002,45.900002,43.049999,45.900002,45.900002,29580
2008-07-23,47.099998,48.200001,45.500000,47.299999,47.299999,134883
2008-07-24,49.650002,49.650002,45.349998,46.900002,46.900002,24302
2008-07-25,45.500000,46.000000,44.599998,44.599998,44.599998,5149
2008-07-28,46.000000,46.750000,45.250000,45.400002,45.400002,8019
2008-07-29,47.650002,47.700001,47.650002,47.700001,47.700001,1300
2008-07-30,50.000000,50.099998,48.500000,50.099998,50.099998,1300
2008-07-31,52.650002,52.650002,52.650002,52.650002,52.650002,1200
2008-08-01,55.000000,55.299999,53.000000,54.950001,54.950001,17269
2008-08-04,52.200001,57.099998,52.200001,56.750000,56.750000,20314
2008-08-05,57.849998,59.200001,55.099998,57.299999,57.299999,25877
2008-08-06,59.000000,59.000000,54.750000,55.299999,55.299999,29571
2008-08-07,54.299999,58.099998,54.000000,57.000000,57.000000,23230
2008-08-08,58.599998,58.599998,54.849998,55.650002,55.650002,4665
2008-08-11,56.000000,57.900002,55.150002,57.700001,57.700001,59248
2008-08-12,55.799999,56.500000,54.849998,55.349998,55.349998,73315
2008-08-13,56.000000,56.000000,53.049999,53.650002,53.650002,3813
2008-08-14,51.000000,52.049999,51.000000,51.650002,51.650002,5598
2008-08-18,50.049999,54.250000,49.549999,54.150002,54.150002,24698
2008-08-19,54.200001,56.900002,54.200001,56.799999,56.799999,19319
2008-08-20,59.599998,59.599998,57.200001,58.849998,58.849998,36178
2008-08-21,60.500000,60.500000,55.950001,56.200001,56.200001,5968
2008-08-22,57.000000,57.000000,54.500000,55.500000,55.500000,2325
2008-08-25,52.049999,52.750000,52.049999,52.049999,52.049999,5014
2008-08-26,52.799999,54.799999,49.549999,54.500000,54.500000,77330
2008-08-27,54.750000,56.200001,52.000000,55.500000,55.500000,3635
2008-08-28,52.900002,55.000000,52.900002,55.000000,55.000000,2890
2008-08-29,55.750000,55.750000,51.099998,51.250000,51.250000,4925
2008-09-01,52.799999,53.900002,52.799999,53.900002,53.900002,1444
2008-09-02,55.000000,56.400002,55.000000,56.349998,56.349998,2095
2008-09-04,53.450001,58.500000,53.450001,53.549999,53.549999,4971
2008-09-05,51.799999,56.000000,51.799999,51.849998,51.849998,13222
2008-09-08,54.650002,54.650002,52.500000,53.000000,53.000000,9000
2008-09-09,54.700001,54.700001,51.450001,52.000000,52.000000,13705
2008-09-10,53.000000,53.000000,50.099998,50.200001,50.200001,1040
2008-09-11,52.700001,52.700001,49.299999,52.700001,52.700001,500
2008-09-12,53.000000,53.000000,51.900002,51.900002,51.900002,290
2008-09-15,51.900002,51.900002,51.900002,51.900002,51.900002,0
2008-09-16,49.299999,50.900002,49.299999,50.750000,50.750000,3800
2008-09-17,50.750000,50.750000,50.750000,50.750000,50.750000,0
2008-09-18,47.650002,48.750000,47.650002,47.650002,47.650002,503
2008-09-19,49.450001,49.450001,45.299999,45.299999,45.299999,1340
2008-09-22,43.299999,43.299999,43.299999,43.299999,43.299999,340
2008-09-23,44.500000,44.500000,41.150002,41.150002,41.150002,17024
2008-09-24,41.150002,42.849998,39.099998,42.849998,42.849998,1348
2008-09-25,39.000000,40.900002,38.900002,38.900002,38.900002,330
2008-09-26,38.950001,38.950001,38.950001,38.950001,38.950001,104
2008-09-29,38.000000,38.000000,38.000000,38.000000,38.000000,1
2008-09-30,38.000000,38.000000,38.000000,38.000000,38.000000,0
2008-10-01,38.000000,38.000000,38.000000,38.000000,38.000000,0
2008-10-03,38.000000,38.000000,38.000000,38.000000,38.000000,0
2008-10-06,36.099998,36.099998,36.099998,36.099998,36.099998,150
2008-10-07,36.099998,36.099998,36.099998,36.099998,36.099998,0
2008-10-08,36.099998,36.099998,36.099998,36.099998,36.099998,0
2008-10-10,36.099998,36.099998,36.099998,36.099998,36.099998,0
2008-10-13,36.099998,36.099998,36.099998,36.099998,36.099998,0
2008-10-14,34.299999,34.299999,34.299999,34.299999,34.299999,90
2008-10-15,34.299999,34.299999,34.299999,34.299999,34.299999,0
2008-10-16,32.599998,32.599998,32.599998,32.599998,32.599998,9
2008-10-17,32.599998,32.599998,32.599998,32.599998,32.599998,0
2008-10-20,32.599998,32.599998,32.599998,32.599998,32.599998,0
2008-10-21,32.599998,32.599998,32.599998,32.599998,32.599998,0
2008-10-22,32.599998,32.599998,32.599998,32.599998,32.599998,0
2008-10-23,32.599998,32.599998,32.599998,32.599998,32.599998,0
2008-10-24,31.000000,31.000000,31.000000,31.000000,31.000000,50
2008-10-27,31.000000,31.000000,31.000000,31.000000,31.000000,0
2008-10-29,31.000000,31.000000,31.000000,31.000000,31.000000,0
2008-10-31,31.000000,31.000000,31.000000,31.000000,31.000000,0
2008-11-03,31.000000,31.000000,31.000000,31.000000,31.000000,0
2008-11-04,29.450001,29.450001,29.450001,29.450001,29.450001,100
2008-11-05,29.450001,29.450001,29.450001,29.450001,29.450001,0
2008-11-06,28.000000,28.000000,28.000000,28.000000,28.000000,40
2008-11-07,26.600000,26.600000,26.600000,26.600000,26.600000,30
2008-11-10,26.600000,26.600000,26.600000,26.600000,26.600000,0
2008-11-11,25.299999,25.299999,25.299999,25.299999,25.299999,15
2008-11-12,24.049999,24.049999,24.049999,24.049999,24.049999,100
2008-11-14,24.049999,24.049999,24.049999,24.049999,24.049999,0
2008-11-17,24.049999,24.049999,24.049999,24.049999,24.049999,0
2008-11-18,24.049999,24.049999,24.049999,24.049999,24.049999,0
2008-11-19,24.049999,24.049999,24.049999,24.049999,24.049999,0
2008-11-20,22.850000,22.850000,22.850000,22.850000,22.850000,100
2008-11-21,21.750000,21.750000,21.750000,21.750000,21.750000,100
2008-11-24,20.700001,20.700001,20.700001,20.700001,20.700001,50
2008-11-25,20.700001,20.700001,20.700001,20.700001,20.700001,0
2008-11-26,19.700001,19.700001,19.700001,19.700001,19.700001,1
2008-11-27,null,null,null,null,null,null
2008-11-28,18.750000,18.750000,18.750000,18.750000,18.750000,110
2008-12-01,17.850000,17.850000,17.850000,17.850000,17.850000,25
2008-12-02,17.000000,17.000000,17.000000,17.000000,17.000000,25
2008-12-03,16.150000,16.150000,16.150000,16.150000,16.150000,50
2008-12-04,15.350000,15.350000,15.350000,15.350000,15.350000,500
