Date,open,high,low,close,adj_close,volume
2002-07-01,1.997600,2.132770,1.997600,2.111750,-0.001774,514297
2002-07-02,2.108740,2.192850,2.102740,2.129770,-0.001789,447767
2002-07-03,2.132770,2.132770,2.105740,2.120760,-0.001782,359365
2002-07-04,2.102740,2.126770,2.093720,2.102740,-0.001766,277006
2002-07-05,2.126770,2.141790,2.102740,2.117750,-0.001779,314174
2002-07-08,2.159810,2.189850,2.132770,2.153800,-0.001809,509786
2002-07-09,2.162810,2.225900,2.147790,2.207870,-0.001855,635040
2002-07-10,2.222890,2.276960,2.195860,2.216880,-0.001862,481140
2002-07-11,2.249930,2.249930,2.108740,2.147790,-0.001804,526398
2002-07-12,2.186840,2.213880,2.153800,2.195860,-0.001845,245996
2002-07-15,2.153800,2.162810,2.072700,2.105740,-0.001769,539714
2002-07-16,2.102740,2.141790,2.072700,2.093720,-0.001759,469022
2002-07-17,2.087720,2.087720,2.039650,2.042660,-0.001716,505758
2002-07-18,2.042660,2.084710,2.042660,2.048660,-0.001721,308165
2002-07-19,2.063680,2.063680,2.012620,2.027640,-0.001703,320649
2002-07-22,1.922500,2.027640,1.922500,1.985580,-0.001668,445287
2002-07-23,1.976570,2.018630,1.955540,2.009610,-0.001688,130347
2002-07-24,1.997600,2.030640,1.988590,2.003610,-0.001683,225456
2002-07-25,2.042660,2.042660,1.997600,2.009610,-0.001688,284013
2002-07-26,2.042660,2.042660,1.928510,1.943530,-0.001633,363660
2002-07-29,1.901470,1.982580,1.898470,1.943530,-0.001633,222294
2002-07-30,1.952540,1.982580,1.862420,1.895470,-0.001592,449082
2002-07-31,1.874440,1.916490,1.874440,1.895470,-0.001592,300126
2002-08-01,1.916490,1.961550,1.895470,1.916490,-0.001610,149056
2002-08-02,1.940520,2.006610,1.895470,1.964560,-0.001650,211225
2002-08-05,1.982580,2.042660,1.982580,2.018630,-0.001696,254918
2002-08-06,2.012620,2.042660,2.012620,2.033650,-0.001708,256166
2002-08-07,1.982580,2.132770,1.982580,2.054670,-0.001726,566679
2002-08-08,2.066690,2.069690,2.039650,2.048660,-0.001721,375578
2002-08-09,2.039650,2.060680,2.030640,2.051670,-0.001724,384116
2002-08-12,2.096730,2.102740,2.027640,2.036650,-0.001711,695195
2002-08-13,2.057680,2.069690,2.018630,2.027640,-0.001703,793167
2002-08-14,1.820370,1.820370,1.664160,1.718230,0.001484,1030242
