Date,open,high,low,close,adj_close,volume
2002-07-01,7.900000,9.250000,7.500000,8.700000,7.303771,6409
2002-07-02,9.000000,9.100000,8.400000,8.500000,7.135868,7701
2002-07-03,8.500000,8.900000,8.300000,8.750000,7.345747,3854
2002-07-04,8.850000,10.250000,8.750000,9.650000,8.101309,18478
2002-07-05,8.000000,11.250000,8.000000,9.650000,8.101309,8748
2002-07-08,11.500000,11.500000,9.700000,10.600000,8.898848,56417
2002-07-09,10.750000,11.000000,10.200000,10.250000,8.605018,14056
2002-07-10,11.500000,11.500000,9.600000,9.800000,8.227237,11873
2002-07-11,9.550000,9.950000,9.000000,9.050000,7.597601,18412
2002-07-12,8.000000,9.650000,8.000000,9.100000,7.639577,1868
2002-07-15,8.100000,9.400000,8.100000,9.000000,7.555625,2890
2002-07-16,9.700000,9.700000,8.400000,8.600000,7.219820,4859
2002-07-17,9.000000,9.000000,8.100000,8.750000,7.345747,4175
2002-07-18,10.500000,10.500000,7.350000,8.250000,6.925990,14311
2002-07-19,8.650000,8.650000,7.300000,7.450000,6.254379,26529
2002-07-22,8.000000,8.000000,7.100000,7.100000,5.960549,1815
2002-07-23,7.150000,7.150000,6.800000,7.100000,5.960549,3153
2002-07-24,7.450000,7.450000,6.950000,7.450000,6.254379,641
2002-07-25,8.900000,8.900000,7.250000,7.550000,6.338330,3232
2002-07-26,6.900000,7.000000,6.900000,7.000000,5.876598,300
2002-07-29,8.000000,8.000000,7.100000,7.550000,6.338330,276
2002-07-30,7.500000,7.500000,6.600000,6.600000,5.540791,815
2002-07-31,6.300000,6.750000,6.300000,6.500000,5.456840,900
2002-08-01,6.400000,7.200000,6.400000,6.600000,5.540791,2165
2002-08-02,7.900000,7.950000,6.750000,7.950000,6.674135,7802
2002-08-05,8.500000,8.500000,7.050000,7.500000,6.296354,2506
2002-08-06,6.850000,7.150000,6.850000,7.100000,5.960549,19
2002-08-07,7.200000,7.950000,7.050000,7.100000,5.960549,1433
2002-08-08,5.750000,8.500000,5.750000,6.450000,5.414864,6229
2002-08-09,7.250000,7.250000,6.500000,7.000000,5.876598,3031
2002-08-12,8.050000,8.050000,6.700000,6.850000,5.750670,2000
2002-08-13,6.550000,7.000000,6.550000,7.000000,5.876598,131
2002-08-14,6.250000,7.950000,6.250000,6.750000,5.666718,3500
2002-08-15,null,null,null,null,null,null
2002-08-16,6.600000,6.900000,6.250000,6.800000,5.708694,1400
2002-08-19,7.750000,7.750000,6.550000,6.600000,5.540791,600
2002-08-20,6.000000,7.000000,6.000000,6.850000,5.750670,1000
2002-08-21,6.900000,6.900000,6.550000,6.700000,5.624743,3200
2002-08-22,6.900000,6.900000,5.600000,6.000000,5.037084,14100
2002-08-23,7.000000,7.000000,6.200000,6.300000,5.288938,900
2002-08-26,7.000000,7.000000,5.700000,6.050000,5.079059,531
2002-08-27,7.250000,7.250000,6.000000,6.050000,5.079059,6900
2002-08-28,6.950000,6.950000,6.150000,6.300000,5.288938,900
2002-08-29,7.500000,7.500000,6.200000,6.200000,5.204986,300
2002-08-30,7.400000,7.400000,6.050000,6.400000,5.372889,14900
2002-09-02,6.250000,6.600000,6.100000,6.550000,5.498815,1500
2002-09-03,6.000000,6.300000,6.000000,6.150000,5.163010,3400
2002-09-04,7.000000,7.000000,6.200000,6.600000,5.540791,48
2002-09-05,7.900000,7.900000,6.250000,6.250000,5.246962,300
2002-09-06,7.500000,7.500000,6.200000,6.300000,5.288938,1900
2002-09-09,7.550000,7.550000,6.000000,6.000000,5.037084,100
2002-09-10,null,null,null,null,null,null
2002-09-11,6.750000,6.750000,5.700000,6.200000,5.204986,1000
2002-09-12,6.950000,6.950000,6.000000,6.000000,5.037084,1051
2002-09-13,7.200000,7.200000,6.100000,6.450000,5.414864,2200
2002-09-16,5.300000,6.450000,5.300000,6.100000,5.121035,2100
2002-09-17,5.650000,6.700000,5.650000,6.650000,5.582767,1100
