Date,open,high,low,close,adj_close,volume
2004-04-01,21.516800,22.164400,20.509300,20.941099,19.297234,45578
2004-04-02,21.912600,21.912600,20.149500,20.545300,18.932503,75317
2004-04-05,21.192900,22.128500,20.869101,21.156900,19.496096,62070
2004-04-06,21.552700,21.552700,20.185499,21.049000,19.396662,23068
2004-04-07,21.228901,21.588699,20.869101,21.228901,19.562441,15496
2004-04-08,20.941099,22.272400,20.905100,21.984501,20.258728,44975
2004-04-09,null,null,null,null,null,null
2004-04-12,22.884100,22.955999,21.768600,21.948500,20.225554,35545
2004-04-13,21.804600,21.948500,19.897600,21.660700,19.960342,25513
2004-04-14,null,null,null,null,null,null
2004-04-15,21.876600,22.308300,21.588699,22.056499,20.325071,37628
2004-04-16,22.308300,23.639700,22.308300,23.207899,21.386089,79711
2004-04-19,23.783600,24.755100,22.704100,22.848101,21.054533,66096
2004-04-20,23.028000,23.387800,21.804600,22.380301,20.623457,29105
2004-04-21,22.020500,22.848101,21.948500,22.596201,20.822411,28163
2004-04-22,22.452299,22.992001,22.236401,22.884100,21.087708,42115
2004-04-23,24.323299,24.323299,22.668200,22.740101,20.955009,48128
2004-04-26,null,null,null,null,null,null
2004-04-27,22.344299,22.955999,21.013000,21.300900,19.628786,49102
2004-04-28,20.725201,21.480801,20.545300,21.121000,19.463009,36430
2004-04-29,22.704100,22.704100,21.156900,21.552700,19.860821,22684
2004-04-30,21.228901,21.876600,21.192900,21.408800,19.728220,21463
2004-05-03,21.552700,21.588699,20.149500,20.581200,18.965584,36548
2004-05-04,20.869101,21.768600,20.869101,21.588699,19.893993,21571
2004-05-05,21.121000,22.308300,21.084999,21.876600,20.159296,25126
2004-05-06,22.308300,22.668200,21.948500,22.380301,20.623457,37064
2004-05-07,23.747601,23.747601,22.092501,22.344299,20.590281,40898
2004-05-10,21.732700,22.308300,21.624701,22.236401,20.490852,20180
2004-05-11,21.912600,21.948500,21.049000,21.084999,19.429834,32221
2004-05-12,21.588699,21.768600,20.581200,21.084999,19.429834,28005
2004-05-13,21.049000,21.948500,18.062599,21.516800,19.827740,27211
2004-05-14,22.020500,24.971001,18.710199,19.321899,17.805138,54891
2004-05-17,18.782200,18.782200,16.947100,17.774700,16.379395,16300
2004-05-18,18.350401,20.077499,18.350401,19.393900,17.871489,18910
2004-05-19,20.509300,20.509300,18.062599,19.609800,18.070438,21575
2004-05-20,19.789700,20.041500,19.106001,19.285900,17.771963,25048
2004-05-21,19.070000,19.214001,18.350401,18.818199,17.340979,21895
2004-05-24,19.214001,19.789700,19.214001,19.285900,17.771963,23511
2004-05-25,18.782200,19.609800,18.782200,19.250000,17.738882,23544
2004-05-26,18.710199,19.645700,18.710199,19.070000,17.573015,14849
2004-05-27,18.422400,19.177999,18.422400,18.962099,17.473583,12015
2004-05-28,19.034100,19.034100,18.206499,18.314400,16.876728,13702
2004-05-31,18.710199,18.710199,16.551399,17.127100,15.782628,39279
2004-06-01,17.343000,18.314400,17.343000,17.810699,16.412567,19324
2004-06-02,18.422400,18.422400,17.666800,17.846701,16.445740,11224
2004-06-03,18.170500,18.386400,17.019100,17.235001,15.882058,16136
2004-06-04,17.486900,17.810699,16.911200,17.091101,15.749454,39996
2004-06-07,16.767300,17.918600,16.767300,17.738701,16.346220,15190
2004-06-08,17.378901,18.134501,17.378901,17.990601,16.578346,12729
2004-06-09,17.990601,18.278500,17.990601,18.134501,16.710947,11200
2004-06-10,18.170500,18.350401,18.026600,18.242500,16.810471,13917
2004-06-11,18.350401,18.350401,17.594801,17.666800,16.279964,18537
2004-06-14,17.127100,17.990601,17.127100,17.810699,16.412567,33979
2004-06-15,16.623301,18.026600,16.623301,17.522900,16.147358,17640
2004-06-16,17.990601,17.990601,17.702801,17.846701,16.445740,11138
2004-06-17,17.918600,17.990601,17.450899,17.594801,16.213615,3252
2004-06-18,17.343000,17.990601,17.306999,17.522900,16.147358,8962
2004-06-21,16.911200,17.774700,16.911200,17.343000,15.981580,9631
2004-06-22,17.271000,17.774700,17.271000,17.558800,16.180441,31134
2004-06-23,17.450899,17.450899,16.911200,16.983101,15.649934,5144
2004-06-24,16.947100,17.271000,16.767300,16.911200,15.583679,9517
2004-06-25,17.271000,17.738701,16.983101,17.414900,16.047838,5329
2004-06-28,17.846701,17.846701,17.127100,17.594801,16.213615,5190
2004-06-29,17.594801,17.990601,17.558800,17.954599,16.545172,6073
2004-06-30,17.990601,18.134501,17.702801,17.702801,16.313141,3884
2004-07-01,17.271000,17.271000,16.911200,17.019100,16.138941,8755
2004-07-02,17.091101,17.594801,16.911200,17.198999,16.309532,10721
2004-07-05,15.112100,16.911200,14.536400,16.011600,15.183541,25312
2004-07-06,16.407400,16.623301,16.155600,16.335501,15.490691,9616
2004-07-07,17.630800,17.738701,16.551399,16.587299,15.729470,6961
2004-07-08,16.695299,16.911200,15.471900,15.903700,15.081223,8074
2004-07-09,15.471900,15.831700,15.112100,15.579900,14.774168,48486
2004-07-12,15.400000,15.651800,15.364000,15.471900,14.671753,7052
2004-07-13,15.471900,16.011600,15.364000,15.939700,15.115359,11200
2004-07-14,16.191500,16.191500,15.831700,16.083599,15.251819,3238
2004-07-15,16.011600,16.011600,15.723800,15.795700,14.978807,1891
2004-07-16,15.975700,16.551399,15.831700,16.335501,15.490691,8845
2004-07-19,17.810699,17.810699,16.371500,16.587299,15.729470,12120
2004-07-20,16.443399,16.695299,16.191500,16.407400,15.558872,4793
2004-07-21,16.191500,16.695299,15.831700,16.407400,15.558872,4968
2004-07-22,16.479401,17.198999,16.479401,16.803200,15.934203,12291
2004-07-23,16.479401,16.839199,16.443399,16.731300,15.866022,2870
2004-07-26,14.896200,16.227501,14.896200,15.975700,15.149498,15525
2004-07-27,16.047600,16.191500,15.471900,15.471900,14.671753,35613
2004-07-28,14.464400,15.723800,14.464400,15.471900,14.671753,19464
2004-07-29,15.795700,16.191500,14.932200,14.968200,14.194101,18340
2004-07-30,15.004200,15.723800,14.968200,15.112100,14.330561,14271
2004-08-02,15.184100,15.184100,13.457000,13.924700,13.204568,54045
2004-08-03,13.924700,13.924700,13.457000,13.708800,12.999834,45691
2004-08-04,13.672900,13.852800,13.672900,13.708800,12.999834,15232
2004-08-05,14.140600,14.140600,13.313100,13.636900,12.931653,17117
2004-08-06,13.708800,14.392500,13.708800,14.140600,13.409303,24717
2004-08-09,13.780800,14.032700,13.457000,13.816800,13.102248,16018
2004-08-10,13.780800,14.032700,13.744800,13.744800,13.033973,12544
2004-08-11,14.536400,14.536400,13.493000,13.600900,12.897513,18150
2004-08-12,14.356500,14.392500,13.421000,13.457000,12.761055,13211
2004-08-13,13.816800,13.816800,13.133100,13.205100,12.522183,13515
2004-08-16,13.277100,13.313100,12.953200,13.025200,12.351587,24416
2004-08-17,12.953200,13.133100,12.953200,12.953200,12.283311,18025
2004-08-18,12.773300,13.025200,12.737400,12.881300,12.215129,10011
2004-08-19,12.881300,12.989200,12.593400,12.845300,12.180990,14573
2004-08-20,12.593400,12.593400,12.233600,12.449500,11.805660,23618
2004-08-23,12.305600,12.305600,11.873800,11.981700,11.362054,20926
2004-08-24,11.837800,12.197600,11.693900,12.053700,11.430329,16392
2004-08-25,11.873800,12.233600,11.657900,11.837800,11.225594,19160
2004-08-26,12.089700,12.413500,12.053700,12.089700,11.464468,28672
2004-08-27,11.945800,12.377500,11.945800,12.161600,11.532649,19816
2004-08-30,12.233600,13.277100,12.233600,12.917300,12.249267,42533
2004-08-31,13.385000,13.457000,12.629400,13.385000,12.692780,30747
2004-09-01,13.025200,13.600900,13.025200,13.349000,12.658642,11848
2004-09-02,13.493000,13.924700,13.205100,13.744800,13.033973,25951
2004-09-03,13.672900,14.032700,13.528900,13.780800,13.068110,17266
2004-09-06,13.564900,14.680300,13.564900,14.068700,13.341121,29761
2004-09-07,14.104600,15.040100,14.032700,14.140600,13.409303,25773
2004-09-08,13.097200,14.860200,13.097200,14.428500,13.682315,36809
2004-09-09,14.104600,14.356500,13.744800,14.248600,13.511718,28495
2004-09-10,14.248600,14.284500,13.600900,14.176600,13.443441,21201
2004-09-13,14.320500,14.464400,14.032700,14.212600,13.477579,24768
2004-09-14,13.672900,14.032700,13.528900,13.924700,13.204568,11142
2004-09-15,14.032700,14.248600,14.032700,14.032700,13.306983,16015
2004-09-16,13.888800,14.320500,13.888800,14.248600,13.511718,9095
2004-09-17,13.888800,14.572400,13.672900,14.392500,13.648176,22808
2004-09-20,14.032700,14.536400,14.032700,14.392500,13.648176,27449
2004-09-21,14.896200,14.896200,14.140600,14.212600,13.477579,18531
2004-09-22,13.960700,14.644400,13.960700,14.536400,13.784633,13778
2004-09-23,14.392500,14.968200,14.392500,14.500400,13.750495,18285
2004-09-24,14.464400,14.464400,14.392500,14.428500,13.682315,13757
2004-09-27,14.680300,14.680300,14.320500,14.464400,13.716358,5875
2004-09-28,14.680300,14.752300,14.248600,14.428500,13.682315,19455
2004-09-29,15.112100,15.112100,14.104600,14.608400,13.852911,46388
2004-09-30,15.831700,15.831700,14.140600,14.644400,13.887049,12023
2004-10-01,14.752300,14.896200,14.428500,14.500400,13.750495,24250
2004-10-04,15.040100,15.471900,14.248600,14.608400,13.852911,52671
2004-10-05,14.968200,14.968200,14.392500,14.752300,13.989367,39486
2004-10-06,15.004200,15.148100,14.680300,14.788300,14.023505,35056
2004-10-07,15.112100,15.112100,14.788300,14.932200,14.159966,21264
2004-10-08,15.076100,15.076100,14.752300,14.968200,14.194101,19638
2004-10-11,15.040100,15.112100,14.752300,15.004200,14.228241,33855
2004-10-12,14.500400,15.112100,14.392500,14.824300,14.057645,15782
2004-10-13,null,null,null,null,null,null
2004-10-14,14.500400,14.896200,14.464400,14.824300,14.057645,8787
2004-10-15,14.824300,14.896200,14.536400,14.752300,13.989367,9166
2004-10-18,14.752300,14.752300,14.140600,14.392500,13.648176,9933
2004-10-19,14.248600,14.392500,14.032700,14.248600,13.511718,8962
