Date,open,high,low,close,adj_close,volume
2010-09-29,180.000000,191.625000,162.037994,184.500000,164.034729,285029
2010-09-30,186.600006,195.561996,184.649994,189.113007,168.136047,335607
2010-10-01,191.024994,197.250000,190.500000,194.061996,172.536072,194967
2010-10-04,196.311996,198.375000,189.037994,190.613007,169.469666,86233
2010-10-05,190.500000,191.212006,187.162994,188.925003,167.968903,44244
2010-10-06,191.475006,191.511993,183.824997,186.561996,165.867996,53147
2010-10-07,188.550003,188.550003,182.250000,183.000000,162.701126,39488
2010-10-08,183.750000,187.875000,181.500000,186.675003,165.968475,40152
2010-10-11,185.625000,196.125000,185.625000,191.850006,170.569443,113600
2010-10-12,191.250000,191.250000,185.962006,187.688004,166.869110,41729
2010-10-13,189.600006,191.100006,183.975006,185.475006,164.901581,47613
2010-10-14,188.511993,191.250000,182.399994,183.412994,163.068298,114459
2010-10-15,184.500000,186.000000,179.250000,179.925003,159.967209,103395
2010-10-18,181.199997,183.000000,176.250000,181.350006,161.234131,87161
2010-10-19,181.500000,184.199997,175.688004,177.524994,157.833420,60769
2010-10-20,177.938004,179.625000,170.399994,176.662994,157.067017,70533
2010-10-21,178.500000,183.000000,176.250000,178.949997,159.100357,39977
2010-10-22,180.000000,187.500000,177.000000,185.399994,164.834900,56120
2010-10-25,186.675003,190.274994,183.000000,188.287994,167.402542,46973
2010-10-26,189.375000,194.250000,184.649994,187.761993,166.934891,67396
2010-10-27,187.125000,187.311996,179.287994,181.050003,160.967407,56708
2010-10-28,181.162994,187.837006,181.162994,184.837006,164.334351,69588
2010-10-29,185.250000,187.350006,173.324997,176.399994,156.833206,135497
2010-11-01,179.962006,183.000000,177.675003,180.675003,160.634018,39213
2010-11-02,180.675003,183.750000,175.500000,176.399994,156.833206,59787
2010-11-03,177.188004,179.962006,173.625000,174.750000,155.366226,58551
2010-11-04,177.675003,183.750000,176.699997,182.475006,162.234344,87404
2010-11-08,185.850006,190.500000,182.250000,185.324997,164.768219,95237
2010-11-09,187.500000,190.125000,184.500000,188.699997,167.768860,53401
2010-11-10,189.000000,190.462006,181.500000,183.074997,162.767792,55631
2010-11-11,185.250000,185.550003,178.500000,179.811996,159.866730,68065
2010-11-12,181.837006,183.000000,171.787994,173.662994,154.399796,41961
2010-11-15,176.212006,176.212006,165.750000,167.699997,149.098236,73652
2010-11-16,170.550003,170.625000,156.000000,159.712006,141.996292,185023
2010-11-18,159.712006,168.750000,158.511993,163.011993,144.930237,84205
2010-11-19,165.000000,170.250000,161.438004,164.100006,145.897568,64724
2010-11-22,168.300003,169.050003,164.625000,167.962006,149.331177,61704
2010-11-23,166.500000,168.675003,159.375000,162.675003,144.630615,53507
2010-11-24,161.363007,165.000000,152.438004,156.938004,139.529999,64263
2010-11-25,158.100006,160.125000,153.750000,154.311996,137.195267,49573
2010-11-26,156.000000,156.000000,133.761993,142.500000,126.693497,122463
2010-11-29,138.000000,149.625000,138.000000,148.837006,132.327576,111143
2010-11-30,145.875000,155.175003,144.938004,153.113007,136.129272,67752
2010-12-01,154.949997,162.675003,153.113007,158.438004,140.863617,68199
2010-12-02,161.175003,162.337006,154.875000,156.938004,139.529999,56843
2010-12-03,156.000000,156.938004,139.875000,148.386993,131.927475,94701
2010-12-06,146.324997,152.550003,145.800003,147.787994,131.394913,103639
2010-12-07,149.587006,149.625000,145.725006,146.287994,130.061310,74727
2010-12-08,147.000000,147.750000,138.750000,139.537994,124.060043,104572
2010-12-09,143.925003,143.925003,128.438004,130.386993,115.924095,49575
2010-12-10,129.787994,138.000000,127.462997,133.462006,118.658012,79940
