Date,open,high,low,close,adj_close,volume
2000-01-03,1.352190,1.393010,1.319030,1.393010,0.001118,3178761
2000-01-04,1.447870,1.447870,1.326680,1.361120,0.001092,3651616
2000-01-05,1.341990,1.341990,1.252690,1.257800,0.001009,2248062
2000-01-06,1.257800,1.313920,1.257800,1.296060,0.001040,1728564
2000-01-07,1.265450,1.301170,1.242490,1.265450,0.001016,1188762
2000-01-10,1.266720,1.275650,1.213150,1.238660,0.000994,1269505
2000-01-11,1.211870,1.259070,1.160850,1.173600,0.000942,3227285
2000-01-12,1.211870,1.237380,1.148090,1.172330,0.000941,1389561
2000-01-13,1.160850,1.266720,1.160850,1.197840,0.000961,1629321
2000-01-14,1.199120,1.205490,1.165950,1.192740,0.000957,768272
2000-01-17,1.250140,1.250140,1.153190,1.167220,0.000937,1687957
2000-01-18,1.196560,1.261620,1.164670,1.261620,0.001012,3113774
2000-01-19,1.362400,1.363670,1.321580,1.363670,0.001094,4742625
2000-01-20,1.473380,1.473380,1.473380,1.473380,0.001182,3327116
2000-01-21,1.528230,1.592020,1.484860,1.566500,0.001257,11933758
2000-01-24,1.658350,1.692790,1.594570,1.691520,0.001358,12030923
2000-01-25,1.696620,1.826740,1.690240,1.826740,0.001466,9339364
2000-01-26,null,null,null,null,null,null
2000-01-27,1.973440,1.973440,1.973440,1.973440,0.001584,747146
2000-01-28,2.131620,2.131620,2.131620,2.131620,0.001711,356601
2000-01-31,2.302560,2.302560,2.302560,2.302560,0.001848,1645940
2000-02-01,2.487530,2.487530,2.118860,2.157130,0.001731,22569867
2000-02-02,2.317860,2.330620,2.245150,2.330620,0.001870,6247617
2000-02-03,2.407160,2.518140,2.227290,2.492630,0.002000,17705619
2000-02-04,2.653360,2.678870,2.506660,2.536000,0.002035,10530360
2000-02-07,2.551310,2.551310,2.333170,2.333170,0.001872,7348111
2000-02-08,2.168610,2.283420,2.146930,2.200500,0.001766,9224913
2000-02-09,2.232400,2.321690,2.024460,2.215810,0.001778,9367349
2000-02-10,2.194130,2.206880,2.092070,2.169890,0.001741,2985487
2000-02-11,2.168610,2.190300,2.130340,2.174990,0.001746,1932459
2000-02-14,2.168610,2.194130,2.066560,2.166060,0.001738,5467351
2000-02-15,2.120140,2.204330,2.044870,2.086970,0.001675,3652126
2000-02-16,2.066560,2.143100,1.938990,2.029570,0.001629,2601449
2000-02-17,2.066560,2.136720,2.028290,2.042320,0.001639,2235676
2000-02-18,2.086970,2.140550,1.913480,1.974710,0.001585,1723821
2000-02-21,2.002780,2.002780,1.817810,1.817810,0.001459,1833177
2000-02-22,1.760400,1.785920,1.672380,1.672380,0.001342,3985641
2000-02-23,1.683860,1.806330,1.671110,1.739990,0.001396,3269107
2000-02-24,1.808880,1.848420,1.739990,1.759130,0.001412,1933400
2000-02-25,1.646870,1.759130,1.646870,1.704270,0.001368,1085325
2000-02-28,1.734890,1.754020,1.588190,1.660900,0.001333,1649624
2000-02-29,1.731060,1.775710,1.528230,1.547370,0.001242,4491891
2000-03-01,1.556300,1.671110,1.533340,1.671110,0.001341,1368435
2000-03-02,1.734890,1.805050,1.711930,1.766780,0.001418,2829999
2000-03-03,1.737440,1.908380,1.626460,1.881590,0.001510,5043294
2000-03-06,1.938990,1.938990,1.731060,1.736170,0.001393,2214824
2000-03-07,1.686420,1.773160,1.602220,1.632840,0.001310,2545360
2000-03-08,1.581810,1.676210,1.530790,1.563950,0.001255,1784966
2000-03-09,1.593290,1.594570,1.438940,1.438940,0.001155,736014
2000-03-10,1.345820,1.441490,1.324130,1.324130,0.001063,1723704
2000-03-13,1.301170,1.344540,1.218250,1.218250,0.000978,1043308
2000-03-14,1.224630,1.290960,1.125130,1.234830,0.000991,2159206
2000-03-15,1.325400,1.334330,1.325400,1.334330,0.001071,216203
2000-03-16,1.354740,1.441490,1.352190,1.433840,0.001151,1620188
2000-03-17,null,null,null,null,null,null
2000-03-20,null,null,null,null,null,null
2000-03-21,1.362400,1.473380,1.320300,1.330510,0.001068,1949980
2000-03-22,null,null,null,null,null,null
2000-03-23,null,null,null,null,null,null
2000-03-24,null,null,null,null,null,null
2000-03-27,null,null,null,null,null,null
2000-03-28,null,null,null,null,null,null
2000-03-29,null,null,null,null,null,null
2000-03-30,null,null,null,null,null,null
2000-03-31,null,null,null,null,null,null
2000-04-03,null,null,null,null,null,null
2000-04-04,null,null,null,null,null,null
2000-04-05,null,null,null,null,null,null
2000-04-06,null,null,null,null,null,null
2000-04-07,null,null,null,null,null,null
2000-04-10,null,null,null,null,null,null
2000-04-11,null,null,null,null,null,null
2000-04-12,null,null,null,null,null,null
2000-04-13,null,null,null,null,null,null
2000-04-14,null,null,null,null,null,null
2000-04-17,null,null,null,null,null,null
2000-04-18,null,null,null,null,null,null
2000-04-19,null,null,null,null,null,null
2000-04-20,null,null,null,null,null,null
2000-04-21,null,null,null,null,null,null
2000-04-24,null,null,null,null,null,null
2000-04-25,null,null,null,null,null,null
2000-04-26,null,null,null,null,null,null
2000-04-27,null,null,null,null,null,null
2000-04-28,null,null,null,null,null,null
2000-05-01,null,null,null,null,null,null
2000-05-02,null,null,null,null,null,null
2000-05-03,null,null,null,null,null,null
2000-05-04,null,null,null,null,null,null
2000-05-05,null,null,null,null,null,null
2000-05-08,null,null,null,null,null,null
2000-05-09,null,null,null,null,null,null
2000-05-10,null,null,null,null,null,null
2000-05-11,null,null,null,null,null,null
2000-05-12,null,null,null,null,null,null
2000-05-15,null,null,null,null,null,null
2000-05-16,null,null,null,null,null,null
2000-05-17,null,null,null,null,null,null
2000-05-18,null,null,null,null,null,null
2000-05-19,null,null,null,null,null,null
2000-05-22,null,null,null,null,null,null
2000-05-23,null,null,null,null,null,null
2000-05-24,null,null,null,null,null,null
2000-05-25,null,null,null,null,null,null
2000-05-26,null,null,null,null,null,null
2000-05-29,null,null,null,null,null,null
2000-05-30,null,null,null,null,null,null
2000-05-31,null,null,null,null,null,null
2000-06-01,null,null,null,null,null,null
2000-06-02,null,null,null,null,null,null
2000-06-05,null,null,null,null,null,null
2000-06-06,null,null,null,null,null,null
2000-06-07,null,null,null,null,null,null
2000-06-08,null,null,null,null,null,null
2000-06-09,null,null,null,null,null,null
2000-06-12,null,null,null,null,null,null
2000-06-13,null,null,null,null,null,null
2000-06-14,null,null,null,null,null,null
2000-06-15,null,null,null,null,null,null
2000-06-16,null,null,null,null,null,null
2000-06-19,null,null,null,null,null,null
2000-06-20,null,null,null,null,null,null
2000-06-21,null,null,null,null,null,null
2000-06-22,null,null,null,null,null,null
2000-06-23,null,null,null,null,null,null
2000-06-26,null,null,null,null,null,null
2000-06-27,null,null,null,null,null,null
2000-06-28,null,null,null,null,null,null
2000-06-29,null,null,null,null,null,null
2000-06-30,null,null,null,null,null,null
2000-07-03,null,null,null,null,null,null
2000-07-04,null,null,null,null,null,null
2000-07-05,null,null,null,null,null,null
2000-07-06,null,null,null,null,null,null
2000-07-07,null,null,null,null,null,null
2000-07-10,null,null,null,null,null,null
2000-07-11,null,null,null,null,null,null
2000-07-12,null,null,null,null,null,null
2000-07-13,null,null,null,null,null,null
2000-07-14,null,null,null,null,null,null
2000-07-17,null,null,null,null,null,null
2000-07-18,null,null,null,null,null,null
2000-07-19,null,null,null,null,null,null
2000-07-20,null,null,null,null,null,null
2000-07-21,null,null,null,null,null,null
2000-07-24,null,null,null,null,null,null
2000-07-25,null,null,null,null,null,null
2000-07-26,null,null,null,null,null,null
2000-07-27,null,null,null,null,null,null
2000-07-28,null,null,null,null,null,null
2000-07-31,null,null,null,null,null,null
2000-08-01,null,null,null,null,null,null
2000-08-02,null,null,null,null,null,null
2000-08-03,null,null,null,null,null,null
2000-08-04,null,null,null,null,null,null
2000-08-07,null,null,null,null,null,null
2000-08-08,null,null,null,null,null,null
2000-08-09,null,null,null,null,null,null
2000-08-10,null,null,null,null,null,null
2000-08-11,null,null,null,null,null,null
2000-08-14,null,null,null,null,null,null
2000-08-15,null,null,null,null,null,null
2000-08-16,null,null,null,null,null,null
2000-08-17,null,null,null,null,null,null
2000-08-18,null,null,null,null,null,null
2000-08-21,null,null,null,null,null,null
2000-08-22,null,null,null,null,null,null
2000-08-23,null,null,null,null,null,null
2000-08-24,null,null,null,null,null,null
