Date,open,high,low,close,adj_close,volume
2002-07-01,31.980000,31.980000,31.100000,31.280001,10.799284,112855
2002-07-02,31.600000,31.600000,31.240000,31.440001,10.854522,151425
2002-07-03,31.400000,32.160000,31.400000,31.830000,10.989169,161135
2002-07-04,32.000000,32.150002,31.750000,32.090000,11.078932,125250
2002-07-05,32.099998,32.650002,31.600000,32.470001,11.210127,245415
2002-07-08,32.799999,32.959999,32.000000,32.450001,11.203220,135815
2002-07-09,32.599998,32.750000,32.450001,32.669998,11.279172,36755
2002-07-10,31.020000,32.500000,31.020000,32.310001,11.154888,32990
2002-07-11,32.270000,32.270000,32.000000,32.040001,11.061670,21575
2002-07-12,31.000000,32.580002,31.000000,32.299999,11.151432,19520
2002-07-15,32.669998,32.799999,32.130001,32.369999,11.175601,14855
2002-07-16,32.750000,32.750000,32.209999,32.590000,11.251555,24380
2002-07-17,32.000000,32.599998,32.000000,32.549999,11.237744,10275
2002-07-18,31.799999,31.799999,30.200001,30.450001,13.660252,37435
2002-07-19,30.830000,30.879999,28.799999,29.190001,13.095004,58715
2002-07-22,28.000000,28.799999,26.719999,27.030001,12.125998,206435
2002-07-23,26.580000,26.580000,24.799999,25.120001,11.269151,323080
2002-07-24,25.219999,25.799999,25.049999,25.530001,11.453078,144915
2002-07-25,27.400000,27.400000,25.190001,25.299999,11.349900,113515
2002-07-26,25.100000,25.500000,25.000000,25.170000,11.291577,106795
2002-07-29,25.590000,26.360001,25.000000,25.940001,11.637010,105250
2002-07-30,26.090000,26.590000,26.000000,26.030001,11.677386,93360
2002-07-31,26.290001,26.290001,25.740000,25.820000,11.583176,41370
2002-08-01,25.809999,25.990000,25.700001,25.910000,11.623550,20870
2002-08-02,25.600000,25.799999,25.400000,25.480000,11.430648,21180
2002-08-05,25.799999,25.799999,24.799999,24.900000,11.170451,64640
2002-08-06,24.799999,25.100000,24.799999,24.990000,11.210830,66420
2002-08-07,25.750000,25.750000,24.840000,24.980000,11.206342,40275
2002-08-08,25.090000,25.090000,24.500000,24.610001,11.040356,26620
2002-08-09,24.219999,24.780001,24.000000,24.559999,11.017925,22490
2002-08-12,24.240000,24.600000,24.240000,24.379999,10.937177,13340
2002-08-13,24.430000,24.639999,24.400000,24.500000,10.991008,10100
2002-08-14,24.799999,24.980000,24.200001,24.590000,11.031382,16375
2002-08-15,null,null,null,null,null,null
2002-08-16,24.780001,25.000000,24.549999,24.920000,11.179426,5960
2002-08-19,25.000000,25.000000,24.500000,24.580000,11.026896,12630
2002-08-20,24.600000,24.600000,24.000000,24.090000,10.807076,39425
2002-08-21,24.680000,24.680000,24.299999,24.330000,10.914746,12230
2002-08-22,24.700001,24.700001,24.450001,24.500000,10.991008,8345
2002-08-23,24.600000,24.799999,24.600000,24.700001,11.080731,11125
2002-08-26,24.980000,25.000000,24.450001,24.670000,11.067273,22250
2002-08-27,24.959999,24.959999,24.360001,24.520000,10.999980,12050
2002-08-28,24.799999,24.799999,24.360001,24.480000,10.982035,15390
2002-08-29,24.209999,24.600000,24.209999,24.370001,10.932688,12355
2002-08-30,24.200001,24.600000,24.200001,24.260000,10.883340,16400
