Date,open,high,low,close,adj_close,volume
2000-01-03,24.375000,26.250000,24.375000,25.762501,9.130318,202813
2000-01-04,26.193800,27.337500,24.750000,24.881300,8.818017,261592
2000-01-05,25.631300,25.762501,22.912500,23.700001,8.399359,247173
2000-01-06,24.299999,25.125000,23.625000,24.356300,8.631955,463077
2000-01-07,24.712500,24.712500,23.250000,23.493700,8.326246,230907
2000-01-10,24.356300,24.356300,23.250000,23.362499,8.279750,226944
2000-01-11,23.250000,23.400000,22.125000,22.424999,7.947496,258936
2000-01-12,23.512501,23.512501,22.593800,23.081200,8.180058,261264
2000-01-13,23.362499,23.437500,22.968800,23.193800,8.219963,75069
2000-01-14,23.156200,23.587500,22.518700,23.418800,8.299702,88333
2000-01-17,23.812500,24.168800,23.250000,23.924999,8.479100,219320
2000-01-18,24.150000,25.462500,23.831200,25.106300,8.897758,187960
2000-01-19,26.250000,26.250000,24.375000,24.674999,8.744903,318219
2000-01-20,24.562500,24.918800,23.568800,23.775000,8.425941,125568
2000-01-21,23.343800,24.000000,23.250000,23.343800,8.273122,153077
2000-01-24,23.625000,24.093800,22.968800,23.306200,8.259797,142496
2000-01-25,22.968800,23.418800,22.556200,22.706200,8.047151,218397
2000-01-26,null,null,null,null,null,null
2000-01-27,23.512501,23.625000,22.687500,22.799999,8.080398,101920
2000-01-28,22.968800,22.968800,22.500000,22.818800,8.087059,47120
2000-01-31,22.593800,22.875000,21.787500,21.937500,7.774724,65283
2000-02-01,22.125000,22.424999,21.862499,21.975000,7.788015,92973
2000-02-02,22.781200,23.231300,22.500000,22.893700,8.113606,84000
2000-02-03,22.725000,23.418800,22.725000,22.856300,8.100350,478669
2000-02-04,23.062500,23.062500,22.125000,22.443800,7.954157,112013
2000-02-07,21.750000,22.762501,21.750000,22.031200,7.807930,52893
2000-02-08,21.918800,22.218800,21.093800,21.356300,7.568744,115957
2000-02-09,22.293800,22.312500,21.375000,22.031200,7.807930,53728
2000-02-10,22.424999,23.250000,22.237499,23.062500,8.173428,273373
2000-02-11,23.662500,24.375000,22.537500,22.612499,8.013946,109320
2000-02-14,22.875000,23.212500,21.375000,21.431200,7.595292,103016
2000-02-15,21.375000,22.350000,21.056200,21.693800,7.688355,1220592
2000-02-16,22.331200,22.875000,21.600000,21.806200,7.728193,105856
2000-02-17,22.331200,23.549999,22.331200,23.549999,8.346200,410315
2000-02-18,25.443800,25.443800,25.443800,25.443800,9.017370,82261
2000-02-21,27.487499,27.487499,27.487499,27.487499,9.741662,95221
2000-02-22,29.700001,29.700001,29.531200,29.700001,10.525778,693397
2000-02-23,32.062500,32.062500,27.393700,31.387501,11.123837,1755752
2000-02-24,31.500000,31.837500,28.875000,28.875000,10.233397,237280
2000-02-25,28.143700,29.512501,26.568800,26.568800,9.416072,185760
2000-02-28,25.125000,26.418800,24.450001,26.137501,9.263219,321456
2000-02-29,26.287500,27.900000,24.375000,24.581200,8.711660,357880
2000-03-01,24.412500,26.250000,24.393700,25.575001,9.063866,95920
2000-03-02,26.437500,26.812500,23.625000,23.868700,8.459149,126547
2000-03-03,23.437500,24.000000,22.406200,22.725000,8.053817,96560
2000-03-06,22.331200,23.062500,21.581200,22.500000,7.974075,98880
2000-03-07,21.206200,22.125000,21.112499,21.450001,7.601953,282173
2000-03-08,22.837500,23.174999,21.187500,23.025000,8.160138,209240
2000-03-09,24.150000,24.712500,22.125000,24.506300,8.685116,117965
2000-03-10,23.250000,25.462500,23.250000,24.506300,8.685116,189307
2000-03-13,24.337500,24.637501,23.531200,24.281200,8.605339,136427
2000-03-14,23.325001,25.424999,23.250000,24.356300,8.631955,403835
2000-03-15,24.375000,24.750000,23.662500,24.299999,8.612000,100363
2000-03-16,23.662500,24.750000,23.625000,24.356300,8.631955,133147
2000-03-17,null,null,null,null,null,null
2000-03-20,null,null,null,null,null,null
2000-03-21,23.662500,24.112499,22.481300,22.518700,7.980703,209432
2000-03-22,null,null,null,null,null,null
2000-03-23,null,null,null,null,null,null
2000-03-24,null,null,null,null,null,null
2000-03-27,null,null,null,null,null,null
2000-03-28,null,null,null,null,null,null
2000-03-29,null,null,null,null,null,null
2000-03-30,null,null,null,null,null,null
2000-03-31,null,null,null,null,null,null
2000-04-03,null,null,null,null,null,null
2000-04-04,null,null,null,null,null,null
2000-04-05,null,null,null,null,null,null
2000-04-06,null,null,null,null,null,null
2000-04-07,null,null,null,null,null,null
2000-04-10,null,null,null,null,null,null
2000-04-11,null,null,null,null,null,null
2000-04-12,null,null,null,null,null,null
2000-04-13,null,null,null,null,null,null
2000-04-14,null,null,null,null,null,null
2000-04-17,null,null,null,null,null,null
2000-04-18,null,null,null,null,null,null
2000-04-19,null,null,null,null,null,null
2000-04-20,null,null,null,null,null,null
2000-04-21,null,null,null,null,null,null
2000-04-24,null,null,null,null,null,null
2000-04-25,null,null,null,null,null,null
2000-04-26,null,null,null,null,null,null
2000-04-27,null,null,null,null,null,null
2000-04-28,null,null,null,null,null,null
2000-05-01,null,null,null,null,null,null
2000-05-02,null,null,null,null,null,null
2000-05-03,null,null,null,null,null,null
2000-05-04,null,null,null,null,null,null
2000-05-05,null,null,null,null,null,null
2000-05-08,null,null,null,null,null,null
2000-05-09,null,null,null,null,null,null
2000-05-10,null,null,null,null,null,null
2000-05-11,null,null,null,null,null,null
2000-05-12,null,null,null,null,null,null
2000-05-15,null,null,null,null,null,null
2000-05-16,null,null,null,null,null,null
2000-05-17,null,null,null,null,null,null
2000-05-18,null,null,null,null,null,null
2000-05-19,null,null,null,null,null,null
2000-05-22,null,null,null,null,null,null
2000-05-23,null,null,null,null,null,null
2000-05-24,null,null,null,null,null,null
2000-05-25,null,null,null,null,null,null
2000-05-26,null,null,null,null,null,null
2000-05-29,null,null,null,null,null,null
2000-05-30,null,null,null,null,null,null
2000-05-31,null,null,null,null,null,null
2000-06-01,null,null,null,null,null,null
2000-06-02,null,null,null,null,null,null
