Date,open,high,low,close,adj_close,volume
2002-07-01,8.850000,8.950000,8.400000,8.750000,7.572604,10550
2002-07-02,8.600000,9.000000,8.500000,8.650000,7.486060,14649
2002-07-03,9.500000,9.500000,8.400000,8.500000,7.356243,3450
2002-07-04,8.900000,9.000000,8.600000,8.650000,7.486060,15700
2002-07-05,8.950000,9.000000,8.750000,8.850000,7.659147,7750
2002-07-08,8.900000,10.650000,8.900000,10.000000,8.654405,72444
2002-07-09,10.100000,10.350000,8.500000,8.750000,7.572604,63020
2002-07-10,9.100000,9.500000,8.700000,8.750000,7.572604,14915
2002-07-11,8.350000,8.900000,8.350000,8.700000,7.529331,3284
2002-07-12,8.650000,8.750000,8.500000,8.600000,7.442787,7893
2002-07-15,8.500000,8.600000,8.400000,8.500000,7.356243,2100
2002-07-16,8.450000,8.550000,8.400000,8.400000,7.269699,2250
2002-07-17,9.000000,9.000000,7.600000,7.800000,6.750436,5665
2002-07-18,8.000000,8.300000,7.700000,7.900000,6.836979,2231
2002-07-19,7.400000,7.750000,7.400000,7.600000,6.577347,2790
2002-07-22,7.050000,7.250000,6.850000,6.850000,5.928267,1805
2002-07-23,6.600000,6.850000,6.500000,6.700000,5.798450,3145
2002-07-24,6.850000,6.850000,6.200000,6.300000,5.452275,611
2002-07-25,6.850000,6.850000,6.500000,6.550000,5.668634,1500
2002-07-26,6.400000,6.400000,6.100000,6.100000,5.279186,1950
2002-07-29,6.500000,6.500000,6.500000,6.500000,5.625363,20
2002-07-30,5.950000,6.350000,5.850000,5.850000,5.062827,2820
2002-07-31,5.900000,6.100000,5.800000,5.800000,5.019554,2400
2002-08-01,6.000000,6.000000,5.900000,5.900000,5.106098,750
2002-08-02,5.500000,5.900000,5.500000,5.900000,5.106098,650
2002-08-05,null,null,null,null,null,null
2002-08-06,5.600000,5.600000,5.600000,5.600000,4.846466,247
2002-08-07,5.850000,6.000000,5.800000,6.000000,5.192643,738
2002-08-08,6.500000,6.500000,5.500000,5.550000,4.803195,1510
2002-08-09,5.550000,6.000000,5.550000,5.900000,5.106098,3035
2002-08-12,6.150000,6.150000,5.550000,5.950000,5.149370,152
2002-08-13,6.500000,6.500000,5.600000,5.600000,4.846466,1200
2002-08-14,5.600000,6.150000,5.600000,5.750000,4.976283,1700
2002-08-15,null,null,null,null,null,null
2002-08-16,5.350000,5.400000,5.350000,5.400000,4.673378,350
2002-08-19,4.900000,4.900000,4.900000,4.900000,4.240658,1
2002-08-20,5.200000,5.200000,5.200000,5.200000,4.500289,50
2002-08-21,5.200000,5.750000,5.150000,5.750000,4.976283,2100
2002-08-22,5.200000,6.000000,5.200000,5.650000,4.889739,900
2002-08-23,6.000000,6.000000,5.500000,5.700000,4.933010,1200
2002-08-26,5.600000,5.650000,5.400000,5.600000,4.846466,1400
2002-08-27,5.050000,5.900000,5.050000,5.200000,4.500289,700
2002-08-28,5.900000,5.900000,5.150000,5.250000,4.543562,3
2002-08-29,6.000000,6.000000,5.000000,5.000000,4.327202,600
2002-08-30,5.850000,5.850000,5.850000,5.850000,5.062827,1
2002-09-02,5.250000,5.500000,5.250000,5.500000,4.759922,200
2002-09-03,6.600000,6.600000,4.800000,5.250000,4.543562,200
2002-09-04,6.300000,6.300000,5.000000,5.250000,4.543562,749
2002-09-05,4.250000,5.250000,4.250000,5.250000,4.543562,700
2002-09-06,4.700000,5.300000,4.600000,5.200000,4.500289,1100
2002-09-09,5.700000,5.700000,5.700000,5.700000,4.933010,1
2002-09-10,null,null,null,null,null,null
2002-09-11,5.000000,5.400000,4.700000,4.750000,4.110842,1200
2002-09-12,5.700000,5.700000,4.700000,4.700000,4.067570,100
2002-09-13,5.600000,5.600000,4.600000,4.750000,4.110842,700
2002-09-16,5.600000,5.600000,4.650000,4.650000,4.024298,500
2002-09-17,5.400000,5.400000,4.750000,4.800000,4.154114,528
2002-09-18,4.600000,4.800000,4.550000,4.550000,3.937754,600
2002-09-19,5.400000,5.400000,4.700000,4.900000,4.240658,1100
2002-09-20,5.750000,5.750000,4.500000,5.450000,4.716650,400
2002-09-23,5.900000,6.550000,5.650000,6.550000,5.668634,22900
2002-09-24,7.000000,7.000000,6.350000,6.500000,5.625363,29000
2002-09-25,6.500000,6.500000,6.000000,6.000000,5.192643,6800
2002-09-26,6.500000,6.750000,6.000000,6.500000,5.625363,4500
2002-09-27,6.200000,6.750000,6.200000,6.200000,5.365730,3000
2002-09-30,6.150000,6.250000,6.150000,6.200000,5.365730,900
2002-10-01,6.450000,6.450000,6.250000,6.350000,5.495546,700
2002-10-02,null,null,null,null,null,null
2002-10-03,6.050000,6.150000,6.050000,6.150000,5.322459,600
2002-10-04,6.200000,6.450000,6.150000,6.150000,5.322459,1600
2002-10-07,6.750000,6.800000,6.750000,6.800000,5.884995,800
2002-10-08,6.500000,7.000000,6.500000,6.700000,5.798450,2100
2002-10-09,6.900000,6.900000,6.900000,6.900000,5.971539,100
2002-10-10,6.650000,6.650000,6.600000,6.600000,5.711907,1500
2002-10-11,6.500000,6.500000,6.150000,6.400000,5.538819,800
2002-10-14,6.200000,6.300000,6.200000,6.250000,5.409002,700
2002-10-15,null,null,null,null,null,null
2002-10-16,6.100000,6.100000,6.100000,6.100000,5.279186,348
2002-10-17,6.200000,6.200000,6.150000,6.150000,5.322459,200
2002-10-18,6.050000,6.150000,6.000000,6.150000,5.322459,350
2002-10-21,null,null,null,null,null,null
2002-10-22,5.150000,6.450000,5.150000,6.050000,5.235915,500
2002-10-23,6.000000,6.000000,5.900000,5.900000,5.106098,2600
2002-10-24,6.050000,6.100000,6.050000,6.050000,5.235915,600
2002-10-25,6.100000,6.500000,6.050000,6.500000,5.625363,2100
2002-10-28,6.250000,6.500000,6.100000,6.150000,5.322459,2700
2002-10-29,6.250000,6.250000,6.250000,6.250000,5.409002,200
2002-10-30,6.300000,6.300000,5.950000,5.950000,5.149370,700
2002-10-31,5.900000,5.900000,5.850000,5.850000,5.062827,300
2002-11-01,5.800000,6.000000,5.800000,5.800000,5.019554,900
2002-11-04,null,null,null,null,null,null
2002-11-05,5.800000,6.000000,5.800000,6.000000,5.192643,370
2002-11-06,null,null,null,null,null,null
2002-11-07,null,null,null,null,null,null
2002-11-08,null,null,null,null,null,null
2002-11-11,5.700000,5.700000,5.650000,5.650000,4.889739,600
2002-11-12,5.650000,5.900000,5.650000,5.650000,4.889739,1200
2002-11-13,5.550000,5.850000,5.550000,5.850000,5.062827,400
2002-11-14,5.600000,5.600000,5.500000,5.500000,4.759922,1160
2002-11-15,5.300000,5.500000,5.300000,5.350000,4.630106,850
2002-11-18,5.400000,5.600000,5.400000,5.600000,4.846466,1100
2002-11-19,null,null,null,null,null,null
2002-11-20,4.850000,5.500000,4.850000,5.500000,4.759922,500
2002-11-21,5.400000,5.650000,5.400000,5.550000,4.803195,1500
2002-11-22,5.550000,6.200000,5.550000,6.200000,5.365730,3300
2002-11-25,6.550000,7.450000,6.500000,7.450000,6.447531,31600
2002-11-26,7.950000,8.750000,7.850000,8.350000,7.226428,47200
2002-11-27,8.450000,8.650000,7.900000,7.950000,6.880251,20400
2002-11-28,8.450000,8.450000,7.550000,7.950000,6.880251,9000
2002-11-29,7.650000,7.950000,7.450000,7.950000,6.880251,4010
2002-12-02,8.000000,8.500000,7.800000,7.900000,6.836979,13900
2002-12-03,7.550000,7.950000,7.250000,7.850000,6.793707,6700
2002-12-04,7.050000,7.650000,7.050000,7.550000,6.534075,3300
2002-12-05,7.050000,7.500000,7.050000,7.300000,6.317715,1300
2002-12-06,7.300000,7.900000,7.250000,7.800000,6.750436,10200
2002-12-09,7.400000,8.000000,7.350000,7.350000,6.360987,5200
2002-12-10,7.250000,7.500000,7.200000,7.350000,6.360987,1793
2002-12-11,7.150000,7.300000,6.750000,7.000000,6.058083,4500
2002-12-12,6.600000,7.300000,6.600000,6.900000,5.971539,6700
2002-12-13,7.000000,7.050000,6.800000,6.800000,5.884995,4600
2002-12-16,6.900000,6.900000,6.650000,6.650000,5.755178,4000
2002-12-17,6.400000,6.750000,6.400000,6.750000,5.841723,1200
2002-12-18,6.700000,6.750000,6.400000,6.550000,5.668634,1900
2002-12-19,6.400000,6.700000,6.400000,6.550000,5.668634,800
2002-12-20,6.450000,6.600000,6.300000,6.600000,5.711907,10400
2002-12-23,6.600000,6.700000,6.500000,6.700000,5.798450,600
2002-12-24,6.500000,6.500000,6.300000,6.300000,5.452275,3500
2002-12-25,null,null,null,null,null,null
2002-12-26,6.600000,6.600000,6.500000,6.550000,5.668634,10000
2002-12-27,6.150000,6.500000,6.150000,6.450000,5.582090,2700
2002-12-30,6.400000,6.550000,6.400000,6.400000,5.538819,1600
2002-12-31,6.450000,6.600000,6.400000,6.600000,5.711907,890
2003-01-01,7.000000,7.000000,6.550000,6.600000,5.711907,3100
2003-01-02,6.650000,6.950000,6.650000,6.850000,5.928267,1500
2003-01-03,6.750000,7.000000,6.750000,6.950000,6.014811,1000
2003-01-06,6.500000,6.850000,6.500000,6.650000,5.755178,5900
2003-01-07,6.600000,6.600000,6.500000,6.550000,5.668634,3100
2003-01-08,6.600000,6.850000,6.600000,6.650000,5.755178,1400
2003-01-09,6.500000,6.550000,6.500000,6.550000,5.668634,640
2003-01-10,6.600000,6.700000,6.550000,6.600000,5.711907,1200
2003-01-13,6.550000,6.550000,6.400000,6.500000,5.625363,1500
2003-01-14,6.500000,6.650000,6.450000,6.450000,5.582090,2600
2003-01-15,6.500000,6.500000,6.450000,6.500000,5.625363,3200
2003-01-16,7.050000,7.050000,6.500000,6.850000,5.928267,2200
2003-01-17,6.700000,6.800000,6.700000,6.800000,5.884995,950
2003-01-20,6.600000,6.800000,6.600000,6.600000,5.711907,5300
2003-01-21,6.750000,6.800000,6.500000,6.600000,5.711907,3600
2003-01-22,6.600000,6.800000,6.600000,6.750000,5.841723,5600
2003-01-23,7.100000,7.100000,6.600000,6.600000,5.711907,1100
2003-01-24,6.650000,6.700000,6.450000,6.700000,5.798450,4400
2003-01-27,6.450000,6.450000,6.300000,6.300000,5.452275,1300
2003-01-28,6.400000,6.400000,6.100000,6.200000,5.365730,3200
2003-01-29,6.200000,6.400000,6.200000,6.250000,5.409002,3300
2003-01-30,6.150000,6.150000,6.100000,6.100000,5.279186,1000
2003-01-31,6.100000,6.600000,5.950000,6.250000,5.409002,4300
2003-02-03,6.450000,6.450000,5.950000,6.200000,5.365730,980
2003-02-04,6.400000,6.450000,6.200000,6.250000,5.409002,2000
2003-02-05,6.100000,6.100000,6.050000,6.050000,5.235915,400
2003-02-06,6.000000,6.000000,5.950000,6.000000,5.192643,1700
2003-02-07,6.000000,6.000000,5.750000,5.750000,4.976283,900
2003-02-10,5.750000,6.150000,5.650000,6.150000,5.322459,430
2003-02-11,5.650000,5.700000,5.550000,5.700000,4.933010,1400
2003-02-12,null,null,null,null,null,null
2003-02-13,null,null,null,null,null,null
2003-02-14,5.500000,5.600000,5.500000,5.600000,4.846466,1300
2003-02-17,5.600000,5.600000,5.600000,5.600000,4.846466,1100
2003-02-18,6.000000,6.250000,5.850000,5.850000,5.062827,1100
2003-02-19,5.650000,5.750000,5.650000,5.700000,4.933010,450
2003-02-20,5.700000,5.700000,5.700000,5.700000,4.933010,300
2003-02-21,null,null,null,null,null,null
2003-02-24,5.650000,5.650000,5.600000,5.600000,4.846466,1190
2003-02-25,5.300000,6.000000,5.300000,5.350000,4.630106,2400
2003-02-26,5.500000,5.800000,5.350000,5.400000,4.673378,550
2003-02-27,5.250000,5.500000,5.200000,5.500000,4.759922,2500
2003-02-28,5.500000,5.600000,5.500000,5.500000,4.759922,1100
2003-03-03,5.450000,5.500000,5.400000,5.450000,4.716650,850
2003-03-04,5.450000,5.450000,5.450000,5.450000,4.716650,285
2003-03-05,5.400000,5.650000,5.050000,5.200000,4.500289,1600
2003-03-06,5.050000,5.050000,5.050000,5.050000,4.370474,50
2003-03-07,4.800000,4.800000,4.800000,4.800000,4.154114,150
2003-03-10,5.150000,5.150000,4.750000,4.750000,4.110842,500
2003-03-11,4.700000,4.700000,4.650000,4.650000,4.024298,500
2003-03-12,3.800000,5.500000,3.800000,4.800000,4.154114,1000
2003-03-13,4.500000,4.550000,4.500000,4.550000,3.937754,1000
2003-03-14,null,null,null,null,null,null
2003-03-17,4.900000,4.900000,4.450000,4.650000,4.024298,5700
2003-03-18,null,null,null,null,null,null
2003-03-19,4.600000,4.900000,4.550000,4.550000,3.937754,1700
2003-03-20,4.400000,4.550000,4.400000,4.500000,3.894482,2000
2003-03-21,4.350000,5.000000,4.350000,4.950000,4.283930,800
2003-03-24,4.400000,4.550000,4.300000,4.550000,3.937754,1700
2003-03-25,4.450000,4.450000,4.450000,4.450000,3.851210,500
2003-03-26,4.400000,4.400000,4.400000,4.400000,3.807938,155
2003-03-27,4.300000,4.550000,4.300000,4.550000,3.937754,450
2003-03-28,4.300000,4.300000,4.300000,4.300000,3.721394,100
2003-03-31,4.350000,4.650000,4.350000,4.650000,4.024298,750
2003-04-01,4.450000,4.600000,4.150000,4.500000,3.894482,2600
2003-04-02,null,null,null,null,null,null
2003-04-03,4.500000,5.100000,4.500000,4.750000,4.110842,1200
2003-04-04,5.400000,5.700000,5.400000,5.700000,4.933010,3200
2003-04-07,5.900000,5.900000,5.400000,5.400000,4.673378,2900
2003-04-08,5.050000,6.100000,5.050000,6.000000,5.192643,1800
2003-04-09,null,null,null,null,null,null
2003-04-10,5.550000,5.550000,5.550000,5.550000,4.803195,600
