Date,open,high,low,close,adj_close,volume
2002-07-01,1.295000,1.375000,1.295000,1.372500,20.453602,21640
2002-07-02,1.380000,1.380000,1.325000,1.329500,19.812792,14300
2002-07-03,1.358500,1.450000,1.351000,1.368500,20.393993,185700
2002-07-04,1.375000,1.415000,1.375000,1.401500,20.885769,41690
2002-07-05,1.400000,1.410000,1.380500,1.395500,20.796356,310550
2002-07-08,1.408500,1.410000,1.375500,1.395000,20.788908,12430
2002-07-09,1.380000,1.435000,1.380000,1.408500,20.990086,27670
2002-07-10,1.400000,1.405000,1.385000,1.397000,20.818714,20690
2002-07-11,1.365000,1.405000,1.365000,1.384000,20.624977,15000
2002-07-12,1.375000,1.375000,1.355000,1.375000,20.490860,3850
2002-07-15,1.360000,1.360000,1.327000,1.344000,20.028885,6660
2002-07-16,1.340000,1.340000,1.310500,1.320500,19.678673,11600
2002-07-17,1.335000,1.340000,1.295000,1.327000,19.775539,13570
2002-07-18,1.310500,1.350000,1.310500,1.348500,20.095942,8580
2002-07-19,1.326000,1.359000,1.326000,1.345000,20.043791,11330
2002-07-22,1.344500,1.355000,1.336500,1.346000,20.058685,49460
2002-07-23,1.260000,1.335000,1.255000,1.327000,19.775539,5100
2002-07-24,1.330000,1.345000,1.330000,1.344500,20.036331,17600
2002-07-25,1.345000,1.358500,1.330000,1.348000,20.088497,32310
2002-07-26,1.323500,1.336000,1.316500,1.328500,19.797894,10360
2002-07-29,1.312500,1.330000,1.307000,1.330000,19.820251,31630
2002-07-30,1.325000,1.330000,1.313000,1.321000,19.686129,14450
2002-07-31,1.275000,1.275000,1.230500,1.255000,18.702568,154090
2002-08-01,1.270500,1.277500,1.250000,1.256500,18.724918,8700
2002-08-02,1.228500,1.297500,1.205500,1.222500,18.218237,16710
2002-08-05,1.250000,1.260000,1.180000,1.193000,17.778618,10900
2002-08-06,1.219500,1.219500,1.190000,1.198000,17.853127,6880
2002-08-07,1.205000,1.225000,1.192000,1.196500,17.830770,14490
2002-08-08,1.200000,1.205000,1.191000,1.197500,17.845671,2900
