Date,open,high,low,close,adj_close,volume
2002-07-01,6.000000,6.050000,6.000000,6.050000,6.050000,413
2002-07-02,6.000000,6.950000,6.000000,6.200000,6.200000,2753
2002-07-03,6.550000,7.450000,6.550000,7.050000,7.050000,11558
2002-07-04,5.800000,7.600000,5.800000,6.250000,6.250000,6414
2002-07-05,6.000000,6.400000,6.000000,6.350000,6.350000,1625
2002-07-08,6.500000,7.650000,6.000000,7.450000,7.450000,23517
2002-07-09,7.200000,7.250000,6.600000,6.650000,6.650000,9212
2002-07-10,7.100000,7.100000,6.300000,6.350000,6.350000,2718
2002-07-11,5.500000,6.450000,5.500000,6.150000,6.150000,3128
2002-07-12,5.900000,5.900000,5.900000,5.900000,5.900000,286
2002-07-15,5.550000,5.550000,5.200000,5.300000,5.300000,1763
2002-07-16,5.000000,5.000000,4.750000,4.800000,4.800000,8732
2002-07-17,4.550000,4.650000,4.550000,4.650000,4.650000,753
2002-07-18,4.500000,5.300000,4.500000,5.000000,5.000000,7112
2002-07-19,4.950000,4.950000,4.900000,4.950000,4.950000,314
2002-07-22,4.450000,4.450000,4.150000,4.200000,4.200000,403
2002-07-23,4.000000,4.450000,4.000000,4.250000,4.250000,1137
2002-07-24,4.200000,4.500000,4.200000,4.500000,4.500000,262
2002-07-25,4.600000,4.600000,4.200000,4.300000,4.300000,302
2002-07-26,3.850000,4.450000,3.850000,4.400000,4.400000,2362
2002-07-29,3.650000,4.600000,3.550000,3.600000,3.600000,3324
2002-07-30,3.750000,3.750000,3.750000,3.750000,3.750000,1200
2002-07-31,3.700000,3.700000,3.700000,3.700000,3.700000,176
2002-08-01,3.100000,3.400000,3.100000,3.200000,3.200000,3872
2002-08-02,3.200000,3.650000,3.200000,3.650000,3.650000,187
2002-08-05,3.900000,3.950000,3.800000,3.800000,3.800000,1468
2002-08-06,3.400000,3.500000,3.400000,3.500000,3.500000,1500
2002-08-07,3.500000,3.500000,3.500000,3.500000,3.500000,5000
2002-08-08,3.250000,3.250000,3.250000,3.250000,3.250000,25
2002-08-09,3.050000,3.050000,3.050000,3.050000,3.050000,250
2002-08-12,2.800000,2.950000,2.550000,2.950000,2.950000,2700
2002-08-13,3.000000,3.000000,2.500000,2.500000,2.500000,5100
2002-08-14,2.650000,3.000000,2.650000,3.000000,3.000000,5200
2002-08-15,null,null,null,null,null,null
2002-08-16,3.000000,3.200000,2.900000,3.200000,3.200000,700
2002-08-19,2.650000,3.000000,2.650000,3.000000,3.000000,5000
2002-08-20,null,null,null,null,null,null
