Date,open,high,low,close,adj_close,volume
2009-09-23,101.000000,111.699997,89.500000,90.000000,86.475601,13142800
2009-09-24,89.800003,95.449997,86.300003,92.349998,88.733574,4907619
2009-09-25,92.900002,94.199997,91.000000,91.349998,87.772736,933872
2009-09-29,92.000000,93.199997,88.099998,88.849998,85.370628,563698
2009-09-30,89.000000,89.000000,85.550003,85.900002,82.536156,399842
2009-10-01,86.000000,89.800003,82.550003,85.849998,82.488121,1004562
2009-10-05,85.000000,93.500000,83.699997,88.900002,85.418678,2207664
2009-10-06,90.250000,90.250000,85.000000,86.050003,82.680283,366166
2009-10-07,87.300003,88.400002,84.550003,85.449997,82.103775,234871
2009-10-08,86.199997,86.699997,81.949997,83.449997,80.182098,213283
2009-10-09,85.000000,85.949997,81.000000,81.400002,78.212379,247328
2009-10-12,82.000000,82.949997,80.099998,80.400002,77.251541,186112
2009-10-13,null,null,null,null,null,null
2009-10-14,81.000000,82.000000,78.000000,78.199997,75.137688,224986
2009-10-15,78.800003,79.400002,77.199997,77.500000,74.465096,176283
2009-10-16,78.000000,78.000000,75.250000,75.500000,72.543411,126906
2009-10-20,75.900002,90.250000,75.650002,87.900002,84.457840,3845700
2009-10-21,88.900002,89.000000,84.500000,84.949997,81.623360,826001
2009-10-22,84.900002,95.800003,83.449997,85.800003,82.440079,2663964
2009-10-23,87.400002,93.400002,87.099998,89.250000,85.754974,1301604
2009-10-26,92.199997,92.199997,85.699997,86.500000,83.112656,454412
2009-10-27,86.000000,86.500000,81.349998,81.949997,78.740837,245723
2009-10-28,81.150002,83.500000,81.000000,81.500000,78.308464,170745
2009-10-29,80.699997,80.800003,78.500000,79.349998,76.242653,181533
2009-10-30,81.050003,83.849998,77.500000,78.650002,75.570076,201577
2009-11-03,78.550003,79.500000,76.000000,76.199997,73.216011,124103
2009-11-04,77.699997,79.500000,75.050003,78.400002,75.329865,185271
2009-11-05,78.400002,78.900002,76.400002,77.150002,74.128807,108772
2009-11-06,78.050003,83.900002,77.949997,80.599998,77.443703,303231
2009-11-09,81.599998,83.500000,81.050003,82.599998,79.365387,114113
2009-11-10,83.900002,84.449997,80.000000,80.449997,77.299576,149596
2009-11-11,80.099998,82.599998,79.500000,81.199997,78.020210,133652
2009-11-12,81.400002,91.800003,80.949997,88.699997,85.226509,947298
2009-11-13,89.199997,90.000000,85.000000,85.599998,82.247910,228557
2009-11-16,85.849998,88.800003,84.000000,85.550003,82.199867,95274
2009-11-17,86.400002,86.449997,83.099998,84.000000,80.710564,102423
2009-11-18,83.099998,89.000000,83.099998,85.250000,81.911613,203325
2009-11-19,85.300003,85.900002,83.000000,83.550003,80.278191,88219
2009-11-20,82.699997,85.000000,82.699997,83.349998,80.086014,72450
2009-11-23,83.949997,84.650002,83.250000,84.000000,80.710564,77035
2009-11-24,83.949997,94.000000,83.500000,89.750000,86.235397,2112199
2009-11-25,90.000000,93.000000,84.849998,88.150002,84.698051,992860
2009-11-26,88.150002,92.500000,86.000000,86.900002,83.496994,643155
2009-11-27,84.500000,86.750000,83.500000,85.300003,81.959656,295300
2009-11-30,87.000000,89.550003,86.250000,86.800003,83.400917,114261
2009-12-01,87.849998,90.900002,87.500000,88.750000,85.274559,236640
2009-12-02,90.000000,92.000000,87.750000,90.900002,87.340355,366960
2009-12-03,91.699997,94.000000,91.000000,93.300003,89.646370,650916
2009-12-04,92.500000,93.400002,91.000000,91.699997,88.109032,163467
2009-12-07,92.699997,92.900002,87.099998,87.849998,84.409790,420630
2009-12-08,88.500000,89.900002,87.199997,87.550003,84.121552,190874
2009-12-09,88.250000,100.000000,87.000000,96.650002,92.865196,1719374
2009-12-10,96.800003,97.449997,93.099998,93.599998,89.934616,387938
2009-12-11,94.750000,99.000000,93.500000,95.599998,91.856308,887822
2009-12-14,96.400002,96.949997,89.900002,92.650002,89.021828,441194
2009-12-15,93.000000,98.150002,93.000000,93.650002,89.982674,551660
2009-12-16,92.699997,96.500000,92.699997,93.550003,89.886589,232727
2009-12-17,94.250000,95.949997,93.599998,94.949997,91.231750,170072
2009-12-18,94.150002,95.650002,90.300003,91.000000,87.436447,187193
2009-12-21,93.000000,93.900002,91.250000,91.750000,88.157074,162847
2009-12-22,93.000000,97.650002,92.000000,94.900002,91.183723,720898
2009-12-23,95.199997,101.699997,95.000000,98.199997,94.354492,1715660
2009-12-24,99.000000,101.750000,95.550003,96.250000,92.480850,373421
2009-12-29,97.199997,103.000000,96.500000,102.099998,98.101776,1413536
