Date,open,high,low,close,adj_close,volume
2010-04-16,12.400000,14.100000,9.220000,12.760000,8.438034,368306200
2010-04-19,12.135000,12.230000,11.255000,11.420000,7.551908,71033210
2010-04-20,11.465000,12.000000,11.200000,11.745000,7.766827,33281810
2010-04-21,11.810000,11.865000,10.780000,10.960000,7.247715,33612450
2010-04-22,11.080000,11.120000,10.365000,10.525000,6.960055,40589850
2010-04-23,10.500000,11.000000,10.500000,10.895000,7.204732,17193970
2010-04-26,11.020000,11.400000,10.830000,11.280000,7.459327,12161130
2010-04-27,11.250000,11.480000,11.035000,11.310000,7.479167,10490890
2010-04-28,11.000000,11.150000,10.675000,10.785000,7.131990,3132290
2010-04-29,10.880000,10.995000,10.600000,10.720000,7.089007,3286800
2010-04-30,10.800000,10.870000,10.600000,10.660000,7.049329,3256530
2010-05-03,10.700000,10.790000,10.520000,10.580000,6.996426,1376990
2010-05-04,10.600000,10.750000,9.950000,10.100000,6.679008,1889050
2010-05-05,9.800000,10.390000,9.600000,10.270000,6.791427,4044180
2010-05-06,10.225000,10.550000,10.030000,10.400000,6.877394,2479390
2010-05-07,10.200000,10.450000,9.800000,10.320000,6.824492,2889750
2010-05-10,10.500000,10.500000,10.155000,10.265000,6.788121,1832120
2010-05-11,10.230000,10.390000,9.810000,9.875000,6.530219,648940
2010-05-12,9.895000,10.095000,9.650000,9.745000,6.444251,730170
2010-05-13,9.800000,10.500000,9.800000,10.330000,6.831104,2315820
2010-05-14,10.200000,10.390000,9.750000,9.960000,6.586428,1547110
2010-05-17,9.550000,10.040000,9.510000,9.770000,6.460783,597360
2010-05-18,9.770000,10.350000,9.770000,9.975000,6.596347,1023230
2010-05-19,9.970000,10.295000,9.540000,9.625000,6.364896,1646710
2010-05-20,9.690000,9.930000,9.305000,9.520000,6.295461,364360
2010-05-21,9.025000,9.400000,8.850000,9.025000,5.968123,495770
2010-05-24,9.155000,9.430000,8.710000,8.935000,5.908608,401110
2010-05-25,8.780000,9.095000,8.510000,8.535000,5.644093,656320
2010-05-26,8.610000,9.100000,8.610000,8.820000,5.832560,903270
2010-05-27,8.885000,9.000000,8.710000,8.875000,5.868930,387500
2010-05-28,8.945000,9.460000,8.945000,9.195000,6.080543,895770
2010-05-31,9.200000,9.490000,8.920000,9.025000,5.968123,401090
2010-06-01,8.900000,9.230000,8.900000,9.035000,5.974736,433630
2010-06-02,8.005000,9.250000,8.005000,8.965000,5.928447,329570
2010-06-03,9.300000,10.095000,8.760000,8.905000,5.888769,7062760
2010-06-04,8.905000,8.990000,8.700000,8.765000,5.796189,504530
2010-06-07,8.600000,8.600000,8.260000,8.305000,5.491997,774970
2010-06-08,8.380000,8.580000,7.830000,7.875000,5.207643,913470
2010-06-09,7.900000,8.160000,7.750000,7.820000,5.171272,885710
2010-06-10,7.905000,8.150000,7.840000,7.915000,5.234094,1222000
2010-06-11,7.985000,8.090000,7.705000,7.770000,5.138207,500180
2010-06-14,8.595000,8.595000,7.700000,7.735000,5.115062,312510
2010-06-15,7.740000,7.825000,7.655000,7.690000,5.085304,293160
2010-06-16,7.700000,7.790000,7.560000,7.650000,5.058853,294050
2010-06-17,7.685000,7.700000,7.605000,7.630000,5.045627,281640
2010-06-18,7.640000,7.725000,7.460000,7.480000,4.946434,266250
2010-06-21,7.450000,7.650000,7.425000,7.470000,4.939821,283720
2010-06-22,7.510000,7.640000,7.415000,7.480000,4.946434,291000
2010-06-23,7.475000,7.740000,7.470000,7.610000,5.032402,460010
2010-06-24,7.645000,7.870000,7.550000,7.670000,5.072079,426060
2010-06-25,7.740000,7.740000,7.500000,7.545000,4.989418,987280
2010-06-28,7.900000,7.900000,6.795000,7.575000,5.009255,200860
2010-06-29,7.600000,7.640000,7.505000,7.540000,4.986111,168710
2010-06-30,7.500000,7.540000,7.430000,7.490000,4.953047,99010
2010-07-01,7.400000,7.500000,7.365000,7.495000,4.956353,1026090
2010-07-02,7.450000,7.550000,7.235000,7.355000,4.863773,227830
2010-07-05,6.975000,7.435000,6.975000,7.310000,4.834015,94900
2010-07-06,7.300000,7.790000,7.300000,7.490000,4.953047,790320
2010-07-07,7.400000,7.630000,7.305000,7.370000,4.873692,340730
2010-07-08,7.430000,7.625000,7.430000,7.445000,4.923289,274740
2010-07-09,7.480000,7.500000,7.355000,7.400000,4.893530,97000
2010-07-12,7.350000,7.590000,7.325000,7.500000,4.959659,199540
2010-07-13,7.500000,7.875000,7.495000,7.735000,5.115062,1402570
2010-07-14,7.790000,8.155000,7.750000,7.870000,5.204336,1336610
2010-07-15,7.780000,8.000000,7.765000,7.890000,5.217562,464230
2010-07-16,7.925000,8.000000,7.780000,7.810000,5.164658,537410
2010-07-19,7.700000,8.115000,7.700000,8.055000,5.326675,795000
2010-07-20,8.085000,8.500000,8.015000,8.260000,5.462238,1374470
2010-07-21,8.300000,8.430000,8.175000,8.220000,5.435787,603060
2010-07-22,8.260000,8.380000,8.215000,8.280000,5.475464,255730
2010-07-23,8.270000,8.480000,8.250000,8.275000,5.472157,283500
2010-07-26,8.325000,8.460000,8.300000,8.310000,5.495303,284290
2010-07-27,8.340000,8.450000,8.220000,8.250000,5.455626,175290
