Date,open,high,low,close,adj_close,volume
2002-07-01,9.500000,10.450000,9.150000,10.050000,10.050000,36683
2002-07-02,10.200000,10.200000,9.500000,9.650000,9.650000,26635
2002-07-03,9.800000,9.800000,9.500000,9.550000,9.550000,4789
2002-07-04,9.500000,10.000000,9.350000,9.550000,9.550000,24351
2002-07-05,10.250000,10.250000,9.350000,9.550000,9.550000,13112
2002-07-08,9.700000,11.200000,9.500000,10.450000,10.450000,66448
2002-07-09,11.000000,11.500000,10.600000,10.700000,10.700000,67450
2002-07-10,10.700000,11.000000,9.600000,10.000000,10.000000,44206
2002-07-11,9.550000,10.300000,9.350000,9.550000,9.550000,15738
2002-07-12,9.500000,9.850000,9.250000,9.550000,9.550000,7710
2002-07-15,11.400000,11.400000,8.800000,8.950000,8.950000,15997
2002-07-16,9.100000,9.200000,8.300000,8.650000,8.650000,8554
2002-07-17,10.200000,10.200000,8.400000,8.550000,8.550000,6242
2002-07-18,9.400000,9.400000,8.500000,9.100000,9.100000,6082
2002-07-19,9.250000,9.250000,8.500000,8.900000,8.900000,8471
2002-07-22,10.650000,10.650000,8.100000,8.500000,8.500000,4587
2002-07-23,8.400000,8.400000,8.100000,8.300000,8.300000,9095
2002-07-24,8.400000,8.650000,7.600000,7.750000,7.750000,11056
2002-07-25,8.300000,8.300000,7.400000,7.850000,7.850000,17861
2002-07-26,7.750000,7.750000,7.300000,7.650000,7.650000,4833
2002-07-29,7.150000,7.850000,7.050000,7.650000,7.650000,1837
2002-07-30,9.000000,9.000000,7.250000,7.250000,7.250000,3653
2002-07-31,6.000000,7.850000,6.000000,7.150000,7.150000,6870
2002-08-01,7.100000,7.450000,7.050000,7.100000,7.100000,4552
2002-08-02,7.350000,7.750000,6.750000,7.100000,7.100000,14136
2002-08-05,8.000000,8.000000,7.150000,7.400000,7.400000,1042
2002-08-06,7.800000,7.800000,7.400000,7.400000,7.400000,1322
2002-08-07,8.700000,8.700000,7.100000,7.250000,7.250000,2461
2002-08-08,7.450000,7.750000,7.000000,7.350000,7.350000,18100
2002-08-09,8.600000,8.600000,7.000000,7.200000,7.200000,1925
2002-08-12,7.350000,7.350000,7.050000,7.200000,7.200000,1446
2002-08-13,6.700000,7.650000,6.700000,7.100000,7.100000,3328
2002-08-14,7.250000,7.350000,7.050000,7.100000,7.100000,612
