Date,open,high,low,close,adj_close,volume
2004-09-10,1.600000,1.600000,1.510000,1.582500,0.007389,5000
2004-09-13,1.625000,1.625000,1.565000,1.582500,0.007389,233800
2004-09-14,1.421000,1.567000,1.405500,1.547000,0.007223,1446940
2004-09-15,1.614500,1.619000,1.542500,1.578500,0.007370,2817680
2004-09-16,1.623500,1.623500,1.529000,1.560500,0.007286,552220
2004-09-17,1.709000,1.709000,1.509000,1.522500,0.007109,513280
2004-09-20,1.524500,1.560500,1.506500,1.518000,0.007088,398620
2004-09-21,1.526500,1.526500,1.484000,1.491000,0.006962,172020
2004-09-22,1.484000,1.500000,1.466000,1.470500,0.006866,224140
2004-09-23,1.450500,1.470500,1.425500,1.430000,0.006677,146920
2004-09-24,1.450500,1.470500,1.385000,1.401000,0.006542,577360
2004-09-27,1.461500,1.461500,1.360500,1.371500,0.006404,590600
2004-09-28,1.416500,1.416500,1.349000,1.353500,0.006320,474740
2004-09-29,1.353500,1.410000,1.351500,1.398500,0.006530,419580
2004-09-30,1.428000,1.428000,1.371500,1.392000,0.006500,702660
2004-10-01,1.398500,1.421000,1.365000,1.376000,0.006425,256080
2004-10-04,1.396500,1.405500,1.335500,1.351500,0.006310,1332640
2004-10-05,1.392000,1.392000,1.333500,1.335500,0.006236,540980
2004-10-06,1.416500,1.416500,1.338000,1.347000,0.006289,1588340
2004-10-07,1.371500,1.385000,1.349000,1.360500,0.006352,1763620
2004-10-08,1.394000,1.414500,1.335500,1.342500,0.006268,818440
2004-10-11,1.353500,1.378500,1.338000,1.349000,0.006299,3550680
2004-10-12,1.349000,1.371500,1.340000,1.347000,0.006289,2340600
2004-10-13,null,null,null,null,null,null
2004-10-14,1.360500,1.360500,1.335500,1.338000,0.006247,1143720
2004-10-15,1.331000,1.356000,1.331000,1.344500,0.006278,761780
2004-10-18,1.349000,1.360500,1.340000,1.353500,0.006320,431940
2004-10-19,1.380500,1.380500,1.320000,1.326500,0.006194,334400
2004-10-20,1.347000,1.358000,1.329000,1.331000,0.006215,272080
2004-10-21,1.360500,1.360500,1.322000,1.353500,0.006320,942000
2004-10-22,null,null,null,null,null,null
2004-10-25,1.353500,1.374000,1.349000,1.371500,0.006404,823980
2004-10-26,1.371500,1.385000,1.304000,1.358000,0.006341,655040
2004-10-27,1.349000,1.416500,1.349000,1.394000,0.006509,394120
2004-10-28,1.423500,1.425500,1.338000,1.351500,0.006310,576740
2004-10-29,1.349000,1.362500,1.349000,1.356000,0.006331,93040
2004-11-01,1.353500,1.362500,1.326500,1.338000,0.006247,371360
2004-11-02,1.340000,1.353500,1.340000,1.344500,0.006278,119940
2004-11-03,1.416500,1.461500,1.351500,1.446000,0.006752,2175580
2004-11-04,1.455000,1.484000,1.416500,1.428000,0.006668,578800
2004-11-05,1.439000,1.468500,1.387500,1.423500,0.006647,1608660
