Date,open,high,low,close,adj_close,volume
2006-02-16,46.500000,50.000000,39.250000,40.450001,35.188641,61092972
2006-02-17,40.250000,40.900002,38.250000,38.500000,33.492287,14132580
2006-02-20,36.049999,38.849998,35.200001,37.299999,32.448364,8796589
2006-02-21,37.950001,39.400002,37.250000,38.349998,33.361794,6577035
2006-02-22,38.599998,38.599998,36.450001,36.549999,31.795916,3577446
2006-02-23,36.750000,36.900002,35.150002,35.349998,30.751997,3376832
2006-02-24,35.799999,37.099998,34.900002,36.750000,31.969902,4389130
2006-02-27,37.150002,37.450001,36.599998,37.000000,32.187386,3162185
2006-02-28,37.250000,37.700001,36.099998,36.950001,32.143883,3302391
2006-03-01,36.950001,37.000000,36.349998,36.599998,31.839418,1858423
2006-03-02,37.000000,37.000000,35.950001,36.200001,31.491440,1295061
2006-03-03,36.099998,36.349998,35.099998,35.250000,30.665007,1217414
2006-03-06,35.599998,35.799999,34.900002,35.450001,30.839001,1314546
2006-03-07,35.700001,36.349998,35.049999,35.900002,31.230471,1075536
2006-03-08,35.500000,36.950001,35.000000,35.450001,30.839001,1483316
2006-03-09,35.049999,36.250000,34.950001,35.299999,30.708504,1209443
2006-03-10,35.099998,36.450001,35.099998,36.099998,31.404446,1765793
2006-03-13,37.000000,37.950001,35.950001,36.950001,32.143883,3737300
2006-03-14,37.500000,39.700001,37.250000,38.150002,33.187801,8074123
2006-03-16,39.000000,40.500000,38.299999,38.549999,33.535782,2291254
2006-03-17,38.200001,39.150002,37.099998,37.200001,32.361370,1245340
2006-03-20,37.200001,37.700001,36.400002,36.500000,31.752420,977626
2006-03-21,36.599998,36.799999,36.000000,36.049999,31.360956,681345
2006-03-22,37.500000,38.400002,37.099998,37.849998,32.926823,3387115
2006-03-23,38.250000,38.250000,37.200001,37.799999,32.883331,910006
2006-03-24,38.000000,38.150002,37.349998,37.500000,32.622353,669950
2006-03-27,38.299999,38.299999,37.099998,37.450001,32.578854,629452
2006-03-28,37.849998,37.849998,36.000000,36.349998,31.621935,779607
2006-03-29,36.950001,37.299999,36.000000,36.099998,31.404446,677172
2006-03-30,35.799999,37.000000,35.500000,36.849998,32.056900,833175
2006-03-31,36.500000,37.250000,36.299999,36.750000,31.969902,618880
2006-04-03,36.750000,37.700001,36.500000,37.049999,32.230877,687203
2006-04-04,37.099998,37.299999,36.599998,36.950001,32.143883,662059
2006-04-05,37.200001,39.950001,36.849998,38.250000,33.274799,2798809
2006-04-07,38.950001,39.000000,36.900002,37.049999,32.230877,1068723
2006-04-10,37.349998,37.349998,36.500000,36.950001,32.143883,561037
2006-04-12,36.900002,37.000000,36.250000,36.400002,31.665428,1610218
2006-04-13,36.500000,36.750000,35.500000,35.900002,31.230471,663643
2006-04-17,36.000000,36.500000,35.700001,36.049999,31.360956,389237
2006-04-18,36.450001,36.549999,35.799999,36.099998,31.404446,582358
2006-04-19,35.150002,36.299999,35.150002,35.400002,30.795494,648656
2006-04-20,35.049999,37.000000,35.049999,36.450001,31.708925,1135312
2006-04-21,36.750000,36.750000,35.799999,36.299999,31.578434,730787
2006-04-24,36.000000,36.549999,35.799999,36.400002,31.665428,694217
2006-04-25,36.400002,36.500000,35.400002,35.549999,30.925985,910553
2006-04-26,35.950001,36.500000,35.200001,36.200001,31.491440,750514
2006-04-27,36.250000,36.500000,36.000000,36.200001,31.491440,1144661
2006-04-28,32.200001,37.349998,32.099998,36.650002,31.882910,2009992
2006-05-02,38.000000,38.150002,37.049999,37.250000,32.404869,774329
2006-05-03,37.799999,37.799999,36.799999,37.049999,32.230877,372747
2006-05-04,37.900002,37.900002,36.500000,36.900002,32.100391,774624
2006-05-05,37.549999,38.700001,36.900002,38.000000,33.057316,2661728
2006-05-08,38.500000,39.500000,37.500000,39.000000,33.927246,2613637
2006-05-09,39.099998,40.450001,38.750000,39.150002,34.057732,2125057
2006-05-10,39.599998,39.900002,38.799999,39.049999,33.970741,787036
2006-05-11,39.000000,39.599998,38.000000,38.750000,33.709763,861251
2006-05-12,38.049999,39.599998,37.400002,39.000000,33.927246,845512
2006-05-15,39.000000,39.849998,37.599998,38.900002,33.840256,1354996
2006-05-16,38.549999,39.200001,37.200001,38.549999,33.535782,1016437
2006-05-17,38.849998,43.750000,38.650002,43.000000,37.406960,4229847
2006-05-18,41.000000,43.500000,39.049999,39.400002,34.275223,3107683
2006-05-19,40.900002,41.500000,37.500000,39.000000,33.927246,1400723
2006-05-22,39.200001,39.500000,34.250000,35.799999,31.143476,1404750
2006-05-23,35.250000,38.549999,34.700001,38.099998,33.144306,665963
2006-05-24,38.500000,38.750000,35.400002,36.200001,31.491440,1697598
2006-05-25,36.000000,36.799999,34.599998,34.750000,30.230042,1168458
2006-05-26,35.599998,37.650002,35.599998,36.549999,31.795916,847232
2006-05-29,37.000000,37.299999,35.549999,36.549999,31.795916,333641
2006-05-30,36.750000,36.750000,35.549999,35.750000,31.099970,346024
2006-05-31,35.500000,35.950001,34.799999,34.950001,30.404039,633034
2006-06-01,35.650002,36.000000,34.099998,34.500000,30.012566,512396
2006-06-02,35.000000,35.000000,32.000000,33.849998,29.447107,601621
2006-06-05,35.250000,35.700001,34.000000,35.150002,30.578012,423138
2006-06-06,33.150002,34.599998,32.299999,32.650002,28.403193,530302
2006-06-07,32.400002,32.799999,29.000000,29.650000,25.793406,646894
2006-06-08,32.549999,32.549999,27.000000,27.900000,24.271027,848920
2006-06-09,28.000000,30.950001,27.250000,30.250000,26.315361,665782
2006-06-12,30.000000,30.900000,28.850000,30.100000,26.184874,306792
2006-06-13,28.000000,29.049999,27.750000,28.549999,24.836479,308834
2006-06-14,28.500000,29.900000,26.500000,27.450001,23.879566,892654
2006-06-15,28.100000,29.450001,27.549999,28.799999,25.053968,275815
2006-06-16,29.350000,30.900000,29.299999,29.700001,25.836903,440314
2006-06-19,29.500000,30.900000,29.500000,30.600000,26.619841,250656
2006-06-20,30.750000,31.500000,29.549999,31.250000,27.185289,325772
2006-06-21,31.700001,32.900002,31.299999,31.400000,27.315783,917918
2006-06-22,32.599998,32.799999,31.799999,32.400002,28.185711,919484
2006-06-23,33.000000,33.000000,31.799999,32.700001,28.446693,360798
2006-06-26,33.250000,33.349998,31.350000,31.700001,27.576763,334250
2006-06-27,32.150002,32.150002,29.799999,30.799999,26.793823,318317
2006-06-28,30.000000,30.600000,29.150000,30.049999,26.141378,206081
2006-06-29,30.600000,31.049999,29.799999,29.950001,26.054384,128902
2006-06-30,30.799999,32.900002,30.000000,31.450001,27.359283,320472
2006-07-03,32.700001,32.799999,31.900000,32.000000,27.837740,141249
2006-07-04,32.450001,32.799999,31.900000,32.349998,28.142212,243481
2006-07-05,32.299999,34.450001,31.850000,33.549999,29.186131,1882442
2006-07-06,32.549999,33.849998,32.549999,33.200001,28.881651,404606
2006-07-07,33.849998,33.900002,32.599998,32.950001,28.664173,352181
2006-07-10,33.000000,33.799999,32.049999,33.599998,29.229626,388412
2006-07-11,33.000000,35.000000,32.900002,34.349998,29.882076,593113
2006-07-12,33.700001,35.250000,33.150002,35.000000,30.447527,679935
2006-07-13,34.200001,34.700001,33.900002,34.099998,29.664593,158976
2006-07-14,33.500000,34.900002,33.099998,34.500000,30.012566,234277
2006-07-17,34.000000,34.599998,33.849998,34.200001,29.751581,221595
2006-07-18,34.599998,34.599998,33.599998,34.150002,29.708088,301894
2006-07-19,34.250000,34.599998,33.400002,33.849998,29.447107,417100
2006-07-20,27.200001,34.500000,27.200001,33.049999,28.751165,122472
2006-07-21,33.400002,33.400002,32.049999,32.349998,28.142212,113775
2006-07-24,32.099998,32.099998,30.799999,31.600000,27.489765,129315
