Date,open,high,low,close,adj_close,volume
2002-07-01,5.695000,5.820000,5.695000,5.710000,4.890170,2610
2002-07-02,5.845000,6.000000,5.770000,5.940000,5.087147,14430
2002-07-03,6.000000,6.480000,6.000000,6.145000,5.262715,16670
2002-07-04,6.240000,6.400000,6.220000,6.325000,5.416871,16288
2002-07-05,6.250000,6.430000,6.250000,6.320000,5.412589,9934
2002-07-08,6.400000,6.570000,6.380000,6.445000,5.519641,18620
2002-07-09,6.530000,7.390000,6.510000,7.015000,6.007802,41244
2002-07-10,7.300000,8.250000,7.225000,8.075000,6.915609,127818
2002-07-11,8.090000,9.040000,7.900000,8.385000,7.181099,421820
2002-07-12,8.600000,8.800000,8.100000,8.220000,7.039792,89672
2002-07-15,8.300000,8.500000,7.470000,7.605000,6.513091,54414
2002-07-16,7.500000,7.700000,7.200000,7.290000,6.243319,28338
2002-07-17,7.140000,7.585000,7.120000,7.500000,6.423165,28040
2002-07-18,7.505000,7.745000,7.500000,7.575000,6.487399,11386
2002-07-19,7.650000,7.765000,7.440000,7.495000,6.418885,23540
2002-07-22,7.500000,7.500000,7.000000,7.090000,6.072032,15090
2002-07-23,7.150000,7.285000,7.060000,7.175000,6.144829,7792
2002-07-24,7.250000,7.250000,7.000000,7.050000,6.037776,7198
2002-07-25,7.400000,7.400000,6.960000,7.035000,6.024931,10934
2002-07-26,7.090000,7.100000,6.500000,6.760000,5.789414,9804
2002-07-29,6.205000,6.695000,6.205000,6.560000,5.618129,10870
2002-07-30,7.200000,7.200000,6.455000,6.510000,5.575309,10154
2002-07-31,6.020000,6.495000,6.015000,6.430000,5.506793,4602
2002-08-01,6.200000,7.270000,6.200000,6.475000,5.545333,5780
2002-08-02,6.575000,6.575000,6.475000,6.535000,5.596719,1470
2002-08-05,6.055000,6.675000,6.055000,6.655000,5.699490,6832
2002-08-06,6.690000,6.795000,6.655000,6.745000,5.776568,5510
2002-08-07,6.700000,6.975000,6.700000,6.815000,5.836517,4580
2002-08-08,6.800000,6.800000,6.615000,6.665000,5.708055,3860
2002-08-09,6.500000,6.900000,6.410000,6.800000,5.823671,6300
2002-08-12,6.970000,7.350000,6.850000,7.225000,6.187650,9292
2002-08-13,7.025000,7.345000,7.025000,7.100000,6.080597,4600
2002-08-14,7.100000,7.110000,6.890000,7.030000,6.020648,4810
2002-08-15,null,null,null,null,null,null
2002-08-16,7.350000,7.350000,6.760000,6.860000,5.875056,2008
2002-08-19,6.555000,6.850000,6.550000,6.820000,5.840800,4350
2002-08-20,6.790000,6.800000,6.760000,6.760000,5.789414,2000
2002-08-21,6.750000,6.825000,6.700000,6.740000,5.772285,1850
