Date,open,high,low,close,adj_close,volume
2000-01-03,1.704610,1.704610,1.617130,1.679930,0.000051,124838
2000-01-04,1.619380,1.644050,1.558820,1.576760,0.000048,298720
2000-01-05,1.590220,1.592460,1.480320,1.504990,0.000046,153819
2000-01-06,1.547600,1.626100,1.504990,1.626100,0.000050,130411
2000-01-07,1.700120,1.720310,1.626100,1.670960,0.000051,180570
2000-01-10,1.727040,1.803290,1.727040,1.803290,0.000055,183913
2000-01-11,1.839180,1.946840,1.704610,1.740490,0.000053,646484
2000-01-12,1.769650,1.879550,1.713580,1.879550,0.000058,128182
2000-01-13,2.014130,2.029830,1.928900,1.973750,0.000060,615274
2000-01-14,1.996180,2.005160,1.884040,1.919920,0.000059,230728
2000-01-17,2.038800,2.063470,1.960300,1.973750,0.000060,422444
2000-01-18,1.926650,1.973750,1.884040,1.904220,0.000058,384546
2000-01-19,2.018610,2.054500,1.751710,1.756190,0.000054,735654
2000-01-20,1.834690,1.884040,1.670960,1.792080,0.000055,925140
2000-01-21,1.731520,1.830210,1.731520,1.821240,0.000056,129297
2000-01-24,1.727040,1.771890,1.682180,1.713580,0.000052,163850
2000-01-25,1.740490,1.740490,1.614890,1.673210,0.000051,424673
2000-01-26,null,null,null,null,null,null
2000-01-27,1.767410,1.767410,1.659750,1.700120,0.000052,143787
2000-01-28,1.684420,1.738250,1.659750,1.722550,0.000053,186143
2000-01-31,1.749460,1.794320,1.659750,1.691150,0.000052,160506
2000-02-01,1.659750,1.736010,1.637320,1.661990,0.000051,346649
2000-02-02,1.666480,1.704610,1.637320,1.697880,0.000052,56846
2000-02-03,1.700120,1.704610,1.673210,1.675450,0.000051,88056
2000-02-04,1.740490,1.740490,1.579000,1.612650,0.000049,141558
2000-02-07,1.579000,1.585730,1.504990,1.565550,0.000048,192830
2000-02-08,1.556570,1.646290,1.482560,1.592460,0.000049,150475
2000-02-09,1.547600,1.592460,1.525170,1.536390,0.000047,95858
2000-02-10,1.525170,1.587980,1.502740,1.520690,0.000047,61304
2000-02-11,1.469100,1.525170,1.464620,1.520690,0.000047,113692
2000-02-14,1.590220,1.644050,1.570030,1.639560,0.000050,310981
2000-02-15,1.691150,1.771890,1.587980,1.771890,0.000054,286459
2000-02-16,1.861610,1.915440,1.785350,1.832450,0.000056,523875
2000-02-17,1.839180,1.861610,1.686660,1.727040,0.000053,217352
2000-02-18,1.816750,1.816750,1.686660,1.715820,0.000053,71336
2000-02-21,1.666480,1.700120,1.579000,1.596950,0.000049,153819
2000-02-22,1.614890,1.614890,1.469100,1.487040,0.000046,313210
2000-02-23,1.570030,1.605920,1.457890,1.605920,0.000049,114807
2000-02-24,1.727040,1.727040,1.480320,1.480320,0.000045,372285
2000-02-25,1.480320,1.480320,1.363680,1.419760,0.000043,1024342
2000-02-28,1.453400,1.525170,1.435460,1.511720,0.000046,264167
2000-02-29,1.480320,1.614890,1.390600,1.422000,0.000044,628650
2000-03-01,1.323310,1.534150,1.323310,1.457890,0.000045,186143
2000-03-02,1.435460,1.480320,1.401810,1.471340,0.000045,65763
2000-03-03,1.390600,1.435460,1.354710,1.354710,0.000041,279771
2000-03-06,1.435460,1.457890,1.280700,1.381630,0.000042,211779
2000-03-07,1.300880,1.345740,1.271730,1.271730,0.000039,239645
2000-03-08,1.256030,1.368170,1.217900,1.300880,0.000040,147131
2000-03-09,1.300880,1.300880,1.217900,1.226870,0.000038,44585
2000-03-10,1.233600,1.278450,1.166310,1.166310,0.000036,71336
2000-03-13,1.128180,1.128180,1.076590,1.076590,0.000033,114807
2000-03-14,1.054160,1.152850,0.991360,1.101270,0.000034,164965
2000-03-15,1.186500,1.188740,1.143880,1.188740,0.000036,24522
2000-03-16,1.282940,1.282940,1.168550,1.244810,0.000038,90285
2000-03-17,null,null,null,null,null,null
2000-03-20,null,null,null,null,null,null
2000-03-21,1.166310,1.341260,1.155090,1.285180,0.000039,210665
2000-03-22,1.383870,1.388360,1.383870,1.388360,0.000043,50158
2000-03-23,1.453400,1.455640,1.287430,1.415270,0.000043,267510
2000-03-24,1.428730,1.428730,1.312100,1.314340,0.000040,33439
2000-03-27,1.336770,1.368170,1.323310,1.361440,0.000042,52387
2000-03-28,1.325560,1.354710,1.307610,1.334530,0.000041,117036
2000-03-29,1.289670,1.291910,1.278450,1.287430,0.000039,21178
2000-03-30,1.231350,1.298640,1.231350,1.298640,0.000040,3344
2000-03-31,1.321070,1.321070,1.282940,1.303130,0.000040,35668
2000-04-03,1.273970,1.296400,1.258270,1.296400,0.000040,31210
2000-04-04,1.260510,1.260510,1.202200,1.202200,0.000037,103660
2000-04-05,1.233600,1.256030,1.215650,1.256030,0.000038,11146
2000-04-06,1.159580,1.215650,1.159580,1.168550,0.000036,18949
2000-04-07,1.249300,1.260510,1.231350,1.260510,0.000039,27866
2000-04-10,1.300880,1.334530,1.233600,1.300880,0.000040,117036
2000-04-11,1.217900,1.280700,1.211170,1.240330,0.000038,64648
2000-04-12,1.233600,1.240330,1.197710,1.197710,0.000037,24522
2000-04-13,1.150610,1.168550,1.150610,1.166310,0.000036,24522
2000-04-14,null,null,null,null,null,null
2000-04-17,1.256030,1.256030,1.123690,1.186500,0.000036,12261
2000-04-18,1.121450,1.166310,1.103510,1.119210,0.000034,20063
2000-04-19,1.067620,1.076590,1.049680,1.067620,0.000033,133755
2000-04-20,1.076590,1.076590,1.031740,1.065380,0.000033,34553
2000-04-21,null,null,null,null,null,null
2000-04-24,1.078840,1.099020,1.072110,1.099020,0.000034,47929
2000-04-25,1.076590,1.121450,1.011550,1.096780,0.000034,160506
2000-04-26,1.164070,1.186500,1.161820,1.179770,0.000036,72451
2000-04-27,1.186500,1.186500,1.166310,1.182010,0.000036,51273
2000-04-28,1.168550,1.211170,1.143880,1.166310,0.000036,99202
2000-05-01,null,null,null,null,null,null
2000-05-02,1.139390,1.166310,1.076590,1.150610,0.000035,76909
2000-05-03,1.188740,1.188740,1.141640,1.184250,0.000036,78024
2000-05-04,1.267240,1.278450,1.202200,1.202200,0.000037,16719
2000-05-05,1.229110,1.298640,1.206680,1.291910,0.000040,92514
2000-05-08,1.253780,1.253780,1.211170,1.211170,0.000037,22293
2000-05-09,1.166310,1.278450,1.166310,1.226870,0.000038,22293
2000-05-10,1.184250,1.278450,1.177520,1.278450,-0.000176,45700
2000-05-11,1.276210,1.278450,1.206680,1.278450,-0.000176,40127
2000-05-12,1.224620,1.300880,1.224620,1.300880,-0.000179,27866
2000-05-15,1.220140,1.256030,1.211170,1.220140,-0.000168,34553
2000-05-16,1.233600,1.278450,1.215650,1.278450,-0.000176,43470
2000-05-17,1.256030,1.323310,1.256030,1.323310,-0.000182,76909
2000-05-18,1.356960,1.356960,1.278450,1.285180,-0.000177,30095
2000-05-19,1.256030,1.323310,1.249300,1.323310,-0.000182,67992
2000-05-22,1.296400,1.430970,1.296400,1.430970,-0.000197,79139
2000-05-23,1.471340,1.545360,1.471340,1.538630,-0.000212,158277
2000-05-24,1.480320,1.522930,1.457890,1.457890,-0.000201,39012
2000-05-25,1.435460,1.435460,1.341260,1.354710,-0.000186,15605
2000-05-26,1.300880,1.345740,1.300880,1.327800,-0.000183,15605
2000-05-29,1.345740,1.377140,1.323310,1.377140,-0.000189,12261
2000-05-30,1.368170,1.368170,1.327800,1.330040,-0.000183,37897
2000-05-31,1.410790,1.435460,1.345740,1.350230,-0.000186,23407
2000-06-01,1.354710,1.359200,1.289670,1.345740,-0.000185,37897
2000-06-02,1.343500,1.435460,1.343500,1.413030,-0.000194,18949
2000-06-05,1.404060,1.480320,1.401810,1.435460,-0.000198,91399
2000-06-06,1.327800,1.543120,1.325560,1.522930,-0.000210,26751
2000-06-07,1.502740,1.513960,1.435460,1.480320,-0.000204,73565
2000-06-08,1.502740,1.511720,1.437700,1.448920,-0.000199,23407
2000-06-09,1.457890,1.489290,1.435460,1.482560,-0.000204,30095
2000-06-12,1.435460,1.482560,1.435460,1.480320,-0.000204,73565
2000-06-13,1.480320,1.547600,1.480320,1.525170,-0.000210,63534
