Date,open,high,low,close,adj_close,volume
2000-01-03,42.000000,43.111099,41.288898,42.844398,2.258032,665406
2000-01-04,42.000000,44.444401,40.955601,42.822201,2.256862,968589
2000-01-05,41.355598,43.077801,40.000000,42.655602,2.248082,986589
2000-01-06,43.277802,45.266701,41.444401,41.955601,2.211190,1164159
2000-01-07,41.866699,42.599998,40.444401,40.799999,2.150286,609714
2000-01-10,40.777802,41.655602,38.922199,39.855598,2.100513,1160816
2000-01-11,39.777802,40.000000,36.666698,37.222198,1.961725,1516509
2000-01-12,38.888901,39.766701,38.000000,38.844398,2.047220,980032
2000-01-13,38.222198,38.222198,36.666698,36.855598,1.942404,1508868
2000-01-14,37.333302,37.488899,36.133301,36.822201,1.940644,982688
2000-01-17,37.666698,37.666698,35.555599,35.777802,1.885600,3064446
2000-01-18,36.233299,38.644402,35.622200,37.433300,1.972850,2729030
2000-01-19,39.544399,39.777802,37.044399,37.522202,1.977536,3806568
2000-01-20,37.777802,38.111099,37.277802,37.377800,1.969925,1566504
2000-01-21,37.222198,37.599998,36.911098,37.099998,1.955284,1449054
2000-01-24,37.777802,38.444401,37.188900,38.155602,2.010918,2130944
2000-01-25,37.622200,38.833302,36.677799,37.755600,1.989837,1999413
2000-01-26,null,null,null,null,null,null
2000-01-27,38.388901,38.666698,36.922199,38.222198,2.014428,3174102
2000-01-28,38.222198,38.311100,37.500000,37.700001,1.986906,1557522
2000-01-31,37.777802,37.988899,36.944401,37.755600,1.989837,1789065
2000-02-01,37.777802,38.277802,37.344398,38.066700,2.006233,1696023
2000-02-02,38.222198,41.111099,38.222198,41.111099,2.166682,5452704
2000-02-03,43.288898,44.400002,43.111099,44.400002,2.340018,4121640
2000-02-04,47.511101,47.511101,40.888901,43.444401,2.289654,3578517
2000-02-07,42.444401,42.888901,39.977798,40.477798,2.133305,816790
2000-02-08,40.666698,43.133301,39.777802,40.688900,2.144432,4146804
2000-02-09,41.555599,42.222198,40.344398,40.599998,2.139745,1930329
2000-02-10,39.722198,40.888901,39.722198,40.788898,2.149702,852314
2000-02-11,40.666698,41.111099,38.888901,39.388901,2.075917,1518898
2000-02-14,38.888901,40.000000,36.488899,36.777802,1.938304,999850
2000-02-15,35.388901,36.666698,35.388901,36.288898,1.912537,1032052
2000-02-16,37.777802,37.777802,35.555599,35.833302,1.888526,1425699
2000-02-17,36.422199,36.422199,34.911098,35.188900,1.854564,808618
2000-02-18,35.555599,35.555599,33.777802,34.266701,1.805961,747999
2000-02-21,33.555599,35.133301,33.122200,34.588902,1.822942,1298223
2000-02-22,33.799999,35.111099,32.888901,33.177799,1.748573,1060898
2000-02-23,35.111099,35.111099,33.111099,33.277802,1.753843,1630354
2000-02-24,33.555599,33.844398,33.000000,33.211102,1.750328,427586
2000-02-25,33.333302,33.544399,31.333300,32.033298,1.688254,251838
2000-02-28,31.577801,34.599998,31.555599,34.599998,1.823527,772830
2000-02-29,35.522202,36.711102,31.833300,31.833300,1.677714,1819719
2000-03-01,32.211102,33.533298,32.000000,32.700001,1.723391,908802
2000-03-02,33.777802,35.322201,32.055599,32.700001,1.723391,1169919
2000-03-03,31.333300,31.333300,30.088900,30.088900,1.585778,487148
2000-03-06,30.088900,30.666700,27.688900,27.688900,1.459291,1786522
2000-03-07,28.200001,28.222200,25.477800,25.477800,1.342759,1847740
2000-03-08,25.577801,25.777800,23.444401,23.522200,1.239693,1850814
2000-03-09,23.333300,25.411100,21.666700,24.799999,1.307036,3788334
2000-03-10,25.111099,26.422199,23.555599,24.444401,1.288295,2752430
2000-03-13,25.088900,25.555599,24.022200,24.422199,1.287125,1801642
2000-03-14,24.444401,26.377800,23.366699,26.311100,1.386677,2515176
2000-03-15,26.666700,28.422199,26.333300,28.422199,1.497938,2015240
2000-03-16,28.466700,28.766701,26.900000,27.477800,1.448165,713254
2000-03-17,null,null,null,null,null,null
2000-03-20,null,null,null,null,null,null
2000-03-21,27.155600,28.222200,26.755600,27.122200,1.429424,1542154
2000-03-22,27.577801,28.433300,27.000000,28.077801,1.479787,935298
2000-03-23,29.100000,29.900000,28.222200,29.600000,1.560011,1437646
2000-03-24,30.222200,31.799999,29.333300,31.200001,1.644336,1956276
2000-03-27,30.700001,31.000000,29.333300,30.266701,1.595148,653319
2000-03-28,30.000000,32.000000,29.555599,31.100000,1.639066,644224
2000-03-29,31.444401,31.444401,29.355600,29.866699,1.574067,2381630
2000-03-30,30.211100,30.211100,27.477800,27.577801,1.453436,2032214
2000-03-31,26.466700,29.788900,25.377800,29.400000,1.549471,4558486
2000-04-03,29.333300,31.755600,29.333300,31.755600,1.673618,2495570
2000-04-04,31.111099,32.444401,29.233299,30.288900,1.596319,2377264
2000-04-05,30.222200,30.222200,28.222200,28.577801,1.506139,1252116
2000-04-06,29.311100,29.911100,26.888901,27.811100,1.465731,1178572
2000-04-07,28.888901,30.044399,28.888901,30.044399,1.583433,1057010
2000-04-10,31.111099,32.333302,30.711100,31.322201,1.650777,1272546
2000-04-11,30.777800,33.111099,30.033300,32.911098,1.734517,1623874
2000-04-12,32.000000,32.000000,29.788900,30.022200,1.582263,1868962
2000-04-13,29.444401,30.544399,29.022200,29.688900,1.564697,1167106
2000-04-14,null,null,null,null,null,null
