Date,open,high,low,close,adj_close,volume
2002-07-01,329.000000,339.000000,318.149994,332.649994,215.347595,865447
2002-07-02,331.700012,338.600006,325.000000,334.649994,216.642319,1213063
2002-07-03,330.100006,345.799988,328.000000,342.500000,221.724182,1060911
2002-07-04,346.000000,356.600006,338.049988,341.549988,221.109131,1304521
2002-07-05,342.000000,346.899994,335.000000,344.450012,222.986588,982480
2002-07-08,349.399994,354.750000,340.899994,343.149994,222.144989,800689
2002-07-09,342.700012,345.700012,336.549988,339.649994,219.879166,625665
2002-07-10,339.200012,346.000000,325.700012,329.000000,212.984695,954438
2002-07-11,323.000000,328.000000,311.000000,316.100006,204.633636,739001
2002-07-12,318.000000,326.399994,279.149994,301.299988,195.052567,5225859
2002-07-15,303.000000,305.000000,274.000000,282.399994,182.817276,1928656
2002-07-16,281.799988,287.899994,264.000000,277.600006,179.709885,2438141
2002-07-17,273.250000,277.950012,265.049988,274.799988,177.897247,1466783
2002-07-18,278.000000,295.000000,278.000000,291.149994,188.481750,1197743
2002-07-19,286.500000,289.000000,276.049988,280.799988,181.781464,1015332
2002-07-22,274.000000,274.000000,248.600006,255.649994,165.500107,977005
2002-07-23,250.000000,278.000000,245.149994,274.950012,177.994385,2221117
2002-07-24,268.000000,269.799988,255.600006,259.600006,168.057236,1550802
2002-07-25,272.350006,300.000000,272.250000,289.649994,187.510696,3953612
2002-07-26,271.049988,292.000000,265.000000,286.450012,185.439102,2910302
2002-07-29,292.000000,297.000000,262.500000,268.200012,173.624603,3370939
2002-07-30,283.799988,285.200012,237.000000,250.500000,162.166153,3068834
2002-07-31,249.000000,264.399994,235.550003,259.000000,167.668823,3153592
2002-08-01,261.500000,273.600006,226.250000,233.949997,151.452194,4870829
2002-08-02,225.000000,252.000000,219.000000,245.899994,159.188263,4912220
2002-08-05,248.699997,257.000000,238.649994,242.899994,157.246155,3113853
2002-08-06,236.399994,257.850006,234.149994,251.850006,163.040100,3307858
2002-08-07,260.500000,264.000000,253.000000,255.100006,165.144058,2819486
2002-08-08,256.500000,258.350006,238.800003,242.300003,156.857727,2605019
2002-08-09,245.250000,253.449997,241.199997,250.250000,162.004303,2811131
2002-08-12,250.500000,253.750000,243.899994,245.899994,159.188263,1972525
2002-08-13,248.000000,262.399994,247.500000,255.350006,165.305908,2718881
2002-08-14,251.000000,257.399994,246.649994,250.000000,161.842499,2469419
2002-08-15,null,null,null,null,null,null
2002-08-16,255.300003,258.899994,251.250000,253.649994,164.205383,1468445
2002-08-19,256.500000,261.000000,253.199997,258.700012,167.474579,1801054
2002-08-20,260.000000,272.500000,260.000000,266.450012,172.491730,2422760
2002-08-21,264.500000,276.899994,262.500000,267.450012,173.139084,2489358
2002-08-22,270.149994,272.299988,259.000000,260.100006,168.380920,1720520
2002-08-23,262.000000,285.399994,259.100006,280.799988,181.781464,4068358
2002-08-26,279.000000,292.799988,274.200012,279.850006,181.166473,4547300
2002-08-27,280.500000,285.350006,266.799988,269.549988,174.498550,2608699
2002-08-28,267.000000,275.000000,263.500000,271.000000,175.437241,2904733
2002-08-29,269.000000,276.600006,268.000000,272.399994,176.343552,2425625
2002-08-30,271.899994,280.899994,271.899994,278.100006,180.033600,2128035
2002-09-02,285.000000,292.799988,278.149994,280.899994,181.846207,2650102
2002-09-03,281.100006,284.450012,272.000000,273.600006,177.120407,1805433
2002-09-04,267.000000,287.000000,265.149994,284.950012,184.468063,6328543
2002-09-05,288.000000,294.000000,282.100006,285.350006,184.727020,4845613
2002-09-06,279.799988,284.799988,271.299988,274.049988,177.411713,3175267
2002-09-09,277.000000,287.500000,275.000000,284.000000,183.853043,2216209
2002-09-10,null,null,null,null,null,null
2002-09-11,288.500000,304.899994,288.500000,300.450012,194.502289,4917109
2002-09-12,302.000000,305.500000,290.600006,292.200012,189.161499,2287422
2002-09-13,290.600006,294.000000,286.950012,290.950012,188.352280,3137416
2002-09-16,296.000000,301.850006,290.600006,293.500000,190.003067,2637880
2002-09-17,290.000000,309.000000,290.000000,306.000000,198.095184,3834877
2002-09-18,302.500000,303.799988,290.000000,292.850006,189.582275,2300761
2002-09-19,294.799988,297.799988,284.649994,291.399994,188.643585,2880590
2002-09-20,282.899994,294.000000,280.000000,291.299988,188.578842,2796428
2002-09-23,296.600006,301.700012,292.200012,295.399994,191.233063,2459568
2002-09-24,289.899994,292.899994,285.149994,290.950012,188.352280,2076962
2002-09-25,285.649994,305.899994,285.000000,301.350006,195.084915,2970288
2002-09-26,309.000000,311.799988,300.000000,302.299988,195.699921,1944186
2002-09-27,303.899994,313.000000,302.600006,305.850006,197.998062,2278889
2002-09-30,301.500000,304.750000,285.350006,291.049988,188.417007,2059026
2002-10-01,288.000000,294.399994,279.100006,286.700012,185.600967,2957952
2002-10-02,null,null,null,null,null,null
2002-10-03,290.000000,291.500000,279.500000,282.350006,182.784912,2171786
2002-10-04,285.000000,290.100006,279.500000,286.549988,185.503845,2349868
2002-10-07,285.000000,301.000000,285.000000,298.250000,193.078079,3295017
2002-10-08,296.899994,302.700012,294.149994,298.250000,193.078079,2012479
2002-10-09,304.000000,307.600006,292.000000,294.950012,190.941788,2421015
2002-10-10,295.049988,300.000000,284.750000,296.000000,191.621490,1694960
2002-10-11,333.000000,333.000000,300.600006,304.600006,197.188873,1563632
2002-10-14,326.799988,329.600006,288.399994,290.600006,188.125717,2497768
2002-10-15,null,null,null,null,null,null
2002-10-16,296.250000,297.899994,287.500000,289.649994,187.510696,2083988
2002-10-17,291.000000,294.500000,283.299988,286.299988,185.341980,2534804
2002-10-18,291.549988,297.399994,285.000000,287.600006,186.183594,2745194
2002-10-21,291.649994,294.399994,285.850006,288.450012,186.733856,1927789
2002-10-22,292.000000,292.000000,277.500000,282.850006,183.108582,2415948
2002-10-23,285.000000,297.000000,283.799988,287.600006,186.183594,2427921
2002-10-24,291.100006,294.250000,284.399994,288.850006,186.992813,2126810
2002-10-25,289.000000,289.799988,279.549988,283.799988,183.723557,1405422
2002-10-28,286.100006,287.000000,277.799988,280.750000,181.749084,995395
2002-10-29,276.549988,286.000000,265.549988,282.600006,182.946732,2214336
2002-10-30,285.500000,288.600006,281.149994,285.399994,184.759369,1024527
2002-10-31,287.000000,288.000000,278.549988,281.200012,182.040436,1114245
2002-11-01,282.399994,282.799988,266.350006,269.149994,174.239609,1347642
2002-11-04,274.500000,275.049988,255.000000,261.850006,169.513824,569112
2002-11-05,264.000000,266.799988,258.000000,260.950012,168.931183,1125972
2002-11-06,null,null,null,null,null,null
2002-11-07,262.899994,266.750000,256.250000,258.600006,167.409866,1199263
2002-11-08,256.000000,264.250000,253.100006,262.600006,169.999359,1355981
2002-11-11,262.149994,265.000000,250.649994,252.199997,163.266693,1402603
2002-11-12,250.000000,254.449997,246.750000,253.199997,163.914063,1415266
2002-11-13,256.000000,256.200012,249.699997,250.949997,162.457474,973059
2002-11-14,251.750000,261.000000,250.000000,254.149994,164.529037,2064167
2002-11-15,250.100006,254.399994,243.199997,247.199997,160.029846,2772594
2002-11-18,250.000000,254.899994,246.199997,251.850006,163.040100,1472895
2002-11-19,null,null,null,null,null,null
2002-11-20,254.000000,259.799988,252.699997,253.699997,164.237747,968723
2002-11-21,257.200012,263.950012,254.250000,261.100006,169.028290,1690180
2002-11-22,266.350006,269.899994,257.750000,259.600006,168.057236,1186059
2002-11-25,259.799988,261.299988,253.550003,256.100006,165.791458,993970
2002-11-26,257.049988,263.899994,255.800003,260.850006,168.866455,1343106
2002-11-27,261.149994,274.500000,261.100006,272.899994,176.667252,3076028
2002-11-28,278.000000,280.299988,272.100006,273.299988,176.926178,1472124
2002-11-29,275.899994,276.399994,268.100006,272.200012,176.214096,876377
2002-12-02,273.250000,283.649994,273.250000,280.649994,181.684387,1608206
2002-12-03,285.000000,289.750000,268.399994,274.700012,177.832504,1676209
2002-12-04,272.100006,272.100006,262.600006,264.049988,170.938004,656894
2002-12-05,264.350006,271.600006,264.000000,268.350006,173.721725,968501
2002-12-06,271.000000,274.850006,269.000000,272.149994,176.181717,760917
2002-12-09,278.000000,291.000000,273.500000,282.799988,183.076202,1757280
2002-12-10,290.000000,295.000000,281.149994,292.850006,189.582275,2423419
2002-12-11,302.549988,304.799988,281.700012,288.600006,186.830963,2896693
2002-12-12,290.000000,293.450012,284.700012,286.450012,185.439102,1187146
2002-12-13,289.700012,306.899994,286.549988,304.250000,196.962296,3765480
2002-12-16,306.549988,308.799988,287.899994,290.250000,187.899109,1556994
2002-12-17,292.950012,294.200012,280.100006,282.450012,182.849609,1254644
2002-12-18,282.000000,297.000000,281.100006,293.299988,189.873596,2694726
2002-12-19,289.399994,295.799988,288.549988,293.100006,189.744095,892162
2002-12-20,293.700012,296.000000,283.049988,287.350006,186.021759,1803938
2002-12-23,290.000000,290.000000,276.149994,278.149994,180.065948,827134
2002-12-24,277.500000,285.899994,277.000000,284.200012,183.982529,1590038
2002-12-25,null,null,null,null,null,null
2002-12-26,285.000000,289.799988,282.000000,283.399994,183.464615,929599
2002-12-27,284.700012,287.200012,278.299988,279.450012,180.907532,615103
2002-12-30,281.149994,281.399994,276.750000,279.200012,180.745682,588769
2002-12-31,281.799988,284.600006,278.149994,279.049988,180.648575,619130
2003-01-01,280.049988,282.549988,278.200012,279.950012,181.231216,311263
2003-01-02,281.000000,282.500000,272.200012,274.149994,177.476440,648631
2003-01-03,277.000000,279.350006,272.200012,273.250000,176.893845,366505
2003-01-06,274.450012,275.899994,261.350006,262.549988,169.966980,670479
