Date,open,high,low,close,adj_close,volume
2006-12-27,86.264999,88.275703,86.264999,86.822197,63.847080,250
2006-12-28,null,null,null,null,null,null
2006-12-29,90.310600,90.310600,88.178802,89.147797,65.557266,130
2007-01-02,87.234001,96.221497,87.234001,93.992798,69.120178,66
2007-01-03,98.692398,102.205002,96.899803,98.629402,72.529839,1098
2007-01-04,96.899803,106.008003,96.899803,104.831001,77.090347,2074
2007-01-05,100.776001,107.558998,100.776001,102.432999,75.326912,947
2007-01-08,100.776001,106.299004,100.776001,105.427002,77.528641,54
2007-01-09,105.330002,105.330002,96.802902,96.802902,71.186668,64
2007-01-10,92.151703,98.353302,90.659401,98.256401,72.255539,289
2007-01-11,94.477303,96.899803,94.477303,96.899803,71.257927,691
2007-01-12,93.033501,101.947998,93.033501,97.287399,71.542953,29
2007-01-15,94.113899,101.536003,94.113899,97.868797,71.970505,23
2007-01-16,96.899803,101.648003,96.899803,99.831001,73.413475,33
2007-01-17,107.558998,109.497002,100.776001,101.304001,74.496681,444
2007-01-18,103.294998,103.294998,100.291000,100.291000,73.751740,74
2007-01-19,100.776001,101.598999,96.924004,98.377502,72.344604,167
2007-01-22,98.353302,109.012001,96.899803,100.800003,74.126045,31
2007-01-23,99.322304,99.322304,94.501503,96.972504,71.311386,1077
2007-01-24,99.394997,99.394997,93.508301,93.508301,68.763893,159
2007-01-25,91.570297,95.930801,91.570297,94.864899,69.761513,50
2007-01-29,96.788399,96.788399,96.415298,96.415298,70.901634,4
2007-01-31,93.508301,93.517998,86.240799,86.841599,63.861359,275
2007-02-01,94.767998,94.767998,85.271797,89.908501,66.116692,155
2007-02-02,88.178802,92.054802,85.756302,90.930801,66.868462,83
2007-02-05,87.209801,89.627502,83.338699,88.256302,64.901703,178
2007-02-06,86.434601,86.434601,86.240799,86.240799,63.419537,105
2007-02-07,85.271797,85.271797,82.849297,83.508202,61.410046,233
2007-02-08,84.787300,84.787300,82.369698,82.369698,60.572819,68
2007-02-09,82.461700,82.461700,80.305702,80.305702,59.055000,126
2007-02-12,65.242599,92.054802,65.242599,81.250504,59.749786,1309
2007-02-13,75.668999,77.035301,74.612801,74.637100,54.886440,764
2007-02-14,75.581802,75.581802,75.581802,75.581802,55.581154,6
2007-02-15,86.720497,86.720497,77.229103,77.723297,57.155956,2217
2007-02-19,79.942299,79.942299,79.942299,79.942299,58.787758,21
2007-02-20,74.806602,79.264000,74.152603,76.468498,56.233204,291
2007-02-21,73.668098,79.167099,73.668098,78.338600,57.608440,118
2007-02-22,78.004303,78.004303,77.994598,78.004303,57.362606,23
2007-02-23,73.934502,77.810501,72.674797,72.975197,53.664318,173
2007-02-26,74.612801,79.942299,74.128304,78.130302,57.455269,2149
2007-02-27,76.168098,80.426804,75.678703,77.316299,56.856663,947
2007-02-28,77.519798,77.519798,72.674797,72.728104,53.482613,80
2007-03-01,73.435501,77.519798,73.435501,73.668098,54.173859,103
2007-03-02,78.973297,78.973297,74.612801,74.612801,54.868568,95
2007-03-05,77.984901,77.984901,67.931602,68.023697,50.023098,37
2007-03-06,79.341599,79.341599,71.802696,72.093399,53.015862,62
2007-03-07,72.190300,73.643799,71.221298,71.221298,52.374531,206
2007-03-08,72.674797,75.097298,71.221298,75.063400,55.199936,867
