Date,open,high,low,close,adj_close,volume
2006-09-27,204.000000,234.000000,177.250000,180.300003,159.818604,2853800
2006-09-28,181.000000,182.399994,172.800003,175.899994,155.918442,963100
2006-09-29,176.850006,182.600006,175.100006,176.250000,156.228668,308900
2006-10-03,177.000000,177.300003,169.050003,173.399994,153.702423,171300
2006-10-04,174.000000,177.399994,163.149994,165.300003,146.522552,148500
2006-10-05,166.699997,171.000000,164.500000,165.399994,146.611191,162700
2006-10-06,166.500000,171.000000,165.100006,167.000000,148.029434,135300
2006-10-09,166.500000,199.949997,164.050003,196.750000,174.399963,1851000
2006-10-10,198.000000,203.399994,187.000000,188.899994,167.441696,1103700
2006-10-11,191.250000,195.000000,185.100006,186.550003,165.358643,523000
2006-10-12,187.000000,197.699997,185.550003,196.250000,173.956741,595200
2006-10-13,195.250000,211.000000,195.250000,204.050003,180.870712,2241200
2006-10-16,205.000000,206.350006,191.000000,192.350006,170.499786,422600
2006-10-17,193.699997,193.699997,185.300003,188.750000,167.308746,432000
2006-10-18,187.000000,193.050003,184.600006,186.949997,165.713211,148100
2006-10-19,188.850006,192.000000,179.000000,182.149994,161.458450,133500
2006-10-20,182.000000,186.000000,181.000000,181.699997,161.059586,115200
2006-10-23,184.000000,186.000000,178.149994,178.750000,158.444687,71100
2006-10-26,181.000000,187.399994,179.550003,181.000000,160.439087,143900
2006-10-27,181.000000,184.449997,173.100006,174.100006,154.322922,117000
2006-10-30,175.100006,186.500000,171.750000,182.850006,162.078949,361300
2006-10-31,183.500000,185.000000,174.000000,175.649994,155.696854,83200
2006-11-01,177.000000,187.399994,174.000000,182.649994,161.901657,369100
2006-11-02,181.550003,184.399994,176.500000,177.699997,157.513962,78800
2006-11-03,179.500000,180.000000,173.050003,174.350006,154.544510,46700
2006-11-06,175.000000,178.000000,172.000000,172.550003,152.948975,58900
2006-11-07,175.350006,176.000000,167.000000,167.399994,148.383987,109600
2006-11-08,168.000000,173.500000,166.000000,166.800003,147.852158,139000
2006-11-09,168.899994,169.500000,164.500000,164.949997,146.212326,51600
2006-11-10,166.500000,168.100006,160.100006,160.699997,142.445099,54300
2006-11-13,166.899994,166.949997,160.600006,161.300003,142.976959,45200
2006-11-14,161.000000,163.800003,156.600006,157.350006,139.475647,48100
2006-11-15,158.699997,162.000000,155.000000,156.050003,138.323318,49900
2006-11-16,158.000000,160.000000,153.500000,154.500000,136.949387,56100
2006-11-17,155.000000,156.899994,146.250000,147.350006,130.611633,32600
2006-11-20,147.250000,147.250000,140.050003,141.100006,125.071579,49100
2006-11-21,144.300003,167.000000,141.000000,163.350006,144.794067,378100
