Date,open,high,low,close,adj_close,volume
2002-07-01,6.900000,8.250000,6.900000,7.350000,7.350000,4201
2002-07-02,7.500000,7.800000,7.350000,7.350000,7.350000,4150
2002-07-03,7.800000,8.600000,7.800000,8.400000,8.400000,12052
2002-07-04,8.250000,9.250000,8.250000,8.650000,8.650000,10561
2002-07-05,9.350000,9.350000,8.500000,8.600000,8.600000,9800
2002-07-08,9.000000,9.100000,8.600000,9.000000,9.000000,10250
2002-07-09,9.000000,9.250000,8.100000,8.850000,8.850000,9821
2002-07-10,8.500000,8.950000,8.500000,8.600000,8.600000,7157
2002-07-11,8.100000,8.200000,7.950000,8.000000,8.000000,1400
2002-07-12,8.000000,8.000000,7.200000,7.900000,7.900000,3764
2002-07-15,7.250000,8.000000,7.250000,7.600000,7.600000,952
2002-07-16,7.250000,7.900000,7.000000,7.000000,7.000000,11602
2002-07-17,6.650000,6.650000,6.600000,6.600000,6.600000,307
2002-07-18,7.000000,7.500000,6.900000,7.400000,7.400000,2202
2002-07-19,6.800000,7.000000,6.800000,7.000000,7.000000,2499
2002-07-22,5.750000,6.400000,5.700000,6.400000,6.400000,1903
2002-07-23,6.000000,6.000000,5.750000,6.000000,6.000000,8840
2002-07-24,5.900000,6.000000,5.600000,5.750000,5.750000,1300
2002-07-25,5.750000,6.450000,5.750000,6.450000,6.450000,931
2002-07-26,7.400000,7.400000,5.300000,5.300000,5.300000,558
2002-07-29,4.800000,5.500000,4.550000,5.400000,5.400000,3308
2002-07-30,6.400000,6.400000,5.500000,5.950000,5.950000,1051
2002-07-31,5.500000,5.500000,5.000000,5.000000,5.000000,401
2002-08-01,null,null,null,null,null,null
2002-08-02,4.650000,5.850000,4.650000,5.850000,5.850000,750
2002-08-05,5.300000,5.300000,5.250000,5.250000,5.250000,17700
2002-08-06,5.500000,5.500000,5.500000,5.500000,5.500000,100
2002-08-07,5.000000,5.000000,4.500000,4.500000,4.500000,6850
2002-08-08,4.600000,4.600000,4.550000,4.550000,4.550000,400
2002-08-09,3.700000,4.600000,3.700000,4.550000,4.550000,1251
2002-08-12,3.800000,4.100000,3.800000,4.000000,4.000000,7700
2002-08-13,4.550000,4.550000,3.550000,4.000000,4.000000,6100
2002-08-14,4.800000,4.800000,3.500000,3.500000,3.500000,13900
2002-08-15,null,null,null,null,null,null
2002-08-16,3.700000,4.200000,3.600000,3.950000,3.950000,2600
2002-08-19,4.650000,4.650000,3.850000,3.950000,3.950000,800
2002-08-20,4.500000,4.500000,3.850000,4.150000,4.150000,1400
2002-08-21,3.550000,4.450000,3.550000,4.100000,4.100000,1593
2002-08-22,4.150000,4.150000,4.150000,4.150000,4.150000,1000
2002-08-23,3.500000,4.000000,3.500000,4.000000,4.000000,2700
2002-08-26,3.500000,4.000000,3.500000,4.000000,4.000000,5300
2002-08-27,3.450000,4.000000,3.450000,4.000000,4.000000,4900
