Date,open,high,low,close,adj_close,volume
2010-03-30,246.613998,276.584991,246.613998,254.061005,214.760513,28665831
2010-03-31,254.384995,260.859985,251.701996,257.483002,217.653122,4010349
2010-04-01,262.062012,263.541992,255.632996,257.575989,217.731750,1768424
2010-04-05,259.888000,260.304993,247.492996,253.182007,214.017471,1455908
2010-04-06,254.384995,259.934998,248.834000,257.992004,218.083420,1311238
2010-04-07,259.657013,271.959991,256.511993,270.156006,228.365753,3230076
2010-04-08,271.035004,274.734985,259.518005,260.998993,220.625259,1505146
2010-04-09,262.339996,263.356995,257.252014,259.934998,219.725830,614030
2010-04-12,261.276001,263.911987,253.828995,256.187988,216.558456,548898
2010-04-13,257.852997,262.479004,255.447998,259.703003,219.529724,519133
2010-04-15,261.415009,264.559998,256.420013,257.390991,217.575378,703089
2010-04-16,null,null,null,null,null,null
2010-04-19,null,null,null,null,null,null
2010-04-20,null,null,null,null,null,null
2010-04-21,null,null,null,null,null,null
2010-04-22,259.934998,277.510010,259.934998,269.278015,227.623581,838779
2010-04-23,null,null,null,null,null,null
2010-04-26,null,null,null,null,null,null
2010-04-27,264.144012,270.526001,264.144012,267.796997,226.371658,258909
2010-04-28,264.559998,267.149994,260.627991,262.247009,221.680206,144319
2010-04-29,262.941010,266.225006,261.785004,265.576996,224.495087,78808
2010-04-30,null,null,null,null,null,null
2010-05-03,null,null,null,null,null,null
2010-05-04,262.479004,268.167999,261.924011,263.588989,222.814590,629274
2010-05-05,null,null,null,null,null,null
2010-05-06,null,null,null,null,null,null
2010-05-07,null,null,null,null,null,null
2010-05-10,260.766998,265.391998,257.160004,259.471985,219.334457,95996
2010-05-11,260.766998,261.276001,255.865005,256.234985,216.598175,77078
2010-05-12,260.859985,260.859985,254.477005,255.309998,215.816284,80862
2010-05-13,null,null,null,null,null,null
2010-05-14,null,null,null,null,null,null
2010-05-17,255.309998,258.825012,251.608994,254.893005,215.463791,53728
2010-05-18,255.679993,256.651001,251.378006,253.459000,214.251617,272747
2010-05-19,251.701996,254.014008,246.059006,246.983994,208.778229,71889
2010-05-20,247.908997,249.712997,244.209000,245.966995,207.918533,304421
2010-05-21,null,null,null,null,null,null
2010-05-24,null,null,null,null,null,null
2010-05-25,240.184998,253.367004,237.733994,249.759003,211.123962,1061798
2010-05-26,null,null,null,null,null,null
2010-05-27,250.684006,260.397003,248.557007,259.286987,219.178085,193831
2010-05-28,null,null,null,null,null,null
2010-05-31,256.326996,264.559998,254.570007,264.096985,223.244003,218154
2010-06-01,261.321991,263.635010,254.106995,254.477005,215.112137,174156
2010-06-02,254.384995,259.010010,254.384995,258.546997,218.552536,102375
2010-06-03,255.216995,261.230011,255.216995,257.622009,217.770645,34701
2010-06-04,259.010010,259.842010,255.401993,258.316010,218.357300,179669
2010-06-07,255.031998,256.049988,251.656006,255.309998,215.816284,45404
2010-06-08,null,null,null,null,null,null
2010-06-09,257.345001,258.778015,255.078003,258.084991,218.162018,34593
2010-06-10,258.037994,259.010010,256.141998,257.714996,217.849258,31242
2010-06-11,null,null,null,null,null,null
2010-06-14,null,null,null,null,null,null
2010-06-15,257.714996,260.859985,257.714996,259.934998,219.725830,35026
2010-06-16,260.627991,263.171997,258.407990,260.119995,219.882248,23459
2010-06-17,null,null,null,null,null,null
2010-06-18,null,null,null,null,null,null
2010-06-21,265.901001,270.018005,263.635010,267.334991,225.981110,139779
2010-06-22,null,null,null,null,null,null
2010-06-23,263.635010,269.184998,263.079987,267.381012,226.020035,68862
2010-06-24,268.213989,269.833008,263.635010,264.929993,223.948151,31566
2010-06-25,264.559998,266.779999,261.830994,262.015991,221.484909,17945
2010-06-28,263.635010,264.190002,260.489990,262.709991,222.071579,55890
2010-06-29,269.184998,276.584991,262.247009,265.946991,224.807846,289286
2010-06-30,262.802002,267.242004,262.802002,264.559998,223.635437,23242
2010-07-01,263.635010,269.601013,263.635010,269.184998,227.544983,70916
2010-07-02,269.184998,270.526001,265.576996,265.576996,224.495087,33728
2010-07-05,264.559998,268.028992,261.645996,262.247009,221.680206,121185
2010-07-06,null,null,null,null,null,null
2010-07-07,269.092987,272.885010,263.911987,269.648010,227.936371,113942
2010-07-08,null,null,null,null,null,null
