Date,open,high,low,close,adj_close,volume
2002-07-01,19.600000,21.000000,19.549999,20.600000,18.304142,20865
2002-07-02,21.250000,24.750000,21.000000,24.700001,21.947199,152636
2002-07-03,25.600000,28.549999,25.600000,28.100000,24.968271,263315
2002-07-04,28.450001,29.250000,25.500000,26.600000,23.635445,104418
2002-07-05,27.000000,28.900000,27.000000,28.299999,25.145979,144237
2002-07-08,28.900000,29.000000,26.500000,26.750000,23.768726,68450
2002-07-09,27.150000,29.950001,27.000000,27.700001,24.612850,192146
2002-07-10,28.500000,28.500000,27.049999,27.150000,24.124147,32110
2002-07-11,26.900000,27.400000,26.400000,26.650000,23.679873,27335
2002-07-12,26.500000,28.500000,26.250000,26.650000,23.679873,28345
2002-07-15,26.400000,27.600000,26.200001,26.549999,23.591015,14304
2002-07-16,25.000000,28.450001,25.000000,26.700001,23.724302,83595
2002-07-17,25.000000,26.750000,24.700001,26.049999,23.146740,59221
2002-07-18,25.500000,27.700001,25.100000,26.049999,23.146740,62272
2002-07-19,26.000000,26.600000,26.000000,26.400000,23.457735,12755
2002-07-22,25.150000,25.299999,24.500000,24.549999,21.813915,10916
2002-07-23,25.000000,25.000000,24.000000,24.500000,21.769487,11828
2002-07-24,24.000000,24.549999,22.250000,23.100000,20.525518,37060
2002-07-25,25.000000,25.000000,22.549999,23.350000,20.747656,28334
2002-07-26,22.000000,23.950001,21.000000,21.850000,19.414829,38694
2002-07-29,22.000000,22.000000,20.000000,20.900000,18.570705,17724
2002-07-30,23.000000,23.000000,20.500000,20.600000,18.304142,12689
2002-07-31,20.950001,20.950001,20.650000,20.650000,18.348568,6093
2002-08-01,21.799999,21.799999,20.750000,21.100000,18.748419,18800
2002-08-02,20.600000,21.250000,20.000000,20.250000,17.993149,28866
2002-08-05,20.750000,22.600000,20.750000,22.049999,19.592539,13751
2002-08-06,22.400000,24.000000,21.500000,21.850000,19.414829,21981
2002-08-07,22.500000,22.700001,22.000000,22.200001,19.725822,17665
2002-08-08,20.650000,22.299999,20.650000,21.700001,19.281546,9694
2002-08-09,24.000000,24.000000,21.400000,21.450001,19.059410,1127
2002-08-12,22.500000,22.500000,21.299999,21.350000,18.970556,7305
2002-08-13,24.000000,24.000000,20.700001,21.200001,18.837273,3005
2002-08-14,21.000000,21.450001,20.850000,21.100000,18.748419,2700
2002-08-15,null,null,null,null,null,null
2002-08-16,21.150000,21.549999,20.700001,20.900000,18.570705,2745
2002-08-19,20.850000,20.950001,20.400000,20.650000,18.348568,27950
2002-08-20,21.049999,21.049999,20.100000,20.650000,18.348568,31825
2002-08-21,20.549999,22.000000,20.500000,20.799999,18.481852,5400
2002-08-22,21.000000,21.000000,20.250000,20.799999,18.481852,8050
2002-08-23,18.000000,20.900000,18.000000,20.350000,18.082006,35951
2002-08-26,21.000000,21.850000,19.600000,20.250000,17.993149,31850
2002-08-27,20.150000,20.350000,19.600000,19.950001,17.726583,22607
2002-08-28,20.000000,20.100000,19.799999,20.100000,17.859865,25105
2002-08-29,20.400000,20.400000,19.500000,19.700001,17.504444,13151
