Date,open,high,low,close,adj_close,volume
2002-07-01,20.378799,20.670900,19.283100,20.378799,8.139317,97067
2002-07-02,19.648399,19.648399,19.429199,19.648399,7.847595,44372
2002-07-03,18.771900,19.137100,18.114500,18.552700,7.409971,105035
2002-07-04,19.648399,19.648399,18.479700,18.552700,7.409971,27162
2002-07-05,18.552700,20.305700,18.552700,18.990999,7.585028,81487
2002-07-08,19.063999,19.210100,19.063999,19.210100,7.672537,17209
2002-07-09,18.990999,18.990999,18.917900,18.917900,7.555833,18113
2002-07-10,18.771900,19.283100,18.771900,19.283100,7.701693,17209
2002-07-11,19.137100,19.283100,18.771900,18.990999,7.585028,75148
2002-07-12,18.917900,18.917900,18.917900,18.917900,7.555833,36212
2002-07-15,18.552700,18.552700,18.406601,18.479700,7.380816,18113
2002-07-16,18.625799,18.698799,18.625799,18.698799,7.468322,27162
2002-07-17,18.552700,18.917900,18.406601,18.698799,7.468322,107746
2002-07-18,18.333599,18.333599,18.333599,18.333599,7.322461,178
2002-07-19,19.648399,19.648399,18.333599,18.333599,7.322461,86019
2002-07-22,18.260599,18.260599,17.311001,17.311001,6.914034,86197
2002-07-23,17.530100,17.530100,17.530100,17.530100,7.001544,2711
2002-07-24,15.996300,16.945801,15.996300,16.799700,6.709820,22275
2002-07-25,17.091900,17.091900,16.726700,16.872801,6.739018,29339
2002-07-26,16.142300,16.142300,16.142300,16.142300,6.447254,9050
2002-07-29,15.996300,17.091900,15.850200,16.361500,6.534802,24082
2002-07-30,null,null,null,null,null,null
2002-07-31,null,null,null,null,null,null
2002-08-01,16.945801,16.945801,16.945801,16.945801,6.768173,9050
2002-08-02,17.822300,17.822300,16.361500,16.361500,6.534802,18113
2002-08-05,16.507500,16.507500,16.434500,16.507500,6.593114,22631
2002-08-06,16.288401,16.288401,16.288401,16.288401,6.505607,18113
2002-08-07,null,null,null,null,null,null
2002-08-08,null,null,null,null,null,null
2002-08-09,16.580601,16.580601,16.580601,16.580601,6.622312,18113
2002-08-12,null,null,null,null,null,null
2002-08-13,null,null,null,null,null,null
2002-08-14,null,null,null,null,null,null
2002-08-15,null,null,null,null,null,null
2002-08-16,17.457100,17.457100,17.457100,17.457100,6.972386,18113
2002-08-19,null,null,null,null,null,null
2002-08-20,17.384100,17.384100,17.384100,17.384100,6.943230,36212
2002-08-21,16.726700,16.726700,16.726700,16.726700,6.680665,28970
2002-08-22,16.726700,17.018801,16.726700,17.018801,6.797330,17565
2002-08-23,null,null,null,null,null,null
2002-08-26,null,null,null,null,null,null
2002-08-27,16.726700,16.726700,16.361500,16.434500,6.563958,44180
2002-08-28,null,null,null,null,null,null
2002-08-29,null,null,null,null,null,null
2002-08-30,15.704100,17.457100,15.704100,16.069300,6.418097,27162
2002-09-02,16.507500,16.726700,16.507500,16.726700,6.680665,18113
2002-09-03,16.580601,16.580601,16.215401,16.361500,6.534802,74245
2002-09-04,16.069300,16.507500,16.069300,16.507500,6.593114,31694
2002-09-05,16.142300,16.142300,15.996300,15.996300,6.388942,10870
2002-09-06,15.631000,15.923200,15.558000,15.923200,6.359746,76052
2002-09-09,null,null,null,null,null,null
2002-09-10,null,null,null,null,null,null
2002-09-11,null,null,null,null,null,null
2002-09-12,null,null,null,null,null,null
2002-09-13,null,null,null,null,null,null
2002-09-16,null,null,null,null,null,null
2002-09-17,null,null,null,null,null,null
2002-09-18,15.923200,15.923200,15.923200,15.923200,6.359746,356
2002-09-19,15.338900,15.338900,14.900600,14.900600,5.951318,24452
2002-09-20,14.608400,14.827600,14.535400,14.827600,5.922161,32598
2002-09-23,14.535400,14.535400,14.389300,14.462400,5.776300,28970
2002-09-24,14.462400,14.462400,13.512800,13.951100,5.572086,86566
2002-09-25,14.462400,14.462400,13.878000,13.878000,5.542890,18113
2002-09-26,null,null,null,null,null,null
2002-09-27,14.462400,14.462400,14.462400,14.462400,5.776300,1807
2002-09-30,14.900600,14.900600,14.462400,14.462400,5.776300,9050
2002-10-01,null,null,null,null,null,null
2002-10-02,null,null,null,null,null,null
2002-10-03,null,null,null,null,null,null
2002-10-04,14.389300,14.389300,14.389300,14.389300,5.747104,904
2002-10-07,null,null,null,null,null,null
2002-10-08,14.535400,14.535400,14.535400,14.535400,5.805456,904
2002-10-09,14.170200,14.170200,14.170200,14.170200,5.659595,9050
2002-10-10,13.805000,13.805000,13.805000,13.805000,5.513734,178
2002-10-11,null,null,null,null,null,null
2002-10-14,14.535400,14.535400,13.512800,13.512800,5.397028,13581
2002-10-15,null,null,null,null,null,null
2002-10-16,14.389300,14.389300,13.585900,13.658900,5.455380,4710
2002-10-17,13.439800,13.439800,13.439800,13.439800,5.367872,4532
2002-10-18,null,null,null,null,null,null
2002-10-21,14.316300,14.316300,14.316300,14.316300,5.717947,9050
2002-10-22,13.512800,13.512800,13.439800,13.439800,5.367872,9050
2002-10-23,13.220600,13.220600,13.220600,13.220600,5.280324,10870
2002-10-24,13.805000,13.805000,13.293700,13.293700,5.309521,18113
2002-10-25,null,null,null,null,null,null
2002-10-28,null,null,null,null,null,null
2002-10-29,13.074600,13.074600,13.074600,13.074600,5.222011,36212
2002-10-30,null,null,null,null,null,null
2002-10-31,null,null,null,null,null,null
2002-11-01,null,null,null,null,null,null
2002-11-04,null,null,null,null,null,null
2002-11-05,null,null,null,null,null,null
2002-11-06,null,null,null,null,null,null
2002-11-07,13.805000,13.805000,13.147600,13.220600,5.280324,17209
2002-11-08,13.220600,13.658900,13.220600,13.658900,5.455380,35308
2002-11-11,13.220600,13.366700,13.220600,13.366700,5.338676,3628
2002-11-12,13.366700,14.389300,13.366700,14.389300,5.747104,7242
2002-11-13,13.220600,13.220600,13.147600,13.147600,5.251166,11774
2002-11-14,12.928500,13.439800,12.928500,13.439800,5.367872,9419
2002-11-15,13.805000,13.805000,13.805000,13.805000,5.513734,3258
2002-11-18,null,null,null,null,null,null
2002-11-19,null,null,null,null,null,null
2002-11-20,13.366700,13.731900,13.366700,13.731900,5.484538,41647
2002-11-21,13.439800,13.439800,13.439800,13.439800,5.367872,9241
2002-11-22,13.293700,13.439800,13.147600,13.366700,5.338676,59760
2002-11-25,13.439800,13.439800,13.439800,13.439800,5.367872,135812
2002-11-26,13.731900,13.731900,13.731900,13.731900,5.484538,1807
2002-11-27,13.585900,13.731900,13.585900,13.731900,5.484538,19920
2002-11-28,13.658900,13.731900,13.658900,13.731900,5.484538,14485
2002-11-29,13.585900,13.658900,13.439800,13.658900,5.455380,191957
2002-12-02,13.731900,14.170200,13.731900,14.170200,5.659595,51614
2002-12-03,14.170200,14.316300,14.170200,14.170200,5.659595,45097
2002-12-04,13.805000,13.805000,13.805000,13.805000,5.513734,9050
2002-12-05,13.805000,14.389300,13.585900,14.389300,5.747104,9775
2002-12-06,null,null,null,null,null,null
2002-12-09,null,null,null,null,null,null
2002-12-10,14.243200,14.316300,14.243200,14.316300,5.717947,6517
2002-12-11,14.973700,14.973700,14.973700,14.973700,5.980514,178
2002-12-12,15.192800,16.361500,14.316300,15.558000,6.213884,304591
2002-12-13,16.434500,16.434500,15.558000,15.558000,6.213884,50888
2002-12-16,16.726700,16.726700,14.900600,14.900600,5.951318,23726
2002-12-17,null,null,null,null,null,null
2002-12-18,null,null,null,null,null,null
2002-12-19,15.558000,15.558000,14.900600,14.900600,5.951318,12308
2002-12-20,15.558000,15.558000,15.558000,15.558000,6.213884,27162
2002-12-23,14.900600,15.411900,14.900600,15.265800,6.097179,947999
2002-12-24,15.046700,15.411900,15.046700,15.265800,6.097179,952531
2002-12-25,null,null,null,null,null,null
2002-12-26,15.119700,15.704100,15.119700,15.704100,6.272237,905449
2002-12-27,15.119700,15.558000,15.046700,15.046700,6.009670,953435
2002-12-30,15.265800,15.338900,14.900600,14.900600,5.951318,27532
2002-12-31,15.192800,15.631000,15.192800,15.411900,6.155531,59938
2003-01-01,null,null,null,null,null,null
2003-01-02,15.265800,15.485000,15.265800,15.411900,6.155531,36404
2003-01-03,15.192800,15.192800,15.192800,15.192800,6.068023,26984
2003-01-06,15.265800,15.265800,15.046700,15.046700,6.009670,57953
2003-01-07,null,null,null,null,null,null
2003-01-08,15.265800,15.265800,15.119700,15.265800,6.097179,300607
2003-01-09,15.411900,15.411900,15.411900,15.411900,6.155531,9050
2003-01-10,15.119700,15.119700,15.119700,15.119700,6.038827,15580
2003-01-13,15.119700,15.265800,15.046700,15.265800,6.097179,32598
2003-01-14,15.119700,15.631000,15.119700,15.631000,6.243040,5613
2003-01-15,15.046700,15.046700,15.046700,15.046700,6.009670,9050
2003-01-16,14.900600,15.192800,14.900600,15.192800,6.068023,18113
2003-01-17,14.827600,14.973700,14.827600,14.973700,5.980514,54325
2003-01-20,null,null,null,null,null,null
2003-01-21,null,null,null,null,null,null
2003-01-22,14.973700,15.265800,14.973700,15.265800,6.097179,148667
2003-01-23,15.119700,15.119700,15.119700,15.119700,6.038827,9050
2003-01-24,null,null,null,null,null,null
2003-01-27,14.316300,14.316300,14.316300,14.316300,5.717947,9050
2003-01-28,15.192800,15.192800,15.192800,15.192800,6.068023,9050
2003-01-29,14.535400,14.535400,14.389300,14.389300,5.747104,6339
2003-01-30,null,null,null,null,null,null
2003-01-31,null,null,null,null,null,null
2003-02-03,14.243200,14.243200,14.243200,14.243200,5.688751,9050
2003-02-04,14.024100,14.900600,14.024100,14.900600,5.951318,121327
2003-02-05,14.535400,14.900600,14.535400,14.900600,5.951318,22631
2003-02-06,16.288401,16.288401,16.288401,16.288401,6.505607,178
2003-02-07,17.457100,17.457100,14.681500,14.827600,5.922161,20468
2003-02-10,14.900600,14.900600,14.535400,14.681500,5.863809,91454
2003-02-11,14.535400,14.827600,14.535400,14.608400,5.834613,40744
2003-02-12,14.170200,14.535400,14.170200,14.535400,5.805456,2177
2003-02-13,null,null,null,null,null,null
2003-02-14,14.243200,14.535400,14.243200,14.535400,5.805456,186522
2003-02-17,14.827600,14.827600,14.827600,14.827600,5.922161,9050
2003-02-18,14.462400,14.535400,14.462400,14.535400,5.805456,57049
2003-02-19,14.462400,14.827600,14.462400,14.754500,5.892965,33501
2003-02-20,14.827600,14.827600,14.535400,14.535400,5.805456,72438
2003-02-21,14.681500,14.681500,14.681500,14.681500,5.863809,18113
2003-02-24,14.681500,14.681500,14.681500,14.681500,5.863809,81487
2003-02-25,14.243200,14.243200,14.243200,14.243200,5.688751,18113
2003-02-26,14.243200,14.243200,14.243200,14.243200,5.688751,36212
2003-02-27,14.827600,14.827600,14.535400,14.535400,5.805456,342432
