Date,open,high,low,close,adj_close,volume
2002-07-01,7.250000,8.500000,7.250000,8.500000,8.500000,10646
2002-07-02,10.100000,10.200000,9.900000,10.150000,10.150000,31756
2002-07-03,10.950000,11.400000,10.250000,10.350000,10.350000,19820
2002-07-04,10.050000,10.700000,9.500000,10.050000,10.050000,20305
2002-07-05,10.500000,10.700000,10.000000,10.350000,10.350000,8795
2002-07-08,11.000000,11.400000,10.800000,11.250000,11.250000,15674
2002-07-09,11.000000,11.050000,10.250000,10.450000,10.450000,10470
2002-07-10,10.500000,10.500000,9.500000,9.950000,9.950000,5437
2002-07-11,10.000000,10.000000,9.250000,9.450000,9.450000,3051
2002-07-12,9.150000,9.650000,8.800000,9.650000,9.650000,3500
2002-07-15,9.350000,9.600000,8.800000,8.800000,8.800000,2040
2002-07-16,9.400000,9.400000,8.000000,8.500000,8.500000,5463
2002-07-17,8.150000,8.500000,8.150000,8.500000,8.500000,1800
2002-07-18,8.100000,8.100000,8.100000,8.100000,8.100000,200
2002-07-19,8.850000,8.850000,8.850000,8.850000,8.850000,100
2002-07-22,8.350000,8.400000,8.200000,8.200000,8.200000,550
2002-07-23,7.400000,7.500000,7.400000,7.500000,7.500000,350
2002-07-24,7.250000,7.500000,6.750000,7.150000,7.150000,5350
2002-07-25,7.450000,7.450000,7.350000,7.350000,7.350000,800
2002-07-26,7.750000,7.750000,7.750000,7.750000,7.750000,100
2002-07-29,7.000000,7.000000,7.000000,7.000000,7.000000,500
2002-07-30,7.000000,7.000000,6.900000,6.900000,6.900000,1032
2002-07-31,6.600000,6.600000,6.600000,6.600000,6.600000,300
2002-08-01,6.300000,6.300000,6.300000,6.300000,6.300000,84
2002-08-02,6.750000,6.750000,6.000000,6.000000,6.000000,710
2002-08-05,6.050000,6.500000,5.700000,6.350000,6.350000,9050
2002-08-06,6.100000,6.100000,6.100000,6.100000,6.100000,100
2002-08-07,null,null,null,null,null,null
2002-08-08,5.700000,6.100000,5.700000,6.100000,6.100000,201
2002-08-09,5.700000,5.700000,5.700000,5.700000,5.700000,1
2002-08-12,5.250000,5.250000,5.250000,5.250000,5.250000,1
2002-08-13,null,null,null,null,null,null
2002-08-14,4.750000,5.800000,4.750000,5.400000,5.400000,77
2002-08-15,null,null,null,null,null,null
2002-08-16,5.800000,5.800000,5.400000,5.400000,5.400000,2000
2002-08-19,5.850000,5.850000,5.050000,5.850000,5.850000,4
