Date,open,high,low,close,adj_close,volume
2002-07-01,51.500000,53.125000,51.500000,52.349998,39.809963,7050
2002-07-02,53.000000,53.750000,52.525002,53.375000,40.589439,3380
2002-07-03,51.549999,54.000000,51.549999,53.174999,40.437351,4470
2002-07-04,54.049999,54.049999,52.500000,53.325001,40.551414,3892
2002-07-05,52.750000,53.450001,52.000000,52.599998,40.000080,3360
2002-07-08,50.724998,54.250000,50.724998,53.000000,40.304260,22078
2002-07-09,53.150002,54.950001,52.900002,53.150002,40.418335,3942
2002-07-10,54.275002,54.275002,52.500000,52.825001,40.171181,3034
2002-07-11,52.500000,53.474998,52.500000,53.349998,40.570423,1552
2002-07-12,53.000000,54.500000,52.500000,52.849998,40.190201,3564
2002-07-15,52.500000,53.375000,52.500000,53.299999,40.532402,2722
2002-07-16,53.299999,53.299999,52.000000,52.000000,39.543808,3038
2002-07-17,53.075001,54.000000,52.250000,52.474998,39.905025,19192
2002-07-18,53.250000,53.250000,52.750000,53.174999,40.437351,350
2002-07-19,52.500000,53.250000,52.500000,52.575001,39.981075,2422
2002-07-22,52.750000,55.000000,52.750000,54.500000,41.444954,7520
2002-07-23,55.000000,55.500000,54.000000,54.500000,41.444954,3100
2002-07-24,54.750000,55.950001,54.500000,54.849998,41.711113,6452
2002-07-25,54.549999,55.900002,54.549999,54.599998,41.521000,2542
2002-07-26,54.375000,55.500000,54.000000,54.674999,41.578026,7664
2002-07-29,55.450001,55.500000,53.500000,54.075001,41.121758,34858
2002-07-30,55.000000,55.950001,54.000000,54.424999,41.387920,5384
2002-07-31,55.424999,55.500000,54.000000,54.750000,41.635071,5492
2002-08-01,55.750000,57.450001,55.500000,56.125000,42.680698,1342
2002-08-02,55.125000,57.450001,55.049999,57.049999,43.384109,3252
2002-08-05,56.500000,59.500000,56.500000,58.125000,44.201607,1488
2002-08-06,59.500000,60.500000,58.250000,60.424999,45.950668,1562
2002-08-07,60.500000,63.250000,57.500000,59.474998,45.228222,2230
2002-08-08,58.525002,62.000000,58.500000,60.349998,45.893627,2340
2002-08-09,61.000000,61.950001,59.500000,61.924999,47.091351,2780
2002-08-12,61.599998,63.000000,59.625000,60.025002,45.646484,1402
2002-08-13,59.500000,61.450001,59.000000,61.450001,46.730137,9506
2002-08-14,60.000000,60.950001,59.775002,59.799999,45.475380,1868
2002-08-15,null,null,null,null,null,null
2002-08-16,58.075001,60.000000,58.075001,59.974998,45.608459,25574
2002-08-19,58.950001,59.924999,58.500000,59.125000,46.917789,7166
2002-08-20,59.250000,60.450001,58.500000,59.474998,47.195522,2780
2002-08-21,59.500000,60.000000,59.000000,59.500000,47.215366,1918
2002-08-22,59.000000,60.000000,59.000000,59.525002,47.235207,3650
2002-08-23,59.500000,60.000000,59.375000,60.000000,47.612133,3260
2002-08-26,59.474998,61.000000,59.474998,59.750000,47.413754,22050
2002-08-27,57.500000,60.250000,57.500000,59.750000,47.413754,5172
2002-08-28,59.750000,61.000000,59.375000,61.000000,48.405663,8050
2002-08-29,59.500000,60.500000,59.250000,59.974998,47.592300,4216
2002-08-30,59.950001,60.224998,59.500000,59.575001,47.274887,19648
