Date,open,high,low,close,adj_close,volume
2010-05-21,98.000000,98.800003,90.000000,91.449997,83.837944,36263480
2010-05-24,93.000000,94.449997,89.250000,90.150002,82.646164,7027985
2010-05-25,90.000000,90.000000,81.599998,82.400002,75.541252,2689887
2010-05-26,84.000000,85.949997,80.500000,81.800003,74.991203,1935465
2010-05-27,82.900002,84.199997,80.750000,83.449997,76.503845,1440326
2010-05-28,84.250000,84.250000,81.900002,82.300003,75.449577,1117200
2010-05-31,83.000000,86.150002,83.000000,83.500000,76.549690,1089960
2010-06-01,83.500000,83.500000,80.099998,80.650002,73.936920,557134
2010-06-02,81.400002,82.400002,80.099998,80.800003,74.074432,563699
2010-06-03,81.800003,82.449997,81.150002,81.349998,74.578644,463956
2010-06-04,82.000000,82.500000,81.150002,81.500000,74.716164,358444
2010-06-07,80.000000,80.800003,77.000000,78.849998,72.286736,468071
2010-06-08,78.900002,81.199997,75.650002,76.250000,69.903160,1185637
2010-06-09,77.000000,78.000000,75.800003,76.199997,69.857307,360975
2010-06-10,76.250000,77.449997,76.250000,77.000000,70.590729,249140
2010-06-11,77.949997,82.949997,77.349998,81.250000,74.486969,1669463
2010-06-14,81.250000,83.050003,81.250000,81.599998,74.807831,476663
2010-06-15,81.800003,84.800003,81.400002,83.900002,76.916389,973103
2010-06-16,85.000000,86.400002,84.099998,84.699997,77.649796,674257
2010-06-17,85.500000,87.199997,85.349998,86.449997,79.254143,861822
2010-06-18,86.500000,86.849998,85.050003,85.750000,78.612396,378563
2010-06-21,86.900002,87.199997,85.500000,86.300003,79.116631,353262
2010-06-22,85.099998,86.449997,84.800003,85.900002,78.749924,398977
2010-06-23,85.500000,85.500000,84.500000,85.150002,78.062347,268606
2010-06-24,85.050003,87.000000,85.050003,85.949997,78.795753,558971
2010-06-25,86.000000,87.000000,83.800003,84.699997,77.649796,343653
2010-06-28,84.250000,86.349998,84.250000,86.199997,79.024948,240061
2010-06-29,86.199997,88.000000,83.800003,84.550003,77.512291,983815
2010-06-30,84.099998,89.900002,82.099998,88.900002,81.500214,1386164
2010-07-01,89.250000,91.900002,89.050003,90.400002,82.875359,960169
2010-07-02,92.000000,92.900002,89.199997,89.550003,82.096107,571388
2010-07-05,90.000000,91.000000,88.900002,89.449997,82.004417,350003
2010-07-06,89.900002,90.199997,86.849998,87.449997,80.170898,590921
2010-07-07,87.500000,87.949997,86.000000,86.199997,79.024948,427081
2010-07-08,86.900002,87.699997,85.900002,86.199997,79.024948,366076
2010-07-09,86.699997,87.599998,86.400002,86.800003,79.575005,362144
2010-07-12,87.000000,91.699997,86.800003,88.500000,81.133507,2980306
2010-07-13,89.000000,89.650002,87.699997,88.750000,81.362694,802707
2010-07-14,89.500000,89.650002,87.250000,87.800003,80.491776,446716
2010-07-15,88.000000,88.099998,86.500000,86.800003,79.575005,225127
2010-07-16,86.250000,87.949997,86.099998,86.349998,79.162460,459418
2010-07-19,86.949997,87.449997,86.250000,86.949997,79.712509,365576
2010-07-20,87.500000,88.000000,86.099998,86.300003,79.116631,256782
2010-07-21,87.000000,87.449997,86.150002,86.900002,79.666687,200239
2010-07-22,87.250000,87.250000,86.250000,86.750000,79.529167,163968
2010-07-23,87.000000,87.500000,85.500000,85.849998,78.704079,303383
2010-07-26,85.849998,85.949997,84.150002,84.849998,77.787315,213139
2010-07-27,86.500000,86.500000,84.250000,84.750000,77.695648,155197
2010-07-28,84.750000,86.000000,84.199997,84.349998,77.328941,135262
2010-07-29,85.500000,85.500000,84.000000,84.150002,77.145592,218323
2010-07-30,85.000000,85.750000,83.500000,83.650002,76.687202,108931
2010-08-02,83.900002,84.449997,83.199997,83.800003,76.824715,160178
2010-08-03,84.099998,84.199997,83.550003,83.750000,76.778885,143533
2010-08-04,84.000000,84.250000,83.050003,83.849998,76.870552,99415
2010-08-05,84.400002,84.500000,83.250000,83.599998,76.641357,173760
2010-08-06,84.000000,84.000000,82.550003,82.699997,75.816277,152624
2010-08-09,82.699997,83.500000,82.699997,83.000000,76.091301,97451
2010-08-10,84.500000,89.000000,83.949997,84.650002,77.603973,405175
2010-08-11,85.500000,86.500000,84.199997,84.449997,77.420609,323941
2010-08-12,83.099998,84.400002,82.099998,83.800003,76.824715,97829
2010-08-13,83.800003,84.349998,83.250000,84.099998,77.099747,131099
2010-08-16,83.500000,83.699997,79.500000,81.650002,74.853676,345751
2010-08-17,81.699997,82.199997,81.099998,81.599998,74.807831,148368
2010-08-18,81.550003,82.300003,80.599998,80.900002,74.166107,242203
2010-08-19,81.849998,82.449997,80.050003,81.550003,74.762001,96742
2010-08-20,80.300003,84.099998,80.300003,82.349998,75.495415,244225
2010-08-23,83.199997,83.449997,82.099998,82.849998,75.953796,97461
2010-08-24,83.000000,83.900002,81.599998,81.800003,74.991203,102161
2010-08-25,81.900002,81.900002,80.650002,80.750000,74.028587,115508
2010-08-26,81.000000,81.449997,79.650002,79.849998,73.203506,112422
