Date,open,high,low,close,adj_close,volume
2002-07-02,10.500000,10.500000,10.500000,10.500000,10.500000,300
2002-07-03,9.800000,9.800000,8.500000,8.900000,8.900000,761
2002-07-04,null,null,null,null,null,null
2002-07-05,null,null,null,null,null,null
2002-07-08,8.500000,8.500000,8.500000,8.500000,8.500000,50
2002-07-09,null,null,null,null,null,null
2002-07-10,8.300000,8.300000,7.250000,7.250000,7.250000,493
2002-07-11,5.900000,5.900000,5.850000,5.850000,5.850000,200
2002-07-12,null,null,null,null,null,null
2002-07-15,4.800000,5.500000,4.800000,5.500000,5.500000,2
2002-07-16,null,null,null,null,null,null
2002-07-17,4.550000,4.900000,4.550000,4.900000,4.900000,450
2002-07-18,4.650000,4.650000,4.650000,4.650000,4.650000,1
2002-07-19,null,null,null,null,null,null
2002-07-22,null,null,null,null,null,null
2002-07-23,null,null,null,null,null,null
2002-07-24,null,null,null,null,null,null
2002-07-25,null,null,null,null,null,null
2002-07-26,null,null,null,null,null,null
2002-07-29,null,null,null,null,null,null
2002-07-30,null,null,null,null,null,null
2002-07-31,null,null,null,null,null,null
2002-08-01,null,null,null,null,null,null
2002-08-02,5.600000,5.600000,5.600000,5.600000,5.600000,51
2002-08-05,null,null,null,null,null,null
2002-08-06,6.700000,6.700000,6.700000,6.700000,6.700000,1
2002-08-07,7.950000,7.950000,7.950000,7.950000,7.950000,1
2002-08-08,8.000000,8.000000,8.000000,8.000000,8.000000,1
2002-08-09,null,null,null,null,null,null
2002-08-12,9.600000,9.600000,9.600000,9.600000,9.600000,1
2002-08-13,10.500000,10.500000,10.500000,10.500000,10.500000,2
2002-08-14,null,null,null,null,null,null
2002-08-15,null,null,null,null,null,null
2002-08-16,null,null,null,null,null,null
2002-08-19,null,null,null,null,null,null
2002-08-20,11.000000,12.600000,8.400000,9.950000,9.950000,200
2002-08-21,null,null,null,null,null,null
2002-08-22,11.950000,11.950000,11.950000,11.950000,11.950000,1
2002-08-23,11.250000,11.250000,9.600000,9.600000,9.600000,261
2002-08-26,7.700000,8.950000,7.700000,7.700000,7.700000,251
2002-08-27,6.200000,9.150000,6.200000,8.450000,8.450000,400
2002-08-28,8.950000,8.950000,8.950000,8.950000,8.950000,1
2002-08-29,10.700000,10.700000,10.700000,10.700000,10.700000,1
2002-08-30,10.200000,10.200000,10.200000,10.200000,10.200000,1
2002-09-02,12.200000,12.200000,12.200000,12.200000,12.200000,1
2002-09-03,null,null,null,null,null,null
2002-09-04,11.000000,11.000000,9.800000,9.800000,9.800000,2
2002-09-05,null,null,null,null,null,null
2002-09-06,null,null,null,null,null,null
2002-09-09,11.750000,11.750000,11.750000,11.750000,11.750000,1
2002-09-10,null,null,null,null,null,null
2002-09-11,14.100000,14.100000,9.400000,9.400000,9.400000,100
2002-09-12,9.400000,9.400000,7.550000,7.650000,7.650000,400
2002-09-13,6.150000,6.150000,6.150000,6.150000,6.150000,1
2002-09-16,4.950000,4.950000,4.950000,4.950000,4.950000,1
2002-09-17,null,null,null,null,null,null
2002-09-18,null,null,null,null,null,null
2002-09-19,5.000000,5.000000,5.000000,5.000000,5.000000,1
2002-09-20,null,null,null,null,null,null
2002-09-23,4.200000,4.200000,4.200000,4.200000,4.200000,10
2002-09-24,null,null,null,null,null,null
2002-09-25,null,null,null,null,null,null
2002-09-26,null,null,null,null,null,null
2002-09-27,null,null,null,null,null,null
2002-09-30,null,null,null,null,null,null
2002-10-01,null,null,null,null,null,null
2002-10-02,null,null,null,null,null,null
2002-10-03,null,null,null,null,null,null
2002-10-04,null,null,null,null,null,null
2002-10-07,5.000000,5.000000,5.000000,5.000000,5.000000,500
2002-10-08,6.000000,6.000000,6.000000,6.000000,6.000000,1
2002-10-09,7.200000,7.200000,7.200000,7.200000,7.200000,1
2002-10-10,null,null,null,null,null,null
2002-10-11,8.600000,8.600000,8.600000,8.600000,8.600000,1
2002-10-14,10.300000,10.300000,10.300000,10.300000,10.300000,1
2002-10-15,null,null,null,null,null,null
2002-10-16,12.350000,12.350000,12.350000,12.350000,12.350000,1
2002-10-17,null,null,null,null,null,null
2002-10-18,null,null,null,null,null,null
2002-10-21,null,null,null,null,null,null
2002-10-22,null,null,null,null,null,null
2002-10-23,null,null,null,null,null,null
2002-10-24,null,null,null,null,null,null
2002-10-25,null,null,null,null,null,null
2002-10-28,null,null,null,null,null,null
2002-10-29,null,null,null,null,null,null
2002-10-30,null,null,null,null,null,null
2002-10-31,null,null,null,null,null,null
2002-11-01,null,null,null,null,null,null
2002-11-04,null,null,null,null,null,null
2002-11-05,null,null,null,null,null,null
2002-11-06,null,null,null,null,null,null
2002-11-07,null,null,null,null,null,null
2002-11-08,null,null,null,null,null,null
