Date,open,high,low,close,adj_close,volume
2002-07-01,5.300000,5.300000,4.950000,4.960000,4.063094,59480
2002-07-02,4.935000,5.050000,4.935000,4.960000,4.063094,8760
2002-07-03,5.000000,5.010000,4.925000,4.980000,4.079476,22520
2002-07-04,4.950000,5.000000,4.950000,4.950000,4.054901,27750
2002-07-05,4.950000,5.175000,4.810000,5.090000,4.169586,30420
2002-07-08,5.000000,5.145000,4.950000,5.100000,4.177778,56450
2002-07-09,5.125000,5.140000,5.015000,5.105000,4.181874,22800
2002-07-10,5.010000,5.040000,4.810000,4.825000,3.952505,15270
2002-07-11,4.800000,4.800000,4.515000,4.645000,3.805054,27270
2002-07-12,4.980000,4.980000,4.650000,4.650000,3.809150,8560
2002-07-15,4.700000,4.825000,4.650000,4.750000,3.891067,7080
2002-07-16,4.800000,4.800000,4.670000,4.685000,3.837820,12560
2002-07-17,4.775000,4.775000,4.505000,4.560000,3.735425,10050
2002-07-18,4.795000,4.795000,4.625000,4.780000,3.915642,6600
2002-07-19,4.960000,4.960000,4.520000,4.835000,3.960697,17580
2002-07-22,4.725000,4.725000,4.610000,4.640000,3.800959,3800
2002-07-23,4.875000,4.875000,4.605000,4.800000,3.932025,11940
2002-07-24,4.610000,4.850000,4.610000,4.800000,3.932025,15900
2002-07-25,4.750000,4.900000,4.700000,4.815000,3.944313,10300
2002-07-26,4.680000,4.680000,4.600000,4.600000,3.768191,12050
2002-07-29,4.600000,4.675000,4.550000,4.565000,3.739521,3560
2002-07-30,4.500000,4.900000,4.085000,4.755000,3.895163,37260
2002-07-31,4.800000,5.040000,4.700000,4.940000,4.046710,755320
2002-08-01,4.950000,4.985000,4.850000,4.880000,3.997559,43620
2002-08-02,4.800000,5.100000,4.800000,5.100000,4.177778,62850
2002-08-05,5.135000,5.250000,5.025000,5.170000,4.235119,126080
2002-08-06,5.240000,5.380000,5.215000,5.255000,4.304749,23880
2002-08-07,5.150000,5.290000,5.150000,5.290000,4.333420,7370
2002-08-08,5.000000,5.120000,5.000000,5.100000,4.177778,14850
2002-08-09,5.000000,5.340000,4.815000,5.280000,4.325228,382280
2002-08-12,5.300000,5.765000,5.250000,5.535000,4.534117,290510
2002-08-13,5.700000,5.770000,5.400000,5.435000,4.452200,22190
2002-08-14,5.425000,5.500000,5.200000,5.410000,4.431719,89560
2002-08-15,null,null,null,null,null,null
2002-08-16,5.465000,5.510000,5.310000,5.380000,4.407146,14760
2002-08-19,5.110000,5.320000,5.110000,5.265000,4.312941,2030
2002-08-20,4.910000,5.345000,4.910000,5.155000,4.222833,6180
2002-08-21,5.600000,5.600000,4.950000,5.300000,4.341612,21690
2002-08-22,5.675000,5.675000,5.100000,5.405000,4.427626,227910
