Date,open,high,low,close,adj_close,volume
2008-02-18,42.000000,42.000000,30.260000,30.360001,18.920776,27230345
2008-02-19,31.049999,32.580002,29.620001,29.830000,18.590471,8326995
2008-02-20,29.540001,30.400000,28.719999,29.840000,18.596703,2864270
2008-02-21,28.400000,31.400000,28.400000,29.379999,18.310024,2248520
2008-02-22,27.400000,29.000000,27.240000,27.540001,17.163311,893215
2008-02-25,27.799999,27.959999,26.020000,27.000000,16.826775,677520
2008-02-26,27.480000,28.990000,21.600000,27.379999,17.063595,1528310
2008-02-27,27.420000,28.559999,26.219999,26.910000,16.770683,656750
2008-02-28,26.680000,28.990000,26.410000,28.600000,17.823919,1502875
2008-02-29,28.219999,30.200001,28.219999,29.190001,18.191612,985045
2008-03-03,28.379999,28.540001,26.709999,26.910000,16.770683,160280
2008-03-04,26.709999,27.180000,24.900000,25.910000,16.147472,201470
2008-03-05,25.020000,26.400000,25.020000,25.830000,16.097610,176395
2008-03-07,24.959999,24.959999,21.950001,22.379999,13.947527,483735
2008-03-10,20.760000,21.600000,19.139999,21.360001,13.311849,200620
2008-03-11,19.799999,22.900000,19.540001,22.590000,14.078402,164750
2008-03-12,23.299999,23.980000,21.660000,21.799999,13.586062,99740
2008-03-13,21.520000,21.520000,19.820000,20.309999,12.657474,101155
2008-03-14,19.799999,22.000000,19.500000,20.940001,13.050099,136165
2008-03-17,19.240000,20.180000,18.180000,19.700001,12.277313,461105
2008-03-18,20.379999,20.400000,18.400000,18.510000,11.535688,60785
2008-03-19,18.809999,19.600000,18.000000,18.320000,11.417278,56385
2008-03-24,18.400000,18.690001,14.800000,14.820000,9.236030,126555
2008-03-25,15.400000,15.640000,14.120000,14.780000,9.211102,213180
2008-03-26,15.200000,15.400000,14.800000,15.250000,9.504011,884535
2008-03-27,14.140000,15.980000,14.140000,15.770000,9.828084,114665
2008-03-28,14.620000,16.700001,14.620000,16.459999,10.258100,369795
2008-03-31,16.790001,17.200001,16.400000,16.920000,10.544778,152245
2008-04-01,16.000000,19.400000,16.000000,18.540001,11.554387,256465
2008-04-02,19.240000,19.959999,18.200001,18.660000,11.629170,90230
2008-04-03,18.200001,18.580000,17.719999,17.870001,11.136833,41430
2008-04-04,18.000000,20.600000,17.240000,18.469999,11.510759,375055
2008-04-07,19.200001,19.299999,18.000000,18.459999,11.504527,56580
2008-04-08,18.100000,18.500000,17.650000,17.959999,11.192921,34725
2008-04-09,18.049999,19.500000,17.809999,18.650000,11.622941,87320
2008-04-10,19.000000,19.200001,18.000000,18.230000,11.361189,86700
2008-04-11,18.400000,18.780001,18.000000,18.180000,11.330029,28335
2008-04-15,18.049999,18.600000,17.620001,18.430000,11.485831,41390
