Date,open,high,low,close,adj_close,volume
2002-01-24,1.065000,1.600000,1.065000,1.600000,0.042059,20
2002-01-25,1.920000,1.920000,1.280000,1.280000,0.033647,30
2002-01-28,null,null,null,null,null,null
2002-01-29,1.025000,1.025000,1.025000,1.025000,0.026944,60
2002-01-30,null,null,null,null,null,null
2002-01-31,1.100000,1.230000,1.100000,1.230000,0.032333,2000
2002-02-01,null,null,null,null,null,null
2002-02-04,1.480000,1.480000,1.480000,1.480000,0.038905,50
2002-02-05,1.310000,1.780000,1.310000,1.780000,0.046791,110
2002-02-06,null,null,null,null,null,null
2002-02-07,null,null,null,null,null,null
2002-02-08,1.800000,2.060000,1.800000,2.060000,0.054151,20
2002-02-11,1.950000,1.950000,1.950000,1.950000,0.051259,7290
2002-02-12,1.565000,1.565000,1.565000,1.565000,0.041139,10
2002-02-13,1.560000,1.625000,1.550000,1.610000,0.042322,66000
2002-02-14,1.700000,1.700000,1.700000,1.700000,0.044688,2000
2002-02-15,2.035000,2.035000,1.700000,1.700000,0.044688,1010
2002-02-18,2.040000,2.040000,1.700000,1.700000,0.044688,1020
2002-02-19,null,null,null,null,null,null
2002-02-20,1.700000,1.700000,1.700000,1.700000,0.044688,500
2002-02-21,1.700000,1.700000,1.700000,1.700000,0.044688,2000
2002-02-22,null,null,null,null,null,null
2002-02-25,1.700000,1.700000,1.630000,1.630000,0.042848,3250
2002-02-26,null,null,null,null,null,null
2002-02-27,null,null,null,null,null,null
2002-02-28,null,null,null,null,null,null
2002-03-01,null,null,null,null,null,null
2002-03-04,null,null,null,null,null,null
2002-03-05,null,null,null,null,null,null
2002-03-06,null,null,null,null,null,null
2002-03-07,null,null,null,null,null,null
2002-03-08,null,null,null,null,null,null
2002-03-11,1.600000,1.600000,1.600000,1.600000,0.042059,2100
2002-03-12,null,null,null,null,null,null
2002-03-13,null,null,null,null,null,null
2002-03-14,null,null,null,null,null,null
2002-03-15,null,null,null,null,null,null
2002-03-18,1.550000,1.550000,1.550000,1.550000,0.040745,1000
2002-03-19,1.525000,1.525000,1.525000,1.525000,0.040088,1000
2002-03-20,1.800000,1.800000,1.530000,1.530000,0.040219,1500
2002-03-21,null,null,null,null,null,null
2002-03-22,null,null,null,null,null,null
2002-03-25,null,null,null,null,null,null
2002-03-26,null,null,null,null,null,null
2002-03-27,null,null,null,null,null,null
2002-03-28,null,null,null,null,null,null
2002-03-29,null,null,null,null,null,null
2002-04-01,null,null,null,null,null,null
2002-04-02,null,null,null,null,null,null
2002-04-03,null,null,null,null,null,null
2002-04-04,1.505000,1.700000,1.505000,1.700000,0.044688,3000
2002-04-05,null,null,null,null,null,null
2002-04-08,null,null,null,null,null,null
2002-04-09,1.700000,1.700000,1.700000,1.700000,0.044688,3000
2002-04-10,1.575000,1.700000,1.575000,1.700000,0.044688,3010
2002-04-11,1.400000,1.700000,1.400000,1.555000,0.040876,1020
2002-04-12,1.700000,1.700000,1.565000,1.700000,0.044688,2010
2002-04-15,1.750000,1.750000,1.750000,1.750000,0.046002,1000
2002-04-16,2.020000,2.020000,2.020000,2.020000,0.053100,1000
2002-04-17,null,null,null,null,null,null
2002-04-18,null,null,null,null,null,null
2002-04-19,null,null,null,null,null,null
2002-04-22,null,null,null,null,null,null
2002-04-23,null,null,null,null,null,null
2002-04-24,1.710000,1.900000,1.700000,1.900000,0.049945,3100
2002-04-25,1.720000,1.720000,1.700000,1.700000,0.044688,2000
2002-04-26,1.505000,1.700000,1.505000,1.700000,0.044688,750
2002-04-29,null,null,null,null,null,null
2002-04-30,null,null,null,null,null,null
2002-05-01,null,null,null,null,null,null
2002-05-02,null,null,null,null,null,null
2002-05-03,1.800000,1.800000,1.800000,1.800000,0.047316,3000
2002-05-06,2.000000,2.080000,1.900000,1.900000,0.049945,2010
2002-05-07,2.250000,2.280000,2.250000,2.255000,0.059277,3500
2002-05-08,2.360000,2.710000,2.360000,2.710000,0.071237,29990
2002-05-09,3.195000,3.195000,2.600000,2.650000,0.069660,8000
2002-05-10,2.550000,2.550000,2.400000,2.400000,0.063089,9500
2002-05-13,2.690000,2.690000,2.500000,2.520000,0.066243,5800
2002-05-14,2.500000,2.500000,2.270000,2.270000,0.059671,1800
2002-05-15,2.220000,2.475000,2.220000,2.475000,0.065060,1030
2002-05-16,2.210000,2.470000,2.210000,2.470000,0.064929,12790
2002-05-17,null,null,null,null,null,null
2002-05-20,2.275000,2.300000,2.000000,2.145000,0.056385,40
2002-05-21,null,null,null,null,null,null
2002-05-22,null,null,null,null,null,null
