Date,open,high,low,close,adj_close,volume
2002-07-01,16.850000,17.549999,15.750000,16.299999,11.858665,475775
2002-07-02,16.900000,18.299999,16.750000,17.049999,12.404306,317706
2002-07-03,17.700001,17.750000,15.750000,16.100000,11.713160,122187
2002-07-04,16.000000,16.049999,14.000000,14.450000,10.512741,107899
2002-07-05,14.250000,15.000000,13.950000,14.200000,10.330860,67979
2002-07-08,14.900000,16.000000,14.300000,15.600000,11.349398,99548
2002-07-09,15.700000,16.900000,15.600000,15.900000,11.567655,140371
2002-07-10,16.450001,17.100000,16.000000,16.200001,11.785912,162812
2002-07-11,16.450001,16.450001,15.500000,15.750000,11.458525,62210
2002-07-12,15.600000,15.800000,14.850000,15.000000,10.912881,34051
2002-07-15,14.500000,15.000000,14.050000,14.200000,10.330860,18133
2002-07-16,13.200000,14.050000,12.850000,13.200000,9.603333,24640
2002-07-17,13.000000,15.850000,11.750000,14.650000,10.658247,120487
2002-07-18,14.800000,16.500000,14.650000,15.650000,11.385772,223437
2002-07-19,15.300000,15.550000,14.300000,14.650000,10.658247,41700
2002-07-22,14.050000,14.150000,13.000000,13.750000,10.003473,37126
2002-07-23,13.800000,15.000000,13.800000,14.550000,10.585494,35867
2002-07-24,14.600000,15.250000,14.350000,14.550000,10.585494,79081
2002-07-25,14.950000,15.250000,14.350000,14.600000,10.621871,16290
2002-07-26,14.450000,14.450000,13.300000,13.600000,9.894347,34993
2002-07-29,13.900000,15.500000,13.000000,14.750000,10.731000,148443
2002-07-30,15.450000,17.700001,15.050000,16.950001,12.331555,501221
2002-07-31,18.100000,18.750000,13.600000,13.600000,9.894347,372512
2002-08-01,13.800000,14.000000,11.150000,12.350000,8.984939,120891
2002-08-02,12.000000,12.600000,11.800000,12.400000,9.021316,29660
2002-08-05,12.950000,14.900000,12.950000,14.900000,10.840129,145486
2002-08-06,15.300000,17.100000,14.850000,16.400000,11.931415,244143
2002-08-07,16.799999,16.799999,16.000000,16.049999,11.676783,87909
2002-08-08,15.700000,15.900000,15.000000,15.150000,11.022010,46637
2002-08-09,15.000000,15.400000,14.850000,15.100000,10.985633,29828
2002-08-12,15.500000,16.900000,15.400000,15.550000,11.313020,30967
2002-08-13,16.000000,16.000000,15.050000,15.250000,11.094762,29675
2002-08-14,15.250000,15.250000,14.850000,15.000000,10.912881,19248
2002-08-15,null,null,null,null,null,null
2002-08-16,17.000000,17.000000,14.600000,14.950000,10.876503,11935
2002-08-19,14.600000,15.050000,14.500000,14.600000,10.621871,19616
2002-08-20,15.700000,16.100000,14.850000,15.300000,11.131140,95165
2002-08-21,15.100000,15.500000,14.500000,14.700000,10.694622,32531
2002-08-22,12.400000,15.300000,12.400000,14.700000,10.694622,18100
2002-08-23,14.950000,14.950000,14.350000,14.600000,10.621871,6039
2002-08-26,15.100000,15.500000,14.750000,14.850000,10.803752,32402
2002-08-27,14.200000,15.000000,14.200000,14.700000,10.694622,11349
2002-08-28,15.300000,15.300000,14.550000,14.800000,10.767376,3302
2002-08-29,15.300000,15.300000,14.500000,14.550000,10.585494,12429
2002-08-30,15.300000,15.300000,13.900000,14.950000,10.876503,8462
2002-09-02,15.300000,15.750000,14.500000,15.600000,11.349398,23093
2002-09-03,16.100000,16.100000,15.250000,15.700000,11.422149,36492
2002-09-04,15.100000,16.049999,15.000000,15.500000,11.276644,39162
2002-09-05,15.950000,16.150000,15.750000,16.000000,11.640407,29302
2002-09-06,16.000000,16.299999,15.450000,15.900000,11.567655,44846
2002-09-09,15.850000,16.450001,15.700000,16.200001,11.785912,30496
2002-09-10,null,null,null,null,null,null
2002-09-11,15.800000,16.549999,15.800000,16.100000,11.713160,18379
2002-09-12,15.750000,16.400000,15.750000,16.200001,11.785912,14186
2002-09-13,15.600000,17.799999,15.600000,17.000000,12.367931,83338
2002-09-16,17.500000,18.049999,17.299999,17.450001,12.695317,100527
2002-09-17,18.400000,18.400000,17.000000,17.900000,13.022705,41235
2002-09-18,17.100000,18.250000,17.100000,17.950001,13.059082,29511
2002-09-19,17.500000,18.000000,17.500000,17.549999,12.768069,11221
2002-09-20,18.000000,18.000000,15.250000,15.900000,11.567655,47596
2002-09-23,17.400000,17.400000,12.800000,12.950000,9.421453,92561
2002-09-24,13.250000,14.200000,12.750000,13.050000,9.494207,41286
2002-09-25,14.000000,14.000000,12.500000,12.700000,9.239572,19139
