Date,open,high,low,close,adj_close,volume
2006-09-14,245.000000,245.500000,228.100006,231.600006,166.486832,20270
2006-09-15,230.149994,241.899994,228.100006,237.399994,170.656204,9375
2006-09-18,240.000000,252.899994,238.000000,245.550003,176.514862,26245
2006-09-19,243.600006,243.949997,221.000000,225.250000,161.922119,10560
2006-09-20,234.000000,234.000000,222.649994,226.149994,162.569077,3581
2006-09-21,225.100006,227.800003,220.100006,220.550003,158.543503,2520
2006-09-22,220.500000,238.800003,220.250000,230.100006,165.408554,16615
2006-09-25,234.899994,234.899994,224.100006,226.100006,162.533157,20002
2006-09-26,230.000000,236.699997,221.000000,234.149994,168.319916,29636
2006-09-27,230.199997,242.000000,229.100006,235.800003,169.506042,6365
2006-09-28,237.000000,238.000000,227.750000,230.199997,165.480438,21200
2006-09-29,253.250000,253.250000,228.850006,239.449997,172.129868,15144
2006-10-03,250.000000,250.699997,235.000000,236.149994,169.757645,11937
2006-10-04,236.000000,240.250000,229.000000,230.399994,165.624222,8645
2006-10-05,237.000000,242.949997,234.199997,235.100006,169.002869,23572
2006-10-06,238.000000,245.000000,237.000000,238.399994,171.375061,15535
2006-10-09,242.500000,242.500000,237.050003,238.600006,171.518845,30024
2006-10-10,239.000000,239.899994,235.149994,235.699997,169.434158,6753
2006-10-11,238.750000,239.000000,232.300003,234.199997,168.355850,4286
2006-10-12,235.000000,236.899994,232.850006,234.199997,168.355850,3483
2006-10-13,238.000000,239.000000,234.600006,235.800003,169.506042,11448
2006-10-16,239.000000,239.000000,233.100006,234.000000,168.212082,7576
2006-10-17,234.100006,235.000000,230.000000,231.399994,166.343079,6092
2006-10-18,231.300003,232.949997,225.050003,226.750000,163.000397,6207
2006-10-19,231.850006,231.850006,220.550003,225.800003,162.317490,4007
2006-10-20,233.800003,235.000000,229.100006,230.899994,165.983627,7945
2006-10-23,232.350006,233.899994,228.250000,230.050003,165.372604,12311
2006-10-26,234.000000,244.000000,233.050003,240.199997,172.668991,30090
2006-10-27,245.949997,250.399994,241.000000,246.850006,177.449387,10776
2006-10-30,255.000000,255.000000,238.300003,239.199997,171.950150,4151
2006-10-31,244.000000,246.000000,228.149994,231.600006,166.486832,13709
2006-11-01,226.000000,228.000000,218.250000,219.600006,157.860580,11921
2006-11-02,221.000000,241.600006,220.000000,241.600006,173.675400,76541
2006-11-03,250.000000,253.449997,238.149994,248.449997,178.599533,119507
2006-11-06,253.500000,271.850006,247.500000,265.600006,190.927917,119527
2006-11-07,269.850006,288.399994,265.899994,269.649994,193.839279,265550
2006-11-08,271.049988,274.500000,251.250000,259.799988,186.758545,86153
2006-11-09,260.649994,262.649994,251.050003,252.899994,181.798447,34061
2006-11-10,252.800003,252.800003,241.500000,243.300003,174.897446,21756
2006-11-13,244.500000,259.850006,241.550003,256.200012,184.170654,47833
2006-11-14,255.000000,256.700012,245.000000,247.449997,177.880676,18579
2006-11-15,247.250000,248.500000,241.500000,244.100006,175.472519,10893
2006-11-16,248.500000,248.500000,235.000000,237.100006,170.440552,15550
2006-11-17,240.000000,240.000000,229.000000,229.949997,165.300720,10702
2006-11-20,229.949997,230.000000,222.100006,225.949997,162.425293,10797
2006-11-21,228.550003,243.500000,228.550003,240.199997,172.668991,18613
2006-11-22,248.899994,251.000000,235.100006,248.199997,178.419830,28716
2006-11-23,248.000000,250.649994,245.500000,249.899994,179.641876,22858
2006-11-24,248.000000,249.750000,245.000000,245.100006,176.191376,3534
2006-11-27,242.050003,244.000000,238.399994,242.199997,174.106735,3357
2006-11-28,241.000000,243.949997,238.000000,241.550003,173.639420,6389
2006-11-29,238.000000,244.000000,238.000000,241.100006,173.315979,1169
2006-11-30,240.100006,246.000000,239.000000,245.149994,176.227325,6780
2006-12-01,246.000000,246.250000,243.500000,245.149994,176.227325,10230
2006-12-04,245.000000,249.449997,243.250000,246.199997,176.982117,25013
2006-12-05,240.100006,250.000000,240.100006,247.699997,178.060394,5076
2006-12-06,250.000000,253.449997,247.000000,247.250000,177.736954,6093
2006-12-07,249.899994,251.500000,247.500000,250.149994,179.821594,9858
2006-12-08,252.000000,254.899994,250.050003,252.050003,181.187454,16255
2006-12-11,241.300003,250.000000,241.199997,248.000000,178.276108,9868
2006-12-12,242.100006,250.000000,228.000000,247.550003,177.952606,57514
2006-12-13,242.000000,260.000000,231.000000,253.800003,182.445419,17086
2006-12-14,251.000000,260.000000,244.100006,255.800003,183.883163,8776
2006-12-15,253.100006,257.950012,246.000000,247.500000,177.916641,14369
2006-12-18,248.000000,258.000000,243.000000,255.850006,183.919067,6807
2006-12-19,250.100006,252.899994,243.000000,247.000000,177.557190,9229
