Date,open,high,low,close,adj_close,volume
2000-01-03,2.747920,2.747920,2.384500,2.631810,-0.000515,264320
2000-01-04,2.477000,2.693740,2.477000,2.575690,-0.000504,257085
2000-01-05,2.593110,2.662390,2.496350,2.504860,-0.000491,246233
2000-01-06,2.566020,2.693740,2.554400,2.586140,-0.000507,861817
2000-01-07,2.600070,2.635680,2.477000,2.507190,-0.000491,574631
2000-01-10,2.515700,2.592330,2.515700,2.571430,-0.000504,336666
2000-01-11,2.542790,2.577630,2.369020,2.387980,-0.000468,749940
2000-01-12,2.554400,2.577630,2.484740,2.575300,-0.000504,299976
2000-01-13,2.740180,2.763400,2.616330,2.634130,-0.000516,489754
2000-01-14,2.593110,2.709220,2.593110,2.650390,-0.000519,177764
2000-01-17,2.631810,2.631810,2.569890,2.612070,-0.000512,210061
2000-01-18,2.569890,2.584210,2.515700,2.556340,-0.000501,291966
2000-01-19,2.554400,2.631810,2.438300,2.602010,-0.000510,1109084
2000-01-20,2.501380,2.585370,2.446420,2.549370,-0.000499,2938007
2000-01-21,2.554400,2.588460,2.516480,2.538920,-0.000497,9420175
2000-01-24,2.554400,2.554400,2.408110,2.466160,-0.000483,1780219
2000-01-25,2.477000,2.477000,2.377140,2.412750,-0.000473,381106
2000-01-26,null,null,null,null,null,null
2000-01-27,2.391850,2.457650,2.391850,2.430550,-0.000476,201534
2000-01-28,2.399980,2.445650,2.384110,2.434040,-0.000477,200888
2000-01-31,2.391850,2.391850,2.246720,2.255620,-0.000442,215099
2000-02-01,2.314450,2.321410,2.206080,2.259100,-0.000442,271942
2000-02-02,2.399590,2.399590,2.252520,2.292000,-0.000449,507065
2000-02-03,2.244780,2.298190,2.229300,2.244780,-0.000440,117562
2000-02-04,2.253290,2.281930,2.237430,2.271490,-0.000445,200372
2000-02-07,2.175110,2.237040,2.113580,2.163500,-0.000424,242487
2000-02-08,2.206080,2.206080,2.098870,2.136410,-0.000418,386274
2000-02-09,2.167370,2.167370,2.089970,2.128670,-0.000417,1483085
2000-02-10,2.166600,2.298960,2.166600,2.295870,-0.000450,414179
2000-02-11,2.267230,2.291220,2.128670,2.167370,-0.000425,432136
2000-02-14,2.221560,2.221560,2.129440,2.135640,-0.000418,315737
2000-02-15,2.089970,2.167370,2.089970,2.141440,-0.000419,491563
2000-02-16,2.167370,2.244780,2.159630,2.167370,-0.000425,206702
2000-02-17,2.221170,2.221170,2.130610,2.173180,-0.000426,149342
2000-02-18,2.244010,2.244010,2.097710,2.160020,-0.000423,151797
2000-02-21,2.113190,2.167370,2.097710,2.167370,-0.000425,347388
2000-02-22,2.113960,2.192530,2.113960,2.131380,-0.000417,413920
2000-02-23,2.144150,2.244780,2.067520,2.098100,-0.000411,323617
2000-02-24,2.159630,2.206080,2.105450,2.125570,-0.000416,297134
2000-02-25,2.128670,2.237040,2.074490,2.113190,-0.000414,427485
2000-02-28,2.074490,2.244780,2.051260,2.190980,-0.000429,258506
2000-02-29,2.229300,2.237040,2.051260,2.109710,-0.000413,757045
2000-03-01,2.059010,2.167370,2.059010,2.167370,-0.000425,54905
2000-03-02,2.028040,2.167370,2.028040,2.074100,-0.000406,394671
2000-03-03,2.051260,2.159630,1.943670,2.020690,-0.000396,363278
2000-03-06,1.897230,2.012560,1.860070,1.888710,-0.000370,494792
2000-03-07,1.750150,2.039650,1.750150,1.975410,-0.000387,829520
2000-03-08,1.973860,1.973860,1.819050,1.828720,-0.000358,355915
2000-03-09,1.757890,1.935160,1.757120,1.893360,-0.000371,217166
2000-03-10,1.857750,1.966120,1.857750,1.895680,-0.000371,255277
2000-03-13,1.819050,2.047010,1.819050,2.005980,-0.000393,336666
2000-03-14,1.935160,2.012560,1.904190,1.962630,-0.000384,499056
2000-03-15,1.973860,2.113190,1.966120,2.024560,-0.000397,666484
2000-03-16,2.105450,2.105450,1.966120,1.989340,-0.000390,220267
2000-03-17,null,null,null,null,null,null
2000-03-20,null,null,null,null,null,null
2000-03-21,1.935160,2.144150,1.935160,2.087650,-0.000409,247396
2000-03-22,null,null,null,null,null,null
2000-03-23,null,null,null,null,null,null
2000-03-24,null,null,null,null,null,null
2000-03-27,null,null,null,null,null,null
2000-03-28,null,null,null,null,null,null
2000-03-29,null,null,null,null,null,null
2000-03-30,null,null,null,null,null,null
2000-03-31,null,null,null,null,null,null
2000-04-03,null,null,null,null,null,null
2000-04-04,null,null,null,null,null,null
2000-04-05,null,null,null,null,null,null
2000-04-06,null,null,null,null,null,null
2000-04-07,null,null,null,null,null,null
2000-04-10,null,null,null,null,null,null
2000-04-11,null,null,null,null,null,null
2000-04-12,null,null,null,null,null,null
2000-04-13,null,null,null,null,null,null
2000-04-14,null,null,null,null,null,null
2000-04-17,null,null,null,null,null,null
2000-04-18,null,null,null,null,null,null
2000-04-19,null,null,null,null,null,null
2000-04-20,null,null,null,null,null,null
2000-04-21,null,null,null,null,null,null
2000-04-24,null,null,null,null,null,null
2000-04-25,null,null,null,null,null,null
2000-04-26,null,null,null,null,null,null
2000-04-27,null,null,null,null,null,null
2000-04-28,null,null,null,null,null,null
2000-05-01,null,null,null,null,null,null
2000-05-02,null,null,null,null,null,null
2000-05-03,null,null,null,null,null,null
2000-05-04,null,null,null,null,null,null
2000-05-05,null,null,null,null,null,null
2000-05-08,null,null,null,null,null,null
2000-05-09,null,null,null,null,null,null
2000-05-10,null,null,null,null,null,null
2000-05-11,null,null,null,null,null,null
2000-05-12,null,null,null,null,null,null
2000-05-15,null,null,null,null,null,null
2000-05-16,null,null,null,null,null,null
2000-05-17,null,null,null,null,null,null
2000-05-18,null,null,null,null,null,null
2000-05-19,null,null,null,null,null,null
2000-05-22,null,null,null,null,null,null
2000-05-23,null,null,null,null,null,null
2000-05-24,null,null,null,null,null,null
2000-05-25,null,null,null,null,null,null
2000-05-26,null,null,null,null,null,null
2000-05-29,null,null,null,null,null,null
2000-05-30,null,null,null,null,null,null
2000-05-31,null,null,null,null,null,null
2000-06-01,null,null,null,null,null,null
2000-06-02,null,null,null,null,null,null
2000-06-05,null,null,null,null,null,null
2000-06-06,null,null,null,null,null,null
2000-06-07,null,null,null,null,null,null
2000-06-08,null,null,null,null,null,null
2000-06-09,null,null,null,null,null,null
2000-06-12,null,null,null,null,null,null
2000-06-13,null,null,null,null,null,null
2000-06-14,null,null,null,null,null,null
2000-06-15,null,null,null,null,null,null
2000-06-16,null,null,null,null,null,null
2000-06-19,null,null,null,null,null,null
2000-06-20,null,null,null,null,null,null
2000-06-21,null,null,null,null,null,null
2000-06-22,null,null,null,null,null,null
2000-06-23,null,null,null,null,null,null
2000-06-26,null,null,null,null,null,null
2000-06-27,null,null,null,null,null,null
2000-06-28,null,null,null,null,null,null
2000-06-29,null,null,null,null,null,null
2000-06-30,null,null,null,null,null,null
2000-07-03,null,null,null,null,null,null
2000-07-04,null,null,null,null,null,null
2000-07-05,null,null,null,null,null,null
2000-07-06,null,null,null,null,null,null
2000-07-07,null,null,null,null,null,null
2000-07-10,null,null,null,null,null,null
2000-07-11,null,null,null,null,null,null
2000-07-12,null,null,null,null,null,null
2000-07-13,null,null,null,null,null,null
2000-07-14,null,null,null,null,null,null
2000-07-17,null,null,null,null,null,null
2000-07-18,null,null,null,null,null,null
2000-07-19,null,null,null,null,null,null
2000-07-20,null,null,null,null,null,null
2000-07-21,null,null,null,null,null,null
2000-07-24,null,null,null,null,null,null
2000-07-25,null,null,null,null,null,null
2000-07-26,null,null,null,null,null,null
2000-07-27,null,null,null,null,null,null
2000-07-28,null,null,null,null,null,null
2000-07-31,null,null,null,null,null,null
2000-08-01,null,null,null,null,null,null
2000-08-02,null,null,null,null,null,null
2000-08-03,null,null,null,null,null,null
2000-08-04,null,null,null,null,null,null
2000-08-07,null,null,null,null,null,null
2000-08-08,null,null,null,null,null,null
2000-08-09,null,null,null,null,null,null
2000-08-10,null,null,null,null,null,null
2000-08-11,null,null,null,null,null,null
2000-08-14,null,null,null,null,null,null
2000-08-15,null,null,null,null,null,null
2000-08-16,null,null,null,null,null,null
2000-08-17,null,null,null,null,null,null
2000-08-18,null,null,null,null,null,null
2000-08-21,null,null,null,null,null,null
2000-08-22,null,null,null,null,null,null
2000-08-23,null,null,null,null,null,null
2000-08-24,null,null,null,null,null,null
2000-08-25,null,null,null,null,null,null
2000-08-28,null,null,null,null,null,null
2000-08-29,null,null,null,null,null,null
2000-08-30,null,null,null,null,null,null
2000-08-31,null,null,null,null,null,null
2000-09-01,null,null,null,null,null,null
2000-09-04,null,null,null,null,null,null
2000-09-05,null,null,null,null,null,null
2000-09-06,null,null,null,null,null,null
2000-09-07,null,null,null,null,null,null
2000-09-08,null,null,null,null,null,null
2000-09-11,null,null,null,null,null,null
2000-09-12,null,null,null,null,null,null
2000-09-13,null,null,null,null,null,null
2000-09-14,null,null,null,null,null,null
2000-09-15,null,null,null,null,null,null
2000-09-18,null,null,null,null,null,null
2000-09-19,null,null,null,null,null,null
2000-09-20,null,null,null,null,null,null
2000-09-21,null,null,null,null,null,null
2000-09-22,null,null,null,null,null,null
2000-09-25,null,null,null,null,null,null
2000-09-26,null,null,null,null,null,null
2000-09-27,null,null,null,null,null,null
2000-09-28,null,null,null,null,null,null
2000-09-29,null,null,null,null,null,null
2000-10-02,null,null,null,null,null,null
2000-10-03,null,null,null,null,null,null
2000-10-04,null,null,null,null,null,null
2000-10-05,null,null,null,null,null,null
2000-10-06,null,null,null,null,null,null
2000-10-09,null,null,null,null,null,null
2000-10-10,null,null,null,null,null,null
2000-10-11,null,null,null,null,null,null
2000-10-12,null,null,null,null,null,null
2000-10-13,null,null,null,null,null,null
2000-10-16,null,null,null,null,null,null
2000-10-17,null,null,null,null,null,null
2000-10-18,null,null,null,null,null,null
2000-10-19,null,null,null,null,null,null
2000-10-20,null,null,null,null,null,null
2000-10-23,null,null,null,null,null,null
2000-10-24,null,null,null,null,null,null
2000-10-25,null,null,null,null,null,null
2000-10-26,null,null,null,null,null,null
2000-10-27,null,null,null,null,null,null
2000-10-30,null,null,null,null,null,null
2000-10-31,null,null,null,null,null,null
2000-11-01,null,null,null,null,null,null
2000-11-02,null,null,null,null,null,null
2000-11-03,null,null,null,null,null,null
2000-11-06,null,null,null,null,null,null
2000-11-07,null,null,null,null,null,null
2000-11-08,null,null,null,null,null,null
2000-11-09,null,null,null,null,null,null
2000-11-10,null,null,null,null,null,null
2000-11-13,null,null,null,null,null,null
2000-11-14,null,null,null,null,null,null
2000-11-15,null,null,null,null,null,null
2000-11-16,null,null,null,null,null,null
2000-11-17,null,null,null,null,null,null
2000-11-20,null,null,null,null,null,null
2000-11-21,null,null,null,null,null,null
2000-11-22,null,null,null,null,null,null
2000-11-23,null,null,null,null,null,null
2000-11-24,null,null,null,null,null,null
2000-11-27,null,null,null,null,null,null
2000-11-28,null,null,null,null,null,null
2000-11-29,null,null,null,null,null,null
2000-11-30,null,null,null,null,null,null
2000-12-01,null,null,null,null,null,null
2000-12-04,null,null,null,null,null,null
2000-12-05,null,null,null,null,null,null
2000-12-06,null,null,null,null,null,null
2000-12-07,null,null,null,null,null,null
2000-12-08,null,null,null,null,null,null
2000-12-11,null,null,null,null,null,null
2000-12-12,null,null,null,null,null,null
2000-12-13,null,null,null,null,null,null
2000-12-14,null,null,null,null,null,null
2000-12-15,null,null,null,null,null,null
2000-12-18,null,null,null,null,null,null
2000-12-19,null,null,null,null,null,null
2000-12-20,null,null,null,null,null,null
2000-12-21,null,null,null,null,null,null
2000-12-22,null,null,null,null,null,null
2000-12-25,null,null,null,null,null,null
2000-12-26,null,null,null,null,null,null
2000-12-27,null,null,null,null,null,null
2000-12-28,null,null,null,null,null,null
2000-12-29,null,null,null,null,null,null
2001-01-01,null,null,null,null,null,null
2001-01-02,null,null,null,null,null,null
2001-01-03,null,null,null,null,null,null
2001-01-04,null,null,null,null,null,null
2001-01-05,null,null,null,null,null,null
2001-01-08,null,null,null,null,null,null
2001-01-09,null,null,null,null,null,null
2001-01-10,null,null,null,null,null,null
2001-01-11,null,null,null,null,null,null
