Date,open,high,low,close,adj_close,volume
2002-07-01,163.500000,165.500000,161.500000,164.000000,116.857155,3334232
2002-07-02,161.500000,162.500000,158.500000,160.500000,114.363235,3736040
2002-07-03,158.500000,173.500000,158.500000,172.000000,122.557465,8455624
2002-07-04,173.500000,174.500000,167.500000,168.500000,120.063599,7633492
2002-07-05,169.500000,183.500000,169.000000,182.000000,129.682892,16311860
2002-07-08,187.000000,193.000000,183.000000,190.000000,135.383286,14394784
2002-07-09,187.000000,191.000000,182.000000,183.500000,130.751770,10068416
2002-07-10,186.000000,191.000000,183.500000,187.000000,133.245621,14230072
2002-07-11,184.500000,186.000000,168.500000,173.000000,123.270027,17131800
2002-07-12,182.000000,188.500000,177.500000,184.500000,131.464264,18326984
2002-07-15,186.000000,186.000000,175.000000,178.000000,126.832764,11700556
2002-07-16,178.500000,179.000000,171.500000,174.500000,124.338837,12064628
2002-07-17,173.000000,182.500000,170.500000,178.000000,126.832764,12187800
2002-07-18,182.500000,186.500000,180.500000,185.500000,132.176834,10429272
2002-07-19,182.500000,183.500000,170.000000,173.500000,123.626297,10935064
2002-07-22,168.500000,177.500000,166.500000,173.000000,123.270027,18073156
2002-07-23,172.000000,187.500000,169.500000,186.000000,132.533081,23404788
2002-07-24,180.000000,183.000000,174.500000,177.500000,126.476501,17148420
2002-07-25,184.500000,192.000000,180.500000,186.500000,132.889374,24045708
2002-07-26,177.500000,183.500000,175.000000,179.000000,127.545296,16045348
2002-07-29,177.500000,183.500000,175.500000,181.500000,129.326675,15039216
2002-07-30,185.500000,188.000000,173.000000,176.000000,125.407654,16598920
2002-07-31,174.500000,185.000000,145.000000,174.500000,124.338837,38187160
2002-08-01,179.000000,182.000000,166.500000,174.000000,123.982597,24704936
2002-08-02,168.500000,181.000000,162.000000,173.000000,123.270027,23493364
2002-08-05,176.000000,182.000000,172.000000,179.000000,127.545296,20725352
2002-08-06,173.000000,183.000000,171.000000,181.000000,128.970398,20323772
2002-08-07,186.000000,186.000000,176.000000,178.500000,127.188972,23156140
2002-08-08,178.500000,179.500000,171.000000,173.000000,123.270027,16075340
2002-08-09,176.500000,181.500000,174.000000,180.000000,128.257843,15388448
2002-08-12,177.500000,182.500000,176.000000,181.000000,128.970398,12032560
2002-08-13,180.000000,188.500000,179.500000,187.500000,133.601944,13996720
2002-08-14,184.500000,188.000000,182.500000,186.000000,132.533081,16446348
2002-08-15,null,null,null,null,null,null
2002-08-16,187.500000,188.500000,184.000000,186.000000,132.533081,10419084
2002-08-19,186.000000,187.000000,183.500000,185.000000,131.820541,7771092
2002-08-20,187.000000,194.000000,185.500000,192.500000,137.164581,15519020
2002-08-21,188.000000,193.500000,187.500000,190.500000,135.739532,15838040
2002-08-22,190.500000,192.000000,182.500000,184.000000,131.108002,11978200
2002-08-23,184.500000,209.000000,184.000000,205.500000,146.427673,58642920
2002-08-26,202.500000,203.500000,190.000000,193.000000,137.520920,24429516
2002-08-27,193.000000,197.000000,185.000000,187.000000,133.245621,21222312
2002-08-28,184.500000,191.000000,184.500000,187.500000,133.601944,21087092
2002-08-29,187.500000,193.000000,186.000000,190.000000,135.383286,19465708
2002-08-30,192.500000,207.500000,192.500000,205.000000,146.071396,34428040
2002-09-02,209.000000,219.000000,206.500000,216.500000,154.265656,27393272
2002-09-03,212.500000,214.000000,207.500000,210.500000,149.990417,16736712
2002-09-04,206.000000,219.500000,204.500000,214.500000,152.840607,34410656
2002-09-05,213.500000,216.500000,209.500000,212.000000,151.059204,25078180
2002-09-06,208.000000,215.000000,205.500000,211.000000,150.346680,37903588
2002-09-09,211.000000,217.500000,210.000000,214.500000,152.840607,13429172
2002-09-10,null,null,null,null,null,null
2002-09-11,216.500000,226.000000,216.500000,224.000000,159.609772,15246524
2002-09-12,231.000000,231.000000,222.500000,224.500000,162.137497,14203788
2002-09-13,221.000000,221.500000,211.500000,215.000000,155.276489,11038820
2002-09-16,215.000000,216.000000,207.000000,210.000000,151.665375,10085580
2002-09-17,210.500000,219.000000,210.500000,216.500000,156.359772,13395368
2002-09-18,215.000000,216.000000,209.000000,210.500000,152.026489,12923052
2002-09-19,212.000000,212.500000,204.500000,207.000000,149.498703,16548084
2002-09-20,200.500000,206.500000,198.000000,205.000000,148.054260,17892616
