Date,open,high,low,close,adj_close,volume
2007-09-11,188.000000,199.470001,188.000000,194.779999,167.393539,30361690
2007-09-12,197.399994,198.500000,191.720001,192.600006,165.520096,4629340
2007-09-13,191.320007,193.779999,187.220001,187.220001,160.896530,2072210
2007-09-14,189.740005,202.970001,189.020004,194.940002,167.531021,5944305
2007-09-17,196.000000,198.240005,192.050003,193.000000,165.863800,1435285
2007-09-18,193.000000,195.460007,191.000000,191.600006,164.660645,757720
2007-09-19,192.979996,198.199997,192.660004,194.000000,166.723236,1097575
2007-09-20,194.740005,198.970001,191.399994,196.199997,168.613907,929720
2007-09-21,193.000000,201.800003,193.000000,197.649994,169.860016,1393410
2007-09-24,199.000000,215.990005,198.399994,210.000000,180.473587,2149475
2007-09-25,207.199997,211.690002,195.750000,204.410004,175.669540,1334910
2007-09-26,205.679993,207.199997,198.789993,199.399994,171.363968,353790
2007-09-27,201.800003,205.000000,201.399994,203.600006,174.973404,277125
2007-09-28,204.990005,221.600006,203.000000,219.000000,188.208176,1396310
2007-10-01,220.880005,220.880005,210.600006,212.000000,182.192368,277640
2007-10-03,220.000000,230.000000,212.000000,218.800003,188.036301,350500
2007-10-04,218.000000,225.000000,207.000000,219.800003,188.895630,192615
2007-10-05,220.960007,224.000000,218.539993,221.000000,189.926956,182560
2007-10-08,219.679993,223.979996,216.210007,223.979996,192.487961,292190
2007-10-09,220.199997,224.800003,219.020004,223.199997,191.817657,287985
2007-10-10,223.220001,249.000000,223.220001,243.809998,209.529800,468940
2007-10-11,243.809998,256.200012,240.000000,247.990005,213.122086,206935
2007-10-12,242.270004,257.000000,242.270004,250.000000,214.849533,170035
2007-10-15,245.000000,256.399994,245.000000,248.500000,213.560410,69850
2007-10-16,250.000000,264.000000,246.199997,257.540009,221.329376,257965
2007-10-17,210.339996,247.000000,210.339996,239.080002,205.464844,224830
2007-10-18,255.710007,258.000000,234.000000,234.000000,201.099121,271015
2007-10-19,245.399994,245.399994,210.399994,222.000000,190.786346,90545
2007-10-22,222.000000,225.580002,208.039993,210.600006,180.989212,81575
2007-10-23,216.880005,226.800003,215.789993,218.860001,188.087830,80970
2007-10-24,238.000000,238.000000,178.440002,222.470001,191.190262,49295
2007-10-25,222.000000,230.600006,222.000000,223.699997,192.247330,47485
2007-10-26,229.979996,240.000000,224.000000,238.399994,204.880447,93545
2007-10-29,259.799988,259.799988,234.199997,236.059998,202.869461,71795
2007-10-30,244.000000,244.000000,220.199997,225.550003,193.837250,78920
2007-10-31,229.979996,229.979996,216.000000,219.309998,188.474579,82275
2007-11-01,230.000000,230.000000,214.199997,224.529999,192.960648,87335
2007-11-02,216.009995,229.000000,216.000000,224.860001,193.244217,85275
2007-11-05,224.860001,246.000000,224.860001,242.000000,207.974304,173170
2007-11-06,245.990005,245.990005,237.300003,238.910004,205.318787,137775
2007-11-07,249.600006,257.399994,240.000000,252.160004,216.705826,306065
2007-11-08,242.000000,267.200012,241.440002,258.000000,221.724686,137605
2007-11-12,224.339996,282.000000,224.339996,280.399994,240.975220,228155
2007-11-13,278.589996,298.940002,274.559998,279.109985,239.866562,285675
2007-11-14,282.600006,290.980011,279.000000,286.070007,245.848038,76300
2007-11-15,286.000000,343.290009,285.799988,343.290009,295.022766,502765
2007-11-16,358.880005,391.000000,330.000000,333.690002,286.772491,587815
2007-11-19,347.399994,347.399994,322.230011,330.690002,284.194397,109555
2007-11-20,329.700012,352.000000,310.399994,318.600006,273.804260,221030
2007-11-21,319.980011,336.000000,290.600006,298.399994,256.444427,243510
2007-11-22,299.799988,303.000000,275.000000,293.760010,252.456757,101500
2007-11-23,299.799988,324.799988,296.200012,322.040009,276.760529,135655
2007-11-26,326.359985,339.779999,321.299988,331.260010,284.684204,71040
2007-11-27,331.200012,334.000000,314.320007,331.109985,284.555267,34920
2007-11-28,340.000000,342.000000,328.220001,330.929993,284.400604,36305
2007-11-29,343.799988,343.799988,330.309998,336.859985,289.496796,33955
2007-11-30,335.000000,359.940002,331.000000,344.000000,295.632935,102840
2007-12-03,346.000000,356.000000,345.200012,349.209991,300.110352,31190
2007-12-04,348.000000,352.000000,340.000000,346.470001,297.755646,28705
2007-12-05,342.040009,362.000000,342.040009,358.769989,308.326202,74090
2007-12-06,361.000000,383.000000,358.000000,374.489990,321.835968,196785
2007-12-07,385.000000,385.000000,360.799988,367.640015,315.949158,70245
2007-12-10,368.000000,383.959991,368.000000,372.570007,320.185974,46750
2007-12-11,382.790009,389.799988,375.000000,378.630005,325.393860,60580
2007-12-12,372.000000,383.980011,352.399994,361.309998,310.509125,62830
2007-12-13,377.440002,377.440002,348.000000,354.000000,304.226898,117215
2007-12-14,363.790009,365.000000,350.000000,354.790009,304.905792,26730
2007-12-17,356.000000,360.000000,340.000000,343.190002,294.936829,37095
2007-12-18,330.399994,348.000000,330.399994,343.000000,294.773499,26760
2007-12-19,349.799988,353.000000,327.799988,330.959991,284.426392,32940
2007-12-20,335.000000,339.000000,322.000000,330.209991,283.781769,24440
2007-12-24,340.000000,344.799988,332.200012,342.079987,293.982880,16570
2007-12-26,341.000000,356.000000,341.000000,354.230011,304.424622,27815
2007-12-27,340.000000,363.799988,335.040009,353.519989,303.814362,21330
2007-12-28,350.600006,356.600006,350.600006,353.609985,303.891724,14650
2007-12-31,361.989990,374.790009,355.100006,365.440002,314.058380,60630
2008-01-01,374.000000,374.000000,360.000000,367.399994,315.742889,27725
2008-01-02,366.000000,399.940002,360.399994,384.500000,330.438477,151365
2008-01-03,389.399994,450.000000,368.000000,421.459991,362.201843,427360
2008-01-04,424.220001,454.000000,420.000000,429.940002,369.489563,166860
2008-01-07,422.399994,438.000000,407.000000,410.690002,352.946136,137285
2008-01-08,429.799988,430.000000,390.000000,417.980011,359.211151,138175
2008-01-09,415.010010,430.000000,405.200012,413.140015,355.051758,149040
2008-01-10,429.399994,460.000000,382.230011,389.390015,334.640961,248560
2008-01-11,409.399994,426.600006,378.000000,385.359985,331.177582,162260
2008-01-14,395.980011,399.799988,381.010010,384.959991,330.833893,54130
2008-01-15,366.000000,389.399994,366.000000,376.089996,323.211029,34885
2008-01-16,361.000000,385.000000,361.000000,374.010010,321.423370,43920
2008-01-17,377.000000,383.790009,366.000000,369.519989,317.564697,39275
2008-01-18,373.600006,373.600006,350.000000,351.809998,302.344910,40705
2008-01-21,352.000000,357.000000,281.600006,311.730011,267.900116,88540
2008-01-22,250.000000,269.399994,249.389999,252.500000,216.997971,66190
2008-01-23,270.000000,289.899994,250.000000,265.100006,227.826416,124065
2008-01-24,283.000000,310.000000,278.019989,294.809998,253.359146,435205
2008-01-25,311.640015,311.799988,280.220001,289.459991,248.761307,98315
2008-01-28,280.000000,297.839996,252.259995,290.609985,249.749634,62435
2008-01-29,292.000000,292.799988,279.600006,283.160004,243.347183,137150
2008-01-30,288.000000,290.000000,268.200012,270.000000,232.037430,155690
2008-01-31,266.600006,274.000000,263.000000,267.059998,229.510818,178360
2008-02-01,260.000000,269.989990,254.000000,257.070007,220.925415,122920
2008-02-04,264.000000,270.000000,252.000000,255.509995,219.584778,182420
2008-02-05,256.000000,257.000000,245.050003,246.779999,212.082230,54255
2008-02-06,240.000000,240.000000,224.399994,234.979996,201.941315,111110
2008-02-07,238.979996,247.800003,220.000000,222.220001,190.975464,103070
2008-02-08,222.199997,228.000000,205.410004,210.789993,181.152496,77795
2008-02-11,206.000000,216.000000,184.399994,200.820007,172.584305,81590
2008-02-12,219.600006,219.600006,182.000000,184.529999,158.584717,52085
2008-02-13,186.000000,197.000000,183.399994,192.270004,165.236465,77530
2008-02-14,200.000000,206.000000,192.059998,194.389999,167.058380,145995
