Date,open,high,low,close,adj_close,volume
2008-06-30,1.225000,2.600000,0.880000,1.901000,1.421440,111095410
2008-07-01,1.960000,2.037000,1.532000,1.605000,1.200111,22486055
2008-07-02,1.600000,1.676000,1.307000,1.444000,1.079726,22918240
2008-07-03,1.400000,1.546000,1.205000,1.526000,1.141040,17278265
2008-07-04,1.500000,1.526000,1.330000,1.395000,1.043087,6038700
2008-07-07,1.402000,1.674000,1.312000,1.616000,1.208336,7593875
2008-07-08,1.602000,1.940000,1.547000,1.901000,1.421440,15566640
2008-07-09,1.960000,2.269000,1.901000,2.208000,1.650994,28801620
2008-07-10,2.275000,2.275000,2.048000,2.110000,1.577716,8471390
2008-07-11,2.065000,2.109000,1.980000,2.022000,1.511916,4125590
2008-07-14,2.012000,2.145000,1.960000,2.103000,1.572482,3669025
2008-07-15,2.001000,2.096000,1.920000,1.952000,1.459574,1061335
2008-07-16,1.960000,2.048000,1.862000,2.008000,1.501448,1928140
2008-07-17,2.024000,2.100000,1.920000,2.020000,1.510420,2325300
2008-07-18,2.060000,2.060000,1.982000,2.033000,1.520141,832245
2008-07-21,2.025000,2.056000,1.940000,1.983000,1.482754,456825
2008-07-22,1.997000,2.054000,1.952000,1.992000,1.489484,300485
2008-07-23,2.040000,2.040000,1.950000,1.974000,1.476025,194425
2008-07-24,1.800000,1.980000,1.800000,1.840000,1.375829,134090
2008-07-25,1.890000,1.890000,1.656000,1.678000,1.254696,174520
2008-07-28,1.602000,1.810000,1.581000,1.699000,1.270398,601655
2008-07-29,1.680000,1.820000,1.680000,1.739000,1.300307,324345
2008-07-30,1.730000,1.856000,1.700000,1.724000,1.289091,296465
2008-07-31,1.702000,1.760000,1.700000,1.703000,1.273389,67710
2008-08-01,1.700000,1.748000,1.660000,1.664000,1.244228,100500
2008-08-04,1.630000,1.754000,1.629000,1.695000,1.267407,157720
2008-08-05,1.682000,1.816000,1.682000,1.751000,1.309280,268730
2008-08-06,1.843000,1.926000,1.746000,1.771000,1.324235,183230
2008-08-07,1.740000,1.777000,1.711000,1.728000,1.292082,46985
2008-08-08,1.720000,1.720000,1.660000,1.695000,1.267407,53115
2008-08-11,1.540000,1.768000,1.540000,1.749000,1.307785,31710
2008-08-12,1.740000,1.770000,1.677000,1.702000,1.272641,65875
2008-08-13,1.778000,1.778000,1.640000,1.680000,1.256191,44690
2008-08-14,1.640000,1.727000,1.640000,1.674000,1.251705,34480
2008-08-18,1.660000,1.719000,1.660000,1.685000,1.259930,23475
2008-08-19,1.660000,1.676000,1.620000,1.645000,1.230021,15150
2008-08-20,1.631000,1.700000,1.631000,1.655000,1.237498,42875
2008-08-21,1.634000,1.718000,1.620000,1.651000,1.234507,75060
2008-08-22,1.670000,1.678000,1.566000,1.619000,1.210580,36065
2008-08-25,1.600000,1.660000,1.570000,1.652000,1.235255,13870
2008-08-26,1.610000,1.698000,1.610000,1.675000,1.252452,19775
2008-08-27,1.660000,1.674000,1.620000,1.651000,1.234507,7915
2008-08-28,1.561000,1.639000,1.561000,1.618000,1.209832,6580
2008-08-29,1.600000,1.690000,1.600000,1.651000,1.234507,25880
2008-09-01,1.617000,1.700000,1.617000,1.675000,1.252452,97400
2008-09-02,1.640000,1.730000,1.640000,1.708000,1.277128,153470
2008-09-04,1.660000,1.879000,1.660000,1.875000,1.401999,105115
2008-09-05,1.876000,1.919000,1.721000,1.754000,1.311523,148720
