Date,open,high,low,close,adj_close,volume
2006-03-21,180.000000,189.899994,161.250000,183.250000,172.664444,21555723
2006-03-22,182.399994,201.000000,181.000000,190.050003,179.071655,10321792
2006-03-23,191.399994,195.699997,185.000000,191.600006,180.532104,3539695
2006-03-24,193.149994,195.000000,188.050003,192.399994,181.285904,2155442
2006-03-27,193.399994,193.699997,186.149994,187.899994,177.045837,685554
2006-03-28,187.000000,204.500000,178.649994,194.149994,182.934799,4088666
2006-03-29,197.000000,210.699997,190.100006,205.050003,193.205170,5077954
2006-03-30,208.399994,212.399994,204.050003,206.949997,194.995407,1315751
2006-03-31,208.100006,211.899994,199.149994,201.350006,189.718887,657544
2006-04-03,200.100006,210.000000,200.100006,201.649994,190.001556,1028452
2006-04-04,202.699997,206.300003,197.149994,197.850006,186.421082,471565
2006-04-05,202.000000,202.000000,193.250000,194.399994,183.170364,268040
2006-04-07,194.899994,205.199997,191.000000,199.399994,187.881531,721977
2006-04-10,199.899994,203.050003,192.649994,199.899994,188.352661,358903
2006-04-12,200.899994,202.449997,189.000000,192.699997,181.568558,229282
2006-04-13,191.000000,195.000000,188.000000,193.050003,181.898346,170562
2006-04-17,196.449997,200.899994,192.100006,193.750000,182.557907,150407
2006-04-18,193.500000,197.399994,181.899994,183.000000,172.428894,146108
2006-04-19,186.000000,194.850006,184.699997,191.699997,180.626328,280729
2006-04-20,194.000000,194.000000,180.500000,184.399994,173.748016,294244
2006-04-21,184.500000,186.699997,179.149994,180.600006,170.167557,116696
2006-04-24,182.000000,183.949997,178.500000,182.149994,171.627975,175199
2006-04-25,183.500000,183.500000,176.550003,179.850006,169.460861,125198
2006-04-26,182.000000,196.000000,179.050003,190.800003,179.778320,381897
2006-04-27,194.300003,208.949997,186.000000,195.800003,184.489487,1433939
2006-04-28,190.000000,205.899994,180.000000,200.850006,189.247772,542663
2006-05-02,208.899994,219.000000,198.000000,208.850006,196.785660,949977
2006-05-03,211.399994,218.800003,203.300003,213.550003,201.214157,483514
2006-05-04,215.000000,227.000000,210.100006,214.000000,201.638153,305981
2006-05-05,213.699997,218.800003,209.000000,215.250000,202.815948,212981
2006-05-08,215.000000,227.899994,215.000000,223.550003,210.636505,502545
2006-05-09,221.000000,223.500000,213.199997,215.949997,203.475525,112411
2006-05-10,217.000000,227.500000,211.699997,224.699997,211.720047,1441269
2006-05-11,212.100006,237.399994,212.100006,221.949997,209.128922,455590
2006-05-12,220.000000,222.850006,213.100006,214.949997,202.533264,102537
2006-05-15,216.000000,219.250000,205.100006,208.649994,196.597198,112774
2006-05-16,209.949997,213.699997,192.500000,203.500000,191.744690,190065
2006-05-17,206.000000,231.000000,206.000000,221.300003,208.516479,338096
2006-05-18,220.000000,220.000000,195.300003,197.449997,186.044189,86420
2006-05-19,205.000000,212.000000,172.000000,177.199997,166.963928,232391
2006-05-22,180.000000,188.000000,160.250000,168.649994,158.907837,75994
2006-05-23,164.000000,179.000000,155.000000,175.949997,165.786133,39253
