Date,open,high,low,close,adj_close,volume
2003-02-24,35.000000,35.000000,31.049999,32.000000,23.042166,202
2003-02-25,31.799999,32.250000,31.000000,31.450001,22.646132,5730
2003-02-26,32.200001,32.200001,30.400000,30.850000,22.214088,3871
2003-02-27,31.000000,31.900000,31.000000,31.850000,22.934156,1422
2003-02-28,32.150002,32.200001,31.950001,32.000000,23.042166,1725
2003-03-03,32.000000,32.000000,31.400000,31.450001,22.646132,1900
2003-03-04,31.200001,31.200001,29.700001,29.799999,21.458017,6927
2003-03-05,31.000000,31.049999,27.100000,29.400000,21.169991,4695
2003-03-06,29.450001,29.450001,28.600000,28.650000,20.629940,1820
2003-03-07,29.000000,31.500000,28.150000,28.250000,20.341911,2840
2003-03-10,27.500000,27.500000,27.500000,27.500000,19.801861,130
2003-03-11,27.700001,28.799999,27.500000,28.500000,20.521931,3375
2003-03-12,30.000000,30.400000,29.500000,29.500000,21.241999,550
2003-03-13,27.500000,29.500000,27.500000,28.900000,20.809959,2230
2003-03-14,null,null,null,null,null,null
2003-03-17,28.750000,29.000000,28.250000,28.900000,20.809959,950
2003-03-18,null,null,null,null,null,null
2003-03-19,29.500000,30.950001,29.000000,29.500000,21.241999,3560
2003-03-20,29.049999,30.500000,29.000000,30.200001,21.746044,1625
2003-03-21,30.100000,30.100000,29.299999,29.549999,21.278002,2209
2003-03-24,30.000000,30.500000,29.799999,29.799999,21.458017,2700
2003-03-25,29.799999,30.799999,29.799999,30.650000,22.070078,4973
2003-03-26,31.000000,31.250000,29.500000,30.450001,21.926064,3068
2003-03-27,31.000000,31.000000,29.500000,29.500000,21.241999,500
2003-03-28,30.049999,30.600000,29.350000,29.350000,21.133989,2935
2003-03-31,30.000000,30.000000,29.000000,29.000000,20.881966,1155
2003-04-01,29.000000,29.950001,28.350000,29.950001,21.566031,902
2003-04-02,29.799999,29.799999,29.799999,29.799999,21.458017,290
2003-04-03,30.200001,32.500000,30.000000,31.150000,22.430109,4435
2003-04-04,31.000000,31.000000,29.700001,30.000000,21.602032,5124
2003-04-07,29.000000,30.500000,29.000000,30.150000,21.710041,5356
2003-04-08,30.000000,30.299999,28.549999,29.000000,20.881966,5470
2003-04-09,30.799999,30.900000,29.250000,29.450001,21.205994,3240
2003-04-10,29.500000,29.750000,29.000000,29.500000,21.241999,6870
2003-04-11,33.799999,33.799999,29.000000,29.700001,21.386015,8152
2003-04-14,null,null,null,null,null,null
2003-04-15,30.400000,30.500000,30.000000,30.049999,21.638035,6670
2003-04-16,30.000000,30.000000,29.350000,29.350000,21.133989,5475
2003-04-17,29.950001,30.799999,29.500000,29.950001,21.566031,3810
2003-04-18,null,null,null,null,null,null
2003-04-21,30.500000,30.700001,29.549999,30.299999,21.818052,6131
2003-04-22,30.000000,30.350000,29.950001,30.150000,21.710041,2190
2003-04-23,30.250000,30.600000,30.150000,30.250000,21.782049,3222
2003-04-24,29.950001,30.250000,29.950001,30.100000,21.674036,500
2003-04-25,30.250000,30.250000,29.900000,29.900000,21.530025,1088
2003-04-28,30.450001,30.700001,30.100000,30.500000,21.962065,4976
