Date,open,high,low,close,adj_close,volume
2006-11-30,228.350006,287.825012,228.350006,263.200012,246.161057,47828016
2006-12-01,274.000000,274.000000,253.074997,255.324997,238.795837,9475815
2006-12-04,256.399994,258.500000,240.024994,247.699997,231.664474,12087484
2006-12-05,254.449997,262.500000,248.000000,261.024994,244.126831,10636317
2006-12-06,262.500000,272.700012,259.075012,260.475006,243.612457,9342990
2006-12-07,260.200012,262.000000,257.000000,259.225006,242.443375,3432183
2006-12-08,259.225006,260.500000,249.500000,251.175003,234.914520,3896819
2006-12-11,255.500000,255.500000,233.175003,236.699997,221.376587,3343147
2006-12-12,234.500000,239.250000,194.500000,209.824997,196.241409,6320293
2006-12-13,213.500000,225.750000,203.050003,222.324997,207.932190,6335196
2006-12-14,227.350006,236.399994,224.000000,234.475006,219.295639,5254386
2006-12-15,237.500000,238.425003,229.274994,230.449997,215.531204,3559486
2006-12-18,230.750000,231.399994,219.750000,222.324997,207.932190,3369214
2006-12-19,222.000000,229.699997,216.574997,218.750000,204.588638,3840635
2006-12-20,220.500000,224.949997,209.250000,212.125000,198.392532,3272229
2006-12-21,212.274994,215.375000,207.574997,211.925003,198.205475,2896583
2006-12-22,212.024994,219.949997,211.649994,218.850006,204.682159,2442164
2006-12-26,219.000000,219.949997,215.550003,216.699997,202.671341,1488415
2006-12-27,219.000000,219.449997,214.000000,215.574997,201.619171,1001992
2006-12-28,211.000000,222.000000,211.000000,218.074997,203.957321,2889945
2006-12-29,224.425003,231.850006,220.800003,229.574997,214.712845,3832887
2007-01-02,231.000000,235.000000,228.750000,231.425003,216.443085,1781389
2007-01-03,231.000000,237.500000,222.899994,234.225006,219.061829,2557365
2007-01-04,236.425003,236.899994,226.600006,228.199997,213.426849,1622547
2007-01-05,228.000000,231.000000,222.149994,223.399994,208.937607,1687423
2007-01-08,222.949997,222.949997,217.300003,220.399994,206.131805,1411922
2007-01-09,217.199997,224.449997,215.100006,216.375000,202.367386,1098902
2007-01-10,216.000000,217.000000,207.500000,208.800003,195.282776,1105072
2007-01-11,209.000000,212.500000,206.750000,211.850006,198.135330,1351477
2007-01-12,213.500000,216.000000,209.100006,210.100006,196.498611,872130
2007-01-15,212.000000,215.875000,210.524994,211.425003,197.737839,1014910
2007-01-16,212.475006,213.500000,209.125000,210.225006,196.615524,594742
2007-01-17,210.500000,214.750000,210.000000,211.550003,197.854752,907314
2007-01-18,212.000000,217.850006,211.824997,212.800003,199.023819,1699131
2007-01-19,214.449997,214.699997,210.050003,211.875000,198.158691,694156
2007-01-22,212.550003,214.000000,207.500000,208.725006,195.212631,709437
2007-01-23,208.000000,210.824997,202.524994,203.800003,190.606461,802313
2007-01-24,205.500000,211.225006,204.225006,209.300003,195.750397,1411563
2007-01-25,210.000000,212.199997,207.524994,209.649994,196.077728,1124868
2007-01-29,210.000000,211.000000,203.399994,204.300003,191.074097,659751
2007-01-31,205.500000,207.250000,196.199997,198.600006,185.743103,1379645
2007-02-01,199.699997,201.500000,193.000000,196.250000,183.545227,1022272
2007-02-02,197.350006,203.350006,197.024994,201.975006,188.899612,1333830
2007-02-05,204.449997,204.449997,197.000000,197.850006,185.041656,889424
2007-02-06,198.050003,198.699997,192.500000,193.199997,180.692673,897495
2007-02-07,194.000000,194.899994,182.949997,184.199997,172.275314,1861206
2007-02-08,184.975006,188.350006,179.000000,180.250000,168.581024,1389176
2007-02-09,176.100006,182.399994,168.274994,169.399994,158.433426,1991180
2007-02-12,170.000000,170.274994,150.000000,150.774994,141.014160,3071655
2007-02-13,151.000000,157.000000,144.500000,148.774994,139.143646,3948958
2007-02-14,142.500000,149.350006,139.000000,147.149994,137.623856,1800922
2007-02-15,150.449997,163.199997,149.500000,160.925003,150.507095,2203453
2007-02-19,162.000000,168.449997,159.074997,164.975006,154.294907,2383735
2007-02-20,163.750000,165.625000,155.774994,157.000000,146.836182,1524542
2007-02-21,157.000000,157.000000,152.100006,154.350006,144.357742,1370488
2007-02-22,154.000000,154.500000,147.399994,148.600006,138.979996,1928462
2007-02-23,148.000000,150.000000,141.000000,142.925003,133.672379,1773454
2007-02-26,143.000000,146.699997,142.000000,145.074997,135.683182,1069179
2007-02-27,146.500000,152.750000,143.975006,148.250000,138.652634,1967679
2007-02-28,131.050003,147.399994,131.050003,139.875000,130.819824,1792413
2007-03-01,139.125000,143.500000,133.324997,138.149994,129.206482,1540993
2007-03-02,139.500000,141.125000,133.500000,134.875000,126.143501,1128377
2007-03-05,132.500000,132.500000,124.025002,125.375000,117.258507,1123216
2007-03-06,141.699997,141.699997,119.300003,120.824997,113.003067,1869835
2007-03-07,127.000000,127.000000,110.550003,113.125000,105.801552,2097239
2007-03-08,114.000000,122.250000,113.574997,121.250000,113.400558,2138569
2007-03-09,121.500000,124.449997,115.000000,118.425003,110.758446,1667552
2007-03-12,118.000000,123.800003,117.675003,121.974998,114.078613,1423615
2007-03-13,122.425003,145.000000,121.074997,142.375000,133.157974,6053327
2007-03-14,132.625000,149.800003,131.074997,139.250000,130.235275,10480481
2007-03-15,140.100006,147.449997,136.050003,137.975006,129.042816,3958702
2007-03-16,137.975006,140.850006,132.574997,135.824997,127.031998,3000527
2007-03-19,137.000000,141.250000,135.675003,138.324997,129.370148,2146466
2007-03-20,138.524994,141.500000,137.050003,138.100006,129.159729,1308348
2007-03-21,139.399994,139.699997,137.100006,138.024994,129.089584,936534
2007-03-22,140.000000,143.475006,139.250000,141.050003,131.918762,1532223
2007-03-23,140.000000,142.500000,137.399994,137.824997,128.902527,887211
2007-03-26,139.425003,139.425003,132.050003,132.675003,124.085930,904063
2007-03-28,132.000000,132.000000,125.750000,126.949997,118.731544,1201437
2007-03-29,126.449997,132.250000,125.550003,131.024994,122.542732,1767507
2007-03-30,132.500000,135.475006,128.800003,129.500000,121.116470,1508541
2007-04-02,122.500000,126.000000,119.500000,120.525002,112.722496,1062861
2007-04-03,120.500000,123.000000,117.525002,119.900002,112.137955,1233403
2007-04-04,121.500000,123.650002,120.000000,120.974998,113.143356,733013
2007-04-05,120.000000,127.250000,118.400002,124.949997,116.861023,1996759
2007-04-09,126.500000,135.000000,125.500000,133.725006,125.067955,2336409
2007-04-10,135.000000,138.475006,133.550003,134.925003,126.190262,2359246
2007-04-11,132.024994,137.199997,131.500000,131.899994,123.361099,1007199
2007-04-12,130.399994,143.199997,129.500000,142.175003,132.970917,4709387
2007-04-13,142.750000,147.399994,140.050003,145.149994,135.753311,2768026
2007-04-16,147.500000,150.000000,145.800003,146.600006,137.109467,1748540
2007-04-17,147.500000,148.350006,142.524994,143.524994,134.233521,1650543
2007-04-18,144.024994,150.949997,144.000000,147.000000,137.483551,2419876
2007-04-19,144.550003,153.975006,141.500000,151.725006,141.902679,2952854
2007-04-20,154.050003,156.699997,150.550003,151.824997,141.996201,3446189
2007-04-23,153.000000,153.199997,147.550003,148.524994,138.909821,1369087
2007-04-24,148.000000,162.000000,147.574997,161.100006,150.670761,5668424
2007-04-25,160.000000,173.399994,159.500000,169.000000,158.059326,4702522
2007-04-26,170.500000,172.000000,161.074997,162.750000,152.213943,3242775
2007-04-27,162.475006,167.475006,159.750000,165.574997,154.856049,3997618
2007-04-30,165.500000,167.225006,161.649994,163.149994,152.588043,1774169
2007-05-03,164.324997,166.425003,161.500000,162.449997,151.933365,1178859
2007-05-04,163.449997,169.350006,160.550003,161.850006,151.372223,2815164
2007-05-07,163.000000,165.050003,153.824997,155.725006,145.643723,2769740
2007-05-08,156.625000,161.225006,153.050003,153.925003,143.960251,2207054
2007-05-09,154.975006,160.225006,153.175003,158.600006,148.332611,2088445
2007-05-10,160.975006,161.000000,154.550003,155.824997,145.737244,1973147
2007-05-11,154.500000,157.000000,151.074997,155.824997,145.737244,1310330
2007-05-14,157.524994,159.375000,154.774994,155.425003,145.363144,707685
2007-05-15,155.500000,157.750000,153.750000,154.625000,144.614929,812506
2007-05-16,154.899994,165.899994,154.899994,164.100006,153.476563,3135835
2007-05-17,167.500000,172.475006,166.000000,171.000000,159.929871,4208004
2007-05-18,167.600006,176.199997,166.000000,172.149994,161.005402,2892294
2007-05-21,174.000000,174.725006,169.500000,169.975006,158.971222,2495197
2007-05-22,170.500000,172.500000,163.774994,165.324997,154.622238,1481675
2007-05-23,165.000000,169.199997,158.500000,159.375000,149.057434,2113194
2007-05-24,159.500000,159.949997,155.300003,156.050003,145.947678,1050791
2007-05-25,155.000000,157.875000,152.000000,155.949997,145.854156,961772
2007-05-28,157.500000,160.949997,157.500000,158.350006,148.098801,836820
2007-05-29,159.250000,163.375000,159.000000,160.550003,150.156372,1139219
2007-05-30,159.850006,162.199997,156.425003,157.350006,147.163528,892503
2007-05-31,158.074997,161.000000,157.100006,158.475006,148.215698,1331403
2007-06-01,160.050003,164.324997,158.850006,163.175003,152.611435,2298531
2007-06-04,164.250000,165.500000,159.050003,161.524994,151.068237,1389531
2007-06-05,161.500000,164.500000,159.524994,163.649994,153.055679,1091790
2007-06-06,163.975006,167.000000,158.074997,159.125000,148.823608,1637806
2007-06-07,157.050003,162.399994,156.500000,157.774994,147.561005,1282490
2007-06-08,157.000000,161.449997,155.500000,160.149994,149.782257,1297364
2007-06-11,156.500000,164.949997,156.500000,158.975006,148.683334,1423751
2007-06-12,158.500000,160.399994,151.100006,156.300003,146.181503,1701821
2007-06-13,155.399994,161.949997,153.800003,158.949997,148.659943,1777832
2007-06-14,161.250000,166.250000,159.399994,165.274994,154.575470,2192107
2007-06-15,167.000000,167.949997,163.000000,165.000000,154.318283,1385283
2007-06-18,165.750000,167.399994,160.274994,161.125000,150.694138,669588
2007-06-19,161.500000,166.449997,160.750000,165.425003,154.715775,1022690
2007-06-20,166.949997,170.800003,164.500000,168.800003,157.872284,1654036
2007-06-21,168.350006,171.399994,166.675003,168.050003,157.170822,1258829
2007-06-22,168.449997,172.975006,167.250000,170.399994,159.368683,1830612
2007-06-25,170.000000,172.199997,166.050003,167.300003,156.469391,804666
2007-06-26,166.750000,170.975006,163.600006,166.550003,155.767944,1071424
2007-06-27,165.074997,166.850006,163.000000,164.500000,153.850647,954109
2007-06-28,165.899994,166.500000,161.500000,162.899994,152.354233,720801
2007-06-29,163.000000,170.475006,163.000000,168.625000,157.708603,1284269
2007-07-02,169.949997,174.949997,169.449997,173.625000,162.384918,1537168
2007-07-03,175.000000,191.649994,175.000000,189.199997,176.951614,6807925
2007-07-04,194.000000,198.425003,188.500000,189.199997,176.951614,4048187
2007-07-05,191.449997,194.425003,175.225006,181.074997,169.352615,2911224
2007-07-06,179.675003,186.949997,177.500000,183.824997,171.924591,2447417
2007-07-09,185.000000,187.250000,181.050003,186.425003,174.356277,1400593
