Date,open,high,low,close,adj_close,volume
2002-07-01,9.600000,9.740000,9.550000,9.570000,1.920801,825970
2002-07-02,9.600000,9.670000,9.450000,9.500000,1.906752,653405
2002-07-03,9.460000,9.570000,9.460000,9.510000,1.908759,305880
2002-07-04,9.560000,9.900000,9.520000,9.720000,1.950909,2413155
2002-07-05,9.900000,9.950000,9.600000,9.850000,1.977001,3460955
2002-07-08,9.900000,10.040000,9.800000,9.860000,1.979008,2791970
2002-07-09,9.900000,9.920000,9.700000,9.770000,1.960943,716330
2002-07-10,9.760000,9.880000,9.650000,9.830000,1.972987,1163015
2002-07-11,9.700000,9.900000,9.300000,9.360000,1.878653,1434245
2002-07-12,9.450000,9.600000,9.420000,9.510000,1.908759,673410
2002-07-15,11.220000,11.220000,9.360000,9.770000,1.960943,1958485
2002-07-16,9.600000,9.780000,9.420000,9.500000,1.906752,1115835
2002-07-17,9.580000,9.580000,9.250000,9.330000,1.872631,468885
2002-07-18,9.410000,9.500000,9.280000,9.380000,1.882667,271340
2002-07-19,8.600000,9.400000,8.600000,9.300000,1.866610,317560
2002-07-22,9.200000,9.200000,8.920000,8.960000,1.798368,508510
2002-07-23,9.240000,9.240000,8.820000,9.120000,1.830482,321750
2002-07-24,9.020000,9.200000,9.000000,9.140000,1.834496,614330
2002-07-25,9.700000,9.700000,9.050000,9.120000,1.830482,417915
2002-07-26,9.090000,9.200000,8.820000,8.910000,1.788332,842775
2002-07-29,9.000000,9.180000,8.620000,8.700000,1.746183,972715
2002-07-30,8.950000,8.980000,8.700000,8.740000,1.754212,604080
2002-07-31,8.740000,8.740000,8.530000,8.580000,1.722098,752895
2002-08-01,8.700000,8.860000,8.640000,8.800000,1.766254,776880
2002-08-02,10.120000,10.120000,8.200000,9.150000,1.836503,978845
2002-08-05,9.400000,9.430000,9.040000,9.320000,1.870624,1663065
2002-08-06,9.200000,9.220000,9.060000,9.110000,1.828475,1362320
2002-08-07,9.360000,9.360000,8.910000,8.950000,1.796361,676635
2002-08-08,8.890000,9.040000,8.860000,8.960000,1.798368,920445
2002-08-09,9.020000,9.020000,8.820000,8.870000,1.780304,344730
2002-08-12,7.450000,9.070000,7.450000,8.910000,1.788332,656355
2002-08-13,9.040000,9.040000,8.860000,8.890000,1.784318,629060
2002-08-14,8.900000,9.010000,8.770000,9.000000,1.806397,863860
2002-08-15,null,null,null,null,null,null
2002-08-16,8.920000,9.160000,8.910000,9.110000,1.828475,772460
2002-08-19,9.240000,9.260000,9.170000,9.240000,1.854567,1502830
2002-08-20,9.200000,9.400000,9.200000,9.370000,1.880660,1094565
2002-08-21,9.450000,9.450000,9.210000,9.270000,1.860588,755185
2002-08-22,9.250000,9.250000,9.080000,9.150000,1.836503,377410
2002-08-23,9.100000,9.390000,9.100000,9.350000,1.876645,1216535
2002-08-26,9.300000,9.380000,9.250000,9.290000,1.864603,397415
2002-08-27,9.220000,9.250000,9.150000,9.180000,1.842525,341990
2002-08-28,9.070000,9.200000,9.040000,9.060000,1.818439,306935
2002-08-29,9.200000,9.200000,9.010000,9.030000,1.812418,181690
2002-08-30,9.400000,9.400000,8.960000,9.130000,1.832489,642855
2002-09-02,9.320000,9.320000,9.040000,9.100000,1.826468,725025
2002-09-03,9.100000,9.100000,8.920000,8.940000,1.794354,340035
2002-09-04,8.860000,8.960000,8.840000,8.910000,1.788332,196310
2002-09-05,8.900000,8.970000,8.850000,8.860000,1.778297,118600
2002-09-06,8.880000,8.940000,8.800000,8.820000,1.770269,301385
2002-09-09,8.800000,8.820000,8.700000,8.700000,1.746183,404010
2002-09-10,null,null,null,null,null,null
2002-09-11,9.100000,9.120000,8.760000,8.850000,1.776290,663800
2002-09-12,8.820000,8.980000,8.800000,8.850000,1.776290,290880
2002-09-13,8.820000,9.100000,8.820000,8.970000,1.800375,1437160
2002-09-16,9.000000,9.220000,8.950000,9.070000,1.820446,2434590
2002-09-17,8.910000,9.050000,8.910000,8.930000,1.792347,312800
2002-09-18,8.990000,8.990000,8.820000,8.840000,1.774283,259615
2002-09-19,8.840000,8.850000,8.760000,8.840000,1.774283,396250
2002-09-20,8.730000,8.900000,8.680000,8.880000,1.782311,424995
2002-09-23,8.900000,9.000000,8.870000,8.900000,1.786325,2637360
2002-09-24,8.900000,8.900000,8.750000,8.790000,1.764247,245460
2002-09-25,8.750000,8.870000,8.500000,8.820000,1.770269,312685
2002-09-26,8.870000,8.870000,8.750000,8.770000,1.760233,82850
2002-09-27,8.800000,8.950000,8.760000,8.940000,1.794354,474405
2002-09-30,8.980000,8.980000,8.820000,8.900000,1.786325,783145
2002-10-01,8.940000,8.940000,8.800000,8.880000,1.782311,398550
2002-10-02,null,null,null,null,null,null
2002-10-03,8.780000,8.870000,8.780000,8.830000,1.772276,299810
2002-10-04,8.890000,8.890000,8.740000,8.760000,1.758226,473405
2002-10-07,8.800000,8.840000,8.720000,8.760000,1.758226,221700
2002-10-08,8.800000,8.800000,8.600000,8.720000,1.750197,219625
2002-10-09,8.800000,8.800000,8.510000,8.560000,1.718084,425695
2002-10-10,8.590000,8.610000,8.520000,8.530000,1.712062,91350
2002-10-11,8.000000,8.570000,8.000000,8.140000,1.633785,605235
2002-10-14,8.200000,8.400000,8.150000,8.190000,1.643820,267625
2002-10-15,null,null,null,null,null,null
2002-10-16,8.290000,8.400000,8.200000,8.300000,1.665899,241865
2002-10-17,8.280000,8.320000,8.220000,8.260000,1.657871,210230
2002-10-18,8.260000,8.340000,8.230000,8.280000,1.661885,106015
2002-10-21,8.300000,8.360000,8.250000,8.330000,1.671920,150925
2002-10-22,8.300000,8.320000,8.250000,8.280000,1.661885,126795
2002-10-23,8.340000,8.340000,8.200000,8.200000,1.645828,146180
2002-10-24,8.200000,8.260000,8.090000,8.100000,1.625757,279080
2002-10-25,8.100000,8.210000,8.070000,8.090000,1.623749,203225
2002-10-28,8.140000,8.200000,8.030000,8.140000,1.633785,305830
2002-10-29,8.380000,8.410000,8.250000,8.330000,1.671920,484345
2002-10-30,8.390000,8.400000,8.260000,8.280000,1.661885,282370
2002-10-31,8.260000,8.350000,8.260000,8.310000,1.667906,88315
2002-11-01,8.200000,8.510000,8.200000,8.450000,1.696005,234700
2002-11-04,8.600000,8.700000,8.410000,8.530000,1.712062,114715
2002-11-05,8.600000,8.630000,8.450000,8.600000,1.726113,303100
2002-11-06,null,null,null,null,null,null
2002-11-07,8.700000,8.700000,8.520000,8.590000,1.724105,245175
2002-11-08,8.720000,8.720000,8.500000,8.520000,1.710055,255955
2002-11-11,8.570000,8.570000,8.360000,8.400000,1.685970,856440
2002-11-12,8.390000,8.400000,8.230000,8.240000,1.653856,735295
2002-11-13,8.250000,8.340000,8.220000,8.270000,1.659878,133895
2002-11-14,8.260000,8.480000,8.260000,8.360000,1.677942,99690
2002-11-15,8.370000,8.430000,8.300000,8.340000,1.673927,585705
2002-11-18,8.360000,8.530000,8.310000,8.350000,1.675935,690895
2002-11-19,null,null,null,null,null,null
2002-11-20,8.350000,8.390000,8.230000,8.240000,1.653856,598295
2002-11-21,8.360000,8.360000,8.150000,8.180000,1.641814,466890
2002-11-22,8.320000,8.690000,8.280000,8.370000,1.679948,2391645
2002-11-25,8.580000,8.790000,8.450000,8.770000,1.760233,2462595
2002-11-26,8.760000,8.890000,8.650000,8.670000,1.740162,918950
2002-11-27,8.700000,8.970000,8.640000,8.780000,1.762240,2300490
2002-11-28,8.850000,8.940000,8.810000,8.900000,1.786325,1572175
2002-11-29,8.980000,9.150000,8.810000,9.050000,1.816432,1869905
2002-12-02,9.140000,9.600000,9.060000,9.480000,1.902737,3108010
2002-12-03,9.400000,9.800000,9.400000,9.530000,1.912773,2338235
2002-12-04,9.390000,9.700000,9.390000,9.490000,1.904745,1189445
2002-12-05,9.480000,9.860000,9.480000,9.620000,1.930837,2399925
2002-12-06,9.600000,10.340000,9.600000,10.190000,2.045242,3236605
2002-12-09,10.200000,11.370000,10.200000,10.810000,2.169683,5562220
2002-12-10,10.800000,10.960000,10.510000,10.710000,2.149612,2228610
2002-12-11,10.820000,11.780000,10.510000,11.440000,2.296131,7417730
2002-12-12,11.610000,12.100000,11.450000,11.860000,2.380429,11358215
2002-12-13,12.110000,12.830000,12.000000,12.490000,2.506877,8838860
2002-12-16,12.760000,13.240000,12.320000,12.520000,2.512898,7529885
2002-12-17,12.410000,13.400000,11.720000,13.000000,2.609239,9385280
2002-12-18,13.700000,14.180000,13.460000,14.040000,2.817978,17190520
2002-12-19,13.980000,14.050000,13.000000,13.140000,2.637339,12456095
2002-12-20,13.250000,13.550000,13.070000,13.200000,2.649381,6072695
2002-12-23,13.140000,13.300000,12.710000,12.960000,2.601211,4447235
2002-12-24,13.190000,13.800000,12.910000,13.530000,2.715616,6553245
2002-12-25,null,null,null,null,null,null
2002-12-26,13.750000,14.170000,13.630000,14.010000,2.811957,6397520
2002-12-27,14.280000,14.430000,13.810000,14.030000,2.815971,5983920
2002-12-30,13.880000,13.990000,12.000000,13.690000,2.747730,2967130
2002-12-31,13.740000,14.660000,13.630000,14.510000,2.912313,10311195
2003-01-01,14.400000,14.500000,13.020000,13.090000,2.627304,25839495
2003-01-02,13.420000,13.900000,12.960000,13.070000,2.623290,14292970
2003-01-03,13.200000,13.450000,12.620000,12.680000,2.545012,6061740
2003-01-06,12.700000,12.880000,11.950000,12.100000,2.428600,8052370
2003-01-07,12.190000,13.220000,12.060000,13.110000,2.631318,22066990
2003-01-08,14.020000,14.020000,13.200000,13.700000,2.749737,10076150
2003-01-09,13.810000,15.000000,13.800000,14.900000,2.990590,29300310
2003-01-10,15.100000,15.490000,14.460000,14.980000,3.006647,14887595
2003-01-13,15.140000,15.530000,14.950000,15.430000,3.096967,11423805
2003-01-14,15.590000,15.600000,15.020000,15.110000,3.032739,5623830
2003-01-15,14.650000,15.850000,14.650000,15.730000,3.157179,10831725
2003-01-16,15.800000,16.080000,15.730000,15.810000,3.173237,7348740
2003-01-17,15.900000,15.900000,15.430000,15.530000,3.117038,4696085
2003-01-20,15.560000,16.480000,15.050000,16.280001,3.267571,13231210
2003-01-21,16.420000,17.049999,16.299999,16.860001,3.383983,15070660
2003-01-22,16.990000,17.000000,15.780000,16.360001,3.283628,19615995
2003-01-23,16.400000,16.940001,15.780000,16.700001,3.351869,15685710
2003-01-24,16.780001,16.959999,15.670000,15.860000,3.183272,14368165
2003-01-27,15.910000,16.000000,14.700000,15.080000,3.026718,11261500
2003-01-28,15.490000,15.620000,14.690000,15.150000,3.040768,11237070
2003-01-29,15.200000,15.680000,14.940000,15.110000,3.032739,9104215
2003-01-30,15.300000,15.400000,14.590000,14.710000,2.952455,4960955
2003-01-31,14.890000,14.890000,14.110000,14.290000,2.868156,6189775
2003-02-03,14.450000,15.220000,14.330000,15.100000,3.030732,7500065
2003-02-04,15.400000,16.190001,15.200000,15.730000,3.157179,14555485
2003-02-05,15.620000,15.770000,15.260000,15.610000,3.133094,6499895
2003-02-06,15.580000,16.600000,15.400000,16.500000,3.311727,14583260
2003-02-07,16.700001,16.700001,15.810000,16.250000,3.261550,11087595
2003-02-10,15.880000,16.320000,15.640000,15.710000,3.153166,10237530
2003-02-11,15.860000,16.000000,15.440000,15.650000,3.141123,6932145
2003-02-12,15.100000,16.070000,15.100000,15.690000,3.149152,8276375
2003-02-13,null,null,null,null,null,null
2003-02-14,15.720000,15.780000,15.270000,15.370000,3.084924,6731905
2003-02-17,15.540000,16.400000,15.420000,16.299999,3.271584,6620480
2003-02-18,16.540001,17.139999,16.510000,16.959999,3.404054,12829410
2003-02-19,17.000000,18.040001,16.959999,17.730000,3.558601,19115535
2003-02-20,17.799999,18.139999,17.049999,17.340000,3.480324,21657015
2003-02-21,17.320000,17.889999,16.969999,17.670000,3.546559,14333010
2003-02-24,17.850000,18.200001,17.610001,17.719999,3.556594,9675525
2003-02-25,17.480000,17.700001,16.840000,16.940001,3.400040,11462170
2003-02-26,17.000000,17.209999,15.920000,15.980000,3.207358,21188790
2003-02-27,16.010000,17.500000,15.740000,17.240000,3.460253,23874005
2003-02-28,17.650000,17.690001,16.420000,16.660000,3.343840,22537220
2003-03-03,17.030001,18.780001,17.030001,18.110001,3.634872,23931380
2003-03-04,18.080000,18.080000,17.530001,17.850000,3.582686,15284540
2003-03-05,17.879999,18.920000,17.200001,18.719999,3.757305,19265810
2003-03-06,18.780001,19.299999,18.120001,18.540001,3.721176,41063360
2003-03-07,17.500000,18.190001,17.500000,17.639999,3.540537,15137485
2003-03-10,17.980000,17.980000,17.000000,17.080000,3.428139,11827050
2003-03-11,16.889999,18.020000,16.250000,17.780001,3.568637,24080550
2003-03-12,18.040001,19.139999,18.020000,18.930000,3.799454,33805435
2003-03-13,19.049999,19.200001,17.980000,18.830000,3.779383,22481695
2003-03-14,null,null,null,null,null,null
2003-03-17,18.980000,19.379999,18.059999,19.090000,3.831568,16625390
2003-03-18,null,null,null,null,null,null
2003-03-19,19.309999,19.780001,19.020000,19.410000,3.895795,14978605
2003-03-20,18.990000,19.940001,18.799999,19.690001,3.951994,23791460
2003-03-21,19.820000,20.559999,19.820000,20.209999,4.056363,17723920
2003-03-24,20.219999,20.350000,19.549999,19.719999,3.958016,6960370
2003-03-25,19.150000,19.760000,19.110001,19.629999,3.939952,9166260
2003-03-26,19.740000,20.240000,19.500000,19.600000,3.933931,8644605
2003-03-27,19.510000,20.760000,19.510000,20.590000,4.132635,15149945
2003-03-28,20.580000,21.500000,20.340000,21.190001,4.253061,15118410
2003-03-31,20.820000,21.000000,20.170000,20.350000,4.084464,8434155
2003-04-01,20.260000,20.450001,19.450001,19.660000,3.945973,11869235
2003-04-02,19.959999,20.629999,19.930000,20.490000,4.112562,9474560
2003-04-03,20.670000,21.240000,20.200001,21.110001,4.237003,13677950
2003-04-04,21.299999,21.780001,20.920000,21.690001,4.353415,13426805
2003-04-07,22.400000,22.400000,21.430000,21.969999,4.409616,8127835
2003-04-08,21.799999,22.780001,21.420000,22.590000,4.534055,11682655
2003-04-09,22.400000,22.940001,20.950001,21.309999,4.277146,12472540
2003-04-10,21.000000,21.799999,20.379999,20.990000,4.212919,10800825
2003-04-11,21.000000,21.900000,20.900000,21.080000,4.230982,8878365
2003-04-14,null,null,null,null,null,null
2003-04-15,21.180000,21.280001,19.400000,20.910000,4.196862,11610070
2003-04-16,20.820000,21.650000,20.820000,21.219999,4.259082,7913255
2003-04-17,21.100000,21.799999,20.709999,21.230000,4.261089,7242435
2003-04-18,null,null,null,null,null,null
2003-04-21,21.170000,21.980000,21.170000,21.860001,4.387537,7120515
2003-04-22,21.900000,22.100000,21.020000,21.270000,4.269118,3932860
2003-04-23,21.350000,21.600000,20.219999,20.370001,4.088478,8491215
2003-04-24,20.400000,21.500000,20.200001,20.780001,4.170768,10366750
2003-04-25,20.940001,22.520000,20.820000,22.090000,4.433701,16800525
2003-04-28,22.200001,24.139999,21.799999,23.730000,4.762865,26193010
2003-04-29,23.959999,23.959999,22.430000,22.750000,4.566169,25315195
2003-04-30,22.900000,24.020000,22.420000,23.670000,4.750823,18084365
2003-05-01,null,null,null,null,null,null
2003-05-02,23.400000,24.469999,23.340000,24.270000,4.871250,14162110
2003-05-05,24.540001,25.950001,24.420000,25.750000,5.168301,13709700
2003-05-06,25.920000,26.320000,24.940001,25.260000,5.069952,16796075
2003-05-07,25.500000,25.940001,24.400000,24.459999,4.909384,11796225
2003-05-08,24.799999,25.000000,24.400000,24.730000,4.963576,9218620
2003-05-09,24.799999,25.180000,24.400000,24.719999,4.961569,8798025
2003-05-12,24.950001,29.670000,24.920000,28.889999,5.798532,44265660
2003-05-13,28.980000,29.100000,27.040001,27.260000,5.471375,30769675
2003-05-14,27.219999,31.000000,27.219999,29.850000,5.991215,43412080
2003-05-15,29.900000,30.000000,28.440001,28.750000,5.770433,37539215
2003-05-16,29.000000,29.860001,27.520000,27.990000,5.617893,37709800
2003-05-19,28.389999,28.570000,26.900000,27.860001,5.591800,33485070
2003-05-20,27.400000,29.500000,27.030001,29.299999,5.880824,36311285
2003-05-21,29.700001,30.299999,28.370001,28.770000,5.774448,30498250
2003-05-22,29.200001,30.240000,27.910000,29.959999,6.013294,45269015
2003-05-23,30.320000,30.660000,29.230000,30.049999,6.031358,28472205
2003-05-26,30.230000,35.529999,28.670000,34.290001,6.882372,89266570
2003-05-27,34.570000,34.650002,32.520000,32.990002,6.621447,42995290
2003-05-28,33.200001,37.740002,31.850000,36.630001,7.352034,87524180
2003-05-29,37.599998,38.759998,35.619999,37.990002,7.625000,60385615
2003-05-30,38.099998,39.189999,35.049999,35.810001,7.187451,51451045
2003-06-02,30.400000,31.080000,28.650000,28.650000,5.750362,61268270
2003-06-03,27.660000,31.950001,27.660000,31.040001,6.230062,79898495
2003-06-04,31.340000,32.400002,30.700001,32.119999,6.446828,43486460
2003-06-05,33.200001,34.740002,30.250000,31.049999,6.232067,48454310
2003-06-06,32.400002,32.400002,29.469999,30.230000,6.067485,28053665
2003-06-09,31.080000,31.600000,29.719999,30.139999,6.049422,15632250
2003-06-10,28.030001,29.490000,26.910000,27.690001,5.557681,29722890
2003-06-11,28.200001,30.780001,28.020000,30.389999,6.099599,37979620
2003-06-12,30.809999,31.299999,29.660000,29.920000,6.005265,23514990
2003-06-13,30.080000,30.360001,28.700001,29.200001,5.860752,22358640
2003-06-16,28.900000,28.900000,27.930000,28.139999,5.648000,17601040
2003-06-17,28.420000,30.540001,28.200001,30.059999,6.033365,32638740
2003-06-18,30.400000,30.450001,28.620001,28.920000,5.804554,17297450
2003-06-19,29.200001,29.980000,28.969999,29.610001,5.943045,19979750
2003-06-20,30.080000,30.920000,29.920000,30.510000,6.123683,21900095
2003-06-23,30.760000,31.350000,29.660000,29.900000,6.001251,16673375
2003-06-24,30.000000,30.459999,29.450001,29.959999,6.013294,12660105
2003-06-25,30.400000,30.969999,30.299999,30.700001,6.161818,19244580
2003-06-26,30.900000,32.360001,30.450001,30.700001,6.161818,30127415
2003-06-27,30.860001,31.950001,30.139999,31.389999,6.300309,21727310
2003-06-30,31.639999,32.250000,30.799999,31.059999,6.234075,18223415
2003-07-01,31.580000,31.580000,30.350000,30.540001,6.129705,10506705
2003-07-02,30.799999,31.260000,30.350000,30.700001,6.161818,9396350
2003-07-03,30.920000,33.150002,30.559999,32.770000,6.577290,35633490
2003-07-04,33.000000,33.369999,32.049999,32.369999,6.497005,17575285
2003-07-07,32.410000,32.770000,31.629999,31.980000,6.418730,10733285
2003-07-08,32.220001,32.380001,30.420000,30.740000,6.169847,14424440
2003-07-09,30.920000,31.480000,29.600000,29.980000,6.017308,14262585
2003-07-10,30.180000,31.370001,30.020000,30.889999,6.199954,13443780
2003-07-11,31.080000,34.080002,31.010000,32.840000,6.591341,34121105
