Date,open,high,low,close,adj_close,volume
2002-07-01,14.700000,17.325001,14.500000,17.325001,9.370711,697936
2002-07-02,17.650000,20.799999,17.650000,20.799999,11.250260,1192286
2002-07-03,21.750000,23.600000,21.025000,21.850000,11.818184,1713016
2002-07-04,22.400000,23.750000,21.750000,21.975000,11.885794,908964
2002-07-05,22.725000,22.725000,21.299999,21.975000,11.885794,253956
2002-07-08,22.900000,26.375000,22.500000,26.049999,14.089873,970932
2002-07-09,27.549999,29.475000,26.549999,27.625000,14.941756,1224660
2002-07-10,26.750000,27.600000,24.549999,25.375000,13.724780,445594
2002-07-11,24.500000,26.000000,23.525000,23.850000,12.899939,341532
2002-07-12,24.000000,24.775000,22.900000,23.825001,12.886419,334086
2002-07-15,24.000000,24.000000,21.500000,21.875000,11.831707,259274
2002-07-16,21.500000,23.500000,21.375000,22.075001,11.939884,410452
2002-07-17,21.650000,22.400000,20.049999,20.575001,11.128566,270648
2002-07-18,21.000000,23.650000,20.625000,22.825001,12.345539,1002064
2002-07-19,22.000000,23.900000,22.000000,22.900000,12.386106,491054
2002-07-22,22.000000,22.325001,20.500000,21.125000,11.426048,238468
2002-07-23,20.674999,21.600000,20.674999,21.350000,11.547747,98474
2002-07-24,21.250000,21.250000,19.750000,19.875000,10.749951,95358
2002-07-25,20.500000,21.200001,19.049999,19.174999,10.371337,95874
2002-07-26,19.000000,19.000000,17.525000,17.625000,9.532973,107006
2002-07-29,18.000000,18.125000,14.575000,16.375000,8.856876,210680
2002-07-30,16.900000,17.525000,14.550000,15.275000,8.261913,194602
2002-07-31,14.950000,18.350000,14.700000,17.725000,9.587062,161190
2002-08-01,18.924999,19.450001,17.500000,17.950001,9.708762,232516
2002-08-02,17.450001,18.049999,16.900000,17.625000,9.532973,100658
2002-08-05,18.375000,19.350000,17.500000,17.924999,9.695238,107082
2002-08-06,17.850000,17.850000,17.325001,17.575001,9.505932,72262
2002-08-07,18.375000,18.375000,17.325001,17.400000,9.411276,46322
2002-08-08,17.000000,17.625000,16.500000,16.575001,8.965054,43534
2002-08-09,16.500000,17.000000,16.250000,16.750000,9.059709,18656
2002-08-12,17.000000,17.350000,16.799999,16.900000,9.140839,20126
2002-08-13,17.000000,17.150000,16.900000,16.975000,9.181405,16524
2002-08-14,18.000000,18.000000,16.625000,16.650000,9.005620,50174
2002-08-15,null,null,null,null,null,null
2002-08-16,17.400000,17.400000,16.750000,16.775000,9.073228,37898
2002-08-19,17.049999,17.049999,16.600000,16.625000,8.992097,12942
2002-08-20,16.500000,16.750000,16.350000,16.625000,8.992097,15532
2002-08-21,16.575001,16.950001,16.575001,16.674999,9.019139,17612
2002-08-22,16.875000,16.975000,16.674999,16.750000,9.059709,17672
2002-08-23,16.500000,16.850000,16.500000,16.600000,8.978575,106098
2002-08-26,16.150000,16.500000,16.000000,16.049999,8.681091,19152
2002-08-27,16.200001,16.250000,15.625000,15.625000,8.451221,17334
2002-08-28,15.500000,15.900000,15.400000,15.525000,8.397131,42324
2002-08-29,13.500000,15.875000,13.500000,15.400000,8.329521,29368
2002-08-30,15.250000,15.375000,14.900000,15.000000,8.113170,31392
2002-09-02,13.025000,16.350000,13.025000,16.025000,8.667570,45182
2002-09-03,16.125000,16.500000,15.600000,15.850000,8.572918,26686
2002-09-04,16.424999,16.725000,15.450000,16.475000,8.910967,67712
2002-09-05,16.600000,17.225000,16.325001,16.825001,9.100273,31284
2002-09-06,16.400000,16.900000,16.299999,16.700001,9.032663,62062
2002-09-09,16.025000,16.500000,15.925000,16.025000,8.667570,35398
2002-09-10,null,null,null,null,null,null
2002-09-11,15.800000,16.225000,15.750000,16.049999,8.681091,95500
2002-09-12,15.900000,16.299999,15.900000,16.225000,8.775746,27862
2002-09-13,15.925000,18.000000,15.925000,17.350000,9.384234,91344
2002-09-16,17.275000,17.950001,17.250000,17.775000,9.614107,42314
2002-09-17,17.299999,17.875000,16.000000,17.450001,9.438322,63186
2002-09-18,17.549999,17.600000,16.200001,16.424999,8.883922,25330
2002-09-19,16.250000,16.674999,16.200001,16.575001,8.965054,45386
2002-09-20,16.174999,16.600000,16.174999,16.525000,8.938008,21150
2002-09-23,16.049999,16.924999,15.875000,16.500000,8.924487,14828
2002-09-24,16.625000,16.750000,16.150000,16.475000,8.910967,53756
2002-09-25,16.450001,17.075001,16.450001,16.799999,9.086751,33402
2002-09-26,17.200001,17.250000,16.775000,17.000000,9.194926,12682
2002-09-27,16.375000,16.975000,16.375000,16.975000,9.181405,4812
2002-09-30,16.950001,17.375000,16.525000,17.174999,9.289577,30528
2002-10-01,17.250000,17.350000,16.775000,17.200001,9.303103,153614
2002-10-02,null,null,null,null,null,null
2002-10-03,17.275000,17.625000,16.850000,17.424999,9.424799,15676
2002-10-04,17.250000,17.475000,17.000000,17.225000,9.316626,12314
2002-10-07,16.950001,17.799999,16.950001,17.525000,9.478888,94436
2002-10-08,17.500000,19.500000,17.500000,18.725000,10.127943,39350
2002-10-09,18.975000,19.000000,17.900000,18.100000,9.789889,25010
2002-10-10,18.150000,18.275000,17.700001,17.975000,9.722283,39772
2002-10-11,18.125000,18.125000,17.500000,17.549999,9.492408,28160
2002-10-14,19.075001,19.075001,17.575001,17.875000,9.668195,29962
2002-10-15,null,null,null,null,null,null
2002-10-16,19.299999,19.299999,18.075001,18.125000,9.803412,6264
2002-10-17,18.025000,18.325001,18.000000,18.225000,9.857503,5400
2002-10-18,18.625000,18.625000,18.250000,18.299999,9.898069,13702
2002-10-21,20.000000,20.000000,18.100000,18.299999,9.898069,47976
2002-10-22,18.625000,19.674999,18.575001,18.950001,10.249640,62256
2002-10-23,19.000000,19.049999,18.575001,19.025000,10.290203,26230
2002-10-24,19.174999,20.299999,18.750000,19.475000,10.533597,146800
2002-10-25,20.250000,20.250000,19.275000,19.525000,10.560642,91464
2002-10-28,20.000000,20.000000,18.000000,18.400000,9.952158,113222
2002-10-29,18.174999,18.650000,18.174999,18.475000,9.992723,39852
2002-10-30,18.450001,18.950001,18.400000,18.475000,9.992723,17830
2002-10-31,18.049999,18.875000,18.049999,18.424999,9.965677,17226
2002-11-01,17.799999,18.375000,17.799999,17.900000,9.681717,17112
2002-11-04,18.875000,18.875000,18.125000,18.450001,9.979199,3850
2002-11-05,18.325001,18.400000,18.250000,18.350000,9.925110,11600
2002-11-06,null,null,null,null,null,null
2002-11-07,18.250000,18.350000,18.200001,18.225000,9.857503,12250
2002-11-08,18.150000,18.150000,17.775000,17.850000,9.654674,12250
2002-11-11,17.850000,17.850000,17.424999,17.450001,9.438322,13474
2002-11-12,17.150000,17.525000,17.125000,17.424999,9.424799,5300
2002-11-13,17.350000,17.625000,17.350000,17.500000,9.465366,11690
2002-11-14,17.400000,17.700001,17.400000,17.650000,9.546497,21200
2002-11-15,17.575001,17.799999,17.500000,17.549999,9.492408,45248
2002-11-18,18.150000,18.150000,17.650000,17.650000,9.546497,20400
2002-11-19,null,null,null,null,null,null
2002-11-20,17.575001,17.600000,17.150000,17.250000,9.330146,23736
2002-11-21,17.500000,17.700001,16.900000,17.174999,9.289577,7116
2002-11-22,17.750000,17.750000,17.200001,17.250000,9.330146,31002
2002-11-25,17.125000,17.250000,17.000000,17.000000,9.194926,8460
2002-11-26,17.325001,17.424999,17.049999,17.100000,9.249015,10750
2002-11-27,17.000000,17.000000,16.750000,16.900000,9.140839,18700
2002-11-28,16.525000,17.000000,16.525000,16.725000,9.046185,9932
2002-11-29,17.225000,17.250000,16.600000,17.025000,9.208449,5304
2002-12-02,17.174999,18.500000,17.174999,18.375000,9.938633,18114
2002-12-03,18.000000,18.200001,17.850000,17.900000,9.681717,14916
2002-12-04,17.799999,17.825001,16.625000,17.200001,9.303103,5100
2002-12-05,17.500000,17.750000,17.049999,17.525000,9.478888,10270
2002-12-06,17.725000,17.799999,16.924999,17.025000,9.208449,9244
2002-12-09,17.150000,17.725000,17.150000,17.174999,9.289577,12800
2002-12-10,16.799999,17.325001,16.799999,16.924999,9.154361,1400
2002-12-11,16.900000,17.125000,16.900000,16.975000,9.181405,1600
2002-12-12,16.500000,17.000000,16.500000,16.875000,9.127316,5500
2002-12-13,16.875000,17.100000,16.850000,17.025000,9.208449,17192
2002-12-16,17.049999,17.100000,16.850000,17.000000,9.194926,22200
2002-12-17,16.750000,16.750000,16.375000,16.500000,8.924487,11800
2002-12-18,16.525000,16.525000,16.299999,16.299999,8.816313,14800
2002-12-19,16.450001,16.450001,16.000000,16.000000,8.654049,12750
2002-12-20,16.000000,16.200001,16.000000,16.049999,8.681091,7290
2002-12-23,15.000000,16.000000,15.000000,15.775000,8.532351,12120
2002-12-24,13.875000,16.000000,13.875000,15.650000,8.464740,10790
2002-12-25,null,null,null,null,null,null
2002-12-26,16.875000,17.000000,15.625000,16.950001,9.167883,22810
2002-12-27,17.250000,17.250000,16.250000,16.275000,8.802790,21002
2002-12-30,16.475000,17.400000,16.250000,16.950001,9.167883,64160
2002-12-31,16.799999,18.325001,16.799999,17.600000,9.519454,181802
2003-01-01,17.950001,18.000000,17.200001,17.275000,9.343667,40124
2003-01-02,17.250000,17.400000,16.799999,17.000000,9.194926,21008
