Date,open,high,low,close,adj_close,volume
2002-07-01,2.320000,2.340000,2.210000,2.340000,0.235630,441200
2002-07-02,2.570000,2.580000,2.340000,2.580000,0.259797,1946940
2002-07-03,2.660000,2.840000,2.610000,2.840000,0.285978,4030840
2002-07-04,2.990000,3.120000,2.950000,3.120000,0.314173,2315800
2002-07-05,3.300000,3.440000,3.010000,3.150000,0.317194,6273960
2002-07-08,3.300000,3.350000,2.900000,2.950000,0.297055,3054480
2002-07-09,2.900000,3.130000,2.810000,2.850000,0.286985,2529300
2002-07-10,2.850000,2.950000,2.600000,2.640000,0.265839,981180
2002-07-11,2.560000,2.900000,2.550000,2.900000,0.292020,1851160
2002-07-12,3.050000,3.200000,2.860000,2.910000,0.293027,4054340
2002-07-15,2.910000,2.930000,2.650000,2.750000,0.276915,1120600
2002-07-16,2.950000,3.030000,2.710000,2.830000,0.284971,1942520
2002-07-17,2.850000,2.900000,2.670000,2.750000,0.276915,1542680
2002-07-18,2.800000,3.000000,2.750000,2.860000,0.287992,2051900
2002-07-19,2.990000,2.990000,2.690000,2.780000,0.279936,1966760
2002-07-22,2.740000,2.740000,2.500000,2.510000,0.252748,1132980
2002-07-23,2.500000,2.530000,2.280000,2.420000,0.243685,1099560
2002-07-24,2.450000,2.450000,2.180000,2.180000,0.219518,913620
2002-07-25,2.330000,2.400000,2.230000,2.400000,0.241672,1417000
2002-07-26,2.590000,2.590000,2.180000,2.200000,0.221532,1120760
2002-07-29,2.200000,2.200000,1.980000,2.160000,0.217504,1106740
2002-07-30,2.350000,2.350000,1.950000,1.950000,0.196358,556880
2002-07-31,1.810000,1.950000,1.760000,1.830000,0.184275,1634300
2002-08-01,2.000000,2.000000,1.750000,1.760000,0.177226,288880
2002-08-02,1.670000,1.930000,1.670000,1.840000,0.185282,268800
2002-08-05,1.950000,1.990000,1.760000,1.950000,0.196358,913200
2002-08-06,1.950000,2.140000,1.890000,2.140000,0.215491,2608260
2002-08-07,2.250000,2.340000,2.220000,2.290000,0.230595,1938620
2002-08-08,2.300000,2.480000,2.210000,2.290000,0.230595,3303580
2002-08-09,2.350000,2.390000,2.260000,2.330000,0.234623,1114240
2002-08-12,2.360000,2.400000,2.340000,2.350000,0.236637,388460
2002-08-13,2.480000,2.580000,2.350000,2.580000,0.259797,1012220
2002-08-14,2.800000,2.840000,2.670000,2.750000,0.276915,4449540
2002-08-15,null,null,null,null,null,null
2002-08-16,2.770000,2.840000,2.470000,2.530000,0.254762,2653520
2002-08-19,2.500000,2.560000,2.410000,2.430000,0.244693,883080
2002-08-20,2.500000,2.500000,2.340000,2.380000,0.239658,820460
2002-08-21,2.400000,2.600000,2.290000,2.490000,0.250734,1561800
2002-08-22,2.550000,2.700000,2.430000,2.480000,0.249727,1851020
2002-08-23,2.500000,2.560000,2.390000,2.420000,0.243685,959360
2002-08-26,2.430000,2.510000,2.420000,2.440000,0.245699,532120
2002-08-27,2.460000,2.530000,2.410000,2.450000,0.246706,661780
2002-08-28,2.450000,2.690000,2.450000,2.650000,0.266846,5375080
2002-08-29,2.650000,2.750000,2.380000,2.380000,0.239658,4637220
2002-08-30,2.360000,2.420000,2.280000,2.310000,0.232609,1650840
2002-09-02,2.490000,2.490000,2.250000,2.270000,0.228581,867320
2002-09-03,2.300000,2.380000,2.260000,2.310000,0.232609,857460
2002-09-04,2.280000,2.350000,2.270000,2.320000,0.233616,538960
2002-09-05,2.300000,2.340000,2.290000,2.310000,0.232609,182860
2002-09-06,2.370000,2.370000,2.160000,2.200000,0.221532,544240
2002-09-09,2.180000,2.200000,2.100000,2.130000,0.214484,195380
2002-09-10,null,null,null,null,null,null
2002-09-11,2.230000,2.280000,2.200000,2.240000,0.225560,240400
2002-09-12,2.160000,2.280000,2.160000,2.200000,0.221532,183580
2002-09-13,2.200000,2.240000,2.120000,2.160000,0.217504,322540
2002-09-16,2.160000,2.190000,2.100000,2.120000,0.213477,155900
2002-09-17,2.150000,2.150000,2.010000,2.040000,0.205421,241140
2002-09-18,2.070000,2.250000,2.050000,2.150000,0.216497,1600000
2002-09-19,2.170000,2.290000,2.170000,2.190000,0.220525,1226520
2002-09-20,2.250000,2.250000,2.160000,2.180000,0.219518,463540
2002-09-23,2.170000,2.230000,2.160000,2.160000,0.217504,157320
