Date,open,high,low,close,adj_close,volume
2002-07-01,12.450000,13.150000,12.125000,12.575000,2.704140,5062
2002-07-02,12.500000,12.950000,12.100000,12.275000,2.639629,1620
2002-07-03,12.600000,12.600000,12.275000,12.275000,2.639629,1200
2002-07-04,12.575000,13.500000,12.575000,13.275000,2.854669,7900
2002-07-05,13.500000,14.450000,13.375000,13.475000,2.897678,22814
2002-07-08,14.875000,14.875000,13.750000,14.525000,3.123472,17400
2002-07-09,14.500000,15.000000,14.000000,14.000000,3.010575,10002
2002-07-10,13.800000,14.200000,13.800000,13.975000,3.005198,12808
2002-07-11,14.000000,14.500000,12.950000,13.600000,2.924558,15016
2002-07-12,13.000000,13.775000,12.300000,13.075000,2.811662,8002
2002-07-15,14.375000,14.375000,12.000000,12.000000,2.580492,6008
2002-07-16,11.700000,12.225000,10.800000,11.025000,2.370827,9054
2002-07-17,null,null,null,null,null,null
2002-07-18,11.575000,11.575000,11.050000,11.100000,2.386955,2404
2002-07-19,11.650000,11.650000,11.650000,11.650000,2.505228,210
2002-07-22,12.000000,12.000000,11.575000,11.575000,2.489100,1200
2002-07-23,null,null,null,null,null,null
2002-07-24,11.700000,11.700000,11.450000,11.450000,2.462220,2220
2002-07-25,11.450000,11.500000,11.000000,11.500000,2.472972,660
2002-07-26,11.500000,11.500000,11.000000,11.075000,2.381579,598
2002-07-29,null,null,null,null,null,null
2002-07-30,11.000000,11.000000,10.675000,10.675000,2.295563,640
2002-07-31,10.950000,10.950000,10.950000,10.950000,2.354699,260
2002-08-01,10.900000,10.900000,10.900000,10.900000,2.343948,50
2002-08-02,10.375000,10.375000,10.375000,10.375000,2.231051,20
2002-08-05,9.875000,10.000000,9.875000,9.875000,2.123530,1850
2002-08-06,10.050000,10.050000,9.750000,9.750000,2.096650,1100
2002-08-07,10.250000,10.250000,10.200000,10.200000,2.193419,800
2002-08-08,10.600000,10.725000,10.500000,10.500000,2.257931,1000
2002-08-09,9.975000,10.400000,9.975000,9.975000,2.145035,500
2002-08-12,11.950000,11.950000,10.250000,10.250000,2.204171,200
2002-08-13,null,null,null,null,null,null
2002-08-14,10.950000,11.700000,10.500000,10.500000,2.257931,1000
2002-08-15,null,null,null,null,null,null
2002-08-16,10.750000,11.225000,10.275000,10.625000,2.284811,600
2002-08-19,10.550000,10.625000,10.300000,10.300000,2.214923,2600
2002-08-20,9.675000,10.750000,9.675000,10.750000,2.311691,4
2002-08-21,10.075000,10.250000,10.050000,10.250000,2.204171,1900
2002-08-22,9.650000,10.750000,9.650000,10.650000,2.290187,1544
2002-08-23,9.625000,9.875000,9.625000,9.850000,2.118154,400
2002-08-26,9.925000,10.725000,9.900000,9.975000,2.145035,2102
2002-08-27,9.275000,10.000000,9.275000,9.950000,2.139658,1400
2002-08-28,9.750000,9.750000,9.500000,9.675000,2.080521,2600
2002-08-29,9.900000,9.900000,9.250000,9.475000,2.037514,6400
2002-08-30,9.350000,9.350000,9.350000,9.350000,2.010634,200
2002-09-02,10.175000,10.175000,9.350000,9.400000,2.021386,1600
2002-09-03,10.325000,10.325000,9.325000,9.725000,2.091274,14
2002-09-04,10.675000,10.675000,9.500000,9.500000,2.042890,400
2002-09-05,9.275000,10.400000,9.275000,9.650000,2.075146,9000
2002-09-06,10.025000,10.025000,9.300000,9.325000,2.005258,600
2002-09-09,11.175000,11.175000,11.175000,11.175000,2.403083,2
2002-09-10,null,null,null,null,null,null
2002-09-11,9.600000,10.700000,9.600000,9.750000,2.096650,400
2002-09-12,9.550000,9.900000,9.000000,9.300000,1.999882,5400
2002-09-13,9.300000,9.300000,9.275000,9.275000,1.994506,4000
2002-09-16,9.000000,9.475000,9.000000,9.200000,1.978378,2200
2002-09-17,9.250000,9.250000,8.900000,9.225000,2.433404,2000
2002-09-18,10.875000,10.875000,8.925000,9.225000,2.433404,400
2002-09-19,10.875000,10.875000,8.875000,9.175000,2.420216,800
2002-09-20,11.000000,11.000000,8.800000,8.800000,2.321296,4
2002-09-23,10.550000,10.550000,8.525000,8.525000,2.248755,600
2002-09-24,8.575000,8.850000,8.575000,8.650000,2.281729,2400
2002-09-25,10.325000,10.325000,8.375000,10.100000,2.664215,200
2002-09-26,11.000000,11.000000,11.000000,11.000000,2.901621,2
2002-09-27,11.475000,11.475000,11.475000,11.475000,3.026918,2
2002-09-30,9.200000,9.200000,9.200000,9.200000,2.426810,462
2002-10-01,11.000000,11.000000,8.575000,8.575000,2.261945,800
2002-10-02,null,null,null,null,null,null
2002-10-03,9.175000,9.175000,8.600000,9.025000,2.380647,400
2002-10-04,9.425000,9.425000,8.650000,8.675000,2.288324,1000
2002-10-07,10.400000,10.400000,8.550000,9.025000,2.380647,2200
2002-10-08,9.250000,9.250000,9.250000,9.250000,2.439999,100
2002-10-09,10.875000,10.875000,9.000000,9.150000,2.413621,1704
2002-10-10,null,null,null,null,null,null
2002-10-11,10.975000,10.975000,9.125000,9.250000,2.439999,2800
2002-10-14,10.975000,10.975000,9.400000,9.450000,2.492756,1948
2002-10-15,null,null,null,null,null,null
2002-10-16,9.450000,9.450000,9.425000,9.450000,2.492756,1300
2002-10-17,8.300000,9.475000,8.300000,9.375000,2.472972,1000
2002-10-18,8.800000,9.500000,8.800000,9.125000,2.407026,242
2002-10-21,9.475000,9.475000,8.775000,9.000000,2.374053,1200
2002-10-22,8.250000,8.250000,8.250000,8.250000,2.176216,2
2002-10-23,7.400000,8.850000,7.400000,8.850000,2.334486,2800
2002-10-24,7.400000,8.750000,7.400000,8.750000,2.308108,200
2002-10-25,8.650000,9.025000,8.625000,9.025000,2.380647,3600
2002-10-28,8.425000,8.900000,8.425000,8.900000,2.347675,4200
2002-10-29,7.375000,8.800000,7.375000,8.800000,2.321296,502
2002-10-30,7.625000,9.350000,7.625000,9.350000,2.466377,4
2002-10-31,8.075000,8.075000,8.075000,8.075000,2.130053,2
2002-11-01,7.525000,9.525000,7.525000,9.525000,2.512540,200
2002-11-04,9.375000,9.375000,9.375000,9.375000,2.472972,400
2002-11-05,8.525000,9.500000,8.525000,9.500000,2.505945,200
2002-11-06,null,null,null,null,null,null
2002-11-07,null,null,null,null,null,null
2002-11-08,null,null,null,null,null,null
2002-11-11,9.450000,9.450000,9.175000,9.175000,2.420216,200
2002-11-12,9.025000,9.025000,9.025000,9.025000,2.380647,398
2002-11-13,null,null,null,null,null,null
2002-11-14,9.450000,9.500000,9.125000,9.125000,2.407026,2200
2002-11-15,10.475000,10.475000,9.325000,9.500000,2.505945,800
2002-11-18,null,null,null,null,null,null
2002-11-19,null,null,null,null,null,null
2002-11-20,9.675000,9.675000,8.775000,9.650000,2.545512,1800
2002-11-21,9.625000,9.900000,9.500000,9.900000,2.611458,1752
2002-11-22,9.150000,10.700000,9.150000,9.675000,2.552107,400
2002-11-25,8.900000,10.000000,8.900000,9.675000,2.552107,790
2002-11-26,9.350000,10.300000,9.325000,10.300000,2.716972,10000
2002-11-27,null,null,null,null,null,null
2002-11-28,9.500000,10.000000,9.300000,9.975000,2.631242,2400
2002-11-29,10.000000,10.000000,10.000000,10.000000,2.637836,150
2002-12-02,9.300000,11.600000,9.300000,10.725000,2.829081,3000
2002-12-03,10.250000,10.250000,10.000000,10.000000,2.637836,800
2002-12-04,8.775000,9.950000,8.775000,9.925000,2.618053,850
2002-12-05,10.475000,10.475000,10.475000,10.475000,2.763134,400
2002-12-06,null,null,null,null,null,null
2002-12-09,9.050000,10.125000,9.050000,9.875000,2.604863,800
2002-12-10,null,null,null,null,null,null
2002-12-11,9.800000,9.800000,9.575000,9.700000,2.558702,3600
2002-12-12,null,null,null,null,null,null
2002-12-13,9.975000,9.975000,9.975000,9.975000,2.631242,500
2002-12-16,null,null,null,null,null,null
2002-12-17,10.000000,10.000000,10.000000,10.000000,2.637836,100
2002-12-18,9.925000,10.000000,9.925000,9.950000,2.624647,1400
2002-12-19,null,null,null,null,null,null
2002-12-20,null,null,null,null,null,null
2002-12-23,9.750000,9.750000,9.525000,9.525000,2.512540,1300
2002-12-24,9.300000,9.750000,9.275000,9.750000,2.571891,800
2002-12-25,null,null,null,null,null,null
2002-12-26,9.500000,9.500000,9.350000,9.350000,2.466377,1000
2002-12-27,9.350000,9.350000,9.325000,9.325000,2.459783,400
2002-12-30,9.375000,9.500000,9.375000,9.400000,2.479567,1600
2002-12-31,9.500000,9.500000,9.300000,9.300000,2.453188,2000
2003-01-01,9.500000,9.500000,9.500000,9.500000,2.505945,190
2003-01-02,9.625000,9.625000,9.525000,9.525000,2.512540,1200
2003-01-03,9.025000,9.400000,9.025000,9.300000,2.453188,2800
2003-01-06,9.500000,9.500000,9.500000,9.500000,2.505945,300
2003-01-07,9.500000,9.500000,9.500000,9.500000,2.505945,800
2003-01-08,null,null,null,null,null,null
2003-01-09,9.500000,9.500000,9.500000,9.500000,2.505945,400
2003-01-10,10.000000,10.000000,9.400000,9.400000,2.479567,7800
2003-01-13,null,null,null,null,null,null
2003-01-14,10.000000,10.000000,10.000000,10.000000,2.637836,200
2003-01-15,10.350000,11.025000,9.050000,9.050000,2.387242,200
2003-01-16,9.525000,9.525000,9.525000,9.525000,2.512540,2400
2003-01-17,9.850000,9.950000,9.850000,9.900000,2.611458,1200
2003-01-20,9.500000,9.500000,9.300000,9.300000,2.453188,502
