Date,open,high,low,close,adj_close,volume
2002-07-01,13.750000,14.500000,13.750000,13.900000,9.167305,37780
2002-07-02,13.850000,14.150000,13.700000,13.900000,9.167305,24679
2002-07-03,14.000000,14.000000,13.500000,13.800000,9.101353,21748
2002-07-04,13.750000,16.600000,13.750000,16.600000,10.948004,329036
2002-07-05,17.500000,19.000000,16.799999,17.299999,11.409667,522780
2002-07-08,18.750000,18.750000,16.350000,16.600000,10.948004,70343
2002-07-09,16.350000,16.650000,15.100000,15.500000,10.222534,43318
2002-07-10,16.450001,16.450001,15.000000,15.050000,9.925750,29085
2002-07-11,14.550000,15.000000,14.350000,14.750000,9.727895,26478
2002-07-12,15.300000,16.000000,14.550000,15.850000,10.453364,44252
2002-07-15,15.000000,16.250000,14.250000,14.550000,9.595991,15690
2002-07-16,12.000000,14.500000,12.000000,14.000000,9.233256,7961
2002-07-17,12.500000,13.750000,12.500000,13.100000,8.639690,9610
2002-07-18,null,null,null,null,null,null
2002-07-19,null,null,null,null,null,null
2002-07-22,null,null,null,null,null,null
2002-07-23,null,null,null,null,null,null
2002-07-24,12.500000,12.600000,12.000000,12.150000,8.013146,18654
2002-07-25,null,null,null,null,null,null
2002-07-26,null,null,null,null,null,null
2002-07-29,null,null,null,null,null,null
2002-07-30,null,null,null,null,null,null
2002-07-31,null,null,null,null,null,null
2002-08-01,null,null,null,null,null,null
2002-08-02,null,null,null,null,null,null
2002-08-05,null,null,null,null,null,null
2002-08-06,null,null,null,null,null,null
2002-08-07,null,null,null,null,null,null
2002-08-08,null,null,null,null,null,null
2002-08-09,null,null,null,null,null,null
2002-08-12,10.800000,11.400000,10.750000,10.750000,7.089821,15500
2002-08-13,10.750000,11.900000,10.750000,11.750000,7.749341,35200
2002-08-14,12.700000,12.700000,11.250000,11.350000,7.485533,41700
2002-08-15,null,null,null,null,null,null
2002-08-16,11.650000,11.850000,11.500000,11.550000,7.617436,11500
2002-08-19,11.500000,11.700000,11.350000,11.450000,7.551485,6000
2002-08-20,11.500000,11.650000,11.250000,11.450000,7.551485,8200
2002-08-21,11.700000,12.250000,11.400000,11.450000,7.551485,5000
2002-08-22,11.650000,11.650000,10.900000,11.000000,7.254700,13100
2002-08-23,11.100000,11.100000,10.600000,10.700000,7.056846,10100
2002-08-26,10.650000,10.850000,10.600000,10.750000,7.089821,5300
2002-08-27,10.900000,11.250000,10.700000,10.750000,7.089821,13200
2002-08-28,11.200000,11.200000,10.750000,10.900000,7.188749,7200
2002-08-29,10.850000,10.850000,10.600000,10.600000,6.990893,2600
2002-08-30,10.650000,10.950000,10.600000,10.750000,7.089821,5600
2002-09-02,10.700000,11.300000,10.700000,11.200000,7.386605,3400
2002-09-03,11.200000,11.250000,10.850000,11.000000,7.254700,6400
2002-09-04,11.000000,11.000000,10.800000,10.900000,7.188749,5300
2002-09-05,10.600000,10.950000,10.600000,10.900000,7.188749,6300
2002-09-06,10.700000,11.300000,10.700000,11.150000,7.353630,16000
2002-09-09,11.000000,11.300000,10.850000,11.150000,7.353630,4500
2002-09-10,null,null,null,null,null,null
2002-09-11,11.000000,11.550000,11.000000,11.250000,7.419581,16800
2002-09-12,10.500000,10.600000,10.250000,10.300000,7.604148,12700
2002-09-13,10.250000,10.500000,10.150000,10.250000,7.567234,9000
2002-09-16,10.600000,10.600000,9.900000,10.050000,7.419582,8400
2002-09-17,9.900000,10.000000,9.800000,9.950000,7.345754,1400
2002-09-18,9.900000,9.950000,9.550000,9.600000,7.087362,4300
2002-09-19,9.700000,9.800000,9.450000,9.450000,6.976621,2800
2002-09-20,9.500000,9.500000,9.100000,9.300000,6.865882,3600
2002-09-23,9.750000,9.850000,9.500000,9.500000,7.013534,2800
2002-09-24,9.850000,9.850000,9.400000,9.400000,6.939707,4100
2002-09-25,9.300000,9.800000,9.000000,9.250000,6.828968,6000
2002-09-26,9.100000,9.800000,9.000000,9.450000,6.976621,10700
2002-09-27,9.050000,9.700000,9.050000,9.650000,7.124275,7900
2002-09-30,9.300000,9.600000,9.300000,9.600000,7.087362,4600
2002-10-01,10.000000,10.350000,9.350000,9.400000,6.939707,5700
2002-10-02,null,null,null,null,null,null
2002-10-03,9.300000,9.600000,9.300000,9.350000,6.902795,1600
2002-10-04,9.250000,9.450000,9.250000,9.400000,6.939707,17600
2002-10-07,9.250000,9.750000,9.250000,9.550000,7.050447,4700
2002-10-08,9.700000,9.700000,9.500000,9.550000,7.050447,1200
2002-10-09,9.600000,9.700000,9.500000,9.500000,7.013534,1600
2002-10-10,9.450000,9.500000,9.400000,9.500000,7.013534,6500
2002-10-11,9.300000,9.950000,9.250000,9.750000,7.198102,2600
2002-10-14,9.550000,9.800000,9.550000,9.750000,7.198102,700
2002-10-15,null,null,null,null,null,null
2002-10-16,9.000000,10.000000,9.000000,10.000000,7.382668,2900
2002-10-17,9.800000,10.050000,9.650000,9.750000,7.198102,9000
2002-10-18,9.800000,10.400000,9.800000,10.250000,7.567234,3500
2002-10-21,9.900000,10.450000,9.900000,10.250000,7.567234,2500
2002-10-22,10.100000,10.350000,10.100000,10.150000,7.493407,2700
2002-10-23,10.350000,10.500000,10.200000,10.250000,7.567234,7100
2002-10-24,10.150000,10.450000,10.150000,10.350000,7.641061,1200
2002-10-25,10.000000,10.600000,10.000000,10.450000,7.714888,8900
2002-10-28,10.250000,10.500000,10.250000,10.300000,7.604148,5500
2002-10-29,10.350000,10.500000,10.250000,10.350000,7.641061,4200
2002-10-30,10.250000,10.500000,10.250000,10.400000,7.677975,7300
2002-10-31,10.000000,10.450000,10.000000,10.300000,7.604148,4200
2002-11-01,10.300000,10.350000,10.150000,10.200000,7.530322,1100
2002-11-04,10.000000,10.250000,10.000000,10.250000,7.567234,1300
2002-11-05,10.250000,10.250000,10.150000,10.150000,7.493407,2600
2002-11-06,null,null,null,null,null,null
2002-11-07,10.100000,10.300000,10.100000,10.100000,7.456496,4300
2002-11-08,10.250000,10.600000,10.150000,10.300000,7.604148,3900
2002-11-11,10.500000,10.500000,10.200000,10.250000,7.567234,5000
2002-11-12,10.200000,10.200000,10.100000,10.200000,7.530322,4800
2002-11-13,10.200000,10.300000,10.100000,10.150000,7.493407,5800
2002-11-14,10.050000,10.200000,10.050000,10.100000,7.456496,2200
2002-11-15,10.050000,10.300000,10.050000,10.150000,7.493407,5800
2002-11-18,10.000000,10.250000,10.000000,10.250000,7.567234,3900
2002-11-19,null,null,null,null,null,null
2002-11-20,10.250000,10.400000,10.200000,10.400000,7.677975,3000
2002-11-21,10.250000,10.400000,10.200000,10.200000,7.530322,6700
2002-11-22,10.200000,10.400000,10.200000,10.300000,7.604148,3700
2002-11-25,10.900000,11.400000,10.500000,10.850000,8.010194,10600
2002-11-26,11.050000,11.050000,10.750000,10.950000,8.084021,23700
2002-11-27,11.000000,11.700000,10.850000,11.350000,8.379328,18600
2002-11-28,11.500000,11.800000,11.300000,11.450000,8.453156,12900
2002-11-29,null,null,null,null,null,null
2002-12-02,11.600000,11.800000,11.400000,11.500000,8.490067,7700
2002-12-03,11.700000,11.700000,11.200000,11.400000,8.416242,7400
2002-12-04,12.000000,12.000000,11.450000,11.500000,8.490067,35800
2002-12-05,11.700000,11.900000,11.550000,11.550000,8.526980,31300
2002-12-06,11.800000,11.800000,11.500000,11.650000,8.600807,10200
