Date,open,high,low,close,adj_close,volume
2008-01-01,191.000000,199.899994,188.050003,197.000000,128.286087,8677
2008-01-02,199.899994,204.000000,196.000000,201.000000,130.890945,5612
2008-01-03,203.899994,209.899994,197.100006,198.000000,128.937317,4820
2008-01-04,204.800003,204.800003,197.100006,200.899994,130.825790,4382
2008-01-07,200.750000,203.000000,196.000000,200.000000,130.239700,12375
2008-01-08,200.000000,200.100006,192.199997,192.300003,125.225471,3620
2008-01-09,190.000000,193.750000,187.100006,190.300003,123.923042,1456
2008-01-10,194.899994,201.000000,190.100006,190.100006,123.792816,7852
2008-01-11,190.100006,192.000000,189.050003,192.000000,125.030106,11239
2008-01-14,189.100006,200.000000,189.100006,197.350006,128.514023,3369
2008-01-15,193.149994,198.000000,190.000000,193.000000,125.681320,3576
2008-01-16,190.000000,192.899994,189.100006,192.899994,125.616180,1996
2008-01-17,195.000000,195.000000,192.550003,193.000000,125.681320,354
2008-01-18,188.250000,195.300003,188.250000,190.100006,123.792816,2884
2008-01-21,192.100006,192.100006,165.000000,175.000000,113.959747,2775
2008-01-22,165.050003,170.000000,160.000000,161.000000,104.842972,676
2008-01-23,166.000000,175.000000,161.000000,175.000000,113.959747,507
2008-01-24,166.000000,166.000000,165.000000,165.000000,107.447754,9231
2008-01-25,165.000000,172.000000,163.000000,171.000000,111.354950,435
2008-01-28,173.000000,173.000000,163.000000,172.000000,112.006126,352
2008-01-29,165.000000,172.000000,160.100006,160.250000,104.354553,721
2008-01-30,164.000000,167.250000,159.000000,163.000000,106.145355,747
2008-01-31,162.899994,162.899994,159.199997,162.000000,105.494164,90
2008-02-01,162.000000,162.000000,162.000000,162.000000,105.494164,0
2008-02-04,168.699997,170.000000,162.000000,162.000000,105.494164,1311
2008-02-05,160.500000,165.000000,160.500000,165.000000,107.447754,170
2008-02-06,162.100006,165.000000,157.149994,165.000000,107.447754,916
2008-02-07,161.449997,170.000000,161.449997,166.250000,108.261757,3709
2008-02-08,169.800003,171.800003,165.199997,166.199997,108.229195,949
2008-02-11,169.000000,175.000000,160.100006,160.199997,104.322006,1674
2008-02-12,171.000000,171.899994,162.500000,169.000000,110.052559,1302
2008-02-13,170.000000,171.899994,168.250000,171.000000,111.354950,1027
2008-02-14,170.050003,194.000000,170.050003,189.000000,123.076523,9349
2008-02-15,null,null,null,null,null,null
2008-02-18,null,null,null,null,null,null
2008-02-19,null,null,null,null,null,null
2008-02-20,null,null,null,null,null,null
2008-02-21,null,null,null,null,null,null
2008-02-22,null,null,null,null,null,null
2008-02-25,null,null,null,null,null,null
2008-02-26,null,null,null,null,null,null
2008-02-27,null,null,null,null,null,null
2008-02-28,null,null,null,null,null,null
2008-02-29,null,null,null,null,null,null
2008-03-03,null,null,null,null,null,null
2008-03-04,null,null,null,null,null,null
2008-03-05,null,null,null,null,null,null
2008-03-07,null,null,null,null,null,null
2008-03-10,null,null,null,null,null,null
2008-03-11,null,null,null,null,null,null
2008-03-12,null,null,null,null,null,null
2008-03-13,null,null,null,null,null,null
2008-03-14,null,null,null,null,null,null
2008-03-17,null,null,null,null,null,null
2008-03-18,null,null,null,null,null,null
2008-03-19,null,null,null,null,null,null
2008-03-24,null,null,null,null,null,null
2008-03-25,null,null,null,null,null,null
2008-03-26,null,null,null,null,null,null
2008-03-27,null,null,null,null,null,null
2008-03-28,null,null,null,null,null,null
2008-03-31,null,null,null,null,null,null
2008-04-01,null,null,null,null,null,null
2008-04-02,null,null,null,null,null,null
2008-04-03,null,null,null,null,null,null
2008-04-04,null,null,null,null,null,null
2008-04-07,null,null,null,null,null,null
2008-04-08,null,null,null,null,null,null
2008-04-09,null,null,null,null,null,null
2008-04-10,null,null,null,null,null,null
2008-04-11,null,null,null,null,null,null
2008-04-15,null,null,null,null,null,null
2008-04-16,null,null,null,null,null,null
2008-04-17,null,null,null,null,null,null
2008-04-21,null,null,null,null,null,null
2008-04-22,null,null,null,null,null,null
2008-04-23,null,null,null,null,null,null
2008-04-24,null,null,null,null,null,null
2008-04-25,null,null,null,null,null,null
2008-04-28,null,null,null,null,null,null
2008-04-29,null,null,null,null,null,null
2008-04-30,null,null,null,null,null,null
2008-05-02,null,null,null,null,null,null
2008-05-05,null,null,null,null,null,null
2008-05-06,null,null,null,null,null,null
2008-05-07,null,null,null,null,null,null
2008-05-08,null,null,null,null,null,null
2008-05-09,null,null,null,null,null,null
2008-05-12,null,null,null,null,null,null
2008-05-13,null,null,null,null,null,null
2008-05-14,null,null,null,null,null,null
2008-05-15,null,null,null,null,null,null
2008-05-16,null,null,null,null,null,null
2008-05-20,null,null,null,null,null,null
2008-05-21,null,null,null,null,null,null
2008-05-22,null,null,null,null,null,null
2008-05-23,null,null,null,null,null,null
2008-05-26,null,null,null,null,null,null
2008-05-27,null,null,null,null,null,null
2008-05-28,null,null,null,null,null,null
2008-05-29,null,null,null,null,null,null
2008-05-30,null,null,null,null,null,null
2008-06-02,null,null,null,null,null,null
2008-06-03,null,null,null,null,null,null
2008-06-04,null,null,null,null,null,null
2008-06-05,null,null,null,null,null,null
2008-06-06,null,null,null,null,null,null
2008-06-09,null,null,null,null,null,null
2008-06-10,null,null,null,null,null,null
2008-06-11,null,null,null,null,null,null
2008-06-12,null,null,null,null,null,null
2008-06-13,null,null,null,null,null,null
2008-06-16,null,null,null,null,null,null
2008-06-17,null,null,null,null,null,null
2008-06-18,null,null,null,null,null,null
2008-06-19,null,null,null,null,null,null
2008-06-20,149.949997,149.949997,61.000000,90.599998,58.998581,1607085
2008-06-23,89.000000,89.000000,72.050003,72.250000,47.049099,332868
2008-06-24,67.099998,77.500000,66.199997,70.750000,46.072296,477627
2008-06-25,70.000000,70.000000,63.950001,66.699997,43.434944,141298
2008-06-26,74.500000,74.500000,66.000000,67.849998,44.183815,84330
2008-06-27,67.849998,67.849998,60.450001,62.299999,40.569664,22939
2008-06-30,63.750000,63.750000,53.500000,54.799999,35.685680,28675
2008-07-01,55.000000,59.000000,52.349998,55.049999,35.848480,15201
2008-07-02,53.000000,55.000000,51.200001,53.950001,35.132156,8871
2008-07-03,52.000000,52.000000,50.000000,50.549999,32.918083,7383
2008-07-04,50.000000,60.000000,50.000000,55.549999,36.174072,10683
2008-07-07,55.000000,59.950001,53.500000,55.049999,35.848480,3025
2008-07-08,54.900002,57.950001,52.000000,56.549999,36.825275,3192
2008-07-09,56.250000,61.000000,56.250000,58.849998,38.323036,11758
2008-07-10,59.900002,60.950001,56.000000,60.150002,39.169590,922
2008-07-11,63.000000,63.000000,57.500000,57.650002,37.541588,1835
2008-07-14,55.150002,65.199997,55.099998,61.400002,39.983593,4846
2008-07-15,58.099998,60.400002,57.150002,58.450001,38.062557,916
2008-07-16,57.400002,62.000000,57.349998,58.299999,37.964878,3665
2008-07-17,57.349998,58.799999,55.000000,56.750000,39.677841,1537
2008-07-18,55.000000,56.599998,53.650002,55.000000,38.454296,3047
2008-07-21,53.250000,54.849998,53.099998,54.450001,38.069748,1192
2008-07-22,54.500000,56.500000,54.500000,55.200001,38.594124,3063
2008-07-23,56.549999,57.400002,55.000000,57.049999,39.887592,1461
2008-07-24,54.500000,57.000000,54.450001,55.849998,39.048588,1843
2008-07-25,55.099998,58.849998,55.099998,56.450001,39.468082,979
2008-07-28,54.250000,56.500000,54.150002,54.750000,38.279503,8374
2008-07-29,54.150002,55.950001,53.000000,54.349998,37.999832,2839
2008-07-30,55.250000,57.750000,53.099998,56.150002,39.258343,1913
2008-07-31,51.799999,56.950001,51.799999,56.750000,39.677841,1591
2008-08-01,56.099998,58.500000,56.099998,57.000000,39.852619,581
2008-08-04,57.250000,58.500000,57.250000,58.400002,40.831474,891
2008-08-05,56.000000,60.299999,56.000000,57.349998,40.097340,2547
2008-08-06,58.000000,59.450001,56.500000,57.049999,39.887592,3161
2008-08-07,57.250000,59.000000,57.250000,58.549999,40.936344,854
2008-08-08,57.250000,60.000000,56.000000,59.250000,41.425762,2540
2008-08-11,59.849998,59.849998,58.150002,59.250000,41.425762,952
2008-08-12,59.250000,61.650002,58.799999,59.150002,41.355850,1482
2008-08-13,59.000000,61.900002,59.000000,59.250000,41.425762,981
2008-08-14,59.250000,62.000000,51.000000,61.000000,42.649303,1677
2008-08-18,60.400002,62.250000,60.400002,60.400002,42.229801,2365
2008-08-19,58.349998,60.500000,58.000000,58.799999,41.111134,672
2008-08-20,69.849998,69.849998,60.000000,60.500000,42.299728,3421
2008-08-21,60.500000,60.500000,55.250000,56.150002,39.258343,2402
2008-08-22,56.150002,60.349998,56.150002,57.299999,40.062382,2794
2008-08-25,60.000000,60.000000,55.000000,56.200001,39.293293,2293
2008-08-26,58.000000,59.000000,56.200001,56.250000,39.328255,728
2008-08-27,56.200001,58.950001,54.799999,56.349998,39.398174,1214
2008-08-28,56.450001,59.000000,55.200001,56.099998,39.223366,1912
2008-08-29,57.000000,59.349998,56.099998,59.000000,41.250969,411
2008-09-01,59.000000,59.000000,56.299999,57.049999,39.887592,356
2008-09-02,56.500000,58.900002,56.500000,58.000000,40.551807,1027
2008-09-04,58.500000,59.250000,57.049999,58.750000,41.076172,1641
2008-09-05,57.049999,60.549999,56.000000,60.099998,42.020054,983
2008-09-08,56.650002,58.950001,56.650002,58.099998,40.621712,524
2008-09-09,53.500000,60.000000,53.500000,57.500000,40.202217,2083
2008-09-10,56.599998,59.299999,56.549999,57.599998,40.272129,472
2008-09-11,60.000000,60.000000,56.500000,57.150002,39.957516,263
2008-09-12,56.500000,57.000000,56.500000,56.599998,39.572964,164
2008-09-15,56.599998,56.700001,56.000000,56.700001,39.642883,1922
2008-09-16,56.099998,56.099998,56.000000,56.000000,39.153458,1311
2008-09-17,53.599998,57.099998,53.299999,56.000000,39.153458,1478
2008-09-18,55.000000,55.000000,55.000000,55.000000,38.454296,2451
2008-09-19,53.000000,56.000000,53.000000,55.000000,38.454296,423
2008-09-22,53.000000,57.950001,53.000000,57.349998,40.097340,97
2008-09-23,55.000000,55.599998,55.000000,55.500000,38.803871,45
2008-09-24,50.049999,57.950001,50.049999,55.650002,38.908756,482
2008-09-25,55.000000,58.000000,54.900002,56.000000,39.153458,626
2008-09-26,54.000000,58.750000,50.049999,52.750000,36.881157,342
2008-09-29,51.250000,53.900002,50.049999,50.049999,34.993408,1375
2008-09-30,48.000000,56.750000,48.000000,54.000000,37.755127,216
2008-10-01,51.099998,54.799999,51.099998,52.799999,36.916122,1465
2008-10-03,52.049999,55.000000,52.049999,54.599998,38.174633,354
2008-10-06,52.049999,52.049999,50.099998,51.200001,35.797447,815
2008-10-07,49.000000,52.000000,49.000000,49.049999,34.294235,373
2008-10-08,47.049999,58.400002,47.049999,51.000000,35.657627,845
2008-10-10,48.000000,49.500000,42.000000,45.250000,31.637398,1322
2008-10-13,48.000000,52.950001,44.349998,49.950001,34.923489,1774
2008-10-14,50.250000,51.000000,49.099998,50.250000,35.133240,536
2008-10-15,48.500000,50.000000,47.099998,49.950001,34.923489,494
2008-10-16,44.000000,48.400002,44.000000,48.400002,33.839771,914
2008-10-17,46.000000,49.000000,45.000000,48.400002,33.839771,702
2008-10-20,45.000000,50.000000,44.150002,49.250000,34.434074,788
2008-10-21,46.900002,54.700001,46.900002,52.299999,36.566536,185
2008-10-22,46.099998,52.000000,46.099998,51.549999,36.042164,105
2008-10-23,44.049999,49.849998,44.049999,49.849998,34.853577,344
2008-10-24,43.049999,45.000000,42.549999,43.349998,30.308973,1330
2008-10-27,45.000000,45.000000,36.000000,41.849998,29.260218,1433
2008-10-29,43.299999,51.299999,43.099998,49.900002,34.888531,905
2008-10-31,48.000000,49.000000,44.150002,49.000000,34.259270,311
