Date,open,high,low,close,adj_close,volume
2010-11-23,89.900002,92.000000,86.099998,89.199997,89.199997,32779
2010-11-24,88.250000,93.050003,87.250000,90.750000,90.750000,39820
2010-11-25,93.400002,93.900002,86.250000,86.449997,86.449997,42341
2010-11-26,85.000000,89.000000,82.150002,86.099998,86.099998,101917
2010-11-29,86.199997,88.000000,84.150002,87.550003,87.550003,39326
2010-11-30,87.650002,90.900002,85.650002,88.650002,88.650002,31811
2010-12-01,88.150002,91.650002,88.150002,90.050003,90.050003,65071
2010-12-02,92.400002,94.250000,88.500000,90.650002,90.650002,43303
2010-12-03,94.599998,94.599998,87.250000,88.150002,88.150002,110567
2010-12-06,88.500000,89.900002,83.750000,84.199997,84.199997,54368
2010-12-07,83.000000,86.900002,80.750000,81.400002,81.400002,28848
2010-12-08,81.000000,82.000000,78.000000,78.699997,78.699997,54366
2010-12-09,77.599998,81.449997,74.800003,74.800003,74.800003,91628
2010-12-10,74.000000,77.349998,71.099998,76.250000,76.250000,110990
2010-12-13,75.000000,79.000000,74.000000,76.949997,76.949997,24043
2010-12-14,76.000000,79.199997,75.500000,76.099998,76.099998,61995
2010-12-15,78.800003,78.800003,74.550003,75.000000,75.000000,87172
2010-12-16,77.150002,78.000000,73.949997,75.349998,75.349998,71522
2010-12-20,78.000000,79.099998,75.000000,76.500000,76.500000,76836
2010-12-21,77.250000,77.250000,75.900002,76.150002,76.150002,58626
2010-12-22,75.500000,79.000000,75.099998,75.349998,75.349998,28882
2010-12-23,75.099998,77.349998,74.750000,76.099998,76.099998,24294
2010-12-24,77.900002,79.949997,75.599998,79.949997,79.949997,59583
2010-12-27,83.949997,83.949997,81.050003,83.349998,83.349998,142177
2010-12-28,85.000000,86.699997,80.500000,81.150002,81.150002,62897
2010-12-29,82.000000,82.500000,80.000000,81.000000,81.000000,21997
2010-12-30,80.699997,84.900002,79.050003,80.150002,80.150002,25582
2010-12-31,82.000000,84.199997,82.000000,84.199997,84.199997,42452
2011-01-03,88.449997,88.449997,88.449997,88.449997,88.449997,17623
2011-01-04,92.900002,92.900002,84.050003,84.750000,84.750000,278906
2011-01-05,82.500000,85.000000,81.500000,82.449997,82.449997,47046
2011-01-06,83.699997,83.800003,80.650002,81.199997,81.199997,26041
2011-01-07,83.500000,83.500000,77.650002,78.550003,78.550003,66111
2011-01-10,78.849998,78.949997,76.000000,77.599998,77.599998,69921
2011-01-11,78.500000,78.900002,76.050003,76.800003,76.800003,34729
2011-01-12,78.800003,84.500000,77.199997,84.500000,84.500000,181539
2011-01-13,85.500000,87.650002,78.500000,79.000000,79.000000,255364
2011-01-14,79.000000,80.000000,77.099998,77.849998,77.849998,59680
2011-01-17,76.099998,80.900002,71.500000,72.599998,72.599998,246948
2011-01-18,75.849998,75.849998,72.400002,73.300003,73.300003,45052
2011-01-19,75.000000,80.650002,73.550003,79.949997,79.949997,156324
2011-01-20,78.650002,86.800003,78.050003,84.949997,84.949997,206162
2011-01-21,85.699997,88.000000,81.900002,85.800003,85.800003,206510
2011-01-24,86.699997,89.449997,83.250000,84.050003,84.050003,88512
2011-01-25,85.800003,85.800003,80.000000,81.099998,81.099998,20839
2011-01-27,81.500000,84.000000,80.099998,80.400002,80.400002,20000
2011-01-28,80.000000,80.000000,73.099998,74.800003,74.800003,69816
2011-01-31,68.050003,75.849998,68.050003,72.900002,72.900002,90418
2011-02-01,75.099998,75.099998,68.599998,69.000000,69.000000,94839
2011-02-02,71.349998,72.500000,69.650002,71.000000,71.000000,96852
2011-02-03,72.000000,73.000000,70.250000,72.099998,72.099998,93184
2011-02-04,72.099998,78.800003,71.250000,72.500000,72.500000,123208
2011-02-07,73.500000,73.900002,69.250000,71.699997,71.699997,29573
2011-02-08,71.900002,72.500000,68.099998,69.000000,69.000000,21109
2011-02-09,67.199997,70.000000,62.099998,62.150002,62.150002,57746
2011-02-10,65.000000,66.599998,59.200001,62.200001,62.200001,94631
2011-02-11,62.900002,66.000000,59.250000,64.900002,64.900002,79692
2011-02-14,65.000000,67.900002,63.599998,66.750000,66.750000,48855
2011-02-15,68.199997,73.449997,68.199997,73.449997,73.449997,244992
2011-02-16,73.000000,76.400002,69.349998,70.500000,70.500000,165210
2011-02-17,71.000000,71.849998,68.000000,68.949997,68.949997,57815
2011-02-18,70.900002,70.900002,64.000000,65.000000,65.000000,141772
2011-02-21,65.599998,68.849998,65.250000,67.250000,67.250000,78919
2011-02-22,66.500000,70.900002,65.599998,67.900002,67.900002,66884
2011-02-23,68.500000,71.300003,66.699997,69.199997,69.199997,552437
2011-02-24,71.500000,73.000000,66.199997,67.050003,67.050003,151993
2011-02-25,69.000000,69.000000,64.599998,66.150002,66.150002,49363
2011-02-28,66.500000,69.000000,65.050003,66.099998,66.099998,54651
2011-03-01,66.849998,71.400002,65.800003,69.699997,69.699997,197178
2011-03-03,68.300003,71.099998,68.250000,69.500000,69.500000,105158
2011-03-04,70.900002,72.000000,68.300003,69.800003,69.800003,90078
2011-03-07,69.000000,69.000000,67.199997,67.699997,67.699997,29465
2011-03-08,67.099998,81.250000,67.099998,79.849998,79.849998,540370
2011-03-09,82.900002,86.800003,76.300003,77.750000,77.750000,2261843
2011-03-10,77.750000,79.900002,75.000000,76.699997,76.699997,258533
2011-03-11,77.449997,80.000000,75.300003,76.000000,76.000000,329948
2011-03-14,75.000000,79.199997,73.599998,77.250000,77.250000,311051
2011-03-15,74.000000,77.800003,72.150002,74.349998,74.349998,252173
2011-03-16,74.500000,78.199997,74.500000,75.599998,75.599998,127139
2011-03-17,75.449997,79.400002,74.400002,76.750000,76.750000,226719
2011-03-18,77.400002,77.500000,73.000000,73.949997,73.949997,106894
2011-03-21,74.849998,75.300003,72.099998,72.900002,72.900002,77845
2011-03-22,73.050003,74.500000,72.099998,72.900002,72.900002,73065
2011-03-23,72.000000,74.449997,70.199997,72.750000,72.750000,63836
2011-03-24,73.500000,74.000000,72.500000,73.000000,73.000000,51990
2011-03-25,73.650002,75.500000,73.099998,73.800003,73.800003,156143
2011-03-28,74.949997,78.000000,74.949997,75.750000,75.750000,318265
2011-03-29,76.000000,77.300003,74.400002,74.900002,74.900002,117406
2011-03-30,75.199997,75.750000,73.650002,73.849998,73.849998,47286
2011-03-31,74.150002,76.250000,73.599998,73.949997,73.949997,140578
2011-04-01,74.800003,82.000000,74.500000,79.449997,79.449997,695321
2011-04-04,79.000000,82.000000,78.000000,79.050003,79.050003,288751
2011-04-05,79.099998,81.750000,78.099998,79.849998,79.849998,297558
2011-04-06,80.699997,84.699997,78.300003,82.449997,82.449997,436966
2011-04-07,83.400002,85.199997,82.050003,82.550003,82.550003,162047
2011-04-08,83.250000,85.849998,77.000000,84.300003,84.300003,731379
2011-04-11,85.000000,88.250000,80.750000,81.900002,81.900002,341957
2011-04-13,80.949997,85.000000,80.949997,82.349998,82.349998,156184
2011-04-15,82.349998,83.750000,80.050003,80.650002,80.650002,91394
2011-04-18,81.400002,83.000000,77.199997,77.849998,77.849998,128717
2011-04-19,76.500000,83.000000,76.500000,81.349998,81.349998,287606
2011-04-20,82.000000,83.400002,79.800003,80.250000,80.250000,137180
2011-04-21,80.500000,83.400002,80.150002,82.300003,82.300003,157959
2011-04-25,82.199997,82.949997,80.199997,80.849998,80.849998,40250
2011-04-26,81.099998,81.900002,78.900002,79.250000,79.250000,62163
2011-04-27,79.500000,80.400002,77.650002,77.900002,77.900002,35108
2011-04-28,78.050003,81.900002,77.199997,81.500000,81.500000,164148
2011-04-29,81.500000,81.800003,77.500000,78.250000,78.250000,86373
2011-05-02,79.449997,79.599998,75.650002,76.250000,76.250000,44540
2011-05-03,76.800003,78.400002,73.599998,74.099998,74.099998,102830
2011-05-04,73.699997,75.150002,72.250000,73.199997,73.199997,56750
2011-05-05,73.699997,74.750000,69.500000,69.949997,69.949997,71562
2011-05-06,70.900002,71.849998,68.699997,69.599998,69.599998,70283
2011-05-09,70.449997,71.500000,68.000000,68.550003,68.550003,37396
2011-05-10,67.300003,70.400002,67.000000,68.699997,68.699997,40681
2011-05-11,69.000000,70.800003,68.650002,70.449997,70.449997,51680
2011-05-12,70.000000,70.650002,68.500000,69.900002,69.900002,42486
2011-05-13,68.800003,72.500000,68.800003,70.550003,70.550003,68207
2011-05-16,68.099998,71.000000,68.099998,70.449997,70.449997,36155
2011-05-17,70.099998,70.949997,68.599998,69.000000,69.000000,23421
2011-05-18,69.199997,70.699997,69.000000,69.349998,69.349998,12442
2011-05-19,70.000000,70.199997,68.500000,68.949997,68.949997,21493
2011-05-20,68.500000,70.699997,67.000000,67.550003,67.550003,43598
2011-05-23,67.099998,68.449997,66.099998,66.699997,66.699997,17384
2011-05-24,67.750000,67.800003,65.400002,65.800003,65.800003,138418
2011-05-25,66.099998,68.199997,65.000000,65.599998,65.599998,49066
2011-05-26,65.099998,67.300003,64.599998,65.250000,65.250000,22749
2011-05-27,65.099998,73.900002,65.099998,69.849998,69.849998,303018
2011-05-30,71.000000,72.800003,69.000000,70.300003,70.300003,150380
2011-05-31,70.500000,72.500000,69.500000,70.550003,70.550003,100325
2011-06-01,70.550003,72.500000,70.000000,71.099998,71.099998,71063
2011-06-02,70.099998,71.949997,67.099998,67.800003,67.800003,96608
2011-06-03,71.449997,73.500000,69.949997,70.449997,70.449997,192360
2011-06-06,71.000000,72.500000,69.050003,69.750000,69.750000,84766
2011-06-07,70.000000,70.849998,69.500000,69.750000,69.750000,21507
2011-06-08,70.099998,73.400002,69.849998,70.650002,70.650002,99233
2011-06-09,71.800003,71.800003,69.099998,69.599998,69.599998,34141
2011-06-10,71.000000,71.800003,69.800003,71.000000,71.000000,80248
