Date,open,high,low,close,adj_close,volume
2006-03-06,307.000000,307.000000,276.149994,291.500000,284.691742,40557765
2006-03-07,294.000000,317.000000,293.200012,307.000000,299.829712,19837857
2006-03-08,309.000000,321.899994,295.299988,297.450012,290.502808,17371479
2006-03-09,300.000000,305.899994,285.700012,290.850006,284.056915,15411809
2006-03-10,292.649994,305.000000,292.649994,300.549988,293.530365,10873158
2006-03-13,328.000000,328.000000,311.500000,318.250000,310.816956,13290577
2006-03-14,324.399994,324.799988,311.549988,316.799988,309.400848,10235183
2006-03-16,320.000000,337.750000,320.000000,326.950012,319.313782,11851865
2006-03-17,330.000000,330.000000,321.600006,322.700012,315.163055,5103014
2006-03-20,324.450012,326.850006,319.000000,320.000000,312.526093,4827722
2006-03-21,322.000000,333.899994,314.500000,320.250000,312.770264,12268622
2006-03-22,322.000000,322.899994,298.000000,300.299988,293.286163,12912047
2006-03-23,304.000000,307.850006,288.000000,290.549988,283.763916,11210842
2006-03-24,290.500000,294.750000,285.649994,289.850006,283.080261,8319341
2006-03-27,292.350006,300.000000,292.000000,295.000000,288.110046,5017893
2006-03-28,297.200012,298.850006,289.000000,292.450012,285.619568,4828632
2006-03-29,295.250000,305.000000,295.250000,299.850006,292.846741,8763736
2006-03-30,301.549988,305.000000,296.600006,300.250000,293.237366,6554636
2006-03-31,310.000000,313.500000,304.100006,308.700012,301.490051,7086242
2006-04-03,311.250000,322.700012,309.000000,320.450012,312.965637,8106070
2006-04-04,323.450012,324.700012,315.049988,319.200012,311.744751,7739963
2006-04-05,320.500000,320.500000,310.000000,313.100006,305.787262,5207465
2006-04-07,314.000000,318.600006,302.000000,306.399994,299.243774,6193437
2006-04-10,307.000000,311.549988,298.000000,299.799988,292.797852,4039775
2006-04-12,304.000000,304.000000,288.100006,290.399994,283.617432,5845734
2006-04-13,290.399994,291.500000,269.049988,272.299988,265.940155,9479948
2006-04-17,275.049988,289.799988,275.049988,281.350006,274.778748,4385973
2006-04-18,290.299988,290.299988,277.000000,278.000000,271.507019,3873534
2006-04-19,281.000000,291.700012,280.000000,287.350006,280.638641,11710978
2006-04-20,290.000000,305.500000,290.000000,304.000000,296.899841,10080459
2006-04-21,307.000000,313.000000,301.000000,309.000000,301.783020,7835587
2006-04-24,310.000000,310.399994,299.299988,301.750000,294.702362,2572163
2006-04-25,302.600006,310.899994,297.549988,304.750000,297.632263,6347400
2006-04-26,305.100006,314.500000,304.799988,312.799988,305.494263,3538684
2006-04-27,313.000000,316.000000,296.549988,299.299988,292.309540,3626866
2006-04-28,280.000000,309.700012,275.000000,302.850006,295.776611,4761149
2006-05-02,328.799988,338.000000,314.799988,320.899994,313.405060,9109210
2006-05-03,324.000000,341.000000,321.000000,338.799988,330.886963,12305200
2006-05-04,341.100006,345.399994,329.600006,333.750000,325.954926,6899905
2006-05-05,340.000000,347.899994,336.250000,339.899994,331.961334,7356552
2006-05-08,343.350006,344.799988,335.149994,340.600006,332.644928,4167496
2006-05-09,341.000000,343.549988,330.600006,340.950012,332.986816,4154101
2006-05-10,342.250000,342.899994,334.000000,335.850006,328.005859,3529236
