Date,open,high,low,close,adj_close,volume
2007-12-12,190.000000,190.000000,163.100006,164.000000,133.393173,5506690
2007-12-13,166.000000,173.500000,160.399994,166.050003,135.060577,1123973
2007-12-14,165.699997,172.199997,162.000000,164.000000,133.393173,435703
2007-12-17,167.000000,167.000000,151.000000,154.250000,125.462814,276100
2007-12-18,160.000000,160.000000,149.050003,151.000000,122.819313,178800
2007-12-19,160.000000,160.000000,147.100006,148.350006,120.663879,90209
2007-12-20,149.000000,150.899994,138.000000,140.000000,113.872223,147427
2007-12-24,142.000000,148.800003,136.199997,142.600006,115.987000,159737
2007-12-26,143.000000,149.000000,142.250000,143.600006,116.800369,99709
2007-12-27,143.000000,148.000000,142.600006,146.250000,118.955811,133548
2007-12-28,145.000000,157.500000,144.100006,151.250000,123.022659,186524
2007-12-31,153.899994,159.800003,151.550003,153.050003,124.486755,180529
2008-01-01,155.800003,159.500000,151.300003,156.800003,127.536880,125040
2008-01-02,160.000000,176.949997,156.100006,170.300003,138.517426,940731
2008-01-03,167.300003,175.600006,164.149994,166.100006,135.101273,515246
2008-01-04,166.199997,174.850006,165.000000,166.250000,135.223267,316610
2008-01-07,164.000000,172.050003,164.000000,166.300003,135.263931,227525
2008-01-08,168.350006,168.350006,152.699997,155.250000,126.276154,135426
2008-01-09,155.649994,155.649994,145.000000,145.800003,118.589790,90494
2008-01-10,148.500000,151.899994,141.000000,142.399994,115.824318,74766
2008-01-11,145.000000,145.000000,135.050003,139.149994,113.180862,57725
2008-01-14,139.500000,147.000000,139.500000,141.949997,115.458298,50820
2008-01-15,144.449997,144.449997,136.500000,137.100006,111.513435,34059
2008-01-16,137.000000,139.800003,130.000000,131.899994,107.283897,31643
2008-01-17,132.100006,139.500000,131.000000,137.550003,111.879463,41156
2008-01-18,135.250000,139.699997,129.000000,130.300003,105.982506,29260
2008-01-21,131.149994,135.000000,105.000000,105.000000,85.404160,37311
2008-01-22,100.000000,109.000000,86.000000,98.250000,79.913895,43358
2008-01-23,100.000000,109.900002,93.349998,103.449997,84.143440,26200
2008-01-24,104.800003,108.000000,88.000000,94.449997,76.823074,28315
2008-01-25,99.000000,100.000000,96.000000,99.400002,80.849274,25886
2008-01-28,98.000000,99.000000,93.050003,96.900002,78.815849,17909
2008-01-29,97.000000,101.900002,96.000000,99.699997,81.093285,18715
2008-01-30,101.000000,116.900002,100.000000,112.949997,91.870468,141888
2008-01-31,114.000000,115.500000,105.099998,113.500000,92.317848,44923
2008-02-01,108.500000,113.650002,104.000000,109.349998,88.942352,64378
2008-02-04,111.099998,117.400002,111.099998,115.199997,93.700569,39958
2008-02-05,114.000000,116.800003,112.300003,113.199997,92.073814,19725
2008-02-06,108.050003,112.699997,107.000000,111.000000,90.284416,11214
2008-02-07,109.849998,114.949997,106.199997,107.250000,87.234253,12900
2008-02-08,106.099998,107.849998,100.000000,102.449997,83.330055,22744
2008-02-11,97.050003,99.800003,87.150002,91.500000,74.423645,16131
2008-02-12,86.199997,94.000000,86.199997,89.000000,72.390198,7295
2008-02-13,89.349998,91.949997,87.500000,89.500000,72.796890,7959
2008-02-14,91.599998,99.000000,91.599998,97.550003,79.344543,19157
2008-02-15,96.500000,100.000000,95.000000,98.650002,80.239258,9555
2008-02-18,99.050003,104.000000,97.000000,99.500000,80.930611,12518
2008-02-19,103.000000,103.900002,98.949997,101.099998,82.232025,22744
2008-02-20,101.199997,101.199997,93.500000,94.300003,76.701073,9215
2008-02-21,97.000000,97.949997,91.400002,92.500000,75.237015,15737
2008-02-22,90.000000,93.900002,89.500000,91.150002,74.138954,10479
2008-02-25,92.050003,94.800003,90.250000,93.150002,75.765709,8354
2008-02-26,96.000000,96.000000,92.000000,92.750000,75.440338,12495
2008-02-27,93.699997,94.550003,92.000000,92.099998,74.911652,7965
2008-02-28,94.000000,94.000000,90.500000,91.900002,74.748985,5472
2008-02-29,91.000000,94.000000,89.400002,90.099998,73.284897,11758
2008-03-03,88.000000,90.000000,85.050003,86.000000,69.950081,13577
2008-03-04,84.050003,86.000000,75.199997,78.250000,63.646439,22425
2008-03-05,77.400002,79.000000,75.099998,76.750000,62.426380,7571
2008-03-07,75.050003,76.849998,66.000000,70.699997,57.505474,12614
2008-03-10,67.699997,70.699997,60.299999,68.500000,55.716053,22543
2008-03-11,70.099998,80.199997,70.099998,73.300003,59.620243,20372
2008-03-12,76.000000,77.000000,71.000000,71.599998,58.237507,14238
2008-03-13,70.699997,71.500000,65.650002,66.550003,54.129982,13681
2008-03-14,68.000000,68.900002,65.000000,67.599998,54.984020,8227
2008-03-17,64.300003,65.000000,56.099998,57.450001,46.728283,18674
2008-03-18,58.799999,60.450001,54.150002,55.500000,45.142208,30090
2008-03-19,59.599998,59.599998,46.650002,49.000000,39.855282,27500
2008-03-24,50.000000,52.650002,46.000000,47.349998,38.513210,22903
2008-03-25,48.799999,50.549999,47.000000,48.500000,39.448589,29368
2008-03-26,48.549999,53.950001,48.549999,51.450001,41.848042,33465
2008-03-27,50.450001,61.750000,50.450001,61.400002,49.941109,110106
2008-03-28,63.299999,73.400002,62.750000,71.900002,58.481514,131108
2008-03-31,71.000000,79.000000,68.000000,71.800003,58.400185,95580
2008-04-01,75.000000,75.849998,70.000000,72.699997,59.132217,19390
2008-04-02,77.500000,77.500000,70.099998,71.349998,58.034161,8092
2008-04-03,66.650002,73.449997,66.650002,69.949997,56.895443,6274
2008-04-04,70.050003,70.050003,66.500000,67.650002,55.024693,8569
2008-04-07,65.099998,66.650002,61.000000,64.750000,52.665897,7611
2008-04-08,65.300003,69.150002,65.300003,67.000000,54.495995,13430
