Date,open,high,low,close,adj_close,volume
2002-07-01,820.000000,822.000000,782.250000,800.000000,726.749573,89517
2002-07-02,790.000000,820.000000,755.750000,762.500000,692.683044,92527
2002-07-03,769.500000,827.250000,762.500000,817.000000,742.192871,112860
2002-07-04,828.000000,924.500000,804.750000,880.750000,800.105774,677195
2002-07-05,875.000000,917.250000,861.000000,893.000000,811.234070,518008
2002-07-08,900.000000,925.000000,877.500000,884.500000,803.512512,148939
2002-07-09,889.500000,914.500000,877.500000,888.750000,807.373352,183901
2002-07-10,890.000000,909.750000,872.500000,878.000000,797.607544,108060
2002-07-11,885.000000,885.000000,825.750000,831.750000,755.592346,54913
2002-07-12,840.000000,864.250000,775.000000,797.250000,724.251343,87997
2002-07-15,808.500000,808.500000,736.250000,759.750000,690.185059,47537
2002-07-16,760.000000,827.250000,725.750000,798.250000,725.159729,194181
2002-07-17,791.000000,837.500000,777.750000,823.750000,748.324951,221661
2002-07-18,834.500000,847.500000,825.000000,836.000000,759.453186,90197
2002-07-19,829.500000,830.000000,795.500000,800.750000,727.430847,62689
2002-07-22,787.250000,789.500000,747.500000,760.000000,690.412048,35867
2002-07-23,725.000000,778.500000,725.000000,753.500000,684.507141,48335
2002-07-24,740.000000,750.000000,712.750000,721.500000,655.437195,28391
2002-07-25,746.000000,774.500000,687.500000,718.750000,652.939087,43892
2002-07-26,695.000000,752.500000,685.250000,727.750000,661.114868,125039
2002-07-29,738.500000,749.500000,682.500000,705.500000,640.902283,59581
2002-07-30,722.500000,741.250000,607.500000,638.750000,580.264160,51227
2002-07-31,623.500000,692.500000,577.500000,674.000000,612.286499,134083
2002-08-01,675.250000,712.500000,630.000000,668.000000,606.835815,92399
2002-08-02,646.250000,685.000000,640.500000,674.750000,612.967773,65947
2002-08-05,688.000000,732.000000,671.000000,722.250000,656.118591,96611
2002-08-06,720.000000,760.000000,703.250000,749.750000,681.100525,75205
2002-08-07,779.500000,788.000000,743.000000,751.250000,682.463196,86049
2002-08-08,760.000000,773.250000,702.500000,714.250000,648.851013,57985
2002-08-09,732.250000,770.000000,719.500000,744.750000,676.558411,200190
2002-08-12,740.000000,769.500000,727.000000,733.250000,666.111389,68577
2002-08-13,740.000000,749.500000,722.500000,728.000000,661.342102,31618
2002-08-14,727.000000,757.500000,713.000000,719.750000,653.847473,129395
2002-08-15,null,null,null,null,null,null
2002-08-16,738.500000,740.000000,708.250000,715.500000,649.986694,48466
2002-08-19,725.000000,740.000000,717.750000,724.750000,658.389587,57407
2002-08-20,735.500000,765.000000,710.000000,759.250000,689.730713,129140
2002-08-21,767.500000,809.250000,763.000000,775.500000,704.492859,234837
2002-08-22,785.000000,800.000000,720.500000,734.250000,667.019775,222043
2002-08-23,743.750000,746.750000,715.500000,729.750000,662.931763,117115
2002-08-26,745.000000,755.000000,726.250000,730.000000,663.158875,78685
2002-08-27,737.250000,739.500000,707.000000,713.750000,648.396851,57149
2002-08-28,714.500000,723.500000,700.750000,716.750000,651.122131,59272
2002-08-29,722.250000,722.250000,700.000000,704.750000,640.220886,40545
2002-08-30,712.500000,758.750000,705.250000,749.000000,680.419189,122054
2002-09-02,762.500000,773.750000,742.000000,750.250000,681.554749,128685
2002-09-03,750.000000,758.000000,733.750000,741.500000,673.605957,79769
2002-09-04,732.500000,745.250000,715.000000,741.500000,673.605957,43596
2002-09-05,745.000000,753.000000,725.000000,729.750000,662.931763,50060
2002-09-06,730.000000,730.000000,707.750000,714.000000,648.623962,26360
2002-09-09,720.500000,728.500000,700.000000,706.250000,641.583496,16799
2002-09-10,null,null,null,null,null,null
2002-09-11,714.500000,721.500000,709.750000,717.000000,651.349243,20567
2002-09-12,720.000000,724.500000,705.000000,710.500000,645.444336,19991
2002-09-13,710.000000,710.750000,698.000000,701.500000,637.268494,10436
2002-09-16,710.000000,710.000000,683.000000,685.250000,622.506348,16347
2002-09-17,693.750000,703.500000,679.500000,685.750000,622.960510,17732
2002-09-18,690.000000,702.500000,672.500000,675.750000,613.876221,28992
2002-09-19,679.750000,680.000000,635.750000,656.750000,596.615906,23344
2002-09-20,630.500000,657.500000,630.000000,645.000000,585.941833,19951
2002-09-23,650.000000,656.750000,627.500000,636.000000,577.765808,15521
2002-09-24,627.500000,632.500000,611.250000,617.250000,560.732666,11631
2002-09-25,614.000000,630.000000,600.000000,615.250000,558.915833,20023
2002-09-26,625.000000,695.000000,623.250000,682.750000,620.235291,143949
2002-09-27,689.750000,705.000000,677.500000,687.000000,624.096252,118753
2002-09-30,685.000000,685.000000,634.000000,640.000000,581.399597,48012
2002-10-01,636.250000,647.500000,621.000000,629.000000,571.406738,28915
2002-10-02,null,null,null,null,null,null
2002-10-03,640.000000,647.500000,625.500000,631.000000,573.223694,20942
2002-10-04,634.750000,645.000000,622.500000,632.250000,574.359253,17629
2002-10-07,638.500000,662.500000,632.500000,653.000000,593.209351,65256
2002-10-08,655.000000,674.750000,647.500000,665.750000,604.791809,62248
2002-10-09,675.000000,687.500000,649.000000,653.000000,593.209351,58004
2002-10-10,659.500000,662.250000,635.000000,638.750000,580.264160,21750
